id,Label,Number_Points,x,y,50
0,0,19,0.089986,0.148148,47500
1,1,16,0.709801,0.409496,40000
2,2,5,0.127896,0.247194,12500
3,3,13,0.568426,0.388945,32500
4,4,24,0.449084,0.051406,60000
5,5,6,0.127441,0.31254,15000
6,6,15,0.148883,0.070141,37500
7,7,10,0.16799,0.053927,25000
8,8,13,0.551609,0.092015,32500
9,9,8,0.411293,0.269259,20000
10,10,14,0.211658,0.172033,35000
11,11,18,0.312189,0.188478,45000
12,12,15,0.109846,0.209854,37500
13,13,20,0.22964,0.311598,50000
14,14,17,0.087574,0.069621,42500
15,15,16,0.62847,0.230527,40000
16,16,17,0.647268,0.210478,42500
17,17,16,0.791152,0.292372,40000
18,18,19,0.209628,0.310832,47500
19,19,16,0.769181,0.268924,40000
20,20,8,0.410918,0.349487,20000
21,21,12,0.107718,0.127278,30000
22,22,18,0.548629,0.369589,45000
23,23,11,0.79174,0.231377,27500
24,24,14,0.648007,0.190349,35000
25,25,6,0.789917,0.466786,15000
26,26,10,0.550688,0.29072,25000
27,27,4,0.497273,0.12662,10000
28,28,15,0.327969,0.071702,37500
29,29,10,0.529588,0.111052,25000
30,30,20,0.330883,0.369628,50000
31,31,6,0.69075,0.422458,15000
32,32,16,0.091677,0.30797,40000
33,33,13,0.851164,0.128299,32500
34,34,13,0.628187,0.212555,32500
35,35,12,0.628848,0.373598,30000
36,36,24,0.290972,0.390115,60000
37,37,24,0.230523,0.087555,60000
38,38,15,0.869388,0.249766,37500
39,39,18,0.528357,0.166799,45000
40,40,14,0.075152,0.111258,35000
41,41,29,0.390573,0.41061,72500
42,42,19,0.490379,0.0898,47500
43,43,21,0.770904,0.212441,52500
44,44,7,0.83581,0.429041,17500
45,45,2,0.666064,0.158527,5000
46,46,10,0.611267,0.171409,25000
47,47,14,0.48901,0.067323,35000
48,48,13,0.106532,0.228842,32500
49,49,22,0.549512,0.408215,55000
50,50,12,0.645367,0.169808,30000
51,51,24,0.108225,0.189848,60000
52,52,15,0.107928,0.110049,37500
53,53,18,0.190642,0.311153,45000
54,54,8,0.651112,0.229602,20000
55,55,16,0.309182,0.130806,40000
56,56,20,0.290825,0.288892,50000
57,57,10,0.534491,0.310285,25000
58,58,9,0.18787,0.333103,22500
59,59,19,0.871785,0.21141,47500
60,60,20,0.209581,0.248373,50000
61,61,18,0.888547,0.369293,45000
62,62,8,0.871048,0.349368,20000
63,63,9,0.443274,0.165252,22500
64,64,20,0.310248,0.070544,50000
65,65,17,0.66756,0.409104,42500
66,66,7,0.669093,0.427965,17500
67,67,5,0.051327,0.192429,12500
68,68,11,0.432017,0.22922,27500
69,69,19,0.292838,0.228692,47500
70,70,6,0.267097,0.353646,15000
71,71,14,0.068368,0.290162,35000
72,72,4,0.551714,0.424835,10000
73,73,11,0.444107,0.412038,27500
74,74,16,0.56661,0.050318,40000
75,75,18,0.768647,0.191249,45000
76,76,22,0.091006,0.166608,55000
77,77,8,0.072865,0.271794,20000
78,78,15,0.409591,0.209441,37500
79,79,20,0.690364,0.410234,50000
80,80,19,0.229868,0.228241,47500
81,81,18,0.312401,0.21068,45000
82,82,5,0.369369,0.353987,12500
83,83,4,0.128518,0.168204,10000
84,84,22,0.829355,0.090643,55000
85,85,20,0.188021,0.190012,50000
86,86,12,0.589231,0.0482,30000
87,87,16,0.78657,0.266025,40000
88,88,9,0.074987,0.127069,22500
89,89,22,0.45074,0.092255,55000
90,90,15,0.851295,0.226353,37500
91,91,3,0.305524,0.35314,7500
92,92,22,0.373184,0.368165,55000
93,93,12,0.847857,0.068114,30000
94,94,13,0.249931,0.411478,32500
95,95,6,0.443229,0.285272,15000
96,96,13,0.486296,0.052734,32500
97,97,21,0.129909,0.07062,52500
98,98,4,0.23125,0.39077,10000
99,99,11,0.529288,0.22732,27500
100,100,6,0.393613,0.155838,15000
101,101,13,0.330125,0.091925,32500
102,102,4,0.343059,0.246363,10000
103,103,10,0.788523,0.053282,25000
104,104,18,0.207128,0.350626,45000
105,105,12,0.389148,0.352321,30000
106,106,16,0.86883,0.13063,40000
107,107,4,0.711467,0.185161,10000
108,108,14,0.088702,0.229883,35000
109,109,10,0.506416,0.37098,25000
110,110,15,0.331533,0.110671,37500
111,111,9,0.79191,0.210053,22500
112,112,15,0.291429,0.40979,37500
113,113,14,0.307793,0.092318,35000
114,114,10,0.529806,0.052195,25000
115,115,1,0.803674,0.413449,2500
116,116,16,0.111465,0.16977,40000
117,117,13,0.789449,0.248272,32500
118,118,10,0.572153,0.272015,25000
119,119,14,0.530447,0.209838,35000
120,120,15,0.630017,0.271265,37500
121,121,2,0.98471,0.267708,5000
122,122,11,0.588999,0.290462,27500
123,123,2,0.360748,0.099008,5000
124,124,9,0.569596,0.423359,22500
125,125,17,0.629106,0.069648,42500
126,126,11,0.432616,0.1537,27500
127,127,17,0.56933,0.291525,42500
128,128,11,0.111141,0.151171,27500
129,129,19,0.830904,0.291662,47500
130,130,11,0.588686,0.309265,27500
131,131,12,0.512258,0.390858,30000
132,132,5,0.952067,0.12806,12500
133,133,12,0.546376,0.167986,30000
134,134,13,0.630586,0.051664,32500
135,135,17,0.548591,0.211838,42500
136,136,15,0.649162,0.051208,37500
137,137,24,0.408125,0.368145,60000
138,138,15,0.869725,0.331871,37500
139,139,25,0.849644,0.331113,62500
140,140,7,0.205411,0.055214,17500
141,141,16,0.330805,0.131862,40000
142,142,17,0.331556,0.269791,42500
143,143,1,0.218556,0.039827,2500
144,144,19,0.790224,0.107556,47500
145,145,15,0.568962,0.068929,37500
146,146,18,0.413235,0.229411,45000
147,147,1,0.654292,0.461856,2500
148,148,10,0.410832,0.089423,25000
149,149,18,0.412055,0.189919,45000
150,150,19,0.61357,0.147763,47500
151,151,13,0.327993,0.411938,32500
152,152,9,0.328781,0.152693,22500
153,153,13,0.850544,0.30985,32500
154,154,16,0.429638,0.170451,40000
155,155,21,0.331274,0.168476,52500
156,156,14,0.849728,0.270009,35000
157,157,17,0.173044,0.088768,42500
158,158,11,0.870218,0.288693,27500
159,159,11,0.430713,0.329582,27500
160,160,8,0.036066,0.092429,20000
161,161,10,0.767778,0.2312,25000
162,162,20,0.80723,0.088081,50000
163,163,14,0.526928,0.392556,35000
164,164,17,0.550753,0.311041,42500
165,165,22,0.849704,0.211764,55000
166,166,9,0.596384,0.152512,22500
167,167,4,0.425278,0.052378,10000
168,168,16,0.630524,0.392254,40000
169,169,8,0.629876,0.328266,20000
170,170,10,0.431484,0.410286,25000
171,171,8,0.145451,0.056752,20000
172,172,13,0.410701,0.328562,32500
173,173,17,0.429402,0.249923,42500
174,174,11,0.629346,0.168163,27500
175,175,14,0.647414,0.309063,35000
176,176,10,0.410231,0.408209,25000
177,177,13,0.753948,0.229849,32500
178,178,2,0.843133,0.427983,5000
179,179,16,0.609215,0.189178,40000
180,180,13,0.087486,0.272367,32500
181,181,12,0.768592,0.248158,30000
182,182,17,0.090779,0.209111,42500
183,183,9,0.610084,0.053658,22500
184,184,19,0.209591,0.189989,47500
185,185,8,0.213371,0.151063,20000
186,186,9,0.849764,0.186966,22500
187,187,21,0.32892,0.230095,52500
188,188,14,0.248208,0.390998,35000
189,189,5,0.965636,0.086156,12500
190,190,19,0.227635,0.329421,47500
191,191,5,0.108054,0.323503,12500
192,192,8,0.570298,0.250872,20000
193,193,15,0.650061,0.271165,37500
194,194,4,0.124495,0.128453,10000
195,195,21,0.810916,0.230627,52500
196,196,14,0.588592,0.088862,35000
197,197,17,0.390494,0.370103,42500
198,198,14,0.208733,0.407161,35000
199,199,13,0.269466,0.388041,32500
200,200,15,0.508226,0.167318,37500
201,201,18,0.648589,0.287749,45000
202,202,12,0.407864,0.249077,30000
203,203,6,0.446324,0.372891,15000
204,204,17,0.629655,0.410549,42500
205,205,9,0.82786,0.053404,22500
206,206,2,0.716232,0.069241,5000
207,207,3,0.666109,0.449481,7500
208,208,21,0.769026,0.068015,52500
209,209,7,0.344847,0.229235,17500
210,210,3,0.576268,0.232066,7500
211,211,1,0.438781,0.021032,2500
212,212,8,0.425476,0.352033,20000
213,213,17,0.429825,0.208641,42500
214,214,11,0.647484,0.327309,27500
215,215,16,0.40904,0.168355,40000
216,216,2,0.9612,0.272059,5000
217,217,9,0.394079,0.189435,22500
218,218,19,0.808913,0.188124,47500
219,219,6,0.108087,0.055631,15000
220,220,14,0.830519,0.130098,35000
221,221,22,0.63091,0.309747,55000
222,222,4,0.886252,0.212875,10000
223,223,18,0.191739,0.411415,45000
224,224,16,0.870397,0.150245,40000
225,225,13,0.229186,0.106397,32500
226,226,15,0.608836,0.248922,37500
227,227,11,0.28977,0.054039,27500
228,228,11,0.83423,0.351007,27500
229,229,15,0.287219,0.092782,37500
230,230,8,0.094681,0.087857,20000
231,231,14,0.111465,0.310509,35000
232,232,10,0.230657,0.173741,25000
233,233,13,0.869278,0.069126,32500
234,234,2,0.907198,0.288502,5000
235,235,11,0.807142,0.2701,27500
236,236,18,0.332105,0.209537,45000
237,237,9,0.547291,0.273198,22500
238,238,21,0.75152,0.071054,52500
239,239,4,0.343388,0.171341,10000
