id,Label,Number_Points,x,y,30
0,0,4,0.01722,0.157257,3600
1,1,2,0.016828,0.170108,1800
2,2,8,0.048476,0.151817,7200
3,3,4,0.056901,0.116158,3600
4,4,2,0.058893,0.218119,1800
5,5,3,0.061023,0.186317,2700
6,6,7,0.082246,0.185792,6300
7,7,11,0.078713,0.217206,9900
8,8,6,0.086354,0.152483,5400
9,9,7,0.082623,0.116058,6300
10,10,5,0.089305,0.242822,4500
11,11,1,0.100225,0.190018,900
12,12,8,0.116454,0.082265,7200
13,13,8,0.119439,0.250013,7200
14,14,4,0.121337,0.219205,3600
15,15,9,0.117801,0.158285,8100
16,16,3,0.118795,0.269001,2700
17,17,6,0.116257,0.118941,5400
18,18,2,0.131022,0.059687,1800
19,19,8,0.147111,0.271532,7200
20,20,9,0.147079,0.150452,8100
21,21,7,0.1498,0.049416,6300
22,22,5,0.153412,0.17873,4500
23,23,3,0.153149,0.20441,2700
24,24,4,0.146604,0.085663,3600
25,25,6,0.153276,0.11611,5400
26,26,8,0.14882,0.256484,7200
27,27,6,0.160637,0.017355,5400
28,28,2,0.163144,0.322675,1800
29,29,7,0.176533,0.024384,6300
30,30,5,0.184905,0.082129,4500
31,31,6,0.186599,0.050481,5400
32,32,7,0.185087,0.245617,6300
33,33,5,0.182856,0.146217,4500
34,34,8,0.18705,0.215575,7200
35,35,8,0.179537,0.115693,7200
36,36,8,0.184058,0.286033,7200
37,37,3,0.176314,0.306934,2700
38,38,8,0.184996,0.183405,7200
39,39,6,0.217337,0.11174,5400
40,40,11,0.215325,0.250985,9900
41,41,1,0.200826,0.295492,900
42,42,9,0.214862,0.183901,8100
43,43,6,0.217064,0.214288,5400
44,44,6,0.21901,0.151843,5400
45,45,2,0.215172,0.061567,1800
46,46,4,0.218988,0.078035,3600
47,47,11,0.250201,0.220479,9900
48,48,4,0.24081,0.246638,3600
49,49,6,0.250292,0.181133,5400
50,50,6,0.250465,0.118801,5400
51,51,4,0.246599,0.090229,3600
52,52,4,0.256425,0.144427,3600
53,53,4,0.274541,0.116787,3600
54,54,9,0.281198,0.148807,8100
55,55,8,0.285038,0.186232,7200
56,56,1,0.290792,0.202515,900
57,57,5,0.309989,0.179218,4500
58,58,3,0.311932,0.153971,2700
59,59,3,0.344518,0.162548,2700
60,60,4,0.36276,0.188033,3600
61,61,6,0.379536,0.152336,5400
62,62,6,0.377247,0.181625,5400
63,63,7,0.392778,0.118687,6300
64,64,3,0.39252,0.219964,2700
65,65,9,0.412907,0.179419,8100
66,66,5,0.414042,0.117206,4500
67,67,4,0.420301,0.150246,3600
68,68,6,0.418339,0.238168,5400
69,69,7,0.417559,0.217375,6300
70,70,1,0.418116,0.082789,900
71,71,5,0.451419,0.121205,4500
72,72,5,0.445229,0.248546,4500
73,73,2,0.447329,0.205355,1800
74,74,5,0.448798,0.06238,4500
75,75,9,0.450719,0.182408,8100
76,76,4,0.457016,0.281076,3600
77,77,6,0.451598,0.082514,5400
78,78,7,0.454062,0.146057,6300
79,79,10,0.481148,0.183946,9000
80,80,4,0.480186,0.221055,3600
81,81,7,0.486074,0.114838,6300
82,82,5,0.484259,0.305721,4500
83,83,8,0.483534,0.087688,7200
84,84,3,0.484022,0.277417,2700
85,85,5,0.486977,0.146748,4500
86,86,8,0.480396,0.045048,7200
87,87,4,0.487094,0.252766,3600
88,88,5,0.494263,0.017147,4500
89,89,5,0.519468,0.109557,4500
90,90,14,0.5153,0.053259,12600
91,91,5,0.511416,0.255659,4500
92,92,4,0.516562,0.022882,3600
93,93,9,0.516245,0.079897,8100
94,94,8,0.519782,0.154829,7200
95,95,8,0.518182,0.281426,7200
96,96,5,0.518204,0.1859,4500
97,97,6,0.51298,0.218285,5400
98,98,2,0.517768,0.311302,1800
99,99,5,0.540553,0.182237,4500
100,100,6,0.548126,0.214387,5400
101,101,6,0.543007,0.275873,5400
102,102,7,0.552652,0.080651,6300
103,103,8,0.551881,0.115431,7200
104,104,7,0.554302,0.242488,6300
105,105,4,0.546125,0.057064,3600
106,106,4,0.555756,0.155448,3600
107,107,11,0.581007,0.213045,9900
108,108,5,0.580156,0.182014,4500
109,109,6,0.586719,0.148054,5400
110,110,6,0.585159,0.114636,5400
111,111,3,0.579888,0.24274,2700
112,112,3,0.580059,0.095808,2700
113,113,4,0.612556,0.122087,3600
114,114,9,0.611639,0.186127,8100
115,115,4,0.611462,0.212841,3600
116,116,2,0.623683,0.141045,1800
117,117,3,0.646008,0.183509,2700
118,118,2,0.646891,0.163905,1800
119,119,3,0.68583,0.182585,2700
120,120,2,0.694738,0.149762,1800
121,121,5,0.719456,0.148042,4500
122,122,8,0.720725,0.179703,7200
123,123,4,0.716067,0.124841,3600
124,124,3,0.713124,0.20695,2700
125,125,7,0.7465,0.182299,6300
126,126,10,0.747853,0.211712,9000
127,127,7,0.745372,0.149319,6300
128,128,4,0.750598,0.119025,3600
129,129,5,0.761265,0.255624,4500
130,130,1,0.764068,0.075114,900
131,131,11,0.785147,0.081056,9900
132,132,7,0.788824,0.056115,6300
133,133,6,0.789669,0.180635,5400
134,134,4,0.785313,0.249574,3600
135,135,3,0.778236,0.141646,2700
136,136,6,0.78449,0.222929,5400
137,137,3,0.789991,0.118688,2700
138,138,2,0.787114,0.272517,1800
139,139,7,0.816567,0.118715,6300
140,140,9,0.817503,0.245112,8100
141,141,9,0.821155,0.217237,8100
142,142,9,0.812388,0.185082,8100
143,143,9,0.819596,0.282037,8100
144,144,5,0.812991,0.144441,4500
145,145,9,0.821572,0.08421,8100
146,146,5,0.819271,0.05083,4500
147,147,2,0.821179,0.020752,1800
148,148,2,0.826917,0.308693,1800
149,149,5,0.848593,0.2245,4500
150,150,5,0.840887,0.153611,4500
151,151,8,0.852006,0.286004,7200
152,152,1,0.834997,0.017441,900
153,153,11,0.845061,0.081714,9900
154,154,4,0.842307,0.308023,3600
155,155,6,0.85722,0.054204,5400
156,156,6,0.848683,0.119977,5400
157,157,5,0.853633,0.247367,4500
158,158,5,0.853712,0.186592,4500
159,159,7,0.879211,0.056717,6300
160,160,6,0.882786,0.11141,5400
161,161,5,0.876566,0.226086,4500
162,162,5,0.875435,0.285816,4500
163,163,8,0.882659,0.185211,7200
164,164,10,0.888181,0.247866,9000
165,165,6,0.887574,0.087265,5400
166,166,3,0.885194,0.147608,2700
167,167,7,0.917981,0.116227,6300
168,168,7,0.914102,0.181763,6300
169,169,2,0.904327,0.077632,1800
170,170,8,0.917642,0.155584,7200
171,171,5,0.913521,0.221448,4500
172,172,4,0.914869,0.245327,3600
173,173,2,0.934913,0.210136,1800
174,174,6,0.950421,0.157861,5400
175,175,10,0.951125,0.17737,9000
176,176,2,0.946063,0.130338,1800
177,177,5,0.975908,0.153325,4500
178,178,2,0.98186,0.169942,1800
179,179,4,0.019612,0.507224,3600
180,180,2,0.020905,0.488391,1800
181,181,6,0.046222,0.514819,5400
182,182,4,0.051277,0.544437,3600
183,183,7,0.05173,0.475673,6300
184,184,1,0.061722,0.442942,900
185,185,4,0.080852,0.517422,3600
186,186,5,0.081508,0.559949,4500
187,187,9,0.083079,0.480842,8100
188,188,9,0.083714,0.442319,8100
189,189,9,0.086657,0.422005,8100
190,190,1,0.096415,0.580423,900
191,191,7,0.117247,0.451228,6300
192,192,5,0.115178,0.51704,4500
193,193,8,0.117998,0.422938,7200
194,194,5,0.112058,0.480695,4500
195,195,7,0.122083,0.551057,6300
196,196,5,0.119051,0.581486,4500
197,197,3,0.120041,0.610997,2700
198,198,2,0.129196,0.386192,1800
199,199,7,0.149114,0.614257,6300
200,200,5,0.142543,0.54571,4500
201,201,12,0.150814,0.581833,10800
202,202,5,0.14647,0.484782,4500
203,203,5,0.149557,0.45635,4500
204,204,8,0.152435,0.379452,7200
205,205,3,0.151782,0.416692,2700
206,206,6,0.154546,0.513275,5400
207,207,2,0.156949,0.647374,1800
208,208,2,0.16245,0.346173,1800
209,209,7,0.181399,0.44646,6300
210,210,8,0.180124,0.587387,7200
211,211,6,0.182833,0.38069,5400
212,212,3,0.182178,0.647871,2700
213,213,5,0.184238,0.607615,4500
214,214,12,0.187839,0.552855,10800
215,215,5,0.182904,0.517963,4500
216,216,5,0.178978,0.356869,4500
217,217,8,0.186667,0.484121,7200
218,218,5,0.189065,0.418276,4500
