time-stamp,epsilon,minPts,clusters,type,FM
20/11/2017 Mon 15:51:00,0.0400,006,7,p,0.98800
20/11/2017 Mon 15:52:09,0.0550,007,7,c,0.93869
20/11/2017 Mon 18:26:44,0.0400,006,7,p,0.98800
20/11/2017 Mon 18:39:12,0.0550,007,7,c,0.93869
20/11/2017 Mon 18:39:38,0.0540,007,10,c,0.89221
20/11/2017 Mon 18:39:51,0.0545,007,9,c,0.90656
20/11/2017 Mon 18:40:05,0.0548,007,8,c,0.99521
20/11/2017 Mon 18:40:57,0.0548,007,8,c,0.99521
20/11/2017 Mon 18:45:47,0.0450,006,6,p,0.93268
20/11/2017 Mon 18:46:05,0.0380,006,7,p,0.98498
20/11/2017 Mon 18:46:27,0.0380,005,5,p,0.86112
20/11/2017 Mon 18:46:36,0.0450,005,5,p,0.86381
20/11/2017 Mon 18:46:43,0.0400,005,5,p,0.86246
20/11/2017 Mon 18:46:51,0.0400,006,7,p,0.98800
20/11/2017 Mon 18:47:05,0.0420,006,6,p,0.93057
20/11/2017 Mon 18:47:11,0.0420,055,0,p,0.46577
20/11/2017 Mon 18:47:21,0.0420,005,5,p,0.86246
20/11/2017 Mon 18:47:27,0.0420,007,7,p,0.98952
20/11/2017 Mon 19:18:09,0.0548,007,8,c,0.99521
21/11/2017 Tue 17:45:32,0.0548,007,8,c,0.99521
21/11/2017 Tue 17:47:07,0.0550,007,7,c,0.93869
21/11/2017 Tue 17:47:36,0.0550,006,7,c,0.93869
21/11/2017 Tue 17:47:51,0.0548,006,8,c,0.99521
21/11/2017 Tue 17:48:03,0.0548,005,8,c,0.99521
21/11/2017 Tue 17:48:20,0.0548,010,8,c,0.98047
21/11/2017 Tue 17:48:38,0.0549,007,7,c,0.93869
21/11/2017 Tue 17:49:07,0.0551,007,7,c,0.93869
21/11/2017 Tue 17:49:19,0.0555,007,7,c,0.93869
21/11/2017 Tue 17:49:31,0.0560,007,7,c,0.93869
21/11/2017 Tue 17:49:46,0.0580,007,6,c,0.93869
21/11/2017 Tue 17:50:28,0.0580,004,6,c,0.93869
21/11/2017 Tue 17:50:38,0.0580,003,6,c,0.93869
21/11/2017 Tue 17:50:52,0.0560,010,7,c,0.98687
21/11/2017 Tue 17:51:20,0.0560,009,7,c,0.98144
21/11/2017 Tue 17:53:39,0.0560,009,7,c,0.98144
25/11/2017 Sat 03:10:47,0.0420,007,7,p,0.98952,0.21317,0.97919
25/11/2017 Sat 03:11:19,0.0560,010,7,c,0.98687,0.21184,0.97394
