id,Label,Number_Points,X,Y
0,0,3,0.528431,0.685965
1,1,1,0.476471,0.696491
2,2,4,0.477206,0.725877
3,3,4,0.478676,0.765789
4,4,5,0.530000,0.729825
5,5,3,0.534314,0.773099
6,6,2,0.472794,0.806140
7,7,3,0.523529,0.812865
8,8,3,0.578431,0.811111
9,9,4,0.579044,0.773246
10,10,2,0.618382,0.817544
11,11,5,0.580000,0.729123
12,12,1,0.577941,0.687719
13,13,3,0.628431,0.727485
14,14,2,0.618382,0.767544
15,15,1,0.369118,0.952632
16,16,1,0.350000,0.914035
17,17,4,0.316176,0.932895
18,18,1,0.327941,0.957895
19,19,2,0.282353,0.961404
20,20,1,0.311765,0.877193
21,21,3,0.279412,0.925146
22,22,1,0.305882,0.828070
23,23,5,0.270588,0.871579
24,24,5,0.230000,0.920702
25,25,1,0.239706,0.954386
26,26,4,0.181618,0.920614
27,27,2,0.217647,0.868421
28,28,2,0.261765,0.816667
29,29,2,0.274265,0.779825
30,30,3,0.227451,0.821053
31,31,4,0.172059,0.875439
32,32,3,0.135784,0.916374
33,33,5,0.122353,0.875088
34,34,5,0.176176,0.828421
35,35,3,0.234804,0.776608
36,36,3,0.176471,0.779532
37,37,5,0.112353,0.822456
38,38,4,0.079779,0.867105
39,39,3,0.064216,0.824561
40,40,1,0.035294,0.843860
41,41,4,0.128309,0.774561
42,42,4,0.073897,0.773684
43,43,3,0.025980,0.784211
44,44,2,0.030882,0.729825
45,45,4,0.119118,0.719298
46,46,4,0.074265,0.730263
47,47,2,0.041176,0.676316
48,48,3,0.077941,0.664912
49,49,4,0.121691,0.676316
50,50,2,0.116912,0.626316
51,51,3,0.078922,0.623392
52,52,1,0.082353,0.587719
53,53,2,0.125000,0.580702
54,54,5,0.172941,0.678246
55,55,3,0.169608,0.624561
56,56,5,0.170882,0.573684
57,57,4,0.228676,0.571491
58,58,1,0.217647,0.535088
59,59,5,0.175588,0.728421
60,60,5,0.225882,0.728772
61,61,3,0.268137,0.725146
62,62,4,0.225735,0.673684
63,63,5,0.221176,0.624912
64,64,2,0.293382,0.685088
65,65,3,0.275980,0.632164
66,66,4,0.275000,0.563596
67,67,1,0.316176,0.584211
68,68,3,0.315196,0.623392
69,69,1,0.358824,0.585965
70,70,1,0.367647,0.549123
71,71,2,0.318382,0.538596
72,72,1,0.269118,0.522807
73,73,3,0.920098,0.084795
74,74,2,0.868382,0.081579
75,75,3,0.826961,0.120468
76,76,3,0.833333,0.167251
77,77,1,0.794118,0.182456
78,78,2,0.788235,0.220175
79,79,2,0.817647,0.216667
80,80,3,0.871569,0.176023
81,81,4,0.871691,0.117982
82,82,4,0.916544,0.120614
83,83,1,0.954412,0.091228
84,84,2,0.968382,0.132456
85,85,2,0.977941,0.176316
86,86,5,0.918529,0.175088
87,87,4,0.873529,0.230702
88,88,6,0.820588,0.274269
89,89,2,0.787500,0.278947
90,90,3,0.876961,0.271930
91,91,3,0.927941,0.215789
92,92,4,0.962868,0.220175
93,93,5,0.973235,0.275088
94,94,4,0.926838,0.276754
95,95,4,0.871324,0.325000
96,96,5,0.824412,0.330526
97,97,4,0.820588,0.371930
98,98,5,0.871765,0.375789
99,99,5,0.878235,0.418246
100,100,5,0.930588,0.372281
101,101,3,0.925980,0.321053
102,102,1,0.957353,0.324561
103,103,1,0.964706,0.352632
104,104,1,0.913235,0.405263
105,105,2,0.213971,0.325439
106,106,3,0.225980,0.271930
107,107,4,0.271691,0.314035
108,108,6,0.282108,0.275731
109,109,1,0.291176,0.357895
110,110,5,0.327647,0.324211
111,111,3,0.331863,0.368421
112,112,1,0.411765,0.400000
113,113,3,0.381373,0.371930
114,114,4,0.422059,0.369298
115,115,6,0.373039,0.316374
116,116,3,0.232843,0.229240
117,117,3,0.227941,0.175439
118,118,4,0.272426,0.220614
119,119,6,0.276471,0.176023
120,120,5,0.317059,0.223860
121,121,4,0.331985,0.267982
122,122,7,0.377521,0.271429
123,123,3,0.366176,0.225146
124,124,4,0.326471,0.176316
