X,Y,Cl
0.538235,0.677193,1
0.504412,0.680702,1
0.476471,0.696491,1
0.473529,0.714035,1
0.454412,0.747368,1
0.463235,0.752632,1
0.482353,0.754386,1
0.486765,0.728070,1
0.494118,0.714035,1
0.514706,0.714035,1
0.542647,0.700000,1
0.550000,0.715789,1
0.541176,0.729825,1
0.529412,0.740351,1
0.533824,0.752632,1
0.514706,0.749123,1
0.492647,0.777193,1
0.476471,0.778947,1
0.454412,0.801754,1
0.519118,0.784211,1
0.519118,0.800000,1
0.491176,0.810526,1
0.504412,0.826316,1
0.563235,0.828070,1
0.547059,0.812281,1
0.550000,0.782456,1
0.555882,0.777193,1
0.575000,0.771930,1
0.575000,0.800000,1
0.597059,0.805263,1
0.625000,0.801754,1
0.611765,0.833333,1
0.600000,0.782456,1
0.585294,0.761404,1
0.567647,0.747368,1
0.564706,0.733333,1
0.591176,0.708772,1
0.583824,0.715789,1
0.577941,0.687719,1
0.592647,0.740351,1
0.620588,0.715789,1
0.638235,0.726316,1
0.626471,0.740351,1
0.622059,0.764912,1
0.614706,0.770175,1
0.369118,0.952632,2
0.350000,0.914035,2
0.336765,0.942105,2
0.327941,0.957895,2
0.316176,0.931579,2
0.304412,0.945614,2
0.294118,0.970175,2
0.307353,0.912281,2
0.311765,0.877193,2
0.288235,0.907018,2
0.276471,0.924561,2
0.273529,0.943860,2
0.270588,0.952632,2
0.305882,0.828070,2
0.292647,0.857895,2
0.291176,0.877193,2
0.260294,0.894737,2
0.245588,0.929825,2
0.239706,0.954386,2
0.242647,0.908772,2
0.227941,0.919298,2
0.220588,0.942105,2
0.195588,0.945614,2
0.213235,0.903509,2
0.227941,0.878947,2
0.255882,0.871930,2
0.252941,0.856140,2
0.261765,0.826316,2
0.282353,0.791228,2
0.261765,0.807018,2
0.238235,0.831579,2
0.222059,0.829825,2
0.207353,0.857895,2
0.186765,0.880702,2
0.185294,0.903509,2
0.182353,0.922807,2
0.132353,0.938596,2
0.163235,0.910526,2
0.161765,0.896491,2
0.148529,0.901754,2
0.142647,0.887719,2
0.126471,0.908772,2
0.111765,0.889474,2
0.117647,0.877193,2
0.133824,0.870175,2
0.163235,0.870175,2
0.176471,0.854386,2
0.164706,0.847368,2
0.188235,0.843860,2
0.160294,0.826316,2
0.172059,0.810526,2
0.195588,0.814035,2
0.222059,0.801754,2
0.236765,0.785965,2
0.222059,0.773684,2
0.189706,0.766667,2
0.182353,0.785965,2
0.157353,0.785965,2
0.127941,0.815789,2
0.129412,0.840351,2
0.105882,0.850877,2
0.091176,0.859649,2
0.082353,0.892982,2
0.077941,0.852632,2
0.067647,0.863158,2
0.100000,0.838596,2
0.070588,0.833333,2
0.069118,0.814035,2
0.052941,0.826316,2
0.035294,0.843860,2
0.100000,0.817544,2
0.104412,0.800000,2
0.129412,0.798246,2
0.072059,0.796491,2
0.038235,0.789474,2
0.029412,0.798246,2
0.010294,0.764912,2
0.054412,0.756140,2
0.038235,0.745614,2
0.083824,0.768421,2
0.085294,0.773684,2
0.133824,0.778947,2
0.113235,0.763158,2
0.136765,0.757895,2
0.116176,0.738596,2
0.091176,0.740351,2
0.073529,0.740351,2
0.050000,0.722807,2
0.023529,0.714035,2
0.048529,0.691228,2
0.033824,0.661404,2
0.067647,0.663158,2
0.076471,0.675439,2
0.082353,0.717544,2
0.100000,0.717544,2
0.104412,0.689474,2
0.130882,0.717544,2
0.129412,0.703509,2
0.139706,0.691228,2
0.136765,0.671930,2
0.116176,0.642105,2
0.105882,0.652632,2
0.089706,0.656140,2
0.070588,0.636842,2
0.069118,0.615789,2
0.082353,0.587719,2
0.097059,0.617544,2
0.117647,0.610526,2
0.122059,0.575439,2
0.127941,0.585965,2
0.152941,0.650877,2
0.155882,0.629825,2
0.155882,0.596491,2
0.169118,0.607018,2
0.177941,0.585965,2
0.186765,0.568421,2
0.173529,0.566667,2
0.160294,0.550877,2
0.207353,0.550877,2
0.217647,0.535088,2
0.164706,0.680702,2
0.166176,0.694737,2
0.166176,0.715789,2
0.166176,0.736842,2
0.175000,0.747368,2
0.204412,0.742105,2
0.175000,0.726316,2
0.195588,0.715789,2
0.222059,0.729825,2
0.232353,0.749123,2
0.245588,0.770175,2
0.266176,0.768421,2
0.273529,0.745614,2
0.255882,0.724561,2
0.239706,0.721053,2
0.230882,0.701754,2
0.230882,0.685965,2
0.194118,0.694737,2
0.201471,0.673684,2
0.186765,0.670175,2
0.183824,0.636842,2
0.204412,0.642105,2
0.226471,0.661404,2
0.244118,0.673684,2
