id,Label,Number_Points,Coord-0,Coord-1,X,Y
0,0,2,5,10,0.377857,0.745714
1,1,10,4,10,0.319571,0.750143
2,2,4,4,9,0.320357,0.686071
3,3,8,3,10,0.252679,0.738750
4,4,9,3,9,0.257778,0.670952
5,5,3,4,8,0.294762,0.611429
6,6,11,2,9,0.182727,0.677662
7,7,7,2,10,0.181224,0.728163
8,8,12,1,9,0.113333,0.678929
9,9,9,3,8,0.253175,0.600794
10,10,9,2,8,0.184603,0.608571
11,11,1,0,9,0.062857,0.672857
12,12,10,1,8,0.110571,0.604571
13,13,4,0,8,0.056786,0.616429
14,14,2,0,7,0.056429,0.545714
15,15,10,1,7,0.112286,0.534714
16,16,10,2,7,0.179857,0.542143
17,17,4,1,6,0.117500,0.480714
18,18,9,2,6,0.182857,0.462222
19,19,8,3,6,0.252500,0.461786
20,20,1,3,5,0.240000,0.421429
21,21,10,3,7,0.245000,0.534714
22,22,5,4,7,0.314857,0.533143
23,23,8,4,6,0.316429,0.460536
24,24,2,5,6,0.381429,0.447857
25,25,2,4,5,0.312857,0.414286
26,26,8,2,4,0.174643,0.310536
27,27,1,3,4,0.220000,0.288571
28,28,6,1,4,0.122381,0.307857
29,29,9,1,3,0.116667,0.259841
30,30,10,2,3,0.173000,0.257143
31,31,6,3,3,0.260000,0.240000
32,32,7,3,2,0.257959,0.180816
33,33,9,4,3,0.329048,0.248730
34,34,16,5,3,0.392946,0.247143
35,35,1,4,4,0.351429,0.298571
36,36,3,5,4,0.414286,0.301905
37,37,15,4,2,0.323619,0.180476
38,38,8,3,1,0.261429,0.113929
39,39,11,5,2,0.393117,0.173896
40,40,13,4,1,0.323407,0.109011
41,41,2,3,0,0.272857,0.050000
42,42,9,4,0,0.325714,0.042063
43,43,13,5,1,0.391868,0.104066
44,44,13,5,0,0.388681,0.036923
45,45,15,6,1,0.463429,0.101905
46,46,16,6,0,0.464732,0.032946
47,47,11,7,0,0.537273,0.035844
48,48,5,8,0,0.592000,0.053714
49,49,13,7,1,0.535275,0.108022
50,50,13,6,2,0.460549,0.176374
51,51,14,6,3,0.464898,0.247449
52,52,14,7,2,0.538265,0.181939
53,53,13,8,1,0.605604,0.105934
54,54,3,6,4,0.481429,0.294762
55,55,12,7,3,0.536667,0.247738
56,56,12,8,2,0.603452,0.179524
57,57,4,8,3,0.605000,0.232857
58,58,1,9,2,0.652857,0.170000
59,59,1,9,1,0.651429,0.125714
60,60,4,12,0,0.899643,0.056786
61,61,2,11,0,0.855714,0.060000
62,62,6,11,1,0.825952,0.113810
63,63,9,11,2,0.823810,0.184127
64,64,1,10,2,0.785714,0.175714
65,65,9,12,1,0.888730,0.102540
66,66,8,13,1,0.955536,0.106964
67,67,2,13,0,0.943571,0.059286
68,68,9,12,2,0.895238,0.176508
69,69,11,11,3,0.826234,0.252727
70,70,11,13,2,0.957143,0.180390
71,71,8,12,3,0.892321,0.248036
72,72,3,11,4,0.834762,0.301905
73,73,10,12,4,0.888571,0.311714
74,74,8,13,3,0.952500,0.252679
75,75,1,13,4,0.941429,0.307143
76,76,6,12,5,0.885476,0.397143
77,77,13,12,6,0.892308,0.463187
78,78,11,11,6,0.828182,0.468182
79,79,11,11,7,0.825455,0.533506
80,80,2,10,7,0.780714,0.545000
81,81,11,12,7,0.899091,0.537662
82,82,11,11,8,0.824805,0.610130
83,83,2,10,8,0.779286,0.605714
84,84,11,12,8,0.894805,0.609091
85,85,3,13,6,0.948095,0.483333
86,86,9,13,7,0.956984,0.535079
87,87,7,13,8,0.956327,0.603673
88,88,5,13,9,0.949429,0.680000
89,89,9,12,9,0.893175,0.675238
90,90,10,11,9,0.818000,0.679857
91,91,3,11,10,0.835714,0.730952
92,92,6,12,10,0.896667,0.729286
93,93,6,7,7,0.537619,0.555952
94,94,2,6,7,0.490000,0.560000
95,95,5,6,8,0.481429,0.610286
96,96,10,7,8,0.537857,0.606286
97,97,3,7,9,0.528095,0.650476
98,98,2,8,9,0.599286,0.662143
99,99,12,8,8,0.607024,0.611310
100,100,4,8,7,0.605000,0.561429
101,101,1,9,8,0.648571,0.577143
102,102,19,1,0,0.108947,0.036842
103,103,11,2,0,0.164286,0.042338
104,104,3,1,1,0.120952,0.082857
105,105,1,2,1,0.148571,0.082857
