id,Label,Number_Points,Coord-0,Coord-1,X,Y
0,0,11,6,8,0.540508,0.715949
1,1,5,5,8,0.477059,0.720000
2,2,6,5,9,0.476716,0.779240
3,3,10,6,9,0.544265,0.793509
4,4,6,7,9,0.607353,0.780994
5,5,1,7,10,0.611765,0.833333
6,6,6,7,8,0.608824,0.724561
7,7,2,4,11,0.352941,0.947368
8,8,1,4,10,0.350000,0.914035
9,9,7,3,11,0.294748,0.946617
10,10,8,3,10,0.282537,0.881798
11,11,5,3,9,0.275588,0.804211
12,12,6,2,11,0.218627,0.935673
13,13,8,2,10,0.203493,0.878947
14,14,10,2,9,0.212647,0.797018
15,15,1,1,11,0.132353,0.938596
16,16,14,1,10,0.132878,0.874937
17,17,11,1,9,0.121123,0.789633
18,18,5,0,10,0.066765,0.857193
19,19,7,0,9,0.046639,0.792231
20,20,7,0,8,0.056092,0.715288
21,21,12,1,8,0.134314,0.708187
22,22,5,0,7,0.064706,0.632982
23,23,9,1,7,0.124346,0.626901
24,24,2,1,6,0.141176,0.563158
25,25,11,2,7,0.212166,0.617225
26,26,5,2,6,0.204412,0.556491
27,27,13,2,8,0.210181,0.710121
28,28,5,3,8,0.278235,0.709123
29,29,7,3,7,0.298529,0.621554
30,30,7,3,6,0.286555,0.550627
31,31,1,4,7,0.358824,0.585965
32,32,1,4,6,0.367647,0.549123
33,33,3,10,0,0.883333,0.077778
34,34,10,10,1,0.876324,0.129825
35,35,3,9,1,0.815686,0.140351
36,36,5,9,2,0.801176,0.211228
37,37,9,10,2,0.875980,0.205653
38,38,9,11,1,0.945261,0.120858
39,39,8,9,3,0.807904,0.280044
40,40,9,10,3,0.876797,0.293957
41,41,9,11,2,0.951471,0.211891
42,42,11,11,3,0.953610,0.286443
43,43,6,9,4,0.818137,0.362281
44,44,13,10,4,0.874887,0.377733
45,45,5,11,4,0.940882,0.365263
46,46,5,10,5,0.886176,0.462105
47,47,7,2,3,0.209874,0.301754
48,48,15,3,3,0.293431,0.287602
49,49,4,3,4,0.315074,0.359649
50,50,9,4,4,0.379739,0.365302
51,51,16,4,3,0.376287,0.290022
52,52,5,2,2,0.230588,0.212281
53,53,15,3,2,0.294412,0.207719
54,54,12,4,2,0.377328,0.205994
55,55,13,3,1,0.293891,0.127665
56,56,4,2,1,0.236029,0.127193
57,57,6,3,0,0.294118,0.061404
58,58,16,4,1,0.375551,0.124013
59,59,11,4,0,0.372995,0.049761
60,60,16,5,1,0.457169,0.122259
61,61,13,5,0,0.459050,0.043185
62,62,8,6,0,0.537132,0.059868
63,63,13,5,2,0.453846,0.210526
64,64,13,6,1,0.539253,0.126586
65,65,12,5,3,0.453554,0.293275
66,66,14,6,2,0.542332,0.201504
67,67,2,7,0,0.589706,0.072807
68,68,7,7,1,0.604202,0.129825
69,69,9,5,4,0.457353,0.360429
70,70,17,6,3,0.537630,0.283798
71,71,4,6,4,0.527574,0.346930
72,72,9,7,2,0.613562,0.208577
73,73,5,7,3,0.603824,0.287719
74,74,6,0,0,0.064461,0.052632
75,75,15,1,0,0.119804,0.052047
76,76,5,0,1,0.070588,0.099649
77,77,8,1,1,0.122610,0.105044
78,78,9,10,6,0.872222,0.549708
79,79,3,9,6,0.819608,0.572515
80,80,8,9,7,0.804779,0.633991
81,81,8,9,8,0.797610,0.711842
82,82,15,10,7,0.875000,0.624327
83,83,2,11,6,0.919853,0.568421
84,84,10,10,8,0.869412,0.707018
85,85,8,9,9,0.801103,0.791009
86,86,11,10,9,0.868984,0.791866
87,87,6,11,7,0.946569,0.627778
88,88,11,11,8,0.947193,0.696810
89,89,10,11,9,0.942647,0.782807
90,90,5,11,10,0.942059,0.858947
91,91,7,9,10,0.807143,0.865414
92,92,10,10,10,0.880000,0.882807
93,93,1,9,11,0.830882,0.924561
94,94,2,10,11,0.861029,0.928947
95,95,1,11,11,0.917647,0.928070
96,96,2,1,5,0.123529,0.423684
97,97,4,2,4,0.179044,0.382018
98,98,15,1,4,0.125098,0.372749
99,99,4,0,4,0.069485,0.371491
100,100,7,1,3,0.114496,0.314536
