id,Label,Number_Points,Coord-0,Coord-1,X,Y
0,0,2,16,20,0.540441,0.688596
1,1,1,15,20,0.504412,0.680702
2,2,1,14,20,0.476471,0.696491
3,3,3,14,21,0.484804,0.718713
4,4,2,13,22,0.458824,0.750000
5,5,1,14,22,0.482353,0.754386
6,6,1,15,21,0.514706,0.714035
7,7,3,16,21,0.551961,0.726316
8,8,2,15,22,0.522059,0.744737
9,9,1,16,22,0.533824,0.752632
10,10,2,14,23,0.484559,0.778070
11,11,1,13,24,0.454412,0.801754
12,12,1,15,23,0.519118,0.784211
13,13,2,15,24,0.511765,0.813158
14,14,1,14,24,0.491176,0.810526
15,15,2,16,24,0.555147,0.820175
16,16,2,16,23,0.552941,0.779825
17,17,2,17,23,0.587500,0.777193
18,18,2,17,24,0.586029,0.802632
19,19,1,18,24,0.625000,0.801754
20,20,1,18,25,0.611765,0.833333
21,21,3,17,22,0.581863,0.749708
22,22,2,17,21,0.587500,0.712281
23,23,1,17,20,0.577941,0.687719
24,24,1,18,21,0.620588,0.715789
25,25,1,19,21,0.638235,0.726316
26,26,2,18,22,0.624265,0.752632
27,27,1,18,23,0.614706,0.770175
28,28,1,11,28,0.369118,0.952632
29,29,1,10,27,0.350000,0.914035
30,30,1,10,28,0.336765,0.942105
31,31,2,9,28,0.316176,0.951754
32,32,2,9,27,0.311765,0.921930
33,33,1,8,29,0.294118,0.970175
34,34,1,9,26,0.311765,0.877193
35,35,2,8,27,0.282353,0.915789
36,36,2,8,28,0.272059,0.948246
37,37,1,9,24,0.305882,0.828070
38,38,1,8,25,0.292647,0.857895
39,39,1,8,26,0.291176,0.877193
40,40,2,7,26,0.258088,0.883333
41,41,2,7,27,0.244118,0.919298
42,42,1,7,28,0.239706,0.954386
43,43,2,6,27,0.220588,0.911404
44,44,1,6,28,0.220588,0.942105
45,45,1,5,28,0.195588,0.945614
46,46,1,6,26,0.227941,0.878947
47,47,1,7,25,0.252941,0.856140
48,48,3,7,24,0.253922,0.821637
49,49,1,8,23,0.282353,0.791228
50,50,2,6,24,0.222059,0.815789
51,51,1,6,25,0.207353,0.857895
52,52,1,5,26,0.186765,0.880702
53,53,2,5,27,0.183824,0.913158
54,54,1,3,28,0.132353,0.938596
55,55,2,4,27,0.155882,0.906140
56,56,4,4,26,0.150368,0.881140
57,57,1,3,27,0.126471,0.908772
58,58,2,3,26,0.114706,0.883333
59,59,2,5,25,0.182353,0.849123
60,60,1,4,25,0.164706,0.847368
61,61,1,4,24,0.160294,0.826316
62,62,2,5,24,0.183824,0.812281
63,63,3,7,23,0.249510,0.774854
64,64,1,6,23,0.222059,0.773684
65,65,2,5,23,0.186029,0.776316
66,66,2,4,23,0.145588,0.782456
67,67,3,3,24,0.110784,0.811111
68,68,3,3,25,0.111765,0.843275
69,69,4,2,25,0.076838,0.852193
70,70,1,2,26,0.082353,0.892982
71,71,1,2,24,0.069118,0.814035
72,72,1,1,24,0.052941,0.826316
73,73,1,1,25,0.035294,0.843860
74,74,1,3,23,0.129412,0.798246
75,75,3,2,23,0.080392,0.779532
76,76,1,1,23,0.038235,0.789474
77,77,1,0,23,0.029412,0.798246
78,78,1,0,22,0.010294,0.764912
79,79,2,1,22,0.046324,0.750877
80,80,2,3,22,0.114706,0.750877
81,81,2,4,22,0.151471,0.747368
82,82,2,2,22,0.082353,0.740351
83,83,1,1,21,0.050000,0.722807
84,84,1,0,21,0.023529,0.714035
85,85,1,1,20,0.048529,0.691228
86,86,1,1,19,0.033824,0.661404
87,87,3,2,19,0.075980,0.652047
88,88,1,2,20,0.076471,0.675439
89,89,1,2,21,0.082353,0.717544
90,90,3,3,21,0.120098,0.712865
91,91,1,3,20,0.104412,0.689474
92,92,4,4,20,0.151838,0.684649
93,93,2,3,19,0.111029,0.647368
94,94,2,2,18,0.083088,0.616667
95,95,1,2,17,0.082353,0.587719
96,96,1,3,18,0.117647,0.610526
97,97,2,3,17,0.125000,0.580702
98,98,1,4,19,0.152941,0.650877
99,99,1,4,18,0.155882,0.629825
100,100,1,4,17,0.155882,0.596491
101,101,1,5,18,0.169118,0.607018
102,102,2,5,17,0.182353,0.577193
103,103,1,5,16,0.173529,0.566667
104,104,1,4,16,0.160294,0.550877
105,105,2,6,16,0.212500,0.542982
106,106,1,4,21,0.166176,0.715789
107,107,1,5,22,0.175000,0.747368
108,108,2,6,22,0.218382,0.745614
109,109,2,5,21,0.185294,0.721053
110,110,2,6,21,0.226471,0.715789
111,111,1,8,22,0.273529,0.745614
112,112,2,7,21,0.247794,0.722807
113,113,2,6,20,0.216176,0.679825
114,114,2,5,20,0.190441,0.682456
115,115,1,5,19,0.183824,0.636842
116,116,2,6,19,0.215441,0.651754
117,117,1,7,20,0.244118,0.673684
118,118,1,8,21,0.275000,0.705263
119,119,2,8,20,0.293382,0.685088
120,120,2,7,19,0.250000,0.646491
121,121,2,6,18,0.209559,0.607895
122,122,1,6,17,0.223529,0.584211
123,123,1,7,17,0.247059,0.589474
124,124,1,7,18,0.247059,0.622807
125,125,1,8,18,0.275000,0.607018
126,126,1,8,19,0.288235,0.640351
127,127,1,8,17,0.269118,0.582456
128,128,2,7,16,0.250000,0.557018
129,129,2,8,16,0.283824,0.559649
130,130,1,9,17,0.316176,0.584211
131,131,2,9,18,0.311029,0.612281
132,132,1,9,19,0.323529,0.645614
133,133,1,10,17,0.358824,0.585965
134,134,1,11,16,0.367647,0.549123
135,135,1,9,16,0.320588,0.547368
136,136,1,9,15,0.316176,0.529825
137,137,1,8,15,0.269118,0.522807
138,138,3,27,2,0.920098,0.084795
139,139,1,26,2,0.883824,0.082456
140,140,1,25,2,0.852941,0.080702
141,141,2,25,3,0.852206,0.114035
142,142,1,24,3,0.825000,0.114035
143,143,2,24,4,0.811029,0.153509
144,144,1,23,5,0.794118,0.182456
145,145,1,23,6,0.797059,0.207018
146,146,2,23,7,0.784559,0.248246
147,147,2,24,6,0.817647,0.216667
148,148,2,25,5,0.850735,0.178947
149,149,1,25,4,0.845588,0.156140
150,150,1,26,4,0.876471,0.157895
151,151,3,26,3,0.877451,0.115205
152,152,2,27,3,0.913971,0.116667
153,153,2,27,4,0.901471,0.150877
154,154,1,28,3,0.938235,0.110526
155,155,1,28,2,0.954412,0.091228
156,156,1,29,3,0.979412,0.129825
157,157,2,28,4,0.946324,0.143860
158,158,1,29,4,0.969118,0.159649
159,159,2,27,5,0.906618,0.186842
160,160,1,26,5,0.875000,0.196491
161,161,1,25,6,0.861765,0.215789
162,162,1,26,6,0.882353,0.224561
163,163,2,25,7,0.858824,0.244737
164,164,2,24,7,0.816176,0.254386
165,165,3,24,8,0.814706,0.285965
166,166,1,23,8,0.785294,0.294737
167,167,1,25,8,0.847059,0.278947
168,168,1,26,7,0.898529,0.249123
169,169,3,27,6,0.927941,0.215789
170,170,1,28,5,0.941176,0.185965
171,171,2,28,6,0.953676,0.217544
172,172,1,29,6,0.973529,0.210526
173,173,1,29,5,0.986765,0.192982
174,174,3,29,7,0.979902,0.250877
175,175,1,28,7,0.955882,0.266667
176,176,1,27,7,0.927941,0.257895
177,177,2,28,8,0.954412,0.285088
178,178,2,27,8,0.915441,0.285965
179,179,2,26,8,0.882353,0.279825
180,180,2,25,9,0.851471,0.311404
181,181,1,26,9,0.891176,0.308772
182,182,1,24,9,0.811765,0.315789
183,183,3,24,10,0.813725,0.347368
184,184,3,24,11,0.822549,0.377193
185,185,2,25,10,0.847059,0.340351
186,186,2,26,10,0.876471,0.348246
187,187,2,25,11,0.857353,0.377193
188,188,1,25,12,0.851471,0.401754
189,189,3,26,12,0.883824,0.415205
190,190,2,26,11,0.886029,0.383333
191,191,2,27,10,0.926471,0.359649
192,192,2,27,9,0.921324,0.330702
193,193,2,28,9,0.946324,0.313158
194,194,1,29,8,0.980882,0.298246
195,195,2,28,10,0.955882,0.356140
196,196,1,28,11,0.939706,0.394737
197,197,1,27,11,0.913235,0.387719
198,198,1,27,12,0.913235,0.405263
199,199,2,26,13,0.888971,0.453509
200,200,2,6,9,0.213971,0.325439
201,201,1,6,8,0.232353,0.298246
202,202,2,7,9,0.254412,0.316667
203,203,1,6,7,0.208824,0.250877
204,204,3,7,7,0.244608,0.257310
205,205,1,7,8,0.260294,0.291228
206,206,2,8,9,0.288971,0.311404
207,207,1,8,10,0.291176,0.357895
208,208,2,9,10,0.318382,0.348246
209,209,2,10,10,0.342647,0.353509
210,210,1,9,11,0.332353,0.384211
211,211,1,12,12,0.411765,0.400000
212,212,2,11,11,0.377206,0.378947
213,213,1,12,11,0.402941,0.375439
214,214,2,11,10,0.379412,0.348246
215,215,4,10,9,0.355882,0.312719
216,216,2,9,9,0.321324,0.307018
217,217,3,8,8,0.292157,0.280117
218,218,1,6,6,0.216176,0.217544
219,219,1,6,5,0.208824,0.184211
220,220,2,7,6,0.247059,0.218421
221,221,2,8,7,0.286029,0.252632
222,222,3,7,5,0.253431,0.180702
223,223,2,8,5,0.286029,0.193860
224,224,2,8,6,0.282353,0.214035
225,225,3,9,6,0.316667,0.215205
226,226,4,9,7,0.320588,0.247368
227,227,1,9,8,0.332353,0.273684
228,228,3,10,8,0.357353,0.281287
229,229,2,11,9,0.391176,0.316667
230,230,2,12,10,0.416176,0.347368
231,231,1,10,7,0.360294,0.250877
232,232,3,11,7,0.382353,0.249708
233,233,1,10,6,0.354412,0.221053
234,234,2,9,5,0.327206,0.186842
235,235,4,8,4,0.282353,0.150000
236,236,1,6,4,0.229412,0.152632
237,237,1,6,3,0.223529,0.124561
238,238,1,7,4,0.245588,0.142105
239,239,1,9,4,0.313235,0.154386
240,240,2,9,3,0.320588,0.127193
241,241,2,8,3,0.288971,0.122807
242,242,1,7,3,0.250000,0.114035
243,243,2,7,2,0.251471,0.078947
244,244,2,8,2,0.280147,0.088596
245,245,3,9,2,0.315686,0.088889
246,246,1,8,1,0.286765,0.052632
247,247,2,9,1,0.311029,0.047368
248,248,2,10,3,0.343382,0.114912
249,249,3,10,4,0.351471,0.148538
250,250,2,10,5,0.347794,0.186842
251,251,1,10,0,0.336765,0.031579
252,252,3,10,1,0.351471,0.054386
253,253,2,10,2,0.352206,0.080702
254,254,2,11,0,0.385294,0.021053
255,255,1,11,1,0.380882,0.045614
256,256,3,11,2,0.387745,0.084795
257,257,3,11,3,0.375980,0.115205
258,258,3,11,5,0.371569,0.184211
259,259,2,11,4,0.390441,0.144737
260,260,3,12,3,0.414706,0.118713
261,261,3,12,2,0.421078,0.089474
262,262,2,12,1,0.410294,0.050000
263,263,1,12,0,0.417647,0.019298
264,264,1,13,0,0.445588,0.015789
265,265,3,13,1,0.451471,0.049123
266,266,3,13,2,0.457353,0.078947
267,267,3,14,1,0.483824,0.047368
268,268,2,14,0,0.483824,0.020175
269,269,2,15,1,0.512500,0.056140
270,270,1,14,2,0.483824,0.084211
271,271,3,13,3,0.458824,0.116959
272,272,2,14,3,0.483088,0.115789
273,273,3,13,4,0.450980,0.147953
274,274,2,12,4,0.422059,0.153509
275,275,3,12,5,0.418137,0.185965
276,276,1,11,6,0.375000,0.219298
277,277,2,12,6,0.401471,0.216667
278,278,3,15,2,0.519118,0.085380
279,279,3,16,1,0.548039,0.049708
280,280,3,16,2,0.556863,0.083041
281,281,2,15,3,0.522059,0.120175
282,282,2,14,4,0.486765,0.148246
283,283,2,15,4,0.513971,0.147368
284,284,1,13,5,0.454412,0.178947
285,285,4,13,6,0.451103,0.214912
286,286,3,12,7,0.418627,0.249708
287,287,2,11,8,0.390441,0.286842
288,288,2,12,8,0.424265,0.289474
289,289,3,13,8,0.452451,0.284795
290,290,3,13,7,0.457353,0.250877
291,291,2,14,6,0.488235,0.212281
292,292,1,14,5,0.477941,0.178947
293,293,4,15,5,0.513603,0.184211
294,294,3,16,4,0.550980,0.153801
295,295,2,16,3,0.555882,0.123684
296,296,1,17,1,0.589706,0.064912
297,297,1,17,2,0.589706,0.080702
298,298,3,17,3,0.585784,0.116374
299,299,2,18,3,0.612500,0.115789
300,300,1,17,4,0.588235,0.149123
301,301,2,15,6,0.527206,0.221930
302,302,3,15,7,0.512745,0.247953
303,303,1,14,7,0.485294,0.250877
304,304,2,12,9,0.416176,0.319298
305,305,2,13,9,0.448529,0.319298
306,306,2,13,10,0.441912,0.350877
307,307,2,13,11,0.445588,0.377193
308,308,2,14,10,0.477941,0.345614
309,309,1,14,9,0.483824,0.317544
310,310,1,14,8,0.482353,0.285965
311,311,3,15,8,0.510294,0.287135
312,312,3,15,9,0.516667,0.310526
313,313,2,14,11,0.478676,0.376316
314,314,2,15,10,0.509559,0.346491
315,315,2,16,10,0.545588,0.347368
316,316,2,16,9,0.551471,0.311404
317,317,2,16,8,0.541912,0.275439
318,318,3,16,7,0.554902,0.246199
319,319,1,16,6,0.557353,0.212281
320,320,1,16,5,0.558824,0.184211
321,321,3,17,5,0.580392,0.183041
322,322,2,17,6,0.581618,0.214912
323,323,1,17,7,0.585294,0.243860
324,324,3,17,8,0.582353,0.279532
325,325,2,17,9,0.580147,0.314912
326,326,1,18,8,0.616176,0.291228
327,327,3,18,7,0.613725,0.253801
328,328,1,19,6,0.642647,0.226316
329,329,2,18,6,0.608088,0.214035
330,330,2,18,5,0.611765,0.182456
331,331,2,18,4,0.616176,0.146491
332,332,1,19,5,0.641176,0.171930
333,333,1,1,0,0.064706,0.022807
334,334,2,2,0,0.091912,0.023684
335,335,1,3,0,0.110294,0.028070
336,336,3,2,1,0.086275,0.051462
337,337,2,1,1,0.054412,0.057018
338,338,3,1,2,0.060784,0.085965
339,339,3,2,2,0.085294,0.084211
340,340,1,4,0,0.136765,0.022807
341,341,2,3,1,0.116912,0.051754
342,342,4,3,2,0.115809,0.080702
343,343,2,2,3,0.075735,0.110526
344,344,3,3,3,0.112255,0.119883
345,345,1,4,3,0.142647,0.105263
346,346,3,4,2,0.145588,0.084211
347,347,3,4,1,0.150490,0.056725
348,348,2,26,14,0.881618,0.487719
349,349,1,26,15,0.870588,0.514035
350,350,3,25,16,0.851961,0.550877
351,351,3,26,16,0.880882,0.553216
352,352,1,24,16,0.823529,0.561404
353,353,2,24,17,0.817647,0.578070
354,354,1,23,18,0.795588,0.607018
355,355,3,24,18,0.806863,0.619883
356,356,1,23,19,0.782353,0.643860
357,357,1,23,20,0.769118,0.668421
358,358,3,24,19,0.813235,0.653801
359,359,3,25,19,0.849020,0.646199
360,360,1,25,17,0.838235,0.598246
361,361,2,25,18,0.852941,0.608772
362,362,2,26,17,0.874265,0.584211
363,363,2,27,16,0.911029,0.550000
364,364,2,27,17,0.913971,0.586842
365,365,3,26,18,0.883333,0.613450
366,366,1,26,19,0.876471,0.649123
367,367,2,25,20,0.850735,0.682456
368,368,2,25,21,0.839706,0.715789
369,369,1,24,20,0.813235,0.694737
370,370,2,23,21,0.786029,0.705263
371,371,2,24,21,0.814706,0.720175
372,372,2,24,22,0.812500,0.750000
373,373,2,23,22,0.778676,0.749123
374,374,1,23,23,0.770588,0.784211
375,375,2,24,23,0.819118,0.792105
376,376,2,25,23,0.851471,0.778947
377,377,1,25,22,0.851471,0.759649
378,378,2,26,21,0.879412,0.724561
379,379,1,26,22,0.870588,0.738596
380,380,3,27,21,0.916176,0.715789
381,381,2,26,20,0.891176,0.685088
382,382,3,27,19,0.913725,0.650877
383,383,1,27,18,0.916176,0.624561
384,384,2,28,18,0.944853,0.617544
385,385,1,28,17,0.950000,0.598246
386,386,1,28,19,0.942647,0.649123
387,387,1,29,19,0.969118,0.643860
388,388,1,29,20,0.980882,0.670175
389,389,3,28,20,0.953431,0.683041
390,390,2,27,20,0.924265,0.682456
391,391,2,28,21,0.952206,0.715789
392,392,1,29,21,0.977941,0.717544
393,393,2,28,22,0.961029,0.757018
394,394,1,29,23,0.979412,0.782456
395,395,2,28,23,0.946324,0.782456
396,396,2,27,22,0.912500,0.757895
397,397,1,26,23,0.889706,0.766667
398,398,3,27,23,0.912745,0.788889
399,399,1,28,24,0.952941,0.814035
400,400,3,28,25,0.951961,0.853216
401,401,2,27,24,0.913235,0.820175
402,402,3,25,24,0.845588,0.814035
403,403,1,26,24,0.867647,0.814035
404,404,2,24,24,0.813235,0.812281
405,405,1,23,24,0.788235,0.817544
406,406,2,23,25,0.783824,0.851754
407,407,3,24,25,0.817647,0.854386
408,408,3,25,26,0.852941,0.891228
409,409,2,24,26,0.814706,0.895614
410,410,1,24,27,0.830882,0.924561
411,411,1,25,27,0.848529,0.921053
412,412,1,26,28,0.873529,0.936842
413,413,1,26,27,0.889706,0.914035
414,414,1,25,25,0.863235,0.857895
415,415,1,26,25,0.880882,0.842105
416,416,2,27,25,0.915441,0.853509
417,417,1,26,26,0.883824,0.877193
418,418,2,27,26,0.916176,0.892105
419,419,2,27,27,0.916176,0.917544
420,420,3,4,12,0.142647,0.413450
421,421,1,5,12,0.172059,0.415789
422,422,2,5,11,0.186765,0.382456
423,423,2,3,12,0.108824,0.414912
424,424,3,2,11,0.081373,0.387719
425,425,2,1,10,0.063971,0.355263
426,426,2,2,10,0.087500,0.350000
427,427,2,3,11,0.118382,0.382456
428,428,2,4,11,0.153676,0.378947
429,429,3,4,10,0.143137,0.346784
430,430,2,3,10,0.117647,0.358772
431,431,5,3,9,0.112059,0.315088
432,432,1,2,9,0.085294,0.308772
433,433,1,5,10,0.170588,0.347368
434,434,1,4,9,0.155882,0.317544
435,435,2,5,9,0.181618,0.322807
