X,Y
0.387143,0.761429
0.368571,0.730000
0.355714,0.752857
0.347143,0.765714
0.335714,0.744286
0.324286,0.755714
0.314286,0.775714
0.327143,0.728571
0.331429,0.700000
0.308571,0.724286
0.297143,0.738571
0.294286,0.754286
0.291429,0.761429
0.325714,0.660000
0.312857,0.684286
0.311429,0.700000
0.281429,0.714286
0.267143,0.742857
0.261429,0.762857
0.264286,0.725714
0.250000,0.734286
0.242857,0.752857
0.218571,0.755714
0.235714,0.721429
0.250000,0.701429
0.277143,0.695714
0.274286,0.682857
0.282857,0.658571
0.302857,0.630000
0.282857,0.642857
0.260000,0.662857
0.244286,0.661429
0.230000,0.684286
0.210000,0.702857
0.208571,0.721429
0.205714,0.737143
0.157143,0.750000
0.187143,0.727143
0.185714,0.715714
0.172857,0.720000
0.167143,0.708571
0.151429,0.725714
0.137143,0.710000
0.142857,0.700000
0.158571,0.694286
0.187143,0.694286
0.200000,0.681429
0.188571,0.675714
0.211429,0.672857
0.184286,0.658571
0.195714,0.645714
0.218571,0.648571
0.244286,0.638571
0.258571,0.625714
0.244286,0.615714
0.212857,0.610000
0.205714,0.625714
0.181429,0.625714
0.152857,0.650000
0.154286,0.670000
0.131429,0.678571
0.117143,0.685714
0.108571,0.712857
0.104286,0.680000
0.094286,0.688571
0.125714,0.668571
0.097143,0.664286
0.095714,0.648571
0.080000,0.658571
0.062857,0.672857
0.125714,0.651429
0.130000,0.637143
0.154286,0.635714
0.098571,0.634286
0.065714,0.628571
0.057143,0.635714
0.038571,0.608571
0.081429,0.601429
0.065714,0.592857
0.110000,0.611429
0.111429,0.615714
0.158571,0.620000
0.138571,0.607143
0.161429,0.602857
0.141429,0.587143
0.117143,0.588571
0.100000,0.588571
0.077143,0.574286
0.051429,0.567143
0.075714,0.548571
0.061429,0.524286
0.094286,0.525714
0.102857,0.535714
0.108571,0.570000
0.125714,0.570000
0.130000,0.547143
0.155714,0.570000
0.154286,0.558571
0.164286,0.548571
0.161429,0.532857
0.141429,0.508571
0.131429,0.517143
0.115714,0.520000
0.097143,0.504286
0.095714,0.487143
0.108571,0.464286
0.122857,0.488571
0.142857,0.482857
0.147143,0.454286
0.152857,0.462857
0.177143,0.515714
0.180000,0.498571
0.180000,0.471429
0.192857,0.480000
0.201429,0.462857
0.210000,0.448571
0.197143,0.447143
0.184286,0.434286
0.230000,0.434286
0.240000,0.421429
0.188571,0.540000
0.190000,0.551429
0.190000,0.568571
0.190000,0.585714
0.198571,0.594286
0.227143,0.590000
0.198571,0.577143
0.218571,0.568571
0.244286,0.580000
0.254286,0.595714
0.267143,0.612857
0.287143,0.611429
0.294286,0.592857
0.277143,0.575714
0.261429,0.572857
0.252857,0.557143
0.252857,0.544286
0.217143,0.551429
0.224286,0.534286
0.210000,0.531429
0.207143,0.504286
0.227143,0.508571
0.248571,0.524286
0.265714,0.534286
0.295714,0.560000
0.317143,0.551429
0.310000,0.535714
0.285714,0.514286
0.257143,0.510000
0.238571,0.485714
0.225714,0.475714
0.245714,0.461429
0.268571,0.465714
0.268571,0.492857
0.295714,0.480000
0.308571,0.507143
0.290000,0.460000
0.258571,0.442857
0.284286,0.435714
0.292857,0.442857
0.315714,0.440000
0.335714,0.461429
0.328571,0.475714
0.332857,0.492857
0.342857,0.511429
0.377143,0.462857
0.385714,0.432857
0.340000,0.431429
0.335714,0.417143
0.290000,0.411429
0.165714,0.334286
0.195714,0.324286
0.200000,0.305714
0.220000,0.288571
0.172857,0.311429
0.162857,0.321429
0.137143,0.320000
0.131429,0.327143
0.120000,0.301429
0.097143,0.310000
0.105714,0.292857
0.091429,0.282857
0.090000,0.267143
0.110000,0.262857
0.117143,0.278571
0.142857,0.295714
0.144286,0.298571
0.168571,0.300000
0.187143,0.288571
0.167143,0.281429
0.145714,0.284286
0.140000,0.271429
0.138571,0.254286
0.125714,0.248571
0.111429,0.237143
0.125714,0.235714
0.144286,0.230000
0.152857,0.242857
0.161429,0.260000
0.174286,0.262857
0.194286,0.268571
0.180000,0.244286
0.200000,0.254286
0.210000,0.242857
0.232857,0.257143
0.240000,0.244286
0.254286,0.228571
0.272857,0.234286
0.278571,0.252857
0.231429,0.190000
0.258571,0.202857
0.281429,0.222857
0.310000,0.247143
