id,Label,Number_Points,Coord-0,Coord-1,hour,trip_seconds
0,0,2,8,4,0.347826,0.188206
1,1,4,8,5,0.347826,0.239021
2,2,5,17,0,0.739130,0.012798
3,3,1,13,8,0.565217,0.350063
4,4,3,16,4,0.695652,0.179423
5,5,1,19,0,0.826087,0.041405
6,6,1,19,9,0.826087,0.410289
7,7,1,7,4,0.304348,0.191970
8,8,3,12,3,0.521739,0.139272
9,9,8,18,0,0.782609,0.020703
10,10,1,14,10,0.608696,0.440402
11,11,1,6,8,0.260870,0.335006
12,12,1,13,14,0.565217,0.621079
13,13,9,18,1,0.782609,0.067336
14,14,3,17,3,0.739130,0.144291
15,15,1,17,2,0.739130,0.109159
16,16,8,13,1,0.565217,0.060226
17,17,3,8,3,0.347826,0.149310
18,18,5,9,1,0.391304,0.059473
19,19,1,5,5,0.217391,0.237139
20,20,1,6,10,0.260870,0.447930
21,21,5,15,0,0.652174,0.032371
22,22,2,15,4,0.652174,0.184442
23,23,4,19,1,0.826087,0.052698
24,24,10,14,1,0.608696,0.070013
25,25,6,11,1,0.478261,0.066499
26,26,3,15,1,0.652174,0.061481
27,27,6,14,2,0.608696,0.102886
28,28,6,10,1,0.434783,0.062735
29,29,3,17,4,0.739130,0.189460
30,30,5,13,2,0.565217,0.103137
31,31,2,10,0,0.434783,0.018821
32,32,5,16,2,0.695652,0.101631
33,33,2,12,4,0.521739,0.191970
34,34,2,10,2,0.434783,0.101631
35,35,1,8,2,0.347826,0.109159
36,36,6,9,2,0.391304,0.096612
37,37,2,13,5,0.565217,0.225847
38,38,3,10,5,0.434783,0.229611
39,39,1,7,3,0.304348,0.154329
40,40,1,9,4,0.391304,0.184442
41,41,1,12,5,0.521739,0.244668
42,42,2,9,0,0.391304,0.015056
43,43,1,18,3,0.782609,0.161857
44,44,4,12,0,0.521739,0.028231
45,45,1,14,8,0.608696,0.350063
46,46,5,17,1,0.739130,0.063990
47,47,1,15,8,0.652174,0.365119
48,48,3,12,2,0.521739,0.099122
49,49,1,11,11,0.478261,0.462986
50,50,3,8,0,0.347826,0.023839
51,51,1,10,10,0.434783,0.432873
52,52,2,16,1,0.695652,0.063990
53,53,2,18,2,0.782609,0.105395
54,54,1,19,3,0.826087,0.161857
55,55,1,9,6,0.391304,0.252196
56,56,4,11,0,0.478261,0.035759
57,57,9,12,1,0.521739,0.064826
58,58,1,10,6,0.434783,0.289837
59,59,5,8,1,0.347826,0.063990
60,60,4,14,4,0.608696,0.182560
61,61,1,13,4,0.565217,0.199498
62,62,1,11,6,0.478261,0.274780
63,63,2,16,6,0.695652,0.271016
64,64,1,24,0,1.000000,0.018821
65,65,1,13,10,0.565217,0.425345
66,66,5,16,0,0.695652,0.026349
67,67,2,20,2,0.869565,0.101631
68,68,1,14,0,0.608696,0.041405
69,69,1,9,9,0.391304,0.395232
70,70,2,9,7,0.391304,0.308657
71,71,1,10,3,0.434783,0.139272
72,72,2,20,1,0.869565,0.067754
73,73,1,10,11,0.434783,0.493099
74,74,2,13,0,0.565217,0.030113
75,75,1,15,10,0.652174,0.425345
76,76,1,11,9,0.478261,0.402760
