hour,trip_seconds
0.347826,0.176913
0.347826,0.244668
0.739130,0.003764
0.565217,0.350063
0.695652,0.176913
0.826087,0.041405
0.826087,0.410289
0.304348,0.191970
0.521739,0.139272
0.782609,0.026349
0.695652,0.184442
0.608696,0.440402
0.260870,0.335006
0.565217,0.621079
0.782609,0.048934
0.739130,0.161857
0.739130,0.109159
0.565217,0.056462
0.347826,0.161857
0.391304,0.048934
0.217391,0.237139
0.260870,0.447930
0.565217,0.071518
0.652174,0.033877
0.652174,0.199498
0.826087,0.056462
0.608696,0.071518
0.478261,0.056462
0.652174,0.048934
0.608696,0.094103
0.608696,0.079046
0.434783,0.071518
0.652174,0.033877
0.739130,0.191970
0.565217,0.109159
0.434783,0.056462
0.434783,0.003764
0.695652,0.086575
0.521739,0.191970
0.608696,0.063990
0.347826,0.244668
0.434783,0.033877
0.782609,0.033877
0.434783,0.109159
0.565217,0.071518
0.347826,0.109159
0.391304,0.094103
0.478261,0.071518
0.782609,0.079046
0.391304,0.048934
0.391304,0.079046
0.565217,0.048934
0.739130,0.003764
0.782609,0.003764
0.565217,0.229611
0.434783,0.222083
0.304348,0.154329
0.391304,0.184442
0.739130,0.131744
0.521739,0.244668
0.391304,0.003764
0.782609,0.161857
0.652174,0.026349
0.521739,0.033877
0.608696,0.350063
0.739130,0.071518
0.739130,0.018821
0.521739,0.033877
0.391304,0.086575
0.652174,0.365119
0.521739,0.101631
0.695652,0.109159
0.478261,0.462986
0.347826,0.041405
0.478261,0.063990
0.434783,0.432873
0.521739,0.139272
0.434783,0.229611
0.695652,0.176913
0.695652,0.063990
0.608696,0.094103
0.782609,0.124216
0.826087,0.161857
0.826087,0.048934
0.826087,0.048934
0.391304,0.252196
0.478261,0.033877
0.521739,0.079046
0.521739,0.048934
0.478261,0.071518
0.739130,0.191970
0.434783,0.289837
0.521739,0.003764
0.608696,0.079046
0.608696,0.124216
0.347826,0.063990
0.347826,0.244668
0.347826,0.154329
0.739130,0.184442
0.739130,0.079046
0.521739,0.071518
0.608696,0.184442
0.695652,0.116688
0.565217,0.199498
0.521739,0.071518
0.521739,0.041405
0.478261,0.274780
0.391304,0.056462
0.434783,0.063990
0.782609,0.056462
0.478261,0.041405
0.695652,0.289837
1.000000,0.018821
0.565217,0.425345
0.695652,0.033877
0.869565,0.086575
0.652174,0.063990
0.608696,0.041405
0.608696,0.071518
0.739130,0.048934
0.391304,0.395232
0.782609,0.086575
0.391304,0.312422
0.434783,0.139272
0.608696,0.079046
0.695652,0.026349
0.782609,0.079046
0.347826,0.011292
0.608696,0.109159
0.521739,0.071518
0.869565,0.056462
0.434783,0.493099
0.521739,0.139272
0.565217,0.033877
0.652174,0.169385
0.391304,0.086575
0.826087,0.056462
0.347826,0.222083
0.521739,0.109159
0.347826,0.079046
0.608696,0.086575
