hour,trip_seconds
0.260870,0.056462
0.347826,0.033877
0.260870,0.131744
0.652174,0.124216
0.913043,0.048934
0.347826,0.011292
0.000000,0.154329
0.869565,0.101631
0.521739,0.056462
0.478261,0.041405
0.347826,0.056462
1.000000,0.176913
0.434783,0.116688
0.217391,0.116688
0.695652,0.086575
0.391304,0.018821
0.565217,0.063990
0.695652,0.026349
0.565217,0.101631
0.565217,0.417817
0.608696,0.327478
0.565217,0.139272
0.521739,0.041405
0.913043,0.063990
0.739130,0.086575
0.304348,0.191970
0.521739,0.033877
0.739130,0.154329
0.869565,0.139272
0.304348,0.048934
0.608696,0.011292
0.521739,0.094103
0.652174,0.063990
0.739130,0.063990
0.565217,0.033877
0.608696,0.146801
0.956522,0.063990
0.565217,0.048934
0.608696,0.146801
0.391304,0.079046
0.521739,0.079046
0.913043,0.041405
0.217391,0.312422
0.695652,0.063990
0.652174,0.131744
0.608696,0.139272
0.652174,0.018821
0.913043,0.109159
0.956522,0.003764
0.478261,0.041405
0.652174,0.116688
0.608696,0.048934
0.608696,0.139272
0.347826,0.056462
0.608696,0.033877
0.608696,0.033877
0.869565,0.056462
0.478261,0.079046
0.652174,0.071518
0.043478,0.011292
0.434783,0.071518
0.695652,0.056462
0.956522,0.071518
0.347826,0.207026
0.565217,0.041405
0.608696,0.109159
0.521739,0.056462
0.478261,0.101631
0.869565,0.056462
0.652174,0.011292
0.173913,0.432873
0.565217,0.116688
0.521739,0.169385
0.043478,0.199498
0.565217,0.079046
0.565217,0.094103
0.652174,0.101631
0.695652,0.109159
1.000000,0.056462
0.565217,0.131744
0.652174,0.026349
0.652174,0.101631
0.565217,0.041405
0.521739,0.154329
0.217391,0.101631
0.217391,0.079046
0.869565,0.282309
0.347826,0.304893
0.826087,0.094103
0.304348,0.086575
0.217391,0.086575
0.565217,0.124216
0.608696,0.086575
0.608696,0.033877
0.260870,0.071518
0.434783,0.026349
0.304348,0.139272
0.565217,0.063990
0.608696,0.124216
0.434783,0.063990
0.695652,0.101631
0.608696,0.139272
0.608696,0.350063
0.913043,0.033877
0.565217,0.026349
0.739130,0.086575
0.652174,0.071518
0.695652,0.101631
0.521739,0.116688
0.652174,0.079046
1.000000,0.109159
0.956522,0.033877
0.565217,0.056462
0.565217,0.101631
0.565217,0.139272
0.695652,0.063990
0.173913,0.207026
0.434783,0.124216
0.608696,0.146801
0.434783,0.018821
0.608696,0.131744
0.565217,0.146801
0.913043,0.018821
0.695652,0.094103
0.478261,0.131744
0.608696,0.063990
0.434783,0.380176
0.695652,0.071518
0.565217,0.094103
0.000000,0.026349
0.521739,0.033877
0.434783,0.056462
