Taxi_id,time_stamp,hour,day,month,trip_seconds,trip_miles,trip_total
0d1553,2016-07-22 08:45:00.000000 UTC,8,22,7,1440,0.1,13.25
0d1553,2016-03-28 08:30:00.000000 UTC,8,28,3,1980,1.0,49.0
0d1553,2016-02-29 17:45:00.000000 UTC,17,29,2,60,0.0,56.25
0d1553,2016-03-18 13:15:00.000000 UTC,13,18,3,2820,1.1,47.5
0d1553,2016-01-13 16:30:00.000000 UTC,16,13,1,1440,1.1,49.25
0d1553,2016-05-14 19:15:00.000000 UTC,19,14,5,360,0.1,8.75
0d1553,2016-04-08 19:30:00.000000 UTC,19,8,4,3300,1.9,84.75
0d1553,2016-02-09 07:15:00.000000 UTC,7,9,2,1560,1.0,59.1
0d1553,2016-03-04 12:15:00.000000 UTC,12,4,3,1140,0.2,17.7
0d1553,2016-04-23 18:00:00.000000 UTC,18,23,4,240,0.0,5.75
0d1553,2016-07-05 16:00:00.000000 UTC,16,5,7,1500,1.1,59.7
0d1553,2016-08-11 14:00:00.000000 UTC,14,11,8,3540,1.1,66.85
0d1553,2016-08-20 06:45:00.000000 UTC,6,20,8,2700,1.0,50.4
0d1553,2016-06-02 13:30:00.000000 UTC,13,2,6,4980,1.0,52.25
0d1553,2016-08-12 18:15:00.000000 UTC,18,12,8,420,0.0,7.0
0d1553,2016-06-08 17:45:00.000000 UTC,17,8,6,1320,0.8,57.75
0d1553,2016-08-17 17:30:00.000000 UTC,17,17,8,900,0.1,11.5
0d1553,2016-01-12 13:45:00.000000 UTC,13,12,1,480,0.0,6.25
0d1553,2016-02-01 08:00:00.000000 UTC,8,1,2,1320,0.4,26.75
0d1553,2016-05-05 09:15:00.000000 UTC,9,5,5,420,0.0,6.5
0d1553,2016-06-03 05:45:00.000000 UTC,5,3,6,1920,1.1,49.75
0d1553,2016-04-18 06:00:00.000000 UTC,6,18,4,3600,1.2,55.5
0d1553,2016-04-13 13:00:00.000000 UTC,13,13,4,600,0.0,6.75
0d1553,2016-06-02 15:15:00.000000 UTC,15,2,6,300,0.0,6.75
0d1553,2016-05-15 15:00:00.000000 UTC,15,15,5,1620,0.9,51.6
0d1553,2016-04-02 19:00:00.000000 UTC,19,2,4,480,0.0,9.75
0d1553,2016-04-20 14:45:00.000000 UTC,14,20,4,600,0.1,8.0
0d1553,2016-08-13 11:30:00.000000 UTC,11,13,8,480,0.0,6.75
0d1553,2016-08-23 15:30:00.000000 UTC,15,23,8,420,0.0,8.5
0d1553,2016-06-17 14:45:00.000000 UTC,14,17,6,780,0.1,8.75
0d1553,2016-03-25 14:00:00.000000 UTC,14,25,3,660,0.1,12.0
0d1553,2016-06-03 10:30:00.000000 UTC,10,3,6,600,0.0,10.25
0d1553,2016-02-29 15:00:00.000000 UTC,15,29,2,300,0.0,5.75
0d1553,2016-01-29 17:45:00.000000 UTC,17,29,1,1560,0.9,50.1
0d1553,2016-05-21 13:15:00.000000 UTC,13,21,5,900,0.0,10.25
0d1553,2016-01-16 10:15:00.000000 UTC,10,16,1,480,0.1,9.75
0d1553,2016-05-25 10:45:00.000000 UTC,10,25,5,60,0.0,3.75
0d1553,2016-05-07 16:00:00.000000 UTC,16,7,5,720,0.1,11.25
0d1553,2016-06-28 12:15:00.000000 UTC,12,28,6,1560,0.3,21.25
0d1553,2016-08-30 14:45:00.000000 UTC,14,30,8,540,0.0,7.0
0d1553,2016-01-06 08:30:00.000000 UTC,8,6,1,1980,0.9,50.25
0d1553,2016-08-11 10:30:00.000000 UTC,10,11,8,300,0.0,9.5
0d1553,2016-04-17 18:30:00.000000 UTC,18,17,4,300,0.0,6.75
0d1553,2016-04-06 10:45:00.000000 UTC,10,6,4,900,0.0,9.25
0d1553,2016-03-08 13:00:00.000000 UTC,13,8,3,600,0.0,7.25
0d1553,2016-09-02 08:45:00.000000 UTC,8,2,9,900,0.3,20.1
0d1553,2016-01-13 09:15:00.000000 UTC,9,13,1,780,0.3,19.5
0d1553,2016-03-12 11:45:00.000000 UTC,11,12,3,600,0.2,14.1
0d1553,2016-06-04 18:45:00.000000 UTC,18,4,6,660,0.0,8.75
0d1553,2016-05-25 09:45:00.000000 UTC,9,25,5,420,0.0,6.0
0d1553,2016-05-31 09:00:00.000000 UTC,9,31,5,660,0.0,6.75
0d1553,2016-01-19 13:45:00.000000 UTC,13,19,1,420,0.1,7.75
0d1553,2016-05-23 17:15:00.000000 UTC,17,23,5,60,0.0,48.3
0d1553,2016-08-17 18:30:00.000000 UTC,18,17,8,60,0.0,27.9
0d1553,2016-05-02 13:45:00.000000 UTC,13,2,5,1860,0.4,29.1
0d1553,2016-02-15 10:45:00.000000 UTC,10,15,2,1800,0.7,41.75
0d1553,2016-07-11 07:45:00.000000 UTC,7,11,7,1260,0.0,6.5
0d1553,2016-03-20 09:00:00.000000 UTC,9,20,3,1500,1.0,50.0
0d1553,2016-06-13 17:15:00.000000 UTC,17,13,6,1080,0.2,14.75
0d1553,2016-04-15 12:45:00.000000 UTC,12,15,4,1980,0.6,34.5
0d1553,2016-05-15 09:30:00.000000 UTC,9,15,5,60,0.0,49.05
0d1553,2016-06-29 18:15:00.000000 UTC,18,29,6,1320,1.0,56.4
0d1553,2016-06-10 15:15:00.000000 UTC,15,10,6,240,0.0,6.0
0d1553,2016-03-27 12:45:00.000000 UTC,12,27,3,300,0.0,6.75
0d1553,2016-05-08 14:15:00.000000 UTC,14,8,5,2820,0.9,40.5
0d1553,2016-05-19 17:30:00.000000 UTC,17,19,5,600,0.0,7.75
0d1553,2016-08-17 17:45:00.000000 UTC,17,17,8,180,0.0,5.5
0d1553,2016-07-29 12:15:00.000000 UTC,12,29,7,300,0.0,5.5
0d1553,2016-01-01 09:30:00.000000 UTC,9,1,1,720,0.2,11.45
0d1553,2016-08-09 15:15:00.000000 UTC,15,9,8,2940,1.1,57.9
0d1553,2016-06-30 12:45:00.000000 UTC,12,30,6,840,0.1,11.25
0d1553,2016-01-29 16:30:00.000000 UTC,16,29,1,900,0.4,26.0
0d1553,2016-03-11 11:30:00.000000 UTC,11,11,3,3720,1.2,61.0
0d1553,2016-04-03 08:45:00.000000 UTC,8,3,4,360,0.0,5.5
0d1553,2016-05-09 11:30:00.000000 UTC,11,9,5,540,0.0,8.5
0d1553,2016-04-16 10:30:00.000000 UTC,10,16,4,3480,0.1,24.25
0d1553,2016-02-26 12:00:00.000000 UTC,12,26,2,1140,0.1,12.25
0d1553,2016-05-24 10:00:00.000000 UTC,10,24,5,1860,0.0,14.79
0d1553,2016-04-02 16:15:00.000000 UTC,16,2,4,1440,1.0,45.0
0d1553,2016-08-30 16:15:00.000000 UTC,16,30,8,540,0.1,8.5
0d1553,2016-04-09 14:00:00.000000 UTC,14,9,4,780,0.1,10.25
0d1553,2016-08-26 18:15:00.000000 UTC,18,26,8,1020,0.3,19.05
0d1553,2016-03-27 19:00:00.000000 UTC,19,27,3,1320,1.1,70.5
0d1553,2016-08-08 19:15:00.000000 UTC,19,8,8,420,0.0,7.0
0d1553,2016-05-28 19:00:00.000000 UTC,19,28,5,420,0.1,11.0
0d1553,2016-02-13 09:45:00.000000 UTC,9,13,2,2040,1.1,51.25
0d1553,2016-08-08 11:15:00.000000 UTC,11,8,8,300,0.0,7.25
0d1553,2016-07-22 12:15:00.000000 UTC,12,22,7,660,0.1,10.0
0d1553,2016-07-15 12:45:00.000000 UTC,12,15,7,420,0.0,9.25
0d1553,2016-04-30 11:30:00.000000 UTC,11,30,4,600,0.0,8.25
0d1553,2016-04-29 17:45:00.000000 UTC,17,29,4,1560,0.4,24.0
0d1553,2016-02-21 10:45:00.000000 UTC,10,21,2,2340,0.8,51.0
0d1553,2016-04-17 12:00:00.000000 UTC,12,17,4,60,0.0,3.5
0d1553,2016-02-09 14:15:00.000000 UTC,14,9,2,660,0.2,11.75
0d1553,2016-04-29 14:15:00.000000 UTC,14,29,4,1020,0.3,16.75
0d1553,2016-05-16 08:15:00.000000 UTC,8,16,5,540,0.1,9.25
0d1553,2016-02-01 08:45:00.000000 UTC,8,1,2,1980,1.0,57.9
0d1553,2016-06-03 08:15:00.000000 UTC,8,3,6,1260,0.1,12.5
0d1553,2016-03-20 17:45:00.000000 UTC,17,20,3,1500,0.0,11.25
0d1553,2016-03-31 17:00:00.000000 UTC,17,31,3,660,0.2,13.75
0d1553,2016-06-30 12:00:00.000000 UTC,12,30,6,600,0.1,8.75
0d1553,2016-05-25 14:15:00.000000 UTC,14,25,5,1500,0.0,12.25
0d1553,2016-05-06 16:30:00.000000 UTC,16,6,5,960,0.2,15.75
