Taxi_id,time_stamp,hour,day,month,trip_seconds,trip_miles,trip_total
3e4592,2016-08-25 06:30:00.000000 UTC,6,25,8,480,1.4,11.25
3e4592,2016-05-06 08:15:00.000000 UTC,8,6,5,300,0.7,7.5
3e4592,2016-05-11 06:30:00.000000 UTC,6,11,5,1080,10.9,30.25
3e4592,2016-08-24 15:30:00.000000 UTC,15,24,8,1020,4.5,18.3
3e4592,2016-06-03 21:00:00.000000 UTC,21,3,6,420,1.3,8.75
3e4592,2016-08-08 08:30:00.000000 UTC,8,8,8,120,0.3,5.75
3e4592,2016-03-13 00:15:00.000000 UTC,0,13,3,1260,3.1,14.25
3e4592,2016-08-06 20:15:00.000000 UTC,20,6,8,840,2.7,13.5
3e4592,2016-06-01 12:45:00.000000 UTC,12,1,6,480,1.2,9.0
3e4592,2016-07-01 11:30:00.000000 UTC,11,1,7,360,1.1,7.25
3e4592,2016-08-15 08:00:00.000000 UTC,8,15,8,480,1.1,8.0
3e4592,2016-07-03 23:00:00.000000 UTC,23,3,7,1440,16.6,43.5
3e4592,2016-07-25 10:15:00.000000 UTC,10,25,7,960,4.8,19.65
3e4592,2016-08-24 05:45:00.000000 UTC,5,24,8,960,4.1,16.7
3e4592,2016-04-14 16:45:00.000000 UTC,16,14,4,720,5.9,20.4
3e4592,2016-05-14 09:45:00.000000 UTC,9,14,5,180,0.9,5.25
3e4592,2016-08-18 13:00:00.000000 UTC,13,18,8,540,1.0,7.0
3e4592,2016-05-09 16:15:00.000000 UTC,16,9,5,240,0.5,6.75
3e4592,2016-04-22 13:15:00.000000 UTC,13,22,4,840,1.7,12.6
3e4592,2016-01-21 13:15:00.000000 UTC,13,21,1,3360,17.7,50.0
3e4592,2016-07-08 14:30:00.000000 UTC,14,8,7,2640,14.5,53.1
3e4592,2016-06-07 13:45:00.000000 UTC,13,7,6,1140,3.7,16.8
3e4592,2016-07-14 12:00:00.000000 UTC,12,14,7,360,1.0,6.5
3e4592,2016-06-10 21:30:00.000000 UTC,21,10,6,540,1.0,10.0
3e4592,2016-08-20 17:45:00.000000 UTC,17,20,8,720,2.2,9.5
3e4592,2016-05-23 07:15:00.000000 UTC,7,23,5,1560,3.5,21.0
3e4592,2016-08-19 12:45:00.000000 UTC,12,19,8,300,0.5,7.25
3e4592,2016-02-04 17:00:00.000000 UTC,17,4,2,1260,13.5,47.8
3e4592,2016-01-23 20:00:00.000000 UTC,20,23,1,1140,5.1,18.5
3e4592,2016-06-15 07:00:00.000000 UTC,7,15,6,420,1.0,11.5
3e4592,2016-07-26 14:00:00.000000 UTC,14,26,7,120,0.4,4.25
3e4592,2016-04-13 12:00:00.000000 UTC,12,13,4,780,4.3,16.8
3e4592,2016-05-09 15:45:00.000000 UTC,15,9,5,540,1.8,9.75
3e4592,2016-04-30 17:00:00.000000 UTC,17,30,4,540,1.4,8.5
3e4592,2016-05-13 13:30:00.000000 UTC,13,13,5,300,0.7,5.5
3e4592,2016-03-12 14:15:00.000000 UTC,14,12,3,1200,3.4,14.75
3e4592,2016-03-19 22:00:00.000000 UTC,22,19,3,540,1.6,8.75
3e4592,2016-04-13 13:30:00.000000 UTC,13,13,4,420,0.9,6.25
3e4592,2016-08-24 14:00:00.000000 UTC,14,24,8,1200,3.5,17.5
3e4592,2016-05-24 09:45:00.000000 UTC,9,24,5,660,1.8,11.0
3e4592,2016-01-25 12:30:00.000000 UTC,12,25,1,660,3.8,22.75
3e4592,2016-08-13 21:30:00.000000 UTC,21,13,8,360,1.5,8.0
3e4592,2016-01-29 05:15:00.000000 UTC,5,29,1,2520,17.2,58.75
3e4592,2016-04-22 16:30:00.000000 UTC,16,22,4,540,4.3,16.85
3e4592,2016-07-05 15:00:00.000000 UTC,15,5,7,1080,3.5,16.2
3e4592,2016-08-20 14:30:00.000000 UTC,14,20,8,1140,2.9,16.2
3e4592,2016-07-26 15:30:00.000000 UTC,15,26,7,180,0.5,5.75
3e4592,2016-03-26 21:45:00.000000 UTC,21,26,3,900,3.4,15.9
3e4592,2016-04-02 22:15:00.000000 UTC,22,2,4,60,0.0,3.5
3e4592,2016-03-04 11:00:00.000000 UTC,11,4,3,360,0.8,7.25
3e4592,2016-05-14 15:15:00.000000 UTC,15,14,5,960,5.0,17.75
3e4592,2016-03-11 14:45:00.000000 UTC,14,11,3,420,0.7,7.25
3e4592,2016-05-24 14:45:00.000000 UTC,14,24,5,1140,2.1,11.25
3e4592,2016-04-11 08:45:00.000000 UTC,8,11,4,480,1.1,9.0
3e4592,2016-06-08 14:15:00.000000 UTC,14,8,6,300,0.6,7.25
3e4592,2016-08-24 14:30:00.000000 UTC,14,24,8,300,1.1,6.0
3e4592,2016-06-04 20:30:00.000000 UTC,20,4,6,480,1.4,10.5
3e4592,2016-04-29 11:15:00.000000 UTC,11,29,4,660,1.0,8.75
3e4592,2016-02-08 15:45:00.000000 UTC,15,8,2,600,2.8,17.0
3e4592,2016-05-29 01:00:00.000000 UTC,1,29,5,120,0.6,4.5
3e4592,2016-05-16 10:30:00.000000 UTC,10,16,5,600,1.7,10.2
3e4592,2016-04-21 16:45:00.000000 UTC,16,21,4,480,1.2,9.0
3e4592,2016-06-04 22:00:00.000000 UTC,22,4,6,600,2.8,10.5
3e4592,2016-05-24 08:45:00.000000 UTC,8,24,5,1680,16.9,54.9
3e4592,2016-03-10 13:45:00.000000 UTC,13,10,3,360,0.9,6.25
3e4592,2016-08-23 14:30:00.000000 UTC,14,23,8,900,6.4,23.75
3e4592,2016-05-25 12:45:00.000000 UTC,12,25,5,480,1.0,6.75
3e4592,2016-04-20 11:00:00.000000 UTC,11,20,4,840,3.0,19.75
3e4592,2016-03-19 20:45:00.000000 UTC,20,19,3,480,1.9,9.0
3e4592,2016-01-16 15:45:00.000000 UTC,15,16,1,120,0.3,5.25
3e4592,2016-01-22 04:00:00.000000 UTC,4,22,1,3480,17.4,52.5
3e4592,2016-02-25 13:00:00.000000 UTC,13,25,2,960,1.4,9.75
3e4592,2016-04-16 12:30:00.000000 UTC,12,16,4,1380,1.5,14.1
3e4592,2016-03-13 01:15:00.000000 UTC,1,13,3,1620,18.5,58.25
3e4592,2016-05-02 13:30:00.000000 UTC,13,2,5,660,1.0,9.75
