Taxi_id,time_stamp,hour,day,month,trip_seconds,trip_miles,trip_total
a7b2c3,2016-10-06 09:15:00.000000 UTC,9,6,10,1020,4.7,15.0
a7b2c3,2016-12-01 08:15:00.000000 UTC,8,1,12,1320,9.7,33.25
a7b2c3,2016-04-30 09:45:00.000000 UTC,9,30,4,2100,5.8,28.2
a7b2c3,2016-02-05 13:00:00.000000 UTC,13,5,2,2880,17.4,60.0
a7b2c3,2016-10-06 04:15:00.000000 UTC,4,6,10,420,0.7,6.5
a7b2c3,2016-10-03 03:15:00.000000 UTC,3,3,10,420,1.1,7.5
a7b2c3,2016-03-09 09:00:00.000000 UTC,9,9,3,3060,17.4,60.93
a7b2c3,2016-12-29 09:00:00.000000 UTC,9,29,12,780,2.0,11.0
a7b2c3,2016-06-16 18:15:00.000000 UTC,18,16,6,360,0.7,9.25
a7b2c3,2016-10-26 03:30:00.000000 UTC,3,26,10,600,1.3,9.25
a7b2c3,2016-01-08 10:15:00.000000 UTC,10,8,1,900,1.6,10.5
a7b2c3,2016-02-07 15:30:00.000000 UTC,15,7,2,420,1.7,9.75
a7b2c3,2016-07-27 02:30:00.000000 UTC,2,27,7,840,2.3,15.25
a7b2c3,2016-08-12 18:45:00.000000 UTC,18,12,8,2040,24.2,78.93
a7b2c3,2016-10-07 15:45:00.000000 UTC,15,7,10,600,3.6,16.5
a7b2c3,2016-04-06 01:15:00.000000 UTC,1,6,4,180,1.2,6.0
a7b2c3,2016-03-26 06:00:00.000000 UTC,6,26,3,1020,2.6,14.75
a7b2c3,2016-07-01 16:15:00.000000 UTC,16,1,7,360,1.0,7.75
a7b2c3,2016-02-10 15:15:00.000000 UTC,15,10,2,2220,21.2,86.5
a7b2c3,2016-06-14 11:30:00.000000 UTC,11,14,6,540,1.0,10.75
a7b2c3,2016-07-08 06:30:00.000000 UTC,6,8,7,540,1.2,9.0
a7b2c3,2016-01-02 13:45:00.000000 UTC,13,2,1,300,0.8,6.45
a7b2c3,2016-04-26 06:45:00.000000 UTC,6,26,4,1740,17.9,60.6
a7b2c3,2016-10-27 16:30:00.000000 UTC,16,27,10,2040,17.7,59.6
a7b2c3,2016-01-29 13:00:00.000000 UTC,13,29,1,720,2.1,11.75
a7b2c3,2016-04-06 03:30:00.000000 UTC,3,6,4,660,1.4,11.5
a7b2c3,2016-03-01 05:00:00.000000 UTC,5,1,3,420,0.8,7.5
a7b2c3,2016-03-02 16:45:00.000000 UTC,16,2,3,1200,5.2,21.9
a7b2c3,2016-12-29 07:00:00.000000 UTC,7,29,12,660,3.0,10.75
a7b2c3,2016-04-22 17:45:00.000000 UTC,17,22,4,1080,8.3,23.5
a7b2c3,2016-12-26 15:15:00.000000 UTC,15,26,12,360,1.0,6.25
a7b2c3,2016-02-12 11:00:00.000000 UTC,11,12,2,1260,6.8,24.9
a7b2c3,2016-07-19 11:45:00.000000 UTC,11,19,7,300,0.8,5.5
a7b2c3,2016-01-09 11:15:00.000000 UTC,11,9,1,1380,5.1,21.9
a7b2c3,2016-04-28 16:15:00.000000 UTC,16,28,4,360,0.7,8.75
a7b2c3,2016-07-29 04:00:00.000000 UTC,4,29,7,540,4.5,16.75
a7b2c3,2016-01-06 15:00:00.000000 UTC,15,6,1,360,1.2,8.5
a7b2c3,2016-05-13 09:45:00.000000 UTC,9,13,5,360,1.2,7.0
a7b2c3,2016-04-03 07:45:00.000000 UTC,7,3,4,1020,2.8,17.5
a7b2c3,2016-02-06 15:15:00.000000 UTC,15,6,2,480,0.6,7.25
a7b2c3,2016-10-17 02:00:00.000000 UTC,2,17,10,360,1.1,9.0
a7b2c3,2016-01-08 11:45:00.000000 UTC,11,8,1,240,0.4,6.75
a7b2c3,2016-03-01 11:00:00.000000 UTC,11,1,3,1740,17.4,53.4
a7b2c3,2016-05-23 07:00:00.000000 UTC,7,23,5,1080,3.2,16.0
a7b2c3,2016-09-28 04:45:00.000000 UTC,4,28,9,1020,3.7,17.25
a7b2c3,2016-09-25 10:00:00.000000 UTC,10,25,9,1020,6.5,24.8
a7b2c3,2016-06-05 05:15:00.000000 UTC,5,5,6,1380,17.6,54.5
a7b2c3,2016-06-11 17:45:00.000000 UTC,17,11,6,480,0.9,9.0
a7b2c3,2016-11-06 03:00:00.000000 UTC,3,6,11,180,0.3,5.25
a7b2c3,2016-10-08 17:15:00.000000 UTC,17,8,10,780,4.5,14.0
a7b2c3,2016-11-07 13:45:00.000000 UTC,13,7,11,780,2.6,10.75
a7b2c3,2016-06-08 17:30:00.000000 UTC,17,8,6,360,0.7,5.75
a7b2c3,2016-03-05 10:00:00.000000 UTC,10,5,3,180,0.6,8.0
a7b2c3,2016-07-29 17:30:00.000000 UTC,17,29,7,300,0.9,6.75
a7b2c3,2016-03-19 13:45:00.000000 UTC,13,19,3,420,1.2,8.75
a7b2c3,2016-07-13 18:45:00.000000 UTC,18,13,7,1920,22.4,71.9
a7b2c3,2016-08-11 15:45:00.000000 UTC,15,11,8,540,1.6,7.5
a7b2c3,2016-12-04 11:15:00.000000 UTC,11,4,12,1140,4.6,15.25
a7b2c3,2016-07-23 09:30:00.000000 UTC,9,23,7,540,0.6,6.25
a7b2c3,2016-06-04 06:00:00.000000 UTC,6,4,6,300,0.9,6.75
a7b2c3,2016-06-15 16:00:00.000000 UTC,16,15,6,2160,19.1,65.6
a7b2c3,2016-10-12 12:15:00.000000 UTC,12,12,10,1440,3.4,15.0
a7b2c3,2016-10-09 15:00:00.000000 UTC,15,9,10,1920,13.9,49.1
a7b2c3,2016-03-23 11:30:00.000000 UTC,11,23,3,3720,17.1,58.2
a7b2c3,2016-09-26 14:45:00.000000 UTC,14,26,9,660,2.6,10.75
a7b2c3,2016-10-07 07:15:00.000000 UTC,7,7,10,2040,17.5,61.4
a7b2c3,2016-02-13 17:15:00.000000 UTC,17,13,2,600,2.1,13.0
a7b2c3,2016-05-22 11:45:00.000000 UTC,11,22,5,420,0.7,8.5
a7b2c3,2016-10-16 10:45:00.000000 UTC,10,16,10,2220,16.9,55.7
a7b2c3,2016-07-19 16:30:00.000000 UTC,16,19,7,180,0.4,4.5
a7b2c3,2016-05-17 02:45:00.000000 UTC,2,17,5,360,1.3,9.25
a7b2c3,2016-04-15 13:00:00.000000 UTC,13,15,4,420,1.0,9.25
a7b2c3,2016-05-18 09:45:00.000000 UTC,9,18,5,3060,15.6,46.0
a7b2c3,2016-06-11 05:45:00.000000 UTC,5,11,6,360,1.6,7.25
a7b2c3,2016-03-08 11:30:00.000000 UTC,11,8,3,1560,6.6,26.75
a7b2c3,2016-07-29 16:00:00.000000 UTC,16,29,7,480,2.0,8.5
a7b2c3,2016-09-18 09:00:00.000000 UTC,9,18,9,1560,3.4,14.75
a7b2c3,2016-03-19 14:00:00.000000 UTC,14,19,3,780,2.5,12.25
a7b2c3,2016-06-06 02:30:00.000000 UTC,2,6,6,1200,4.6,15.75
a7b2c3,2016-01-14 12:45:00.000000 UTC,12,14,1,660,1.2,8.0
a7b2c3,2016-02-03 11:45:00.000000 UTC,11,3,2,240,0.6,7.5
a7b2c3,2016-11-26 16:30:00.000000 UTC,16,26,11,780,6.1,23.0
a7b2c3,2016-03-17 04:00:00.000000 UTC,4,17,3,1980,17.2,45.75
a7b2c3,2016-06-27 09:15:00.000000 UTC,9,27,6,3000,17.3,58.7
a7b2c3,2016-08-05 17:00:00.000000 UTC,17,5,8,840,2.5,11.25
a7b2c3,2016-12-24 08:30:00.000000 UTC,8,24,12,600,1.2,11.75
a7b2c3,2016-12-13 08:30:00.000000 UTC,8,13,12,480,0.8,6.5
a7b2c3,2016-07-14 10:15:00.000000 UTC,10,14,7,360,0.9,6.25
a7b2c3,2016-02-06 13:45:00.000000 UTC,13,6,2,1560,5.9,24.25
a7b2c3,2016-07-02 16:45:00.000000 UTC,16,2,7,180,0.2,5.75
a7b2c3,2016-05-21 16:00:00.000000 UTC,16,21,5,900,3.4,12.75
a7b2c3,2016-05-14 13:30:00.000000 UTC,13,14,5,480,1.5,8.75
a7b2c3,2016-11-04 02:15:00.000000 UTC,2,4,11,1320,12.6,40.7
a7b2c3,2016-01-11 13:00:00.000000 UTC,13,11,1,840,1.8,10.5
a7b2c3,2016-10-16 13:45:00.000000 UTC,13,16,10,1560,11.7,50.75
a7b2c3,2016-08-31 08:15:00.000000 UTC,8,31,8,540,2.0,9.0
a7b2c3,2016-04-05 03:45:00.000000 UTC,3,5,4,1800,17.6,45.25
a7b2c3,2016-01-24 13:30:00.000000 UTC,13,24,1,480,2.5,11.25
a7b2c3,2016-04-29 17:15:00.000000 UTC,17,29,4,780,2.6,13.0
a7b2c3,2016-02-14 05:15:00.000000 UTC,5,14,2,240,0.6,7.0
a7b2c3,2016-12-23 16:30:00.000000 UTC,16,23,12,480,1.6,9.0
a7b2c3,2016-03-06 12:45:00.000000 UTC,12,6,3,660,3.2,11.25
a7b2c3,2016-10-06 14:45:00.000000 UTC,14,6,10,3660,15.0,53.0
a7b2c3,2016-03-06 03:45:00.000000 UTC,3,6,3,600,3.2,15.25
a7b2c3,2016-08-26 13:15:00.000000 UTC,13,26,8,120,0.3,7.75
a7b2c3,2016-06-12 14:30:00.000000 UTC,14,12,6,900,4.8,19.7
a7b2c3,2016-06-15 13:00:00.000000 UTC,13,15,6,780,1.1,10.75
a7b2c3,2016-08-21 15:45:00.000000 UTC,15,21,8,420,1.5,8.5
a7b2c3,2016-12-12 13:45:00.000000 UTC,13,12,12,3060,14.8,44.0
a7b2c3,2016-08-25 15:45:00.000000 UTC,15,25,8,60,0.1,7.75
a7b2c3,2016-08-19 12:30:00.000000 UTC,12,19,8,660,1.4,8.5
a7b2c3,2016-08-01 03:15:00.000000 UTC,3,1,8,720,2.0,11.25
a7b2c3,2016-06-17 06:15:00.000000 UTC,6,17,6,960,2.0,13.0
a7b2c3,2016-02-27 13:30:00.000000 UTC,13,27,2,840,1.3,8.75
a7b2c3,2016-04-17 11:30:00.000000 UTC,11,17,4,2340,17.9,58.2
a7b2c3,2016-03-08 12:45:00.000000 UTC,12,8,3,3060,17.7,62.7
a7b2c3,2016-08-02 05:00:00.000000 UTC,5,2,8,1860,17.8,59.3
a7b2c3,2016-11-12 08:45:00.000000 UTC,8,12,11,360,0.6,10.0
a7b2c3,2016-04-16 15:00:00.000000 UTC,15,16,4,840,2.7,12.25
a7b2c3,2016-10-06 02:15:00.000000 UTC,2,6,10,840,1.7,9.5
a7b2c3,2016-08-07 06:15:00.000000 UTC,6,7,8,720,1.6,10.0
a7b2c3,2016-09-25 07:00:00.000000 UTC,7,25,9,180,0.4,7.75
a7b2c3,2016-12-22 10:30:00.000000 UTC,10,22,12,120,0.3,4.0
a7b2c3,2016-06-09 13:30:00.000000 UTC,13,9,6,2040,2.7,22.1
a7b2c3,2016-07-22 13:45:00.000000 UTC,13,22,7,420,0.5,7.5
a7b2c3,2016-05-22 09:15:00.000000 UTC,9,22,5,2880,12.7,42.25
a7b2c3,2016-02-22 16:00:00.000000 UTC,16,22,2,300,0.7,6.5
a7b2c3,2016-06-09 13:15:00.000000 UTC,13,9,6,360,0.3,8.75
a7b2c3,2016-12-22 01:30:00.000000 UTC,1,22,12,360,1.1,6.5
a7b2c3,2016-03-18 14:45:00.000000 UTC,14,18,3,2460,11.7,45.0
a7b2c3,2016-10-08 14:15:00.000000 UTC,14,8,10,420,1.3,9.0
a7b2c3,2016-01-01 12:00:00.000000 UTC,12,1,1,300,0.9,5.95
a7b2c3,2016-01-13 11:30:00.000000 UTC,11,13,1,720,2.2,11.75
a7b2c3,2016-06-08 17:00:00.000000 UTC,17,8,6,600,3.6,16.75
a7b2c3,2016-12-01 14:30:00.000000 UTC,14,1,12,1740,8.8,30.75
a7b2c3,2016-07-08 12:00:00.000000 UTC,12,8,7,780,0.9,8.5
a7b2c3,2016-08-25 04:00:00.000000 UTC,4,25,8,360,0.6,5.75
a7b2c3,2016-08-10 12:30:00.000000 UTC,12,10,8,780,2.0,13.25
a7b2c3,2016-02-14 08:30:00.000000 UTC,8,14,2,240,0.5,7.0
a7b2c3,2016-09-28 02:30:00.000000 UTC,2,28,9,420,0.9,7.5
a7b2c3,2016-10-16 15:45:00.000000 UTC,15,16,10,1380,17.5,53.0
a7b2c3,2016-04-25 03:15:00.000000 UTC,3,25,4,4140,17.4,64.8
a7b2c3,2016-01-15 04:00:00.000000 UTC,4,15,1,360,1.1,8.5
a7b2c3,2016-06-06 06:45:00.000000 UTC,6,6,6,480,1.9,11.5
a7b2c3,2016-03-26 14:45:00.000000 UTC,14,26,3,300,1.1,7.25
a7b2c3,2016-05-12 13:45:00.000000 UTC,13,12,5,2400,16.5,55.1
a7b2c3,2016-04-15 11:15:00.000000 UTC,11,15,4,960,2.4,12.5
a7b2c3,2016-11-28 10:30:00.000000 UTC,10,28,11,300,0.5,7.5
a7b2c3,2016-01-29 13:45:00.000000 UTC,13,29,1,1020,2.9,15.25
a7b2c3,2016-09-22 16:45:00.000000 UTC,16,22,9,3240,17.6,59.6
a7b2c3,2016-01-29 17:00:00.000000 UTC,17,29,1,420,0.9,6.25
a7b2c3,2016-01-08 14:45:00.000000 UTC,14,8,1,540,0.9,8.0
a7b2c3,2016-08-04 16:30:00.000000 UTC,16,4,8,120,0.6,7.0
a7b2c3,2016-07-02 17:30:00.000000 UTC,17,2,7,900,1.9,11.0
a7b2c3,2016-02-04 14:15:00.000000 UTC,14,4,2,300,0.6,5.5
a7b2c3,2016-02-01 14:15:00.000000 UTC,14,1,2,540,1.6,10.0
a7b2c3,2016-05-18 05:00:00.000000 UTC,5,18,5,360,1.2,6.25
a7b2c3,2016-03-19 14:30:00.000000 UTC,14,19,3,1020,3.5,16.25
a7b2c3,2016-05-20 04:00:00.000000 UTC,4,20,5,1440,20.8,51.0
a7b2c3,2016-02-03 12:45:00.000000 UTC,12,3,2,1020,3.6,13.5
a7b2c3,2016-03-05 04:45:00.000000 UTC,4,5,3,840,2.5,10.75
a7b2c3,2016-02-15 10:30:00.000000 UTC,10,15,2,540,1.4,7.5
a7b2c3,2016-02-22 15:45:00.000000 UTC,15,22,2,420,1.9,10.0
a7b2c3,2016-09-19 02:45:00.000000 UTC,2,19,9,120,0.1,3.75
a7b2c3,2016-09-28 17:30:00.000000 UTC,17,28,9,2160,15.1,52.7
a7b2c3,2016-02-14 14:45:00.000000 UTC,14,14,2,540,1.4,8.5
a7b2c3,2016-03-26 03:45:00.000000 UTC,3,26,3,600,2.3,12.5
a7b2c3,2016-12-03 13:30:00.000000 UTC,13,3,12,720,2.6,11.75
a7b2c3,2016-06-05 03:15:00.000000 UTC,3,5,6,480,1.5,10.0
a7b2c3,2016-06-04 04:30:00.000000 UTC,4,4,6,480,1.1,7.25
a7b2c3,2016-10-11 13:15:00.000000 UTC,13,11,10,600,1.7,8.5
a7b2c3,2016-01-22 03:00:00.000000 UTC,3,22,1,1380,6.8,26.1
a7b2c3,2016-03-17 15:45:00.000000 UTC,15,17,3,1740,15.2,51.3
a7b2c3,2016-07-23 20:00:00.000000 UTC,20,23,7,900,9.0,34.1
a7b2c3,2016-03-31 15:30:00.000000 UTC,15,31,3,1740,14.8,50.0
a7b2c3,2016-04-05 12:00:00.000000 UTC,12,5,4,240,0.6,6.0
a7b2c3,2016-09-09 02:00:00.000000 UTC,2,9,9,120,0.5,4.5
a7b2c3,2016-02-04 12:15:00.000000 UTC,12,4,2,1020,1.9,13.0
a7b2c3,2016-08-10 12:00:00.000000 UTC,12,10,8,900,1.2,13.75
a7b2c3,2016-04-20 06:30:00.000000 UTC,6,20,4,900,3.2,15.25
a7b2c3,2016-03-05 10:30:00.000000 UTC,10,5,3,540,1.6,10.0
a7b2c3,2016-08-12 16:15:00.000000 UTC,16,12,8,1980,17.7,49.5
a7b2c3,2016-04-09 15:45:00.000000 UTC,15,9,4,240,0.6,6.25
a7b2c3,2016-03-13 09:00:00.000000 UTC,9,13,3,2460,16.0,55.2
a7b2c3,2016-08-06 06:45:00.000000 UTC,6,6,8,60,0.3,4.0
a7b2c3,2016-05-29 05:00:00.000000 UTC,5,29,5,780,3.0,13.75
a7b2c3,2016-04-17 10:45:00.000000 UTC,10,17,4,1140,6.9,25.25
a7b2c3,2016-01-11 13:30:00.000000 UTC,13,11,1,1380,2.9,15.0
a7b2c3,2016-08-01 16:00:00.000000 UTC,16,1,8,480,2.2,10.0
a7b2c3,2016-06-06 13:15:00.000000 UTC,13,6,6,2580,17.7,59.3
a7b2c3,2016-02-13 06:45:00.000000 UTC,6,13,2,240,0.9,7.75
a7b2c3,2016-10-25 08:30:00.000000 UTC,8,25,10,420,1.6,9.75
a7b2c3,2016-04-29 16:15:00.000000 UTC,16,29,4,1020,3.5,17.25
a7b2c3,2016-05-22 07:15:00.000000 UTC,7,22,5,1680,13.2,42.5
a7b2c3,2016-06-23 14:15:00.000000 UTC,14,23,6,2580,13.9,49.7
a7b2c3,2016-12-12 11:45:00.000000 UTC,11,12,12,780,3.1,21.2
a7b2c3,2016-06-10 20:45:00.000000 UTC,20,10,6,300,0.9,6.0
a7b2c3,2016-06-01 02:45:00.000000 UTC,2,1,6,420,1.2,9.25
a7b2c3,2016-04-14 17:15:00.000000 UTC,17,14,4,2040,16.3,56.87
a7b2c3,2016-04-09 17:00:00.000000 UTC,17,9,4,840,4.3,15.75
a7b2c3,2016-08-02 11:30:00.000000 UTC,11,2,8,300,0.6,5.75
a7b2c3,2016-01-01 13:15:00.000000 UTC,13,1,1,240,0.7,4.84
a7b2c3,2016-07-27 08:00:00.000000 UTC,8,27,7,1680,5.5,24.87
a7b2c3,2016-02-14 08:30:00.000000 UTC,8,14,2,1140,2.2,14.0
a7b2c3,2016-12-12 11:15:00.000000 UTC,11,12,12,120,0.0,4.0
a7b2c3,2016-05-05 06:00:00.000000 UTC,6,5,5,300,1.2,7.8
a7b2c3,2016-06-20 09:45:00.000000 UTC,9,20,6,600,1.5,11.75
a7b2c3,2016-05-31 10:30:00.000000 UTC,10,31,5,360,0.8,5.75
a7b2c3,2016-10-21 02:15:00.000000 UTC,2,21,10,480,1.0,6.5
a7b2c3,2016-08-12 06:30:00.000000 UTC,6,12,8,420,0.9,7.25
a7b2c3,2016-02-01 13:00:00.000000 UTC,13,1,2,420,1.0,7.25
a7b2c3,2016-10-20 02:45:00.000000 UTC,2,20,10,660,1.9,9.25
a7b2c3,2016-12-26 08:00:00.000000 UTC,8,26,12,720,1.9,14.5
a7b2c3,2016-07-08 13:30:00.000000 UTC,13,8,7,600,1.6,8.0
a7b2c3,2016-02-25 12:00:00.000000 UTC,12,25,2,1020,0.9,9.75
a7b2c3,2016-11-29 14:45:00.000000 UTC,14,29,11,300,0.6,6.5
a7b2c3,2016-04-11 16:15:00.000000 UTC,16,11,4,540,1.7,11.75
a7b2c3,2016-10-26 02:15:00.000000 UTC,2,26,10,660,1.9,16.25
a7b2c3,2016-05-25 12:00:00.000000 UTC,12,25,5,5220,17.7,65.0
a7b2c3,2016-07-22 08:15:00.000000 UTC,8,22,7,240,0.9,8.0
