Taxi_id,time_stamp,hour,day,month,trip_seconds,trip_miles,trip_total
b00c5a,2016-08-06 21:30:00.000000 UTC,21,6,8,480,2.0,10.0
b00c5a,2016-07-11 08:30:00.000000 UTC,8,11,7,900,1.5,11.0
b00c5a,2016-11-19 21:00:00.000000 UTC,21,19,11,360,0.7,7.0
b00c5a,2016-01-17 11:15:00.000000 UTC,11,17,1,360,1.1,7.25
b00c5a,2016-02-28 08:45:00.000000 UTC,8,28,2,300,0.8,10.25
b00c5a,2016-03-24 11:00:00.000000 UTC,11,24,3,600,1.8,8.0
b00c5a,2016-02-09 19:15:00.000000 UTC,19,9,2,1200,5.0,17.0
b00c5a,2016-08-08 08:15:00.000000 UTC,8,8,8,180,0.7,6.58
b00c5a,2016-05-10 18:45:00.000000 UTC,18,10,5,1200,16.1,43.25
b00c5a,2016-06-25 20:15:00.000000 UTC,20,25,6,240,0.7,5.75
b00c5a,2016-11-05 18:30:00.000000 UTC,18,5,11,780,3.4,13.75
b00c5a,2016-09-30 03:45:00.000000 UTC,3,30,9,660,1.2,7.75
b00c5a,2016-05-26 16:30:00.000000 UTC,16,26,5,3420,16.9,57.9
b00c5a,2016-08-10 16:45:00.000000 UTC,16,10,8,960,3.4,13.0
b00c5a,2016-06-26 14:15:00.000000 UTC,14,26,6,60,0.0,3.25
b00c5a,2016-08-14 16:30:00.000000 UTC,16,14,8,1680,9.7,54.3
b00c5a,2016-04-26 19:30:00.000000 UTC,19,26,4,1680,23.2,100.08
b00c5a,2016-03-25 12:15:00.000000 UTC,12,25,3,720,0.8,8.0
b00c5a,2016-04-16 18:30:00.000000 UTC,18,16,4,720,2.4,11.75
b00c5a,2016-11-21 04:00:00.000000 UTC,4,21,11,1200,6.6,19.5
b00c5a,2016-12-13 15:15:00.000000 UTC,15,13,12,120,0.2,4.75
b00c5a,2016-08-27 21:15:00.000000 UTC,21,27,8,900,5.0,17.5
b00c5a,2016-02-19 16:15:00.000000 UTC,16,19,2,2220,14.4,42.0
b00c5a,2016-05-02 08:15:00.000000 UTC,8,2,5,600,3.1,15.0
b00c5a,2016-05-04 07:45:00.000000 UTC,7,4,5,360,1.0,9.25
b00c5a,2016-10-29 16:45:00.000000 UTC,16,29,10,480,0.8,6.25
b00c5a,2016-04-16 20:45:00.000000 UTC,20,16,4,720,2.6,12.25
b00c5a,2016-06-18 19:00:00.000000 UTC,19,18,6,1680,6.9,25.25
b00c5a,2016-10-04 18:45:00.000000 UTC,18,4,10,1380,14.8,50.1
