Taxi_id,time_stamp,hour,day,month,trip_seconds,trip_miles,trip_total
e2252e,2016-07-28 09:00:00.000000 UTC,9,28,7,600,0.0,13.75
e2252e,2016-08-16 18:00:00.000000 UTC,18,16,8,900,0.0,20.7
e2252e,2016-09-23 19:45:00.000000 UTC,19,23,9,1140,0.0,20.4
e2252e,2016-08-11 10:15:00.000000 UTC,10,11,8,960,0.0,15.5
e2252e,2016-12-09 12:45:00.000000 UTC,12,9,12,1260,0.0,23.75
e2252e,2016-05-24 10:00:00.000000 UTC,10,24,5,720,0.0,15.0
e2252e,2016-05-17 10:45:00.000000 UTC,10,17,5,2040,0.0,38.4
e2252e,2016-03-11 09:45:00.000000 UTC,9,11,3,780,0.0,13.8
e2252e,2016-06-05 16:15:00.000000 UTC,16,5,6,720,0.0,18.25
e2252e,2016-09-30 10:15:00.000000 UTC,10,30,9,600,0.0,8.0
e2252e,2016-10-10 16:30:00.000000 UTC,16,10,10,480,0.0,10.5
e2252e,2016-02-10 15:15:00.000000 UTC,15,10,2,300,0.0,9.75
e2252e,2016-02-23 05:15:00.000000 UTC,5,23,2,840,0.0,10.5
e2252e,2016-05-16 12:45:00.000000 UTC,12,16,5,1680,0.0,27.75
e2252e,2016-07-01 06:15:00.000000 UTC,6,1,7,1080,0.0,29.5
e2252e,2016-01-02 21:00:00.000000 UTC,21,2,1,720,0.0,12.5
e2252e,2016-02-25 05:00:00.000000 UTC,5,25,2,660,0.0,11.75
e2252e,2016-09-15 06:30:00.000000 UTC,6,15,9,660,0.0,11.0
e2252e,2016-08-26 13:15:00.000000 UTC,13,26,8,480,0.0,7.25
e2252e,2016-09-03 14:15:00.000000 UTC,14,3,9,960,0.0,23.7
e2252e,2016-10-12 11:45:00.000000 UTC,11,12,10,660,0.0,8.5
e2252e,2016-09-21 14:30:00.000000 UTC,14,21,9,600,0.0,8.25
e2252e,2016-06-01 13:45:00.000000 UTC,13,1,6,360,0.0,8.75
e2252e,2016-06-11 19:30:00.000000 UTC,19,11,6,300,0.0,8.5
e2252e,2016-04-05 13:45:00.000000 UTC,13,5,4,1440,0.0,42.9
e2252e,2016-08-05 20:15:00.000000 UTC,20,5,8,180,0.0,9.5
e2252e,2016-06-03 03:00:00.000000 UTC,3,3,6,420,0.0,6.75
e2252e,2016-08-28 10:15:00.000000 UTC,10,28,8,720,0.0,11.5
e2252e,2016-04-21 16:45:00.000000 UTC,16,21,4,720,0.0,13.5
e2252e,2016-01-13 04:00:00.000000 UTC,4,13,1,360,0.0,6.0
