id,Label,Number_Points,trip_seconds,trip_miles
0,0,518,0.089848,0.003220
1,1,2358,0.030045,0.000247
2,2,1665,0.049561,0.001042
3,3,930,0.069071,0.002032
4,4,1119,0.013100,0.000004
5,5,46,0.250191,0.010370
6,6,245,0.129947,0.007122
7,7,21,0.289414,0.010333
8,8,90,0.189752,0.009156
9,9,371,0.110499,0.006008
10,10,29,0.271109,0.010000
11,11,159,0.149982,0.007937
12,12,117,0.170019,0.008145
13,13,69,0.210490,0.009116
14,14,1,0.433584,0.039000
15,15,5,0.014536,0.033400
16,16,50,0.230977,0.009160
17,17,1,0.057644,0.080000
18,18,8,0.026942,0.049000
19,19,12,0.329992,0.010750
20,20,2,0.062657,0.145500
21,21,1,0.097744,0.652000
22,22,3,0.045948,0.233667
23,23,2,0.070175,0.177000
24,24,4,0.251880,0.022000
25,25,5,0.029574,0.092800
26,26,1,0.002506,0.043000
27,27,1,0.057644,0.149000
28,28,1,0.062657,0.410000
29,29,4,0.372180,0.010000
30,30,2,0.045113,0.130000
31,31,5,0.029574,0.065600
32,32,2,0.042607,0.055000
33,33,1,0.092732,0.615000
34,34,2,0.035088,0.130000
35,35,2,0.065163,0.226000
36,36,3,0.390142,0.010000
37,37,1,0.323308,0.025000
38,38,1,0.097744,0.397000
39,39,1,0.057644,0.074000
40,40,1,0.629073,0.020000
41,41,14,0.308987,0.010143
42,42,1,0.022556,0.037000
43,43,2,0.408521,0.009500
44,44,2,0.486216,0.010500
45,45,1,0.082707,0.229000
46,46,1,0.032581,0.105000
47,47,1,0.122807,0.838000
48,48,1,0.057644,0.366000
49,49,4,0.352130,0.011000
50,50,1,0.077694,0.111000
51,51,1,0.593985,0.012000
52,52,1,0.052632,0.453000
53,53,1,0.067669,0.087000
54,54,1,0.513784,0.013000
55,55,1,0.047619,0.279000
56,56,1,0.052632,0.298000
57,57,1,0.814536,0.011000
58,58,2,0.433584,0.006000
59,59,1,0.082707,0.329000
60,60,1,0.308271,0.029000
61,61,1,0.042607,0.211000
62,62,2,0.047619,0.111500
63,63,1,0.228070,0.021000
64,64,1,0.157895,0.932000
65,65,2,0.075188,0.375500
66,66,1,0.343358,0.033000
