trip_seconds,trip_miles,_#NO_CLASS#_
0.328321,0.197000,-1
0.052632,0.033000,-1
0.037594,0.016000,-1
0.177945,0.170000,-1
0.192982,0.207000,-1
0.203008,0.384000,-1
0.052632,0.042000,-1
0.027569,0.009000,-1
0.022556,0.011000,-1
0.127820,0.168000,-1
0.037594,0.019000,-1
0.037594,0.012000,-1
0.052632,0.047000,-1
0.117794,0.029000,-1
0.037594,0.006000,-1
0.082707,0.032000,-1
0.102757,0.033000,-1
0.052632,0.028000,-1
0.062657,0.014000,-1
0.022556,0.006000,-1
0.132832,0.105000,-1
0.067669,0.062000,-1
0.077694,0.044000,-1
0.012531,0.004000,-1
0.032581,0.010000,-1
0.097744,0.077000,-1
0.082707,0.036000,-1
0.097744,0.052000,-1
0.087719,0.025000,-1
0.047619,0.025000,-1
0.052632,0.014000,-1
0.027569,0.020000,-1
0.097744,0.028000,-1
0.082707,0.086000,-1
0.057644,0.024000,-1
0.072682,0.017000,-1
0.027569,0.015000,-1
0.037594,0.009000,-1
0.127820,0.028000,-1
0.037594,0.011000,-1
0.037594,0.011000,-1
0.022556,0.006000,-1
0.062657,0.014000,-1
0.037594,0.016000,-1
0.042607,0.022000,-1
0.097744,0.067000,-1
0.042607,0.008000,-1
0.042607,0.022000,-1
0.027569,0.011000,-1
0.027569,0.010000,-1
0.037594,0.026000,-1
0.082707,0.020000,-1
0.062657,0.021000,-1
0.052632,0.036000,-1
0.037594,0.009000,-1
0.067669,0.044000,-1
0.117794,0.027000,-1
0.248120,0.054000,-1
0.032581,0.012000,-1
0.057644,0.026000,-1
0.042607,0.019000,-1
0.057644,0.049000,-1
0.062657,0.043000,-1
0.027569,0.006000,-1
0.132832,0.061000,-1
0.032581,0.008000,-1
0.067669,0.017000,-1
0.122807,0.099000,-1
0.052632,0.020000,-1
0.067669,0.032000,-1
0.057644,0.017000,-1
0.067669,0.030000,-1
0.042607,0.020000,-1
0.022556,0.005000,-1
0.057644,0.043000,-1
0.112782,0.042000,-1
0.017544,0.006000,-1
0.027569,0.007000,-1
0.037594,0.010000,-1
0.142857,0.133000,-1
0.062657,0.021000,-1
0.062657,0.029000,-1
0.027569,0.015000,-1
0.047619,0.007000,-1
0.037594,0.022000,-1
0.102757,0.027000,-1
0.062657,0.049000,-1
0.032581,0.011000,-1
0.042607,0.009000,-1
0.037594,0.015000,-1
0.052632,0.018000,-1
0.017544,0.008000,-1
0.062657,0.031000,-1
0.072682,0.027000,-1
0.022556,0.009000,-1
