id,Label,Number_Points,trip_seconds,trip_miles
0,0,341,0.067846,0.014909
1,1,1560,0.048005,0.013908
2,2,165,0.070069,0.048558
3,3,3361,0.029757,0.010561
4,4,1690,0.012958,0.005733
5,5,527,0.069029,0.027438
6,6,636,0.050417,0.025555
7,7,42,0.131281,0.173833
8,8,45,0.107881,0.068844
9,9,58,0.088065,0.014690
10,10,66,0.108225,0.029621
11,11,3,0.273183,0.207667
12,12,37,0.089210,0.088162
13,13,116,0.050860,0.046198
14,14,1,0.343358,0.192000
15,15,183,0.087856,0.029525
16,16,29,0.250194,0.173552
17,17,2,0.411028,0.176000
18,18,58,0.071213,0.068224
19,19,21,0.110395,0.109048
20,20,65,0.089416,0.069892
21,21,5,0.190977,0.095600
22,22,10,0.212030,0.148500
23,23,51,0.109342,0.051902
24,24,15,0.211028,0.127800
25,25,10,0.151378,0.148700
26,26,9,0.188527,0.183000
27,27,23,0.054375,0.068087
28,28,22,0.130554,0.050545
29,29,37,0.113053,0.171486
30,30,5,0.168922,0.086000
31,31,31,0.149648,0.130677
32,32,103,0.090055,0.049252
33,33,31,0.109548,0.087548
34,34,12,0.167084,0.132500
35,35,19,0.072946,0.085263
36,36,15,0.149206,0.050067
37,37,3,0.146199,0.227667
38,38,25,0.130426,0.111560
39,39,53,0.190713,0.172830
40,40,19,0.307743,0.174263
41,41,20,0.111529,0.129000
42,42,23,0.150485,0.086783
43,43,20,0.271679,0.174650
44,44,21,0.129968,0.087857
45,45,2,0.172932,0.273000
46,46,7,0.152166,0.032143
47,47,17,0.151408,0.070824
48,48,5,0.351378,0.174600
49,49,182,0.033931,0.025055
50,50,11,0.150604,0.110182
51,51,3,0.211362,0.203667
52,52,13,0.108155,0.016077
53,53,8,0.167920,0.071250
54,54,45,0.229518,0.174644
55,55,43,0.171533,0.173279
56,56,54,0.209041,0.174037
57,57,1,0.127820,0.226000
58,58,1,0.017544,0.168000
59,59,2,0.245614,0.075000
60,60,8,0.248120,0.183375
61,61,8,0.191103,0.111875
62,62,6,0.016708,0.024833
63,63,9,0.169591,0.184889
64,64,25,0.128221,0.070880
65,65,12,0.291145,0.173000
66,66,17,0.169099,0.147294
67,67,1,4.979950,0.015000
68,68,9,0.330549,0.175000
69,69,29,0.131276,0.128138
70,70,6,0.192982,0.074333
71,71,1,0.203008,0.264000
72,72,19,0.034428,0.044579
73,73,1,0.308271,0.235000
74,74,44,0.150946,0.174636
75,75,18,0.129212,0.032056
76,76,1,0.343358,0.264000
77,77,12,0.152882,0.185500
78,78,2,0.225564,0.213500
79,79,1,0.313283,0.137000
80,80,23,0.094693,0.108739
81,81,2,0.233083,0.093000
82,82,1,0.318296,0.102000
83,83,11,0.131009,0.145818
84,84,14,0.228070,0.186857
85,85,2,0.265664,0.097500
86,86,1,0.308271,0.146000
87,87,3,0.191312,0.263667
88,88,6,0.095238,0.128333
89,89,1,0.428571,0.308000
90,90,3,0.251462,0.131667
91,91,6,0.250627,0.148167
92,92,7,0.114214,0.185429
93,93,5,0.188972,0.143600
94,94,10,0.129323,0.185700
95,95,2,0.270677,0.108000
96,96,2,0.192982,0.214000
97,97,7,0.229502,0.148143
98,98,2,0.370927,0.172500
99,99,5,0.210025,0.088600
100,100,3,0.096074,0.150667
101,101,9,0.209691,0.186222
102,102,10,0.167920,0.109300
103,103,4,0.268170,0.151000
104,104,1,0.428571,0.181000
105,105,2,0.243108,0.203500
106,106,3,0.182957,0.055000
107,107,10,0.190977,0.132300
108,108,3,0.256475,0.114333
109,109,4,0.388471,0.176250
110,110,1,0.323308,0.209000
111,111,14,0.111708,0.148857
112,112,1,0.182957,0.038000
113,113,2,0.077694,0.101000
114,114,6,0.269841,0.184833
115,115,3,0.209691,0.109667
116,116,1,1.075188,0.000000
117,117,2,0.365915,0.149500
118,118,5,0.229073,0.131600
119,119,2,0.057644,0.084500
120,120,2,0.230576,0.106500
121,121,3,0.289891,0.115000
122,122,4,0.147870,0.254000
123,123,1,0.248120,0.295000
124,124,4,0.170426,0.207500
125,125,4,0.290727,0.133500
126,126,5,0.172932,0.051400
127,127,1,0.408521,0.212000
128,128,1,0.157895,0.315000
129,129,7,0.288221,0.149857
130,130,1,0.228070,0.057000
131,131,1,0.147870,0.206000
132,132,3,0.288221,0.236667
133,133,1,0.328321,0.300000
134,134,5,0.284211,0.184600
135,135,1,0.248120,0.226000
136,136,1,0.132832,0.213000
137,137,1,0.187970,0.232000
138,138,5,0.127820,0.005200
139,139,2,0.486216,0.172000
140,140,3,0.309942,0.181000
141,141,1,0.172932,0.026000
142,142,3,0.333333,0.187333
143,143,1,0.218045,0.069000
144,144,2,0.273183,0.128500
145,145,1,0.438596,0.171000
146,146,1,0.197995,0.250000
147,147,1,2.092732,0.023000
148,148,1,0.243108,0.254000
149,149,3,0.144528,0.010667
150,150,2,0.308271,0.212500
151,151,1,0.238095,0.239000
152,152,1,0.233083,0.273000
153,153,1,0.393484,0.289000
154,154,1,0.388471,0.329000
155,155,1,2.413534,0.000000
156,156,1,3.877193,0.000000
157,157,1,0.283208,0.452000
158,158,1,0.057644,0.114000
159,159,1,1.370927,0.053000
160,160,1,1.631579,0.011000
161,161,2,0.355890,0.151000
162,162,1,0.403509,0.266000
163,163,1,0.278195,0.287000
164,164,1,0.032581,0.079000
165,165,2,0.323308,0.154500
166,166,1,0.233083,0.419000
167,167,1,0.258145,0.081000
168,168,1,0.092732,0.169000
169,169,1,1.812030,0.008000
170,170,1,0.228070,0.249000
171,171,1,0.127820,0.315000
172,172,1,0.208020,0.060000
173,173,1,0.378446,0.332000
174,174,1,0.142857,0.413000
175,175,1,0.263158,0.311000
176,176,1,0.443609,0.200000
177,177,1,0.052632,0.122000
178,178,1,1.837093,0.000000
179,179,1,3.812030,0.177000
180,180,1,0.388471,0.256000
181,181,1,0.383459,0.594000
182,182,1,0.513784,0.189000
183,183,1,0.192982,0.014000
184,184,1,0.448622,0.237000
185,185,1,0.218045,0.244000
186,186,1,0.528822,0.063000
187,187,1,0.323308,0.131000
188,188,1,0.253133,0.000000
189,189,1,0.213033,0.016000
190,190,1,0.268170,0.347000
0,0,518,0.089848,0.003220
1,1,2358,0.030045,0.000247
2,2,1665,0.049561,0.001042
3,3,930,0.069071,0.002032
4,4,1119,0.013100,0.000004
5,5,46,0.250191,0.010370
6,6,245,0.129947,0.007122
7,7,21,0.289414,0.010333
8,8,90,0.189752,0.009156
9,9,371,0.110499,0.006008
10,10,29,0.271109,0.010000
11,11,159,0.149982,0.007937
12,12,117,0.170019,0.008145
13,13,69,0.210490,0.009116
14,14,1,0.433584,0.039000
15,15,5,0.014536,0.033400
16,16,50,0.230977,0.009160
17,17,1,0.057644,0.080000
18,18,8,0.026942,0.049000
19,19,12,0.329992,0.010750
20,20,2,0.062657,0.145500
21,21,1,0.097744,0.652000
22,22,3,0.045948,0.233667
23,23,2,0.070175,0.177000
24,24,4,0.251880,0.022000
25,25,5,0.029574,0.092800
26,26,1,0.002506,0.043000
27,27,1,0.057644,0.149000
28,28,1,0.062657,0.410000
29,29,4,0.372180,0.010000
30,30,2,0.045113,0.130000
31,31,5,0.029574,0.065600
32,32,2,0.042607,0.055000
33,33,1,0.092732,0.615000
34,34,2,0.035088,0.130000
35,35,2,0.065163,0.226000
36,36,3,0.390142,0.010000
37,37,1,0.323308,0.025000
38,38,1,0.097744,0.397000
39,39,1,0.057644,0.074000
40,40,1,0.629073,0.020000
41,41,14,0.308987,0.010143
42,42,1,0.022556,0.037000
43,43,2,0.408521,0.009500
44,44,2,0.486216,0.010500
45,45,1,0.082707,0.229000
46,46,1,0.032581,0.105000
47,47,1,0.122807,0.838000
48,48,1,0.057644,0.366000
49,49,4,0.352130,0.011000
50,50,1,0.077694,0.111000
51,51,1,0.593985,0.012000
52,52,1,0.052632,0.453000
53,53,1,0.067669,0.087000
54,54,1,0.513784,0.013000
55,55,1,0.047619,0.279000
56,56,1,0.052632,0.298000
57,57,1,0.814536,0.011000
58,58,2,0.433584,0.006000
59,59,1,0.082707,0.329000
60,60,1,0.308271,0.029000
61,61,1,0.042607,0.211000
62,62,2,0.047619,0.111500
63,63,1,0.228070,0.021000
64,64,1,0.157895,0.932000
65,65,2,0.075188,0.375500
66,66,1,0.343358,0.033000
0,0,933,0.047850,0.010286
1,1,2828,0.029554,0.009870
2,2,998,0.049844,0.026646
3,3,59,0.108704,0.001492
4,4,499,0.068613,0.029918
5,5,1676,0.012582,0.005030
6,6,51,0.109735,0.089039
7,7,89,0.089071,0.004685
8,8,114,0.089478,0.069904
9,9,308,0.034160,0.025880
10,10,4,0.249373,0.000000
11,11,24,0.129699,0.106458
12,12,9,0.190755,0.150111
13,13,44,0.090681,0.088386
14,14,4,0.189223,0.207750
15,15,325,0.070260,0.048966
16,16,33,0.149844,0.173909
17,17,262,0.068530,0.007408
18,18,6,0.248956,0.151000
19,19,84,0.108306,0.049750
20,20,9,0.166806,0.001111
21,21,13,0.152497,0.088615
22,22,150,0.087987,0.031840
23,23,156,0.069951,0.068308
24,24,21,0.129968,0.171333
25,25,17,0.149639,0.048471
26,26,33,0.052783,0.067121
27,27,29,0.129894,0.128345
28,28,17,0.250184,0.169588
29,29,5,0.192982,0.073400
30,30,47,0.109476,0.067532
31,31,13,0.169077,0.108769
32,32,30,0.127987,0.000533
33,33,6,0.192982,0.111333
34,34,239,0.051709,0.047084
35,35,21,0.071727,0.085143
36,36,24,0.035088,0.045667
37,37,6,0.172097,0.069500
38,38,190,0.089065,0.049442
39,39,20,0.149373,0.127450
40,40,20,0.150376,0.000000
41,41,3,0.209691,0.067000
42,42,2,0.162907,0.247500
43,43,27,0.129119,0.050926
44,44,15,0.230744,0.174133
45,45,16,0.148810,0.070313
46,46,14,0.152524,0.109786
47,47,32,0.129386,0.068750
48,48,4,0.211779,0.000000
49,49,26,0.091575,0.107462
50,50,3,0.096074,0.169667
51,51,33,0.110959,0.127727
52,52,1,0.288221,0.104000
53,53,1,0.393484,0.192000
54,54,5,0.185965,0.052000
55,55,19,0.211450,0.173000
56,56,12,0.072682,0.109083
57,57,2,0.313283,0.304000
58,58,1,0.293233,0.161000
59,59,20,0.188972,0.173250
60,60,6,0.168755,0.151333
61,61,4,0.313283,0.170750
62,62,22,0.109592,0.109682
63,63,11,0.170198,0.129273
64,64,8,0.214286,0.149500
65,65,4,0.228070,0.188500
66,66,1,0.448622,0.000000
67,67,20,0.111278,0.147150
68,68,6,0.189641,0.092833
69,69,16,0.110589,0.172750
70,70,2,0.182957,0.000000
71,71,12,0.188388,0.130167
72,72,20,0.169925,0.171150
73,73,3,0.228070,0.131667
74,74,4,0.017544,0.021500
75,75,12,0.130326,0.034750
76,76,29,0.128684,0.089414
77,77,1,0.318296,0.207000
78,78,2,0.433584,0.175000
79,79,42,0.108605,0.031262
80,80,1,0.543860,0.209000
81,81,5,0.231078,0.145000
82,82,13,0.149798,0.150692
83,83,10,0.092732,0.126300
84,84,4,0.092732,0.149250
85,85,4,0.169173,0.187250
86,86,3,0.269841,0.267000
87,87,4,0.174185,0.223750
88,88,5,0.210025,0.133000
89,89,3,0.386800,0.173000
90,90,2,0.293233,0.000000
91,91,2,0.295739,0.078000
92,92,1,0.323308,0.196000
93,93,1,0.228070,0.239000
94,94,6,0.270677,0.174500
95,95,4,0.230576,0.001250
96,96,1,0.258145,0.354000
97,97,3,0.151211,0.207333
98,98,4,0.329574,0.000000
99,99,7,0.125671,0.185000
100,100,1,0.393484,0.203000
101,101,2,0.268170,0.148500
102,102,10,0.151378,0.187000
103,103,15,0.131161,0.149133
104,104,1,0.182957,0.292000
105,105,4,0.171679,0.053250
106,106,1,0.298246,0.191000
107,107,9,0.192426,0.188778
108,108,1,0.573935,0.210000
109,109,1,0.187970,0.270000
110,110,2,0.350877,0.184000
111,111,2,0.348371,0.151500
112,112,6,0.146199,0.032500
113,113,3,0.329992,0.174333
114,114,2,0.230576,0.210000
115,115,1,0.243108,0.191000
116,116,10,0.169424,0.089500
117,117,1,0.363409,0.535000
118,118,2,0.167920,0.201500
119,119,1,0.293233,0.349000
120,120,3,0.353383,0.310000
121,121,1,0.483709,0.266000
122,122,1,0.348371,0.612000
123,123,3,0.346700,0.176333
124,124,3,0.248120,0.132333
125,125,1,0.223058,0.288000
126,126,1,0.318296,0.189000
127,127,4,0.286967,0.146500
128,128,1,0.598997,0.201000
129,129,3,0.273183,0.183000
130,130,2,0.070175,0.131500
131,131,2,0.313283,0.138500
132,132,3,0.057644,0.089333
133,133,2,0.112782,0.182500
134,134,2,0.408521,0.208500
135,135,1,0.448622,0.101000
136,136,1,0.333333,0.577000
137,137,1,0.403509,0.251000
138,138,1,0.348371,0.279000
139,139,1,0.077694,0.154000
140,140,1,0.328321,0.150000
141,141,1,0.368421,0.125000
142,142,1,0.508772,0.341000
143,143,1,0.368421,0.320000
144,144,1,0.293233,0.337000
145,145,1,0.358396,0.231000
146,146,1,0.393484,0.435000
147,147,1,0.323308,0.135000
148,148,1,0.308271,0.447000
149,149,1,0.378446,0.222000
150,150,1,0.293233,0.387000
151,151,1,0.273183,0.102000
152,152,1,0.418546,0.141000
153,153,1,0.243108,0.275000
154,154,1,0.493734,0.764000
155,155,1,0.258145,0.365000
156,156,2,0.213033,0.112500
157,157,1,0.328321,0.402000
158,158,1,0.273183,0.207000
159,159,2,0.233083,0.094500
160,160,1,0.679198,0.000000
161,161,1,0.167920,0.020000
162,162,1,0.192982,0.027000
163,163,1,0.558897,0.357000
164,164,2,0.233083,0.043000
165,165,1,0.418546,0.169000
166,166,1,0.228070,0.270000
167,167,1,0.463659,0.156000
168,168,2,0.208020,0.054500
169,169,1,0.298246,0.216000
170,170,1,0.343358,0.288000
171,171,1,0.203008,0.240000
172,172,1,0.278195,0.320000
173,173,1,0.523810,0.151000
174,174,1,0.278195,0.000000
175,175,1,0.288221,0.132000
176,176,1,0.122807,0.200000
177,177,1,0.268170,0.124000
178,178,1,0.298246,0.264000
179,179,1,0.523810,0.167000
180,180,1,0.197995,0.255000
181,181,1,0.368421,0.409000
182,182,1,0.393484,0.242000
183,183,1,0.253133,0.090000
0,0,1,0.328321,0.197000
1,1,720,0.050578,0.026739
2,2,2155,0.029825,0.010647
3,3,20,0.171930,0.173150
4,4,6,0.188805,0.205667
5,5,1,0.203008,0.384000
6,6,172,0.051990,0.047355
7,7,25,0.129424,0.173040
8,8,86,0.108760,0.029384
9,9,197,0.088890,0.029685
10,10,265,0.068823,0.014940
11,11,18,0.130883,0.109611
12,12,85,0.070559,0.067306
13,13,242,0.069699,0.048690
14,14,975,0.013431,0.006136
15,15,86,0.089002,0.068628
16,16,173,0.089632,0.049584
17,17,1012,0.048615,0.013873
18,18,188,0.034315,0.024888
19,19,42,0.091538,0.087048
20,20,34,0.129884,0.029676
21,21,481,0.068909,0.028782
22,22,1,0.248120,0.054000
23,23,31,0.130407,0.068742
24,24,19,0.128875,0.089316
25,25,97,0.109991,0.049268
26,26,12,0.152047,0.130250
27,27,41,0.110337,0.088195
28,28,69,0.089245,0.014464
29,29,47,0.109796,0.070277
30,30,1,0.408521,0.092000
31,31,2,0.355890,0.178500
32,32,4,0.312030,0.111750
33,33,11,0.112782,0.172182
34,34,16,0.151316,0.051375
35,35,4,0.233083,0.106250
36,36,1,0.388471,0.194000
37,37,18,0.074074,0.083833
38,38,14,0.109918,0.109357
39,39,7,0.090584,0.130143
40,40,3,0.136174,0.190333
41,41,2,0.115288,0.186500
42,42,1,0.583960,0.652000
43,43,2,0.213033,0.145500
44,44,17,0.131653,0.127824
45,45,6,0.172932,0.090167
46,46,6,0.170426,0.049000
47,47,3,0.072682,0.110333
48,48,10,0.271679,0.109300
49,49,8,0.106516,0.147250
50,50,9,0.167920,0.070222
51,51,15,0.212030,0.174400
52,52,13,0.149412,0.070538
53,53,3,0.092732,0.145333
54,54,13,0.146713,0.088077
55,55,7,0.267454,0.172571
56,56,10,0.129323,0.014400
57,57,1,0.313283,0.193000
58,58,28,0.148586,0.029857
59,59,15,0.107101,0.015067
60,60,5,0.188972,0.046200
61,61,19,0.149189,0.173842
62,62,3,0.191312,0.188333
63,63,5,0.170927,0.151400
64,64,7,0.212317,0.090571
65,65,4,0.210526,0.048750
66,66,7,0.231651,0.174429
67,67,17,0.093027,0.109588
68,68,5,0.168922,0.109400
69,69,2,0.228070,0.152500
70,70,41,0.128553,0.050171
71,71,23,0.129345,0.150043
