trip_seconds,trip_miles,cellId,label-gC,label-GT
0.067669,0.014,0,-1,-1
0.047619,0.019,1,-1,-1
0.072682,0.056,2,-1,-1
0.022556,0.006,3,-1,-1
0.022556,0.011,3,-1,-1
0.012531,0.01,4,-1,-1
0.017544,0.003,4,-1,-1
0.062657,0.028,5,-1,-1
0.057644,0.021,6,-1,-1
0.057644,0.024,6,-1,-1
0.042607,0.017,1,-1,-1
0.027569,0.01,3,-1,-1
0.137845,0.177,7,-1,-1
0.032581,0.012,3,-1,-1
0.022556,0.01,3,-1,-1
0.022556,0.007,3,-1,-1
0.102757,0.07,8,-1,-1
0.032581,0.018,3,-1,-1
0.057644,0.018,1,-1,-1
0.007519,0.005,4,-1,-1
0.072682,0.034,5,-1,-1
0.082707,0.016,9,-1,-1
0.042607,0.013,1,-1,-1
0.022556,0.005,3,-1,-1
0.067669,0.031,5,-1,-1
0.017544,0.007,4,-1,-1
0.042607,0.014,1,-1,-1
0.102757,0.023,10,-1,-1
0.007519,0.005,4,-1,-1
0.037594,0.017,3,-1,-1
0.022556,0.009,3,-1,-1
0.278195,0.207,11,-1,-1
0.032581,0.009,3,-1,-1
0.037594,0.014,3,-1,-1
0.042607,0.013,1,-1,-1
0.012531,0.005,4,-1,-1
0.097744,0.088,12,-1,-1
0.087719,0.086,12,-1,-1
0.027569,0.008,3,-1,-1
0.052632,0.041,13,-1,-1
0.042607,0.011,1,-1,-1
0.057644,0.016,1,-1,-1
0.037594,0.012,3,-1,-1
0.042607,0.033,6,-1,-1
0.037594,0.01,3,-1,-1
0.343358,0.192,14,-1,-1
0.047619,0.019,1,-1,-1
0.032581,0.014,3,-1,-1
0.027569,0.007,3,-1,-1
0.057644,0.03,6,-1,-1
0.052632,0.023,6,-1,-1
0.097744,0.03,15,-1,-1
0.042607,0.018,1,-1,-1
0.12782,0.175,7,-1,-1
0.047619,0.029,6,-1,-1
0.022556,0.007,3,-1,-1
0.017544,0.009,4,-1,-1
0.032581,0.019,3,-1,-1
0.24812,0.169,16,-1,-1
0.403509,0.178,17,-1,-1
0.077694,0.068,18,-1,-1
0.017544,0.004,4,-1,-1
0.107769,0.115,19,-1,-1
0.057644,0.024,6,-1,-1
0.022556,0.005,3,-1,-1
0.017544,0.008,4,-1,-1
0.017544,0.005,4,-1,-1
0.032581,0.017,3,-1,-1
0.022556,0.009,3,-1,-1
0.017544,0.012,4,-1,-1
0.032581,0.011,3,-1,-1
0.087719,0.066,20,-1,-1
0.007519,0.003,4,-1,-1
0.057644,0.03,6,-1,-1
0.012531,0.01,4,-1,-1
0.017544,0.007,4,-1,-1
0.027569,0.013,3,-1,-1
0.077694,0.013,0,-1,-1
0.117794,0.022,10,-1,-1
0.092732,0.087,12,-1,-1
0.022556,0.007,3,-1,-1
0.192982,0.099,21,-1,-1
0.042607,0.01,1,-1,-1
0.027569,0.012,3,-1,-1
0.017544,0.008,4,-1,-1
0.027569,0.011,3,-1,-1
0.027569,0.008,3,-1,-1
0.062657,0.021,5,-1,-1
0.022556,0.009,3,-1,-1
0.042607,0.052,13,-1,-1
0.213033,0.143,22,-1,-1
0.047619,0.016,1,-1,-1
0.022556,0.008,3,-1,-1
0.027569,0.017,3,-1,-1
0.027569,0.014,3,-1,-1
0.037594,0.012,3,-1,-1
0.017544,0.008,4,-1,-1
0.062657,0.019,0,-1,-1
0.027569,0.005,3,-1,-1
0.12782,0.173,7,-1,-1
0.117794,0.055,23,-1,-1
0.032581,0.018,3,-1,-1
0.213033,0.126,24,-1,-1
0.052632,0.023,6,-1,-1
0.057644,0.018,1,-1,-1
0.057644,0.038,6,-1,-1
0.017544,0.006,4,-1,-1
0.022556,0.009,3,-1,-1
0.077694,0.057,2,-1,-1
0.017544,0.006,4,-1,-1
0.062657,0.029,5,-1,-1
0.052632,0.014,1,-1,-1
0.047619,0.024,6,-1,-1
0.14787,0.15,25,-1,-1
0.007519,0.004,4,-1,-1
0.037594,0.01,3,-1,-1
0.017544,0.006,4,-1,-1
0.057644,0.044,13,-1,-1
0.057644,0.056,13,-1,-1
0.027569,0.007,3,-1,-1
0.017544,0.009,4,-1,-1
0.18797,0.183,26,-1,-1
0.017544,0.01,4,-1,-1
0.012531,0.004,4,-1,-1
0.022556,0.008,3,-1,-1
0.032581,0.012,3,-1,-1
0.027569,0.013,3,-1,-1
0.017544,0.009,4,-1,-1
0.032581,0.015,3,-1,-1
0.032581,0.013,3,-1,-1
0.032581,0.011,3,-1,-1
0.032581,0.012,3,-1,-1
0.032581,0.011,3,-1,-1
0.037594,0.018,3,-1,-1
0.052632,0.007,1,-1,-1
0.042607,0.015,1,-1,-1
0.027569,0.011,3,-1,-1
0.072682,0.019,0,-1,-1
0.022556,0.007,3,-1,-1
0.042607,0.008,1,-1,-1
0.092732,0.039,15,-1,-1
0.007519,0.006,4,-1,-1
0.027569,0.008,3,-1,-1
0.072682,0.029,5,-1,-1
0.057644,0.034,6,-1,-1
0.022556,0.01,3,-1,-1
0.017544,0.006,4,-1,-1
0.027569,0.008,3,-1,-1
0.052632,0.017,1,-1,-1
0.027569,0.013,3,-1,-1
0.057644,0.042,13,-1,-1
0.057644,0.068,27,-1,-1
0.047619,0.015,1,-1,-1
0.007519,0.002,4,-1,-1
0.032581,0.018,3,-1,-1
0.032581,0.007,3,-1,-1
0.12782,0.05,28,-1,-1
0.027569,0.008,3,-1,-1
0.017544,0.007,4,-1,-1
0.027569,0.014,3,-1,-1
0.032581,0.014,3,-1,-1
0.067669,0.021,5,-1,-1
0.022556,0.008,3,-1,-1
0.032581,0.011,3,-1,-1
0.072682,0.041,2,-1,-1
0.022556,0.007,3,-1,-1
0.117794,0.174,29,-1,-1
0.072682,0.024,5,-1,-1
0.052632,0.024,6,-1,-1
0.162907,0.092,30,-1,-1
0.027569,0.009,3,-1,-1
