Taxi_id,time_stamp,hour,day,month,year,day_of_week,trip_seconds,trip_miles,trip_total
455b6b,2014-08-01 09:30:00.000000 UTC,9.5,1,8,2014,6,840,1.4,10.35
455b6b,2014-02-28 08:00:00.000000 UTC,8,28,2,2014,6,600,1.9,9.55
455b6b,2015-09-04 13:45:00.000000 UTC,13.75,4,9,2015,6,900,5.6,16.45
455b6b,2014-08-15 08:00:00.000000 UTC,8,15,8,2014,6,300,0.6,6.05
455b6b,2014-05-19 07:45:00.000000 UTC,7.75,19,5,2014,2,300,1.1,9.35
455b6b,2015-03-26 01:45:00.000000 UTC,1.75,26,3,2015,5,180,1,7.05
455b6b,2015-05-28 11:45:00.000000 UTC,11.75,28,5,2015,5,240,0.3,4.25
455b6b,2015-08-28 09:45:00.000000 UTC,9.75,28,8,2015,6,780,2.8,13.25
455b6b,2015-12-16 05:15:00.000000 UTC,5.25,16,12,2015,4,720,2.1,9.05
455b6b,2014-10-23 11:00:00.000000 UTC,11,23,10,2014,5,720,2.4,9.25
455b6b,2014-11-21 11:45:00.000000 UTC,11.75,21,11,2014,6,540,1.7,9.45
455b6b,2015-09-24 13:15:00.000000 UTC,13.25,24,9,2015,5,360,1,5.85
455b6b,2016-08-16 05:15:00.000000 UTC,5.25,16,8,2016,3,1680,17.7,54.5
455b6b,2014-03-19 09:15:00.000000 UTC,9.25,19,3,2014,4,420,1.2,6.45
455b6b,2015-08-13 13:45:00.000000 UTC,13.75,13,8,2015,5,300,1,6.85
455b6b,2015-09-03 11:30:00.000000 UTC,11.5,3,9,2015,5,300,0.7,5.45
455b6b,2015-06-04 12:45:00.000000 UTC,12.75,4,6,2015,5,1260,7,19.85
455b6b,2015-11-13 03:00:00.000000 UTC,3,13,11,2015,6,420,1.8,9.25
455b6b,2015-09-04 09:30:00.000000 UTC,9.5,4,9,2015,6,720,1.8,8.05
455b6b,2015-03-31 11:00:00.000000 UTC,11,31,3,2015,3,120,0.5,4.25
455b6b,2015-02-24 02:45:00.000000 UTC,2.75,24,2,2015,3,900,3.4,12.05
455b6b,2015-01-07 13:30:00.000000 UTC,13.5,7,1,2015,4,1020,1.6,13.25
455b6b,2015-10-29 02:45:00.000000 UTC,2.75,29,10,2015,5,540,1.3,8.25
455b6b,2015-02-26 03:45:00.000000 UTC,3.75,26,2,2015,5,300,0.5,5.05
455b6b,2016-04-19 07:30:00.000000 UTC,7.5,19,4,2016,3,840,3.1,15
455b6b,2015-10-26 02:45:00.000000 UTC,2.75,26,10,2015,2,240,0.7,5.05
455b6b,2014-02-28 02:30:00.000000 UTC,2.5,28,2,2014,6,540,1.4,7.45
455b6b,2015-07-02 12:45:00.000000 UTC,12.75,2,7,2015,5,1260,2.3,12.75
455b6b,2015-09-23 02:30:00.000000 UTC,2.5,23,9,2015,4,120,0.5,4.25
455b6b,2014-09-18 11:30:00.000000 UTC,11.5,18,9,2014,5,480,1.7,7.25
455b6b,2015-07-02 04:00:00.000000 UTC,4,2,7,2015,5,300,0.9,5.45
455b6b,2016-01-13 07:30:00.000000 UTC,7.5,13,1,2016,4,3360,20.7,58.25
455b6b,2014-05-14 04:45:00.000000 UTC,4.75,14,5,2014,4,420,0.9,7.55
455b6b,2015-10-07 02:45:00.000000 UTC,2.75,7,10,2015,4,480,1.4,8.05
455b6b,2014-02-26 08:00:00.000000 UTC,8,26,2,2014,4,540,1.3,7.25
455b6b,2014-11-11 13:45:00.000000 UTC,13.75,11,11,2014,3,180,0.5,6.15
455b6b,2014-10-17 15:00:00.000000 UTC,15,17,10,2014,6,1200,8.8,20.45
455b6b,2014-03-14 18:15:00.000000 UTC,18.25,14,3,2014,6,1080,8.6,20.05
455b6b,2015-08-12 11:30:00.000000 UTC,11.5,12,8,2015,4,360,0.8,5.65
455b6b,2015-01-02 04:45:00.000000 UTC,4.75,2,1,2015,6,660,4.1,12.85
455b6b,2014-04-18 06:45:00.000000 UTC,6.75,18,4,2014,6,540,1.1,6.85
455b6b,2014-12-10 12:30:00.000000 UTC,12.5,10,12,2014,4,720,1.6,8.44
455b6b,2014-10-14 04:45:00.000000 UTC,4.75,14,10,2014,3,480,1.2,9.05
455b6b,2014-04-25 07:00:00.000000 UTC,7,25,4,2014,6,540,3.3,9.85
455b6b,2014-10-01 08:45:00.000000 UTC,8.75,1,10,2014,4,480,1,8.65
455b6b,2016-10-31 02:30:00.000000 UTC,2.5,31,10,2016,2,4140,19.2,51.25
455b6b,2014-12-24 12:15:00.000000 UTC,12.25,24,12,2014,4,600,1.9,8.85
455b6b,2015-08-25 14:15:00.000000 UTC,14.25,25,8,2015,3,420,1.4,9.65
455b6b,2014-01-22 07:15:00.000000 UTC,7.25,22,1,2014,4,360,0.7,5.65
455b6b,2014-11-04 03:45:00.000000 UTC,3.75,4,11,2014,3,720,3,10.25
455b6b,2014-08-25 07:45:00.000000 UTC,7.75,25,8,2014,2,660,2.3,8.44
455b6b,2015-06-01 13:00:00.000000 UTC,13,1,6,2015,2,1200,3,12.25
455b6b,2014-09-11 05:30:00.000000 UTC,5.5,11,9,2014,5,540,1.8,8.65
455b6b,2016-08-30 16:15:00.000000 UTC,16.25,30,8,2016,3,1560,17.5,51.5
455b6b,2015-07-31 15:15:00.000000 UTC,15.25,31,7,2015,6,600,2.9,10.94
455b6b,2014-02-17 07:00:00.000000 UTC,7,17,2,2014,2,300,0.7,5.25
455b6b,2015-04-14 02:15:00.000000 UTC,2.25,14,4,2015,3,240,0.9,5.25
455b6b,2014-08-06 06:15:00.000000 UTC,6.25,6,8,2014,4,420,1.9,8.45
455b6b,2014-09-12 10:30:00.000000 UTC,10.5,12,9,2014,6,3000,16.9,40.04
455b6b,2014-11-13 13:00:00.000000 UTC,13,13,11,2014,5,4860,17.8,55.02
455b6b,2014-08-27 13:00:00.000000 UTC,13,27,8,2014,4,960,6.8,16.85
455b6b,2015-04-24 13:15:00.000000 UTC,13.25,24,4,2015,6,240,0.4,5.84
455b6b,2015-03-18 02:15:00.000000 UTC,2.25,18,3,2015,4,1320,11.5,33.81
455b6b,2015-06-03 09:30:00.000000 UTC,9.5,3,6,2015,4,720,2.4,9.25
455b6b,2014-02-21 11:30:00.000000 UTC,11.5,21,2,2014,6,300,0.5,5.05
455b6b,2015-08-17 13:45:00.000000 UTC,13.75,17,8,2015,2,240,0.8,8.25
455b6b,2015-02-09 12:30:00.000000 UTC,12.5,9,2,2015,2,240,0.5,5.05
455b6b,2014-09-03 10:15:00.000000 UTC,10.25,3,9,2014,4,420,1.7,11.05
455b6b,2014-11-19 12:45:00.000000 UTC,12.75,19,11,2014,4,300,0.9,5.45
455b6b,2015-05-26 10:15:00.000000 UTC,10.25,26,5,2015,3,240,1.2,5.85
455b6b,2015-06-12 02:15:00.000000 UTC,2.25,12,6,2015,6,420,1.1,6.45
455b6b,2014-03-18 11:45:00.000000 UTC,11.75,18,3,2014,3,1080,6.6,21.31
455b6b,2014-08-11 06:15:00.000000 UTC,6.25,11,8,2014,2,120,0.3,4.05
455b6b,2014-07-18 08:45:00.000000 UTC,8.75,18,7,2014,6,720,3,10.05
455b6b,2015-01-22 01:45:00.000000 UTC,1.75,22,1,2015,5,180,1,5.25
455b6b,2015-10-29 03:00:00.000000 UTC,3,29,10,2015,5,240,0.7,5.05
455b6b,2015-12-02 12:30:00.000000 UTC,12.5,2,12,2015,4,360,1.3,5.85
455b6b,2014-05-30 05:00:00.000000 UTC,5,30,5,2014,6,960,1.3,10.75
455b6b,2015-07-07 13:15:00.000000 UTC,13.25,7,7,2015,3,1440,2.2,15.25
455b6b,2014-07-14 17:00:00.000000 UTC,17,14,7,2014,2,1140,8.7,20.05
455b6b,2015-01-09 03:00:00.000000 UTC,3,9,1,2015,6,300,0.7,6.05
455b6b,2015-05-22 11:15:00.000000 UTC,11.25,22,5,2015,6,2340,9.9,30.54
455b6b,2014-08-14 06:30:00.000000 UTC,6.5,14,8,2014,5,540,1,7.95
455b6b,2015-09-11 14:00:00.000000 UTC,14,11,9,2015,6,360,1.2,6.25
455b6b,2015-09-15 02:00:00.000000 UTC,2,15,9,2015,3,240,0.8,5.25
455b6b,2015-01-05 13:30:00.000000 UTC,13.5,5,1,2015,2,360,1.1,6.05
455b6b,2014-09-30 08:00:00.000000 UTC,8,30,9,2014,3,360,0.8,7.65
455b6b,2014-07-25 07:30:00.000000 UTC,7.5,25,7,2014,6,780,2.1,9.05
455b6b,2015-11-19 04:45:00.000000 UTC,4.75,19,11,2015,5,300,0.9,5.45
455b6b,2015-04-21 06:45:00.000000 UTC,6.75,21,4,2015,3,540,5.2,13.05
455b6b,2015-07-31 12:15:00.000000 UTC,12.25,31,7,2015,6,2580,14.3,39.99
455b6b,2015-04-02 04:00:00.000000 UTC,4,2,4,2015,5,600,1.6,9.85
455b6b,2014-12-19 13:30:00.000000 UTC,13.5,19,12,2014,6,300,0.8,6.95
455b6b,2015-12-03 05:00:00.000000 UTC,5,3,12,2015,5,360,1.7,7.05
455b6b,2014-02-04 01:30:00.000000 UTC,1.5,4,2,2014,3,360,1.4,7.45
455b6b,2015-05-26 02:45:00.000000 UTC,2.75,26,5,2015,3,480,1.2,6.45
455b6b,2014-02-26 09:30:00.000000 UTC,9.5,26,2,2014,4,240,0.8,5.05
455b6b,2015-06-26 10:15:00.000000 UTC,10.25,26,6,2015,6,780,1.9,10.85
455b6b,2014-06-20 09:15:00.000000 UTC,9.25,20,6,2014,6,360,0.5,5.25
455b6b,2015-04-14 05:15:00.000000 UTC,5.25,14,4,2015,3,1560,17.3,44.22
455b6b,2014-01-23 03:45:00.000000 UTC,3.75,23,1,2014,5,1440,5.5,19.5
455b6b,2015-11-17 11:30:00.000000 UTC,11.5,17,11,2015,3,420,1.8,7.05
455b6b,2014-10-01 09:45:00.000000 UTC,9.75,1,10,2014,4,2580,12.6,30.85
455b6b,2014-12-15 06:00:00.000000 UTC,6,15,12,2014,2,660,2.3,10.65
455b6b,2014-12-11 03:30:00.000000 UTC,3.5,11,12,2014,5,720,1.8,8.44
455b6b,2014-10-08 14:30:00.000000 UTC,14.5,8,10,2014,4,720,3.8,12.05
455b6b,2015-04-07 12:30:00.000000 UTC,12.5,7,4,2015,3,240,0.6,5.84
455b6b,2015-02-18 11:45:00.000000 UTC,11.75,18,2,2015,4,300,0.9,6.45
455b6b,2015-02-06 02:15:00.000000 UTC,2.25,6,2,2015,6,960,5.7,16.65
455b6b,2014-10-21 09:00:00.000000 UTC,9,21,10,2014,3,240,0.6,6.65
455b6b,2014-09-15 08:45:00.000000 UTC,8.75,15,9,2014,2,780,2.9,12.05
455b6b,2015-02-18 03:15:00.000000 UTC,3.25,18,2,2015,4,660,1.4,9.45
455b6b,2015-01-02 03:45:00.000000 UTC,3.75,2,1,2015,6,600,2.4,11.25
455b6b,2014-05-02 02:45:00.000000 UTC,2.75,2,5,2014,6,1800,15,36.45
455b6b,2015-05-06 11:00:00.000000 UTC,11,6,5,2015,4,120,0.4,4.05
455b6b,2014-11-24 12:45:00.000000 UTC,12.75,24,11,2014,2,480,1,9.45
455b6b,2014-01-24 10:00:00.000000 UTC,10,24,1,2014,6,240,0.6,6.84
455b6b,2014-01-24 05:00:00.000000 UTC,5,24,1,2014,6,720,4.4,11.85
455b6b,2014-07-08 09:00:00.000000 UTC,9,8,7,2014,3,720,5.6,14.25
455b6b,2015-01-14 12:30:00.000000 UTC,12.5,14,1,2015,4,360,0.7,6.25
455b6b,2015-09-11 11:30:00.000000 UTC,11.5,11,9,2015,6,240,0.9,6.45
455b6b,2014-08-12 11:45:00.000000 UTC,11.75,12,8,2014,3,2280,18.3,40.65
455b6b,2014-03-21 08:45:00.000000 UTC,8.75,21,3,2014,6,240,1,10.45
455b6b,2014-11-27 14:00:00.000000 UTC,14,27,11,2014,5,180,0.4,5.25
455b6b,2014-04-28 14:00:00.000000 UTC,14,28,4,2014,2,300,0.8,8.25
455b6b,2014-02-11 05:30:00.000000 UTC,5.5,11,2,2014,3,420,1.2,6.45
