Taxi_id,time_stamp,hour,day,month,year,day_of_week,trip_seconds,trip_miles,trip_total
4c8b67,2015-10-29 04:30:00.000000 UTC,4.5,29,10,2015,5,1200,0.1,11.05
4c8b67,2015-08-03 13:45:00.000000 UTC,13.75,3,8,2015,2,420,0,7.45
4c8b67,2015-12-14 16:00:00.000000 UTC,16,14,12,2015,2,600,0.1,9.85
4c8b67,2015-12-23 17:30:00.000000 UTC,17.5,23,12,2015,4,900,0.3,15.05
4c8b67,2016-03-08 20:00:00.000000 UTC,20,8,3,2016,3,840,0.3,21.3
4c8b67,2015-11-06 18:30:00.000000 UTC,18.5,6,11,2015,6,240,0,6.25
4c8b67,2015-12-29 22:00:00.000000 UTC,22,29,12,2015,3,180,0,6.25
4c8b67,2016-07-01 15:30:00.000000 UTC,15.5,1,7,2016,6,240,0,5
4c8b67,2015-02-06 13:15:00.000000 UTC,13.25,6,2,2015,6,60,0,3.45
4c8b67,2015-10-28 22:15:00.000000 UTC,22.25,28,10,2015,4,240,0,5.85
4c8b67,2016-01-26 13:00:00.000000 UTC,13,26,1,2016,3,2940,0.9,55.3
4c8b67,2016-02-01 17:15:00.000000 UTC,17.25,1,2,2016,2,780,0.1,13.25
4c8b67,2015-07-03 14:45:00.000000 UTC,14.75,3,7,2015,6,1680,1.2,50.85
4c8b67,2015-11-12 07:00:00.000000 UTC,7,12,11,2015,5,1140,0.3,16.65
4c8b67,2015-03-06 14:00:00.000000 UTC,14,6,3,2015,6,360,0,5.65
4c8b67,2015-07-27 03:15:00.000000 UTC,3.25,27,7,2015,2,900,0.3,19.5
4c8b67,2015-05-13 10:30:00.000000 UTC,10.5,13,5,2015,4,3420,0.9,39.05
4c8b67,2015-12-10 14:30:00.000000 UTC,14.5,10,12,2015,5,960,0.1,11.25
4c8b67,2015-04-03 04:00:00.000000 UTC,4,3,4,2015,6,900,0.3,14.65
4c8b67,2015-11-27 23:15:00.000000 UTC,23.25,27,11,2015,6,540,0.2,11.25
4c8b67,2016-12-08 07:00:00.000000 UTC,7,8,12,2016,5,480,0,8.25
4c8b67,2015-09-11 11:15:00.000000 UTC,11.25,11,9,2015,6,660,0.1,8.05
4c8b67,2016-02-25 12:45:00.000000 UTC,12.75,25,2,2016,5,540,0,7.75
4c8b67,2015-04-07 21:00:00.000000 UTC,21,7,4,2015,3,780,0.2,11.85
4c8b67,2015-07-22 22:15:00.000000 UTC,22.25,22,7,2015,4,300,0,8.25
4c8b67,2015-02-25 12:15:00.000000 UTC,12.25,25,2,2015,4,420,0,8.05
4c8b67,2016-03-01 08:00:00.000000 UTC,8,1,3,2016,3,360,0,6.25
4c8b67,2015-12-30 10:00:00.000000 UTC,10,30,12,2015,4,300,0,6.75
4c8b67,2015-10-01 18:30:00.000000 UTC,18.5,1,10,2015,5,360,0,9.45
4c8b67,2016-03-10 16:15:00.000000 UTC,16.25,10,3,2016,5,240,0,7.75
4c8b67,2015-12-04 10:30:00.000000 UTC,10.5,4,12,2015,6,600,0,7.05
4c8b67,2015-08-24 17:30:00.000000 UTC,17.5,24,8,2015,2,300,0,7.65
4c8b67,2015-09-18 04:00:00.000000 UTC,4,18,9,2015,6,360,0,11.6
4c8b67,2015-01-28 01:30:00.000000 UTC,1.5,28,1,2015,4,840,0.4,17.85
4c8b67,2015-09-14 07:15:00.000000 UTC,7.25,14,9,2015,2,900,0.6,26.15
4c8b67,2016-02-03 10:30:00.000000 UTC,10.5,3,2,2016,4,420,0,10
4c8b67,2016-04-22 14:45:00.000000 UTC,14.75,22,4,2016,6,480,0.1,7.75
4c8b67,2016-04-05 05:30:00.000000 UTC,5.5,5,4,2016,3,420,0,10.5
4c8b67,2015-12-21 19:45:00.000000 UTC,19.75,21,12,2015,2,780,0.3,16.85
4c8b67,2015-05-08 22:00:00.000000 UTC,22,8,5,2015,6,840,0.2,12.5
4c8b67,2015-05-05 16:00:00.000000 UTC,16,5,5,2015,3,2340,0.7,32.35
4c8b67,2016-02-08 11:00:00.000000 UTC,11,8,2,2016,2,240,0,6.25
4c8b67,2014-12-31 19:15:00.000000 UTC,19.25,31,12,2014,4,1680,0.3,18.45
4c8b67,2015-04-20 05:30:00.000000 UTC,5.5,20,4,2015,2,840,0.1,11.85
4c8b67,2016-03-18 05:15:00.000000 UTC,5.25,18,3,2016,6,360,0.1,7.75
4c8b67,2016-03-28 16:00:00.000000 UTC,16,28,3,2016,2,660,0.2,12.75
4c8b67,2015-02-18 05:15:00.000000 UTC,5.25,18,2,2015,4,660,0.2,11.95
4c8b67,2015-12-31 22:30:00.000000 UTC,22.5,31,12,2015,5,300,0,5.85
4c8b67,2015-06-25 04:45:00.000000 UTC,4.75,25,6,2015,5,360,0,6.45
4c8b67,2015-04-22 20:45:00.000000 UTC,20.75,22,4,2015,4,960,0.2,13.65
4c8b67,2015-06-26 21:15:00.000000 UTC,21.25,26,6,2015,6,360,0,6.95
4c8b67,2015-11-10 16:30:00.000000 UTC,16.5,10,11,2015,3,960,0.1,12.5
4c8b67,2016-04-21 19:30:00.000000 UTC,19.5,21,4,2016,5,1080,0.2,18.75
4c8b67,2016-03-07 19:30:00.000000 UTC,19.5,7,3,2016,2,240,0,4.75
4c8b67,2015-12-11 23:30:00.000000 UTC,23.5,11,12,2015,6,1440,1.1,39.45
4c8b67,2015-08-12 18:30:00.000000 UTC,18.5,12,8,2015,4,1200,0.2,17.2
4c8b67,2015-10-09 20:00:00.000000 UTC,20,9,10,2015,6,1140,0.3,18.3
4c8b67,2015-09-21 04:30:00.000000 UTC,4.5,21,9,2015,2,1440,0.5,21.85
4c8b67,2014-12-31 22:15:00.000000 UTC,22.25,31,12,2014,4,780,0.1,11.05
4c8b67,2015-09-08 03:45:00.000000 UTC,3.75,8,9,2015,3,420,0,7.45
4c8b67,2015-07-15 15:15:00.000000 UTC,15.25,15,7,2015,4,1200,0,24.25
4c8b67,2015-07-17 21:45:00.000000 UTC,21.75,17,7,2015,6,1020,0.3,15.65
4c8b67,2015-12-29 08:30:00.000000 UTC,8.5,29,12,2015,3,120,0,6.35
4c8b67,2015-08-13 17:30:00.000000 UTC,17.5,13,8,2015,5,2280,1.1,64.05
4c8b67,2015-10-06 15:15:00.000000 UTC,15.25,6,10,2015,3,540,0,9.05
4c8b67,2015-02-27 11:15:00.000000 UTC,11.25,27,2,2015,6,960,0.1,11.85
4c8b67,2015-03-05 05:15:00.000000 UTC,5.25,5,3,2015,5,600,0,6.85
4c8b67,2015-05-25 09:30:00.000000 UTC,9.5,25,5,2015,2,360,0,6.85
4c8b67,2015-12-01 12:15:00.000000 UTC,12.25,1,12,2015,3,420,0.1,6.85
4c8b67,2015-10-20 04:00:00.000000 UTC,4,20,10,2015,3,2340,0.4,27.15
4c8b67,2015-04-17 05:15:00.000000 UTC,5.25,17,4,2015,6,900,0.1,9.65
4c8b67,2015-09-22 06:00:00.000000 UTC,6,22,9,2015,3,480,0,7.85
