Taxi_id,time_stamp,hour,day,month,year,day_of_week,trip_seconds,trip_miles,trip_total
b50eb9,2015-03-20 04:00:00.000000 UTC,4,20,3,2015,6,2460,17.2,46.35
b50eb9,2014-08-22 08:15:00.000000 UTC,8.25,22,8,2014,6,660,2.1,10.65
b50eb9,2014-03-20 14:15:00.000000 UTC,14.25,20,3,2014,5,300,1,7.25
b50eb9,2014-12-30 09:45:00.000000 UTC,9.75,30,12,2014,3,1020,4.1,12.45
b50eb9,2014-04-25 15:45:00.000000 UTC,15.75,25,4,2014,6,240,0.6,4.85
b50eb9,2015-12-11 17:00:00.000000 UTC,17,11,12,2015,6,180,0.4,5.25
b50eb9,2015-11-18 03:00:00.000000 UTC,3,18,11,2015,4,960,4.8,14.65
b50eb9,2014-12-11 11:30:00.000000 UTC,11.5,11,12,2014,5,840,2.2,11.65
b50eb9,2014-02-25 04:15:00.000000 UTC,4.25,25,2,2014,3,780,1.8,10.65
b50eb9,2015-09-28 05:45:00.000000 UTC,5.75,28,9,2015,2,660,1.7,9.85
b50eb9,2014-02-11 14:30:00.000000 UTC,14.5,11,2,2014,3,600,1.5,8.25
b50eb9,2014-05-08 06:30:00.000000 UTC,6.5,8,5,2014,5,720,1.8,8.25
b50eb9,2014-02-18 11:30:00.000000 UTC,11.5,18,2,2014,3,1140,3.9,12.05
b50eb9,2016-05-31 09:45:00.000000 UTC,9.75,31,5,2016,3,420,0.8,6.25
b50eb9,2014-03-14 17:15:00.000000 UTC,17.25,14,3,2014,6,360,1.6,8.23
b50eb9,2015-05-19 03:00:00.000000 UTC,3,19,5,2015,3,1020,6.1,19.8
b50eb9,2016-05-19 17:30:00.000000 UTC,17.5,19,5,2016,5,480,1.8,8.75
b50eb9,2014-05-13 12:45:00.000000 UTC,12.75,13,5,2014,3,1320,6.1,19.25
b50eb9,2014-04-17 15:15:00.000000 UTC,15.25,17,4,2014,5,420,1.6,7.85
b50eb9,2014-10-08 03:45:00.000000 UTC,3.75,8,10,2014,4,720,1.7,8.25
b50eb9,2015-03-06 07:30:00.000000 UTC,7.5,6,3,2015,6,720,3,9.65
b50eb9,2014-07-09 16:15:00.000000 UTC,16.25,9,7,2014,4,240,1.1,7.65
b50eb9,2014-12-03 07:00:00.000000 UTC,7,3,12,2014,4,900,2.4,12.55
b50eb9,2015-08-17 10:30:00.000000 UTC,10.5,17,8,2015,2,900,2.1,10.65
b50eb9,2014-06-11 16:45:00.000000 UTC,16.75,11,6,2014,4,300,1.3,10.55
b50eb9,2015-10-23 06:00:00.000000 UTC,6,23,10,2015,6,1020,6.3,19.25
b50eb9,2015-07-09 04:30:00.000000 UTC,4.5,9,7,2015,5,3060,17.1,40.45
b50eb9,2015-03-03 08:15:00.000000 UTC,8.25,3,3,2015,3,660,1.5,9.65
b50eb9,2014-03-07 13:45:00.000000 UTC,13.75,7,3,2014,6,1980,5.7,22.6
b50eb9,2015-05-01 13:45:00.000000 UTC,13.75,1,5,2015,6,420,1.2,8.25
b50eb9,2015-07-31 13:30:00.000000 UTC,13.5,31,7,2015,6,300,0.5,4.85
b50eb9,2014-08-07 10:00:00.000000 UTC,10,7,8,2014,5,600,1.6,11.45
b50eb9,2014-12-18 13:30:00.000000 UTC,13.5,18,12,2014,5,240,0.6,4.65
b50eb9,2014-08-19 09:30:00.000000 UTC,9.5,19,8,2014,3,2640,2.6,20.25
b50eb9,2015-06-02 12:15:00.000000 UTC,12.25,2,6,2015,3,360,1,7.65
b50eb9,2014-06-10 09:45:00.000000 UTC,9.75,10,6,2014,3,420,1.3,7.45
b50eb9,2014-10-08 05:30:00.000000 UTC,5.5,8,10,2014,4,240,0.8,6.05
b50eb9,2016-04-07 13:30:00.000000 UTC,13.5,7,4,2016,5,840,1.3,10.75
b50eb9,2014-11-03 11:15:00.000000 UTC,11.25,3,11,2014,2,240,0.8,9.05
b50eb9,2014-06-12 06:15:00.000000 UTC,6.25,12,6,2014,5,720,3.8,14.45
b50eb9,2014-07-14 08:30:00.000000 UTC,8.5,14,7,2014,2,600,3.4,10.25
b50eb9,2014-06-05 11:15:00.000000 UTC,11.25,5,6,2014,5,540,2,7.65
b50eb9,2014-03-05 14:15:00.000000 UTC,14.25,5,3,2014,4,480,1.2,6.65
b50eb9,2015-09-17 11:45:00.000000 UTC,11.75,17,9,2015,5,240,0.5,4.85
b50eb9,2016-02-04 11:45:00.000000 UTC,11.75,4,2,2016,5,840,2.6,12.5
b50eb9,2014-01-09 08:30:00.000000 UTC,8.5,9,1,2014,5,540,1.7,7.45
b50eb9,2015-10-08 01:15:00.000000 UTC,1.25,8,10,2015,5,1440,16.8,43.95
b50eb9,2015-03-04 04:30:00.000000 UTC,4.5,4,3,2015,4,240,0.6,6.65
b50eb9,2014-07-10 16:30:00.000000 UTC,16.5,10,7,2014,5,360,0.3,5.45
b50eb9,2014-03-19 09:15:00.000000 UTC,9.25,19,3,2014,4,1680,17.3,46.6
b50eb9,2014-05-29 05:00:00.000000 UTC,5,29,5,2014,5,180,0.3,4.45
b50eb9,2014-01-10 13:45:00.000000 UTC,13.75,10,1,2014,6,1800,8.1,21.85
b50eb9,2014-03-14 15:00:00.000000 UTC,15,14,3,2014,6,720,4.3,12.05
b50eb9,2014-02-05 08:00:00.000000 UTC,8,5,2,2014,4,600,1.1,8.85
b50eb9,2014-01-16 15:00:00.000000 UTC,15,16,1,2014,5,120,0.3,5.85
b50eb9,2014-10-14 10:30:00.000000 UTC,10.5,14,10,2014,3,480,0.9,6.45
b50eb9,2015-02-25 12:45:00.000000 UTC,12.75,25,2,2015,4,540,1,6.25
b50eb9,2014-11-03 12:00:00.000000 UTC,12,3,11,2014,2,360,0.9,9.45
b50eb9,2014-07-10 16:45:00.000000 UTC,16.75,10,7,2014,5,600,2.1,11.45
b50eb9,2014-06-16 14:00:00.000000 UTC,14,16,6,2014,2,540,1.5,10.45
b50eb9,2016-09-23 14:00:00.000000 UTC,14,23,9,2016,6,300,0.9,7.75
b50eb9,2015-09-21 09:45:00.000000 UTC,9.75,21,9,2015,2,1320,6.8,20.65
b50eb9,2014-07-04 14:15:00.000000 UTC,14.25,4,7,2014,6,780,2.1,10.45
b50eb9,2014-10-07 10:15:00.000000 UTC,10.25,7,10,2014,3,900,1.6,9.05
b50eb9,2014-01-14 03:30:00.000000 UTC,3.5,14,1,2014,3,1500,12.6,30.45
b50eb9,2014-01-28 15:15:00.000000 UTC,15.25,28,1,2014,3,180,0.4,5.25
b50eb9,2015-10-22 00:15:00.000000 UTC,0.25,22,10,2015,5,1500,13.2,30.45
b50eb9,2015-05-14 03:30:00.000000 UTC,3.5,14,5,2015,5,180,0.5,4.25
b50eb9,2015-12-01 11:45:00.000000 UTC,11.75,1,12,2015,3,300,1.3,6.05
b50eb9,2014-05-14 13:00:00.000000 UTC,13,14,5,2014,4,660,1.4,9.85
b50eb9,2014-08-01 14:30:00.000000 UTC,14.5,1,8,2014,6,540,2,8.05
b50eb9,2015-10-22 06:45:00.000000 UTC,6.75,22,10,2015,5,1560,18.6,48.75
b50eb9,2014-07-11 07:30:00.000000 UTC,7.5,11,7,2014,6,660,5.9,17.3
b50eb9,2015-05-14 01:15:00.000000 UTC,1.25,14,5,2015,5,1260,11.9,33.9
b50eb9,2014-04-02 04:00:00.000000 UTC,4,2,4,2014,4,1920,9.3,28.1
b50eb9,2014-05-19 11:00:00.000000 UTC,11,19,5,2014,2,420,1.2,10.45
b50eb9,2014-08-26 18:30:00.000000 UTC,18.5,26,8,2014,3,480,2.2,8.15
b50eb9,2015-09-18 01:30:00.000000 UTC,1.5,18,9,2015,6,300,2.9,16.4
b50eb9,2014-08-18 13:00:00.000000 UTC,13,18,8,2014,2,480,1.3,6.85
b50eb9,2014-02-25 05:00:00.000000 UTC,5,25,2,2014,3,300,1.1,7.85
b50eb9,2015-01-01 04:30:00.000000 UTC,4.5,1,1,2015,5,240,1,5.45
b50eb9,2014-05-28 12:00:00.000000 UTC,12,28,5,2014,4,240,0.6,5.05
b50eb9,2015-02-19 03:45:00.000000 UTC,3.75,19,2,2015,5,120,0.2,4.05
b50eb9,2014-11-21 10:45:00.000000 UTC,10.75,21,11,2014,6,2460,16.6,38.25
b50eb9,2014-09-23 04:45:00.000000 UTC,4.75,23,9,2014,3,900,1.5,11.05
b50eb9,2014-12-17 12:15:00.000000 UTC,12.25,17,12,2014,4,600,1.3,8.75
b50eb9,2014-12-15 13:15:00.000000 UTC,13.25,15,12,2014,2,3480,25.5,53.65
b50eb9,2014-09-08 08:00:00.000000 UTC,8,8,9,2014,2,480,1.7,8.5
b50eb9,2014-11-04 09:45:00.000000 UTC,9.75,4,11,2014,3,480,1.5,8.5
b50eb9,2014-07-14 13:45:00.000000 UTC,13.75,14,7,2014,2,720,1.5,8.05
b50eb9,2014-07-18 06:30:00.000000 UTC,6.5,18,7,2014,6,360,1,5.85
b50eb9,2015-11-19 02:30:00.000000 UTC,2.5,19,11,2015,5,480,1.7,7.25
b50eb9,2014-01-02 16:45:00.000000 UTC,16.75,2,1,2014,5,240,0.6,6.85
b50eb9,2016-02-25 15:15:00.000000 UTC,15.25,25,2,2016,5,540,1.5,7.5
b50eb9,2016-09-21 16:30:00.000000 UTC,16.5,21,9,2016,4,540,1.9,10.25
b50eb9,2014-12-10 14:00:00.000000 UTC,14,10,12,2014,4,2880,17.7,47.55
b50eb9,2015-08-10 04:00:00.000000 UTC,4,10,8,2015,2,1320,6.4,22.1
b50eb9,2014-03-18 05:45:00.000000 UTC,5.75,18,3,2014,3,540,1.2,8.65
b50eb9,2014-09-30 13:00:00.000000 UTC,13,30,9,2014,3,420,0.8,6.05
b50eb9,2015-02-19 02:45:00.000000 UTC,2.75,19,2,2015,5,1200,7.6,23.65
b50eb9,2015-11-18 06:15:00.000000 UTC,6.25,18,11,2015,4,480,2.9,12.05
b50eb9,2014-01-16 05:30:00.000000 UTC,5.5,16,1,2014,5,1260,9.2,25.15
b50eb9,2015-03-27 09:30:00.000000 UTC,9.5,27,3,2015,6,660,3.3,12.05
b50eb9,2014-05-20 12:30:00.000000 UTC,12.5,20,5,2014,3,1020,2.5,11.85
b50eb9,2014-05-19 04:45:00.000000 UTC,4.75,19,5,2014,2,3180,18.9,42.45
b50eb9,2014-03-03 00:30:00.000000 UTC,0.5,3,3,2014,2,1560,16.9,42.05
b50eb9,2015-02-26 15:30:00.000000 UTC,15.5,26,2,2015,5,660,1.8,9.05
b50eb9,2014-12-09 04:00:00.000000 UTC,4,9,12,2014,3,360,0.8,5.25
b50eb9,2015-03-19 04:45:00.000000 UTC,4.75,19,3,2015,5,240,0.4,4.45
b50eb9,2016-10-06 07:15:00.000000 UTC,7.25,6,10,2016,5,60,0,3.25
b50eb9,2015-09-29 09:00:00.000000 UTC,9,29,9,2015,3,480,0.9,12.25
b50eb9,2015-08-13 18:15:00.000000 UTC,18.25,13,8,2015,5,360,1.3,7.45
b50eb9,2014-07-02 09:15:00.000000 UTC,9.25,2,7,2014,4,240,0.7,5.25
b50eb9,2015-03-03 06:15:00.000000 UTC,6.25,3,3,2015,3,300,0.9,6.65
b50eb9,2014-05-30 16:00:00.000000 UTC,16,30,5,2014,6,900,6.6,17.75
b50eb9,2014-05-08 07:15:00.000000 UTC,7.25,8,5,2014,5,900,8.8,23.05
b50eb9,2015-10-12 02:15:00.000000 UTC,2.25,12,10,2015,2,2400,16.8,44.9
b50eb9,2014-10-01 04:30:00.000000 UTC,4.5,1,10,2014,4,840,1.3,8.25
b50eb9,2014-08-22 06:30:00.000000 UTC,6.5,22,8,2014,6,1080,4,13.25
b50eb9,2014-05-09 13:45:00.000000 UTC,13.75,9,5,2014,6,420,1.3,6.65
b50eb9,2014-10-27 14:00:00.000000 UTC,14,27,10,2014,2,960,3.4,15.85
b50eb9,2015-07-07 02:15:00.000000 UTC,2.25,7,7,2015,3,2640,15.7,37.05
b50eb9,2015-11-13 04:45:00.000000 UTC,4.75,13,11,2015,6,540,1.6,7.85
b50eb9,2014-04-17 08:15:00.000000 UTC,8.25,17,4,2014,5,60,0,3.45
b50eb9,2014-06-02 15:45:00.000000 UTC,15.75,2,6,2014,2,780,3.4,15.05
b50eb9,2015-06-24 11:00:00.000000 UTC,11,24,6,2015,4,300,0.9,5.45
b50eb9,2014-01-23 09:45:00.000000 UTC,9.75,23,1,2014,5,300,0.7,5.25
b50eb9,2015-08-31 15:15:00.000000 UTC,15.25,31,8,2015,2,480,1.8,11.95
b50eb9,2014-02-11 16:15:00.000000 UTC,16.25,11,2,2014,3,840,2.7,9.65
b50eb9,2015-05-14 04:15:00.000000 UTC,4.25,14,5,2015,5,1440,10.3,29.55
b50eb9,2015-03-19 01:00:00.000000 UTC,1,19,3,2015,5,960,4.8,16.65
b50eb9,2014-01-02 10:30:00.000000 UTC,10.5,2,1,2014,5,360,1.2,6.05
b50eb9,2014-09-09 09:15:00.000000 UTC,9.25,9,9,2014,3,480,1.2,9.25
b50eb9,2015-07-30 05:00:00.000000 UTC,5,30,7,2015,5,600,1.1,8.85
b50eb9,2015-04-29 07:45:00.000000 UTC,7.75,29,4,2015,4,1800,17.9,40.05
b50eb9,2014-04-28 04:45:00.000000 UTC,4.75,28,4,2014,2,840,1.3,8.25
b50eb9,2015-10-16 11:00:00.000000 UTC,11,16,10,2015,6,300,0.8,5.25
b50eb9,2015-02-23 10:45:00.000000 UTC,10.75,23,2,2015,2,180,0.6,5.45
b50eb9,2014-12-30 09:00:00.000000 UTC,9,30,12,2014,3,180,0.6,5.65
b50eb9,2015-10-27 06:00:00.000000 UTC,6,27,10,2015,3,1440,12.2,34.25
b50eb9,2014-05-19 11:15:00.000000 UTC,11.25,19,5,2014,2,300,0.8,7.45
b50eb9,2014-11-20 05:30:00.000000 UTC,5.5,20,11,2014,5,2100,18.8,49.25
b50eb9,2014-05-29 05:15:00.000000 UTC,5.25,29,5,2014,5,300,0.5,4.85
b50eb9,2014-10-17 04:00:00.000000 UTC,4,17,10,2014,6,420,1,7.05
b50eb9,2015-04-17 09:00:00.000000 UTC,9,17,4,2015,6,540,1.2,7.85
b50eb9,2014-12-12 05:15:00.000000 UTC,5.25,12,12,2014,6,300,0.9,6.45
b50eb9,2014-10-14 08:00:00.000000 UTC,8,14,10,2014,3,540,2,9.85
b50eb9,2014-02-10 12:15:00.000000 UTC,12.25,10,2,2014,2,1980,11.7,33.05
b50eb9,2014-01-24 12:00:00.000000 UTC,12,24,1,2014,6,1620,8.6,21.65
b50eb9,2014-03-18 05:30:00.000000 UTC,5.5,18,3,2014,3,1140,7,21.8
b50eb9,2015-02-09 13:30:00.000000 UTC,13.5,9,2,2015,2,60,0,74.7
b50eb9,2014-09-12 11:15:00.000000 UTC,11.25,12,9,2014,6,3180,12.1,33.65
b50eb9,2014-02-11 15:30:00.000000 UTC,15.5,11,2,2014,3,600,2,8.05
b50eb9,2014-05-28 07:30:00.000000 UTC,7.5,28,5,2014,4,1800,19.5,42.05
b50eb9,2014-07-31 10:15:00.000000 UTC,10.25,31,7,2014,5,300,0.7,5.05
b50eb9,2014-06-12 15:45:00.000000 UTC,15.75,12,6,2014,5,120,0.5,5.25
b50eb9,2014-01-15 17:45:00.000000 UTC,17.75,15,1,2014,4,240,0.8,5.05
b50eb9,2014-02-07 05:15:00.000000 UTC,5.25,7,2,2014,6,1800,19.2,50.1
b50eb9,2014-07-01 05:45:00.000000 UTC,5.75,1,7,2014,3,780,3,10.05
b50eb9,2014-12-30 07:45:00.000000 UTC,7.75,30,12,2014,3,540,1.5,7.05
b50eb9,2015-08-06 05:15:00.000000 UTC,5.25,6,8,2015,5,840,1.1,9.9
b50eb9,2015-10-16 12:15:00.000000 UTC,12.25,16,10,2015,6,4680,19.8,47.45
b50eb9,2015-08-13 04:15:00.000000 UTC,4.25,13,8,2015,5,780,3,9.85
b50eb9,2014-07-22 14:45:00.000000 UTC,14.75,22,7,2014,3,840,2.4,9.45
b50eb9,2014-11-03 05:45:00.000000 UTC,5.75,3,11,2014,2,360,1.1,5.85
b50eb9,2014-05-02 15:30:00.000000 UTC,15.5,2,5,2014,6,780,2.3,10.65
b50eb9,2015-04-16 15:15:00.000000 UTC,15.25,16,4,2015,5,720,1.9,11.25
b50eb9,2014-07-15 15:30:00.000000 UTC,15.5,15,7,2014,3,420,1.3,6.25
b50eb9,2014-05-09 17:15:00.000000 UTC,17.25,9,5,2014,6,1020,4,12.25
b50eb9,2016-06-02 12:30:00.000000 UTC,12.5,2,6,2016,5,960,2,10
b50eb9,2015-10-21 11:30:00.000000 UTC,11.5,21,10,2015,4,420,1.1,7.25
b50eb9,2015-08-19 07:30:00.000000 UTC,7.5,19,8,2015,4,960,3.9,11.65
b50eb9,2015-06-18 06:45:00.000000 UTC,6.75,18,6,2015,5,1140,5,17.85
b50eb9,2014-01-06 07:45:00.000000 UTC,7.75,6,1,2014,2,360,1.1,5.85
b50eb9,2014-03-25 15:30:00.000000 UTC,15.5,25,3,2014,3,300,1.2,8.65
b50eb9,2016-07-05 17:00:00.000000 UTC,17,5,7,2016,3,360,0.8,7.5
b50eb9,2016-07-25 19:00:00.000000 UTC,19,25,7,2016,2,180,0.4,7.5
b50eb9,2014-08-13 05:00:00.000000 UTC,5,13,8,2014,4,960,6.4,18.25
b50eb9,2014-02-11 17:00:00.000000 UTC,17,11,2,2014,3,660,4,13.5
b50eb9,2016-04-19 18:00:00.000000 UTC,18,19,4,2016,3,540,2.2,12
b50eb9,2014-12-16 15:00:00.000000 UTC,15,16,12,2014,3,300,0.8,5.45
b50eb9,2014-08-07 15:00:00.000000 UTC,15,7,8,2014,5,720,3.6,13
b50eb9,2015-08-05 04:00:00.000000 UTC,4,5,8,2015,4,360,0.8,5.65
b50eb9,2015-05-06 07:45:00.000000 UTC,7.75,6,5,2015,4,480,1.4,7.05
b50eb9,2015-06-12 12:15:00.000000 UTC,12.25,12,6,2015,6,300,0.6,5.05
b50eb9,2014-05-21 11:30:00.000000 UTC,11.5,21,5,2014,4,720,1.8,8.65
b50eb9,2014-11-14 05:30:00.000000 UTC,5.5,14,11,2014,6,660,2.6,11.05
b50eb9,2015-12-21 11:30:00.000000 UTC,11.5,21,12,2015,2,1680,3.4,17.1
b50eb9,2014-09-09 11:00:00.000000 UTC,11,9,9,2014,3,3120,17.1,41.65
b50eb9,2015-04-08 06:30:00.000000 UTC,6.5,8,4,2015,4,1380,4.9,23.45
b50eb9,2014-12-08 04:45:00.000000 UTC,4.75,8,12,2014,2,180,0.6,6.65
b50eb9,2015-08-21 05:00:00.000000 UTC,5,21,8,2015,6,1140,7.1,21.4
b50eb9,2015-06-24 09:45:00.000000 UTC,9.75,24,6,2015,4,540,1.8,8.65
b50eb9,2014-02-28 09:30:00.000000 UTC,9.5,28,2,2014,6,240,0.5,4.65
b50eb9,2014-01-27 05:15:00.000000 UTC,5.25,27,1,2014,2,780,2.5,11.45
b50eb9,2015-03-05 04:30:00.000000 UTC,4.5,5,3,2015,5,240,0.4,4.48
b50eb9,2015-11-10 20:30:00.000000 UTC,20.5,10,11,2015,3,840,2.7,12.3
b50eb9,2014-10-16 08:30:00.000000 UTC,8.5,16,10,2014,5,1800,17.9,42.45
b50eb9,2015-03-31 15:45:00.000000 UTC,15.75,31,3,2015,3,180,0.7,4.85
b50eb9,2015-03-31 16:45:00.000000 UTC,16.75,31,3,2015,3,540,1.7,7.85
b50eb9,2014-02-05 17:15:00.000000 UTC,17.25,5,2,2014,4,420,1.9,7.25
b50eb9,2015-04-10 04:30:00.000000 UTC,4.5,10,4,2015,6,840,1.3,8.25
b50eb9,2015-02-26 04:30:00.000000 UTC,4.5,26,2,2015,5,300,0.9,5.65
b50eb9,2016-09-28 13:00:00.000000 UTC,13,28,9,2016,4,960,1.7,12.3
b50eb9,2014-10-14 06:00:00.000000 UTC,6,14,10,2014,3,660,1.9,8.25
b50eb9,2015-04-23 14:15:00.000000 UTC,14.25,23,4,2015,5,120,0.5,5.25
b50eb9,2015-11-16 09:15:00.000000 UTC,9.25,16,11,2015,2,480,1.7,9.25
b50eb9,2014-08-08 07:45:00.000000 UTC,7.75,8,8,2014,6,720,1.7,12.45
b50eb9,2015-02-04 09:30:00.000000 UTC,9.5,4,2,2015,4,1020,5.1,15.45
b50eb9,2014-09-30 13:00:00.000000 UTC,13,30,9,2014,3,660,2.1,9.45
b50eb9,2014-11-10 00:15:00.000000 UTC,0.25,10,11,2014,2,1740,18.3,47.8
b50eb9,2015-06-22 11:45:00.000000 UTC,11.75,22,6,2015,2,480,1.2,6.45
b50eb9,2014-04-04 17:00:00.000000 UTC,17,4,4,2014,6,240,0.8,5.05
b50eb9,2015-05-05 08:45:00.000000 UTC,8.75,5,5,2015,3,540,2.5,8.65
b50eb9,2015-02-23 06:30:00.000000 UTC,6.5,23,2,2015,2,540,1.8,9.45
b50eb9,2016-12-13 18:45:00.000000 UTC,18.75,13,12,2016,3,720,3.9,15.9
b50eb9,2014-03-07 15:45:00.000000 UTC,15.75,7,3,2014,6,600,2.5,8.45
b50eb9,2014-03-26 05:00:00.000000 UTC,5,26,3,2014,4,240,0.9,5.25
b50eb9,2014-04-17 09:00:00.000000 UTC,9,17,4,2014,5,660,2.1,9.85
b50eb9,2014-12-11 22:00:00.000000 UTC,22,11,12,2014,5,960,4.4,15.15
b50eb9,2015-06-16 12:15:00.000000 UTC,12.25,16,6,2015,3,2880,11.9,32.85
b50eb9,2015-04-22 03:00:00.000000 UTC,3,22,4,2015,4,3120,24.1,60.5
b50eb9,2015-05-21 10:45:00.000000 UTC,10.75,21,5,2015,5,540,1.4,6.85
b50eb9,2014-09-03 05:30:00.000000 UTC,5.5,3,9,2014,4,120,0.4,4.25
b50eb9,2015-03-12 16:15:00.000000 UTC,16.25,12,3,2015,5,360,0.9,8.15
b50eb9,2015-05-20 01:15:00.000000 UTC,1.25,20,5,2015,4,1200,15.1,39.25
b50eb9,2015-10-13 06:00:00.000000 UTC,6,13,10,2015,3,960,7.9,18.65
b50eb9,2015-06-25 08:15:00.000000 UTC,8.25,25,6,2015,5,2100,17.5,44.05
b50eb9,2014-02-24 13:15:00.000000 UTC,13.25,24,2,2014,2,420,1.6,6.65
b50eb9,2014-03-12 15:15:00.000000 UTC,15.25,12,3,2014,4,2700,28,93.25
b50eb9,2015-03-18 11:45:00.000000 UTC,11.75,18,3,2015,4,300,0.7,5.25
b50eb9,2014-01-30 08:30:00.000000 UTC,8.5,30,1,2014,5,300,1.2,5.85
b50eb9,2014-08-22 16:15:00.000000 UTC,16.25,22,8,2014,6,420,0.8,7.25
b50eb9,2015-02-24 04:00:00.000000 UTC,4,24,2,2015,3,300,1,5.45
b50eb9,2015-10-16 10:15:00.000000 UTC,10.25,16,10,2015,6,600,1.8,7.45
b50eb9,2015-02-25 11:30:00.000000 UTC,11.5,25,2,2015,4,540,1.9,8.85
b50eb9,2014-10-29 08:45:00.000000 UTC,8.75,29,10,2014,4,300,0.6,6.05
b50eb9,2014-01-03 03:00:00.000000 UTC,3,3,1,2014,6,1020,7.9,26.85
b50eb9,2014-08-08 12:15:00.000000 UTC,12.25,8,8,2014,6,1020,2.1,10.25
b50eb9,2014-05-09 04:00:00.000000 UTC,4,9,5,2014,6,540,1.8,7.45
b50eb9,2015-10-28 18:15:00.000000 UTC,18.25,28,10,2015,4,120,0.5,8.25
b50eb9,2014-05-15 09:45:00.000000 UTC,9.75,15,5,2014,5,960,2.9,11.05
b50eb9,2015-11-23 00:45:00.000000 UTC,0.75,23,11,2015,2,360,1.1,8.15
b50eb9,2015-08-14 07:45:00.000000 UTC,7.75,14,8,2015,6,1140,3.3,12.25
b50eb9,2014-09-30 14:00:00.000000 UTC,14,30,9,2014,3,480,1.3,7.65
b50eb9,2014-06-06 13:45:00.000000 UTC,13.75,6,6,2014,6,480,1.6,7.65
b50eb9,2014-01-23 06:30:00.000000 UTC,6.5,23,1,2014,5,480,1.2,6.45
b50eb9,2014-02-11 05:45:00.000000 UTC,5.75,11,2,2014,3,420,1.3,6.05
b50eb9,2015-12-11 17:30:00.000000 UTC,17.5,11,12,2015,6,1440,5.2,15.65
