trip_seconds,trip_miles,_#NO_CLASS#_
0.032581,0.017000,-1
0.017544,0.005000,-1
0.037594,0.011000,-1
0.002506,0.002000,-1
0.017544,0.005000,-1
0.017544,0.005000,-1
0.042607,0.023000,-1
0.012531,0.005000,-1
0.057644,0.047000,-1
0.012531,0.007000,-1
0.047619,0.018000,-1
0.042607,0.025000,-1
0.032581,0.015000,-1
0.012531,0.004000,-1
0.062657,0.044000,-1
0.052632,0.055000,-1
0.007519,0.000000,-1
0.012531,0.006000,-1
0.027569,0.029000,-1
0.032581,0.008000,-1
0.077694,0.029000,-1
0.062657,0.023000,-1
0.122807,0.177000,-1
0.022556,0.013000,-1
0.017544,0.011000,-1
0.022556,0.009000,-1
0.032581,0.017000,-1
0.027569,0.011000,-1
0.077694,0.019000,-1
0.037594,0.016000,-1
0.087719,0.166000,-1
0.057644,0.035000,-1
0.037594,0.016000,-1
0.052632,0.038000,-1
0.082707,0.083000,-1
0.017544,0.005000,-1
0.037594,0.015000,-1
0.062657,0.046000,-1
0.072682,0.026000,-1
0.192982,0.154000,-1
0.027569,0.013000,-1
0.017544,0.007000,-1
0.062657,0.046000,-1
0.057644,0.021000,-1
0.022556,0.006000,-1
0.027569,0.008000,-1
0.052632,0.069000,-1
0.027569,0.011000,-1
0.032581,0.009000,-1
0.027569,0.013000,-1
0.037594,0.021000,-1
0.037594,0.012000,-1
0.027569,0.021000,-1
0.042607,0.021000,-1
0.012531,0.007000,-1
0.017544,0.007000,-1
0.022556,0.006000,-1
0.022556,0.004000,-1
0.032581,0.017000,-1
0.032581,0.011000,-1
0.017544,0.012000,-1
0.022556,0.008000,-1
0.052632,0.056000,-1
0.022556,0.010000,-1
0.037594,0.022000,-1
0.077694,0.039000,-1
0.072682,0.056000,-1
0.057644,0.016000,-1
0.017544,0.009000,-1
0.052632,0.025000,-1
0.047619,0.015000,-1
0.067669,0.063000,-1
0.167920,0.146000,-1
0.027569,0.013000,-1
0.082707,0.039000,-1
0.042607,0.029000,-1
0.042607,0.016000,-1
0.127820,0.095000,-1
0.032581,0.011000,-1
0.027569,0.009000,-1
0.017544,0.007000,-1
0.052632,0.019000,-1
0.022556,0.009000,-1
0.012531,0.009000,-1
0.047619,0.023000,-1
0.062657,0.031000,-1
0.057644,0.024000,-1
0.012531,0.003000,-1
0.012531,0.007000,-1
0.062657,0.023000,-1
0.022556,0.013000,-1
0.037594,0.014000,-1
0.187970,0.167000,-1
0.102757,0.106000,-1
0.057644,0.021000,-1
0.052632,0.015000,-1
0.092732,0.077000,-1
0.062657,0.050000,-1
0.047619,0.018000,-1
0.032581,0.037000,-1
0.032581,0.015000,-1
0.012531,0.010000,-1
0.052632,0.032000,-1
0.097744,0.068000,-1
0.007519,0.004000,-1
0.037594,0.027000,-1
0.127820,0.107000,-1
0.017544,0.005000,-1
0.027569,0.011000,-1
0.092732,0.090000,-1
0.057644,0.042000,-1
0.022556,0.010000,-1
0.072682,0.031000,-1
0.142857,0.121000,-1
0.022556,0.010000,-1
0.047619,0.019000,-1
0.142857,0.075000,-1
0.022556,0.012000,-1
0.032581,0.009000,-1
0.203008,0.174000,-1
0.027569,0.012000,-1
0.062657,0.043000,-1
0.077694,0.086000,-1
0.072682,0.064000,-1
0.037594,0.026000,-1
0.037594,0.050000,-1
0.142857,0.128000,-1
0.042607,0.027000,-1
0.067669,0.041000,-1
0.032581,0.013000,-1
0.067669,0.024000,-1
0.047619,0.038000,-1
0.002506,0.001000,-1
0.012531,0.005000,-1
0.037594,0.008000,-1
0.012531,0.006000,-1
0.037594,0.010000,-1
0.022556,0.012000,-1
0.082707,0.117000,-1
0.122807,0.205000,-1
0.052632,0.032000,-1
0.032581,0.006000,-1
0.002506,0.000000,-1
0.032581,0.019000,-1
0.037594,0.012000,-1
0.032581,0.061000,-1
0.037594,0.031000,-1
0.097744,0.064000,-1
0.052632,0.031000,-1
0.052632,0.030000,-1
0.082707,0.033000,-1
0.017544,0.010000,-1
0.072682,0.026000,-1
0.042607,0.037000,-1
0.057644,0.026000,-1
0.037594,0.015000,-1
0.077694,0.016000,-1
0.092732,0.014000,-1
0.027569,0.008000,-1
0.042607,0.026000,-1
0.062657,0.016000,-1
0.177945,0.202000,-1
0.017544,0.008000,-1
0.087719,0.077000,-1
0.032581,0.013000,-1
0.017544,0.005000,-1
0.042607,0.035000,-1
0.027569,0.004000,-1
0.122807,0.049000,-1
0.022556,0.009000,-1
0.012531,0.005000,-1
0.042607,0.000000,-1
