id,Label,Number_Points,trip_seconds,trip_miles
0,0,550,0.012586,0.006191
1,1,332,0.047332,0.014925
2,2,425,0.049777,0.025642
3,3,56,0.066953,0.015696
4,4,7,0.130684,0.090429
5,5,1087,0.029455,0.011727
6,6,21,0.110395,0.171524
7,7,61,0.089034,0.049705
8,8,96,0.070280,0.048802
9,9,12,0.073099,0.087500
10,10,237,0.068452,0.028696
11,11,21,0.107769,0.033143
12,12,7,0.128536,0.031429
13,13,76,0.088775,0.031118
14,14,1,0.182957,0.273000
15,15,21,0.131161,0.171000
16,16,1,0.167920,0.038000
17,17,26,0.107384,0.047923
18,18,16,0.054825,0.067688
19,19,1,0.187970,0.051000
20,20,7,0.210884,0.148000
21,21,2,0.218045,0.112500
22,22,138,0.033235,0.024761
23,23,1,0.062657,0.136000
24,24,1,0.288221,0.208000
25,25,43,0.072099,0.068395
26,26,2,0.187970,0.142000
27,27,9,0.151768,0.170778
28,28,3,0.127820,0.148333
29,29,14,0.108844,0.131929
30,30,10,0.208020,0.175500
31,31,72,0.052283,0.047153
32,32,9,0.130047,0.185111
33,33,23,0.111474,0.067609
34,34,26,0.090418,0.068577
35,35,2,0.190476,0.107000
36,36,11,0.190704,0.176273
37,37,11,0.036227,0.044273
38,38,5,0.171930,0.184400
39,39,18,0.173211,0.172722
40,40,10,0.110777,0.088800
41,41,6,0.270677,0.174667
42,42,4,0.016291,0.022000
43,43,10,0.110777,0.111400
44,44,7,0.170784,0.131143
45,45,4,0.149123,0.126750
46,46,11,0.129642,0.052545
47,47,5,0.172932,0.113800
48,48,4,0.149123,0.183000
49,49,9,0.092175,0.110889
50,50,1,0.253133,0.256000
51,51,1,0.308271,0.136000
52,52,6,0.148705,0.068000
53,53,10,0.147870,0.114300
54,54,6,0.131161,0.127833
55,55,5,0.094737,0.174000
56,56,7,0.087003,0.015286
57,57,3,0.274854,0.183333
58,58,1,0.243108,0.146000
59,59,2,0.195489,0.130500
60,60,7,0.131400,0.068429
61,61,3,0.092732,0.130667
62,62,3,0.147870,0.087000
63,63,17,0.090373,0.090235
64,64,3,0.132832,0.207333
65,65,4,0.151629,0.053750
66,66,10,0.114787,0.186200
67,67,1,0.253133,0.230000
68,68,4,0.171679,0.152250
69,69,1,0.228070,0.039000
70,70,2,0.205514,0.132000
71,71,1,0.187970,0.293000
72,72,1,0.283208,0.184000
73,73,4,0.229323,0.191000
74,74,5,0.131830,0.105800
75,75,1,0.433584,0.232000
76,76,2,0.145363,0.007000
77,77,3,0.246449,0.207333
78,78,1,0.137845,0.000000
79,79,3,0.076023,0.107333
80,80,1,0.022556,0.114000
81,81,2,0.210526,0.191500
82,82,1,0.518797,0.001000
83,83,1,4.147870,0.000000
84,84,1,0.218045,0.075000
85,85,2,0.150376,0.155000
86,86,1,3.325815,0.050000
87,87,1,0.373434,0.246000
88,88,1,0.313283,0.205000
89,89,1,0.152882,0.038000
90,90,1,0.203008,0.047000
91,91,4,0.226817,0.174250
92,92,1,0.167920,0.221000
93,93,2,0.162907,0.067000
94,94,3,0.107769,0.154667
95,95,2,0.190476,0.193500
96,96,2,0.172932,0.095000
97,97,1,0.784461,0.009000
98,98,1,0.238095,0.056000
99,99,1,0.258145,0.182000
100,100,1,0.203008,0.207000
101,101,1,3.085213,0.007000
102,102,1,0.393484,0.014000
103,103,1,0.102757,0.016000
104,104,1,0.087719,0.155000
105,105,1,0.248120,0.161000
0,0,788,0.049807,0.001151
1,1,920,0.030102,0.000305
2,2,468,0.069576,0.001908
3,3,477,0.012815,0.000006
4,4,13,0.232312,0.010692
5,5,260,0.089609,0.003058
6,6,48,0.170217,0.009104
7,7,1,0.293233,0.011000
8,8,45,0.150432,0.007822
9,9,111,0.129626,0.006532
10,10,152,0.109616,0.005039
11,11,18,0.209691,0.009722
12,12,20,0.191228,0.009900
13,13,8,0.248747,0.010125
14,14,1,0.498747,0.002000
15,15,1,0.388471,0.011000
16,16,4,0.266917,0.010500
17,17,1,0.333333,0.005000
18,18,1,0.418546,0.013000
19,19,2,0.315789,0.011000
20,20,1,0.463659,0.003000
0,0,85,0.068908,0.003953
1,1,452,0.049782,0.027268
2,2,596,0.012573,0.005183
3,3,24,0.109858,0.070708
4,4,203,0.067891,0.030507
5,5,272,0.047453,0.010051
6,6,899,0.029024,0.009944
7,7,84,0.089271,0.049333
8,8,6,0.131161,0.129667
9,9,42,0.087123,0.032643
10,10,3,0.149541,0.088000
11,11,31,0.109225,0.050774
12,12,33,0.088934,0.069000
13,13,18,0.070454,0.087056
14,14,116,0.052459,0.047431
15,15,21,0.109440,0.000571
16,16,158,0.034295,0.025930
17,17,8,0.110902,0.148625
18,18,12,0.109440,0.111500
19,19,1,0.263158,0.074000
20,20,6,0.131161,0.152667
21,21,8,0.090852,0.105625
22,22,53,0.069939,0.068434
23,23,11,0.107769,0.130091
24,24,5,0.146867,0.000000
25,25,143,0.070088,0.049203
26,26,7,0.111350,0.175000
27,27,7,0.132116,0.109429
28,28,12,0.107352,0.034667
29,29,2,0.167920,0.073500
30,30,9,0.131161,0.051889
31,31,3,0.171261,0.184333
32,32,1,0.328321,0.017000
33,33,14,0.035446,0.043857
34,34,11,0.131009,0.172364
35,35,2,0.167920,0.208500
36,36,4,0.169173,0.173750
37,37,26,0.089454,0.087962
38,38,3,0.151211,0.067667
39,39,6,0.094403,0.126333
40,40,3,0.172932,0.134667
41,41,29,0.091003,0.000310
42,42,11,0.051720,0.065727
43,43,5,0.210025,0.146600
44,44,5,0.132832,0.000000
45,45,6,0.147034,0.132333
46,46,14,0.108127,0.090143
47,47,3,0.131161,0.030333
48,48,1,0.223058,0.206000
49,49,3,0.142857,0.150667
50,50,2,0.195489,0.107500
51,51,9,0.130604,0.092444
52,52,2,0.245614,0.180000
53,53,2,0.208020,0.116000
54,54,1,0.228070,0.256000
55,55,1,0.122807,0.208000
56,56,2,0.097744,0.168500
57,57,11,0.128275,0.072545
58,58,1,0.167920,0.157000
59,59,2,0.127820,0.183000
60,60,1,0.182957,0.000000
61,61,1,0.182957,0.074000
62,62,1,0.192982,0.199000
63,63,1,0.228070,0.239000
64,64,1,0.248120,0.095000
65,65,1,0.152882,0.200000
66,66,1,0.072682,0.127000
67,67,2,0.208020,0.130500
68,68,6,0.193818,0.172333
69,69,1,0.142857,0.119000
70,70,2,0.017544,0.025500
71,71,1,0.278195,0.200000
72,72,2,0.150376,0.055000
73,73,2,0.150376,0.173000
74,74,2,0.197995,0.082500
75,75,1,0.313283,0.369000
76,76,1,0.203008,0.095000
77,77,3,0.167920,0.052333
78,78,1,0.373434,0.219000
79,79,2,0.210526,0.000000
80,80,2,0.175439,0.091000
81,81,2,0.273183,0.165500
82,82,2,0.238095,0.182500
83,83,1,0.152882,0.189000
84,84,1,0.398496,0.157000
85,85,1,0.243108,0.349000
86,86,1,0.203008,0.185000
87,87,1,0.343358,0.023000
88,88,1,0.057644,0.082000
89,89,1,0.197995,0.154000
90,90,1,0.233083,0.371000
91,91,3,0.231412,0.004000
92,92,1,0.288221,0.000000
93,93,1,0.017544,0.042000
94,94,1,0.197995,0.309000
95,95,1,0.614035,0.000000
96,96,1,0.308271,0.380000
97,97,1,0.172932,0.312000
98,98,1,0.102757,0.182000
99,99,1,0.243108,0.299000
0,0,185,0.068916,0.029000
1,1,234,0.013067,0.005714
2,2,64,0.089207,0.048781
3,3,55,0.034495,0.026000
4,4,58,0.068620,0.013879
5,5,457,0.029806,0.011011
6,6,233,0.047662,0.014262
7,7,6,0.111947,0.175833
8,8,233,0.050523,0.026532
9,9,93,0.069825,0.047387
10,10,78,0.087848,0.031013
11,11,13,0.071525,0.066692
12,12,5,0.108772,0.087800
13,13,4,0.127820,0.032500
14,14,4,0.076441,0.084000
15,15,30,0.050961,0.045800
16,16,39,0.109183,0.049436
17,17,1,0.353383,0.036000
18,18,30,0.090058,0.067167
19,19,4,0.150376,0.126250
20,20,9,0.089947,0.085000
21,21,1,0.187970,0.184000
22,22,9,0.088276,0.015889
23,23,7,0.129968,0.086429
24,24,1,0.127820,0.154000
25,25,1,0.182957,0.102000
26,26,6,0.151211,0.088000
27,27,3,0.147870,0.172000
28,28,20,0.106767,0.030850
29,29,1,0.182957,0.135000
30,30,3,0.187970,0.089667
31,31,1,0.197995,0.148000
32,32,5,0.130827,0.131200
33,33,1,0.182957,0.068000
34,34,1,0.203008,0.092000
35,35,13,0.128205,0.049769
36,36,4,0.130326,0.172000
37,37,11,0.109136,0.069091
38,38,7,0.056212,0.066143
39,39,1,0.228070,0.154000
40,40,3,0.114453,0.144000
41,41,1,0.037594,0.051000
42,42,2,0.170426,0.110500
43,43,1,0.182957,0.059000
44,44,2,0.177945,0.148000
45,45,1,0.167920,0.028000
46,46,1,0.223058,0.044000
47,47,1,0.393484,0.303000
48,48,6,0.189641,0.170500
49,49,1,0.157895,0.152000
50,50,1,0.218045,0.105000
51,51,8,0.134085,0.070625
52,52,1,0.203008,0.130000
53,53,1,0.338346,0.026000
54,54,3,0.109440,0.103667
55,55,1,0.122807,0.018000
56,56,2,0.155388,0.115500
57,57,1,0.213033,0.233000
58,58,2,0.152882,0.076500
59,59,2,0.208020,0.144000
60,60,1,0.278195,0.333000
61,61,3,0.147870,0.048667
62,62,1,0.318296,0.292000
63,63,3,0.208020,0.168000
64,64,1,0.218045,0.044000
65,65,1,0.147870,0.026000
66,66,1,0.318296,0.104000
67,67,3,0.091061,0.135000
68,68,2,0.225564,0.087500
69,69,1,0.223058,0.109000
70,70,1,0.368421,0.118000
71,71,1,0.187970,0.296000
72,72,1,0.172932,0.078000
73,73,2,0.105263,0.016000
74,74,1,0.017544,0.021000
75,75,1,0.182957,0.020000
76,76,3,0.104428,0.130333
77,77,1,0.072682,0.109000
78,78,2,0.268170,0.112500
79,79,2,0.167920,0.095500
80,80,4,0.095238,0.110000
81,81,1,0.162907,0.182000
82,82,1,0.097744,0.167000
83,83,1,0.248120,0.103000
84,84,1,0.243108,0.179000
85,85,1,0.167920,0.173000
86,86,1,0.132832,0.109000
0,0,431,0.050608,0.026534
1,1,283,0.069210,0.029643
2,2,818,0.029352,0.011401
3,3,5,0.191980,0.130400
4,4,24,0.108814,0.031000
5,5,463,0.013332,0.006216
6,6,319,0.047258,0.014514
7,7,95,0.051735,0.047358
8,8,11,0.187970,0.174000
9,9,85,0.089606,0.048671
10,10,36,0.128655,0.172111
11,11,136,0.069770,0.049007
12,12,4,0.110276,0.005250
13,13,16,0.148810,0.147812
14,14,15,0.108772,0.110733
15,15,16,0.129073,0.048563
16,16,38,0.088775,0.071079
17,17,95,0.088933,0.031611
18,18,100,0.034436,0.024790
19,19,15,0.169925,0.168733
20,20,5,0.052632,0.063400
21,21,19,0.129402,0.131474
22,22,11,0.111871,0.148000
23,23,15,0.092063,0.127133
24,24,5,0.129825,0.030800
25,25,12,0.130326,0.148750
26,26,32,0.110432,0.130688
27,27,26,0.087912,0.089038
28,28,21,0.109918,0.069857
29,29,3,0.167920,0.117000
30,30,37,0.112511,0.172838
31,31,1,0.208020,0.208000
32,32,11,0.089998,0.112091
33,33,3,0.132832,0.011333
34,34,4,0.208020,0.184250
35,35,7,0.094880,0.170571
36,36,21,0.111588,0.091190
37,37,10,0.149373,0.069000
38,38,32,0.069392,0.014500
39,39,1,0.348371,0.080000
40,40,10,0.125815,0.112300
41,41,37,0.109666,0.051027
42,42,3,0.167920,0.031000
43,43,20,0.149875,0.131150
44,44,48,0.071429,0.069813
45,45,2,0.172932,0.071500
46,46,1,0.157895,0.268000
47,47,3,0.127820,0.089333
48,48,3,0.017544,0.023333
49,49,1,0.233083,0.107000
50,50,2,0.250627,0.266500
51,51,3,0.147870,0.108667
52,52,4,0.171679,0.182500
53,53,1,0.363409,0.208000
54,54,16,0.148810,0.171250
55,55,4,0.073935,0.109750
56,56,9,0.089390,0.014000
57,57,2,0.157895,0.208000
58,58,1,0.303258,0.199000
59,59,6,0.170426,0.129167
60,60,2,0.197995,0.235000
61,61,1,0.353383,0.108000
62,62,10,0.112281,0.184300
63,63,1,0.177945,0.244000
64,64,2,0.142857,0.008500
65,65,16,0.072682,0.088188
66,66,12,0.033417,0.044417
67,67,1,0.714286,0.006000
68,68,4,0.190476,0.148250
69,69,1,0.278195,0.177000
70,70,1,0.433584,0.065000
71,71,11,0.130098,0.186000
72,72,2,0.265664,0.125000
73,73,3,0.229741,0.153000
74,74,9,0.148427,0.088000
75,75,1,0.283208,0.179000
76,76,3,0.228070,0.137000
77,77,2,0.245614,0.175000
78,78,1,0.182957,0.279000
79,79,1,0.273183,0.048000
80,80,2,0.152882,0.183500
81,81,1,0.177945,0.206000
82,82,7,0.125671,0.070714
83,83,6,0.208020,0.173500
84,84,1,0.187970,0.110000
85,85,6,0.229741,0.174000
86,86,1,0.213033,0.303000
87,87,1,0.293233,0.215000
88,88,1,0.182957,0.003000
89,89,3,0.094403,0.144667
90,90,1,0.338346,0.375000
91,91,8,0.167920,0.145750
