trip_seconds,trip_miles,cellId,label-gC,label-GT
0.017544,0.008,0,-1,-1
0.042607,0.015,1,-1,-1
0.017544,0.012,0,-1,-1
0.042607,0.027,2,-1,-1
0.007519,0.003,0,-1,-1
0.077694,0.017,3,-1,-1
0.057644,0.029,2,-1,-1
0.122807,0.097,4,-1,-1
0.027569,0.01,5,-1,-1
0.022556,0.009,5,-1,-1
0.047619,0.024,2,-1,-1
0.107769,0.168,6,-1,-1
0.027569,0.01,5,-1,-1
0.082707,0.045,7,-1,-1
0.047619,0.023,2,-1,-1
0.022556,0.009,5,-1,-1
0.027569,0.008,5,-1,-1
0.047619,0.016,1,-1,-1
0.072682,0.04,8,-1,-1
0.042607,0.018,1,-1,-1
0.072682,0.097,9,-1,-1
0.057644,0.017,1,-1,-1
0.042607,0.02,2,-1,-1
0.032581,0.006,5,-1,-1
0.047619,0.022,2,-1,-1
0.022556,0.014,5,-1,-1
0.032581,0.013,5,-1,-1
0.067669,0.052,8,-1,-1
0.012531,0.003,0,-1,-1
0.007519,0.005,0,-1,-1
0.072682,0.023,10,-1,-1
0.042607,0.022,2,-1,-1
0.077694,0.041,8,-1,-1
0.102757,0.02,11,-1,-1
0.037594,0.013,5,-1,-1
0.037594,0.009,5,-1,-1
0.072682,0.045,8,-1,-1
0.057644,0.03,2,-1,-1
0.077694,0.095,9,-1,-1
0.052632,0.026,2,-1,-1
0.12782,0.038,12,-1,-1
0.012531,0.009,0,-1,-1
0.067669,0.029,10,-1,-1
0.017544,0.005,0,-1,-1
0.047619,0.025,2,-1,-1
0.012531,0.006,0,-1,-1
0.042607,0.012,1,-1,-1
0.022556,0.01,5,-1,-1
0.087719,0.03,13,-1,-1
0.017544,0.009,0,-1,-1
0.027569,0.007,5,-1,-1
0.042607,0.008,1,-1,-1
0.042607,0.01,1,-1,-1
0.182957,0.273,14,-1,-1
0.122807,0.174,15,-1,-1
0.062657,0.036,10,-1,-1
0.062657,0.04,8,-1,-1
0.16792,0.038,16,-1,-1
0.037594,0.014,5,-1,-1
0.047619,0.019,1,-1,-1
0.022556,0.009,5,-1,-1
0.042607,0.014,1,-1,-1
0.052632,0.016,1,-1,-1
0.037594,0.013,5,-1,-1
0.012531,0.006,0,-1,-1
0.012531,0.006,0,-1,-1
0.027569,0.009,5,-1,-1
0.052632,0.019,1,-1,-1
0.042607,0.011,1,-1,-1
0.017544,0.006,0,-1,-1
0.022556,0.014,5,-1,-1
0.022556,0.011,5,-1,-1
0.062657,0.034,10,-1,-1
0.077694,0.017,3,-1,-1
0.047619,0.032,2,-1,-1
0.047619,0.017,1,-1,-1
0.067669,0.023,10,-1,-1
0.022556,0.007,5,-1,-1
0.097744,0.049,7,-1,-1
0.117794,0.06,17,-1,-1
