Taxi_id,time_stamp,hour,day,month,year,day_of_week,trip_seconds,trip_miles,trip_total
455b6b,2015-01-10 13:30:00.000000 UTC,13.5,10,1,2015,7,240,0.8,6.05
455b6b,2014-05-17 18:15:00.000000 UTC,18.25,17,5,2014,7,540,1.5,10.05
455b6b,2015-03-21 12:00:00.000000 UTC,12,21,3,2015,7,240,1.2,7.35
455b6b,2014-12-28 12:15:00.000000 UTC,12.25,28,12,2014,1,540,2.7,8.85
455b6b,2014-12-13 07:15:00.000000 UTC,7.25,13,12,2014,7,120,0.3,4.05
455b6b,2015-03-28 07:45:00.000000 UTC,7.75,28,3,2015,7,960,1.7,9.85
455b6b,2015-07-04 06:00:00.000000 UTC,6,4,7,2015,7,720,2.9,12.05
455b6b,2015-06-20 14:45:00.000000 UTC,14.75,20,6,2015,7,1500,9.7,24.05
455b6b,2014-12-20 10:45:00.000000 UTC,10.75,20,12,2014,7,360,1,6.85
455b6b,2014-11-23 10:45:00.000000 UTC,10.75,23,11,2014,1,300,0.9,6.45
455b6b,2015-04-18 04:45:00.000000 UTC,4.75,18,4,2015,7,600,2.4,8.85
455b6b,2015-07-04 14:15:00.000000 UTC,14.25,4,7,2015,7,1320,16.8,43.5
455b6b,2015-06-13 12:15:00.000000 UTC,12.25,13,6,2015,7,360,1,7.05
455b6b,2014-07-26 14:00:00.000000 UTC,14,26,7,2014,7,1020,4.5,14.65
455b6b,2015-03-15 12:15:00.000000 UTC,12.25,15,3,2015,1,600,2.3,9.85
455b6b,2014-05-17 16:15:00.000000 UTC,16.25,17,5,2014,7,300,0.9,5.65
455b6b,2015-05-02 13:15:00.000000 UTC,13.25,2,5,2015,7,360,0.8,7.65
455b6b,2014-07-27 11:00:00.000000 UTC,11,27,7,2014,1,600,1.6,8.85
455b6b,2014-12-06 10:45:00.000000 UTC,10.75,6,12,2014,7,900,4,13.95
455b6b,2014-02-15 19:15:00.000000 UTC,19.25,15,2,2014,7,540,1.8,7.65
455b6b,2015-09-13 06:45:00.000000 UTC,6.75,13,9,2015,1,900,9.7,26.7
455b6b,2015-06-27 12:45:00.000000 UTC,12.75,27,6,2015,7,720,1.7,10.94
