Taxi_id,time_stamp,hour,day,month,year,day_of_week,trip_seconds,trip_miles,trip_total
5f1b23,2014-01-19 19:00:00.000000 UTC,19,19,1,2014,1,840,0,19.25
5f1b23,2015-01-18 17:45:00.000000 UTC,17.75,18,1,2015,1,720,2.5,9.25
5f1b23,2014-07-05 00:30:00.000000 UTC,0.5,5,7,2014,7,240,1,5.45
5f1b23,2016-07-16 19:45:00.000000 UTC,19.75,16,7,2016,7,1380,6.4,24.6
5f1b23,2014-09-27 13:30:00.000000 UTC,13.5,27,9,2014,7,840,2,10.15
5f1b23,2014-08-16 19:00:00.000000 UTC,19,16,8,2014,7,960,3.5,16.85
5f1b23,2014-03-29 08:45:00.000000 UTC,8.75,29,3,2014,7,540,0.7,6.25
5f1b23,2015-11-28 19:00:00.000000 UTC,19,28,11,2015,7,840,2,9.05
5f1b23,2014-02-09 17:30:00.000000 UTC,17.5,9,2,2014,1,300,0,5.85
5f1b23,2015-07-19 17:15:00.000000 UTC,17.25,19,7,2015,1,600,3,12.25
5f1b23,2014-10-04 19:30:00.000000 UTC,19.5,4,10,2014,7,240,0,6.05
5f1b23,2016-02-21 18:00:00.000000 UTC,18,21,2,2016,1,360,1.6,7.25
5f1b23,2014-08-24 16:45:00.000000 UTC,16.75,24,8,2014,1,540,1.3,7.65
5f1b23,2015-04-12 00:30:00.000000 UTC,0.5,12,4,2015,1,1140,5,18.3
5f1b23,2014-10-25 22:30:00.000000 UTC,22.5,25,10,2014,7,1620,12.4,28.05
5f1b23,2015-04-19 08:30:00.000000 UTC,8.5,19,4,2015,1,1020,2.4,11.25
5f1b23,2014-02-01 20:15:00.000000 UTC,20.25,1,2,2014,7,360,0,9.85
5f1b23,2014-02-22 04:45:00.000000 UTC,4.75,22,2,2014,7,180,0,4.45
5f1b23,2015-12-05 19:30:00.000000 UTC,19.5,5,12,2015,7,360,1.2,7.05
5f1b23,2014-01-05 21:00:00.000000 UTC,21,5,1,2014,1,540,0,11.05
5f1b23,2015-12-12 15:30:00.000000 UTC,15.5,12,12,2015,7,900,2.7,12.55
5f1b23,2014-03-29 10:30:00.000000 UTC,10.5,29,3,2014,7,300,0.5,5.05
5f1b23,2015-05-30 18:00:00.000000 UTC,18,30,5,2015,7,1860,9.3,24.55
5f1b23,2015-01-03 17:00:00.000000 UTC,17,3,1,2015,7,360,1.3,9.05
5f1b23,2014-03-08 16:30:00.000000 UTC,16.5,8,3,2014,7,180,0.7,5.45
5f1b23,2015-04-11 07:15:00.000000 UTC,7.25,11,4,2015,7,1320,4.8,14.25
5f1b23,2015-04-11 19:45:00.000000 UTC,19.75,11,4,2015,7,1140,6.5,17.25
5f1b23,2015-06-20 18:15:00.000000 UTC,18.25,20,6,2015,7,240,0.7,6.85
5f1b23,2015-07-05 21:15:00.000000 UTC,21.25,5,7,2015,1,780,9.3,21.95
5f1b23,2015-10-31 20:00:00.000000 UTC,20,31,10,2015,7,60,0,3.25
5f1b23,2015-01-25 20:30:00.000000 UTC,20.5,25,1,2015,1,120,0.6,5.95
