Taxi_id,time_stamp,hour,day,month,year,day_of_week,trip_seconds,trip_miles,trip_total
b50eb9,2015-07-19 11:30:00.000000 UTC,11.5,19,7,2015,1,660,3.8,11.05
b50eb9,2015-08-01 23:00:00.000000 UTC,23,1,8,2015,7,780,2.5,9.25
b50eb9,2015-06-21 11:45:00.000000 UTC,11.75,21,6,2015,1,360,0.9,6.65
b50eb9,2015-10-31 21:30:00.000000 UTC,21.5,31,10,2015,7,660,2.4,11.05
b50eb9,2014-04-20 11:15:00.000000 UTC,11.25,20,4,2014,1,2400,12.8,31.65
b50eb9,2015-03-14 15:30:00.000000 UTC,15.5,14,3,2015,7,1260,3.6,17.35
b50eb9,2015-04-04 08:15:00.000000 UTC,8.25,4,4,2015,7,420,1,6.85
b50eb9,2014-09-06 16:30:00.000000 UTC,16.5,6,9,2014,7,420,0.9,7.05
b50eb9,2015-04-25 21:30:00.000000 UTC,21.5,25,4,2015,7,480,0.7,8.05
b50eb9,2015-06-21 00:30:00.000000 UTC,0.5,21,6,2015,1,240,1.1,7.45
b50eb9,2015-10-04 11:45:00.000000 UTC,11.75,4,10,2015,1,600,1.3,9.55
b50eb9,2015-01-17 20:15:00.000000 UTC,20.25,17,1,2015,7,180,0.5,8.15
b50eb9,2014-08-24 05:00:00.000000 UTC,5,24,8,2014,1,720,1.2,9.05
b50eb9,2015-10-17 19:15:00.000000 UTC,19.25,17,10,2015,7,720,1.7,9.05
b50eb9,2014-04-20 07:45:00.000000 UTC,7.75,20,4,2014,1,720,2.9,9.85
b50eb9,2016-11-27 15:15:00.000000 UTC,15.25,27,11,2016,1,540,1.9,11
b50eb9,2014-11-22 23:45:00.000000 UTC,23.75,22,11,2014,7,240,1,6.25
b50eb9,2015-01-11 00:45:00.000000 UTC,0.75,11,1,2015,1,600,2.8,9.05
b50eb9,2014-06-01 06:30:00.000000 UTC,6.5,1,6,2014,1,720,5.1,17.55
b50eb9,2015-07-11 14:00:00.000000 UTC,14,11,7,2015,7,2220,17.8,39.25
b50eb9,2014-04-05 13:30:00.000000 UTC,13.5,5,4,2014,7,1020,5,15.25
b50eb9,2014-10-26 00:15:00.000000 UTC,0.25,26,10,2014,1,420,1.3,7.45
b50eb9,2014-06-21 07:00:00.000000 UTC,7,21,6,2014,7,720,2.1,9.45
b50eb9,2015-06-06 02:00:00.000000 UTC,2,6,6,2015,7,1500,17.3,37.85
b50eb9,2014-01-04 20:00:00.000000 UTC,20,4,1,2014,7,360,1,8.45
b50eb9,2014-01-26 22:45:00.000000 UTC,22.75,26,1,2014,1,900,3.7,12.75
b50eb9,2016-06-04 19:45:00.000000 UTC,19.75,4,6,2016,7,780,2.5,14.05
b50eb9,2016-07-31 18:00:00.000000 UTC,18,31,7,2016,1,840,4.1,19
b50eb9,2014-07-06 07:30:00.000000 UTC,7.5,6,7,2014,1,1380,0.2,10.85
b50eb9,2015-02-14 22:45:00.000000 UTC,22.75,14,2,2015,7,780,3.3,10.25
b50eb9,2014-05-25 17:00:00.000000 UTC,17,25,5,2014,1,240,0.6,4.85
b50eb9,2015-01-24 11:15:00.000000 UTC,11.25,24,1,2015,7,540,1.4,7.85
b50eb9,2015-08-29 05:45:00.000000 UTC,5.75,29,8,2015,7,600,2.9,12.45
b50eb9,2016-12-04 02:15:00.000000 UTC,2.25,4,12,2016,1,120,0.7,5.75
b50eb9,2014-03-01 04:30:00.000000 UTC,4.5,1,3,2014,7,360,1.9,9.05
b50eb9,2015-01-17 18:00:00.000000 UTC,18,17,1,2015,7,660,4.4,14.45
b50eb9,2015-01-03 07:00:00.000000 UTC,7,3,1,2015,7,180,0.5,5.45
b50eb9,2015-09-12 09:15:00.000000 UTC,9.25,12,9,2015,7,600,2,8.85
b50eb9,2014-03-29 09:45:00.000000 UTC,9.75,29,3,2014,7,1740,14.4,39.65
b50eb9,2014-07-05 15:45:00.000000 UTC,15.75,5,7,2014,7,1440,11,31.25
b50eb9,2016-10-22 22:00:00.000000 UTC,22,22,10,2016,7,1140,4,16.5
b50eb9,2014-06-22 10:45:00.000000 UTC,10.75,22,6,2014,1,540,2.7,10.75
b50eb9,2015-02-15 00:15:00.000000 UTC,0.25,15,2,2015,1,720,5.8,16.25
b50eb9,2015-01-11 15:45:00.000000 UTC,15.75,11,1,2015,1,540,2,10.25
