Taxi_id,time_stamp,hour,day,month,year,day_of_week,trip_seconds,trip_miles,trip_total
d1b852,2015-02-08 03:15:00.000000 UTC,3.25,8,2,2015,1,420,1.7,8.25
d1b852,2016-10-22 13:15:00.000000 UTC,13.25,22,10,2016,7,240,0.5,7
d1b852,2015-11-14 08:15:00.000000 UTC,8.25,14,11,2015,7,480,1.1,6.85
d1b852,2014-09-14 05:15:00.000000 UTC,5.25,14,9,2014,1,60,0.2,4.85
d1b852,2014-12-20 16:30:00.000000 UTC,16.5,20,12,2014,7,240,0.5,5.65
d1b852,2015-03-15 04:00:00.000000 UTC,4,15,3,2015,1,240,0.5,4.84
d1b852,2014-11-23 05:00:00.000000 UTC,5,23,11,2014,1,540,2.3,8.25
d1b852,2016-11-05 15:00:00.000000 UTC,15,5,11,2016,7,180,0.5,8.25
d1b852,2014-12-21 20:15:00.000000 UTC,20.25,21,12,2014,1,720,4.7,12.85
d1b852,2015-01-24 20:15:00.000000 UTC,20.25,24,1,2015,7,180,0.7,4.65
d1b852,2014-11-16 06:15:00.000000 UTC,6.25,16,11,2014,1,600,1.8,8.85
d1b852,2015-02-08 17:45:00.000000 UTC,17.75,8,2,2015,1,540,2.5,8.44
d1b852,2014-08-23 03:30:00.000000 UTC,3.5,23,8,2014,7,420,1.5,6.85
d1b852,2015-12-05 21:15:00.000000 UTC,21.25,5,12,2015,7,180,0.4,7.05
d1b852,2015-01-10 17:30:00.000000 UTC,17.5,10,1,2015,7,780,4.4,13.45
d1b852,2014-07-27 17:00:00.000000 UTC,17,27,7,2014,1,660,5.5,14.45
d1b852,2015-07-19 09:30:00.000000 UTC,9.5,19,7,2015,1,120,0,3.85
d1b852,2014-11-30 21:30:00.000000 UTC,21.5,30,11,2014,1,180,0.6,4.65
d1b852,2015-04-12 04:30:00.000000 UTC,4.5,12,4,2015,1,360,2.9,10.05
d1b852,2015-09-19 19:30:00.000000 UTC,19.5,19,9,2015,7,420,0.8,8.15
d1b852,2015-02-28 18:30:00.000000 UTC,18.5,28,2,2015,7,960,2.9,12.65
d1b852,2014-09-21 13:45:00.000000 UTC,13.75,21,9,2014,1,780,2.3,8.85
d1b852,2015-03-15 04:30:00.000000 UTC,4.5,15,3,2015,1,1500,17.7,39.25
d1b852,2015-08-30 07:45:00.000000 UTC,7.75,30,8,2015,1,300,1.3,6.05
d1b852,2015-01-17 03:30:00.000000 UTC,3.5,17,1,2015,7,240,1.1,5.65
d1b852,2014-08-09 06:00:00.000000 UTC,6,9,8,2014,7,300,0.9,8.15
d1b852,2014-10-18 21:45:00.000000 UTC,21.75,18,10,2014,7,420,1.7,6.65
d1b852,2015-07-11 12:45:00.000000 UTC,12.75,11,7,2015,7,360,1.1,8.35
d1b852,2015-08-08 09:00:00.000000 UTC,9,8,8,2015,7,960,1.9,9.44
d1b852,2015-10-24 16:45:00.000000 UTC,16.75,24,10,2015,7,480,1.6,7.05
d1b852,2014-09-14 02:15:00.000000 UTC,2.25,14,9,2014,1,1080,16.6,37.25
d1b852,2014-12-13 06:30:00.000000 UTC,6.5,13,12,2014,7,720,3.5,12.05
d1b852,2015-01-18 16:30:00.000000 UTC,16.5,18,1,2015,1,480,1.6,8.75
d1b852,2015-11-22 19:15:00.000000 UTC,19.25,22,11,2015,1,660,3.8,10.85
d1b852,2014-11-29 05:00:00.000000 UTC,5,29,11,2014,7,1020,8.3,21.64
d1b852,2015-05-31 16:15:00.000000 UTC,16.25,31,5,2015,1,240,0.5,4.65
d1b852,2015-01-18 19:30:00.000000 UTC,19.5,18,1,2015,1,480,1.5,9.35
d1b852,2015-01-18 13:30:00.000000 UTC,13.5,18,1,2015,1,780,4.6,12.25
d1b852,2015-12-13 10:00:00.000000 UTC,10,13,12,2015,1,900,2.6,10.45
d1b852,2014-07-27 06:45:00.000000 UTC,6.75,27,7,2014,1,2340,15.4,34.04
d1b852,2015-01-17 03:30:00.000000 UTC,3.5,17,1,2015,7,360,1.3,6.45
d1b852,2014-09-28 03:00:00.000000 UTC,3,28,9,2014,1,240,0.7,6.75
d1b852,2014-12-07 20:30:00.000000 UTC,20.5,7,12,2014,1,780,4.6,12.45
d1b852,2014-08-30 06:15:00.000000 UTC,6.25,30,8,2014,7,720,2.1,9.05
d1b852,2014-11-16 20:45:00.000000 UTC,20.75,16,11,2014,1,300,0.6,5.25
d1b852,2014-08-24 14:15:00.000000 UTC,14.25,24,8,2014,1,360,0.8,5.45
d1b852,2014-08-10 20:15:00.000000 UTC,20.25,10,8,2014,1,660,6.9,16.45
d1b852,2015-01-18 16:15:00.000000 UTC,16.25,18,1,2015,1,360,1.1,7.25
d1b852,2014-10-12 15:15:00.000000 UTC,15.25,12,10,2014,1,420,0.9,5.85
d1b852,2014-10-18 05:15:00.000000 UTC,5.25,18,10,2014,7,360,1.3,8.05
d1b852,2015-06-14 13:30:00.000000 UTC,13.5,14,6,2015,1,480,2.1,9.05
d1b852,2014-12-06 06:30:00.000000 UTC,6.5,6,12,2014,7,480,1.2,6.65
d1b852,2015-01-17 21:15:00.000000 UTC,21.25,17,1,2015,7,360,2.1,7.45
d1b852,2015-11-08 12:45:00.000000 UTC,12.75,8,11,2015,1,540,2.1,8.05
d1b852,2016-03-06 13:00:00.000000 UTC,13,6,3,2016,1,180,0.7,5
d1b852,2014-12-13 18:45:00.000000 UTC,18.75,13,12,2014,7,240,0.7,5.84
d1b852,2015-08-02 16:45:00.000000 UTC,16.75,2,8,2015,1,300,0.6,5.84
d1b852,2015-12-05 12:00:00.000000 UTC,12,5,12,2015,7,300,0.4,5.65
d1b852,2014-10-12 17:30:00.000000 UTC,17.5,12,10,2014,1,420,1.7,8.25
d1b852,2015-05-24 12:00:00.000000 UTC,12,24,5,2015,1,420,1.1,5.85
d1b852,2015-02-08 06:00:00.000000 UTC,6,8,2,2015,1,240,1.2,5.45
d1b852,2015-12-20 09:30:00.000000 UTC,9.5,20,12,2015,1,300,0.8,6.95
d1b852,2015-01-25 21:30:00.000000 UTC,21.5,25,1,2015,1,660,5.6,14.25
d1b852,2015-10-18 13:45:00.000000 UTC,13.75,18,10,2015,1,300,1,8.65
d1b852,2015-01-25 18:45:00.000000 UTC,18.75,25,1,2015,1,480,2.2,8.85
