id,Label,Number_Points,trip_seconds,trip_miles
0,0,67,0.211387,0.172985
1,1,1192,0.050672,0.026252
2,2,3602,0.029772,0.010953
3,3,238,0.089130,0.048786
4,4,1773,0.012902,0.005710
5,5,366,0.069792,0.048883
6,6,906,0.069058,0.028425
7,7,283,0.067758,0.014898
8,8,1569,0.047750,0.014274
9,9,312,0.088683,0.030830
10,10,142,0.089414,0.069803
11,11,78,0.109440,0.069090
12,12,39,0.250177,0.172590
13,13,13,0.171390,0.054231
14,14,19,0.190344,0.130105
15,15,1,0.218045,0.026000
16,16,95,0.109300,0.030295
17,17,102,0.112733,0.172196
18,18,132,0.130592,0.173197
19,19,36,0.150237,0.090028
20,20,316,0.051537,0.047370
21,21,63,0.129490,0.130460
22,22,29,0.130239,0.185621
23,23,57,0.109880,0.110211
24,24,332,0.034031,0.025241
25,25,66,0.190172,0.172530
26,26,1,0.288221,0.255000
27,27,52,0.231637,0.173346
28,28,66,0.109820,0.089848
29,29,9,0.269841,0.187889
30,30,178,0.071217,0.069657
31,31,43,0.073498,0.086395
32,32,20,0.213784,0.149450
33,33,15,0.108772,0.011867
34,34,109,0.150215,0.173560
35,35,84,0.111350,0.129726
36,36,15,0.170259,0.184867
37,37,25,0.168521,0.110360
38,38,28,0.127820,0.088964
39,39,6,0.269006,0.126000
40,40,15,0.149875,0.184800
41,41,1,0.388471,0.198000
42,42,43,0.150085,0.149023
43,43,23,0.129345,0.033217
44,44,118,0.109001,0.050297
45,45,60,0.128321,0.049617
46,46,8,0.229950,0.111250
47,47,2,0.250627,0.241000
48,48,13,0.094274,0.149231
49,49,92,0.170481,0.172739
50,50,2,0.223058,0.289000
51,51,1,0.213033,0.013000
52,52,36,0.169730,0.131722
53,53,29,0.271282,0.172517
54,54,37,0.149360,0.111703
55,55,19,0.229653,0.149316
56,56,69,0.089899,0.089362
57,57,38,0.128743,0.109895
58,58,28,0.191013,0.150000
59,59,4,0.338346,0.187500
60,60,20,0.209023,0.128600
61,61,25,0.054637,0.064920
62,62,4,0.248120,0.205500
63,63,42,0.111230,0.149024
64,64,23,0.092732,0.126739
65,65,16,0.231830,0.186000
66,66,50,0.130426,0.148300
67,67,3,0.350042,0.248667
68,68,5,0.206015,0.204800
69,69,27,0.288592,0.173815
70,70,6,0.352548,0.176667
71,71,5,0.367419,0.172200
72,72,17,0.309155,0.174765
73,73,33,0.150300,0.070061
74,74,26,0.090997,0.110962
75,75,28,0.034909,0.044143
76,76,10,0.171429,0.070300
77,77,4,0.135338,0.211500
78,78,7,0.129968,0.007857
79,79,1,0.152882,0.242000
80,80,7,0.190118,0.109571
81,81,29,0.169130,0.147517
82,82,2,0.330827,0.004500
83,83,16,0.208020,0.187500
84,84,15,0.096074,0.169933
85,85,2,0.305764,0.155500
86,86,2,0.345865,0.081500
87,87,45,0.128822,0.069778
88,88,4,0.208020,0.090750
89,89,1,0.303258,0.512000
90,90,3,0.249791,0.117333
91,91,9,0.169591,0.031111
92,92,9,0.209691,0.111111
93,93,4,0.192982,0.306250
94,94,21,0.112305,0.184333
95,95,61,0.149842,0.130754
96,96,1,0.228070,0.270000
97,97,1,0.639098,0.757000
98,98,3,0.156224,0.267333
99,99,20,0.190476,0.184750
100,100,57,0.088159,0.014211
101,101,24,0.148287,0.049333
102,102,12,0.272765,0.148833
103,103,2,0.353383,0.153500
104,104,5,0.017544,0.024000
105,105,13,0.169462,0.090308
106,106,9,0.072682,0.109889
107,107,2,0.235589,0.003000
108,108,10,0.147368,0.030500
109,109,4,0.190476,0.285750
110,110,1,0.378446,0.432000
111,111,2,0.290727,0.000000
112,112,4,0.186717,0.001000
113,113,2,0.250627,0.266500
114,114,1,0.363409,0.208000
115,115,5,0.311278,0.188400
116,116,1,0.393484,0.357000
117,117,14,0.228786,0.131214
118,118,4,0.189223,0.271500
119,119,12,0.332916,0.172750
120,120,4,0.154135,0.209000
121,121,3,0.291562,0.143667
122,122,3,0.187970,0.096667
123,123,3,0.057644,0.080000
124,124,4,0.365915,0.186750
125,125,3,0.196324,0.230000
126,126,5,0.171930,0.005200
127,127,1,0.353383,0.108000
128,128,2,0.333333,0.153000
129,129,2,0.416040,0.083500
130,130,7,0.247404,0.185714
131,131,1,0.228070,0.443000
132,132,1,0.177945,0.244000
133,133,2,0.197995,0.244500
134,134,4,0.145363,0.007750
135,135,1,0.714286,0.006000
136,136,1,0.368421,0.341000
137,137,4,0.244361,0.131250
138,138,1,0.433584,0.065000
139,139,2,0.265664,0.111500
140,140,1,0.172932,0.223000
141,141,1,0.273183,0.268000
142,142,6,0.250627,0.150167
143,143,1,0.313283,0.212000
144,144,8,0.291980,0.185625
145,145,2,0.265664,0.303000
146,146,1,0.258145,0.059000
147,147,2,0.293233,0.291000
148,148,1,0.273183,0.048000
149,149,6,0.170426,0.205333
150,150,1,0.228070,0.251000
151,151,5,0.186967,0.050200
152,152,1,0.263158,0.019000
153,153,2,0.213033,0.299500
154,154,1,0.553885,0.324000
155,155,1,0.213033,0.303000
156,156,1,0.293233,0.215000
157,157,1,0.228070,0.338000
158,158,1,0.338346,0.375000
159,159,1,0.012531,0.316000
160,160,3,0.144528,0.227667
161,161,3,0.289891,0.128333
162,162,1,0.072682,6.343000
163,163,2,0.335840,0.211000
164,164,1,0.308271,0.247000
165,165,1,0.197995,0.351000
166,166,1,0.423559,0.438000
167,167,1,0.238095,0.238000
168,168,1,0.343358,0.187000
169,169,1,0.388471,0.303000
170,170,4,0.191729,0.069250
171,171,2,0.390977,0.178000
172,172,2,0.310777,0.051500
173,173,1,0.318296,0.313000
174,174,1,0.393484,0.000000
175,175,1,0.172932,0.288000
176,176,6,0.207185,0.068500
177,177,2,0.170426,0.324000
178,178,1,0.228070,0.210000
179,179,1,0.112782,1.820000
180,180,1,0.278195,0.284000
