id,Label,Number_Points,trip_seconds,trip_miles
0,0,397,0.067720,0.015020
1,1,1892,0.047887,0.014087
2,2,261,0.070147,0.048648
3,3,4448,0.029683,0.010846
4,4,2240,0.012867,0.005845
5,5,764,0.068850,0.027829
6,6,1061,0.050161,0.025590
7,7,63,0.131241,0.172889
8,8,68,0.109096,0.068426
9,9,65,0.087951,0.014754
10,10,87,0.108115,0.030471
11,11,3,0.273183,0.207667
12,12,28,0.130147,0.088500
13,13,54,0.089576,0.088815
14,14,188,0.051405,0.046564
15,15,1,0.343358,0.192000
16,16,259,0.088126,0.029992
17,17,58,0.112091,0.171500
18,18,164,0.089675,0.049421
19,19,30,0.250125,0.173133
20,20,2,0.411028,0.176000
21,21,101,0.071590,0.068297
22,22,31,0.110518,0.109806
23,23,91,0.089702,0.069516
24,24,5,0.190977,0.095600
25,25,31,0.073005,0.086129
26,26,17,0.211558,0.148294
27,27,77,0.108681,0.050558
28,28,17,0.210379,0.128294
29,29,12,0.151211,0.149750
30,30,11,0.188881,0.184909
31,31,25,0.129023,0.031880
32,32,39,0.054559,0.067923
33,33,33,0.130250,0.051212
34,34,7,0.170068,0.088571
35,35,35,0.149588,0.130229
36,36,4,0.189223,0.266000
37,37,41,0.109848,0.087854
38,38,19,0.168447,0.132000
39,39,2,0.170426,0.032000
40,40,19,0.149716,0.050842
41,41,3,0.146199,0.227667
42,42,30,0.130660,0.110600
43,43,64,0.190711,0.173422
44,44,19,0.307743,0.174263
45,45,34,0.110423,0.130206
46,46,26,0.150183,0.086808
47,47,26,0.271448,0.174654
48,48,4,0.184211,0.054000
49,49,2,0.172932,0.273000
50,50,8,0.152256,0.032875
51,51,23,0.150703,0.070087
52,52,5,0.351378,0.174600
53,53,5,0.213033,0.110800
54,54,320,0.033631,0.024928
55,55,1,0.062657,0.136000
56,56,1,0.288221,0.208000
57,57,21,0.149302,0.112143
58,58,4,0.209273,0.204500
59,59,7,0.188686,0.143143
60,60,53,0.151085,0.173981
61,61,14,0.107769,0.016071
62,62,14,0.130326,0.146357
63,63,10,0.166917,0.070400
64,64,49,0.229298,0.174612
65,65,61,0.172028,0.173115
66,66,64,0.208882,0.174266
67,67,1,0.127820,0.226000
68,68,1,0.017544,0.168000
69,69,2,0.245614,0.075000
70,70,19,0.129666,0.185421
71,71,9,0.249234,0.183222
72,72,10,0.190977,0.110900
73,73,30,0.035088,0.044467
74,74,14,0.170426,0.184714
75,75,10,0.016541,0.023700
