trip_seconds,trip_miles,cellId,label-gC,label-GT
0.0686667,0.0078823,0,-1,-1
0.0483662,0.0103349,1,-1,-1
0.0699465,0.0487579,2,-1,-1
0.0297219,0.00912042,3,-1,-1
0.0297219,0.00912042,3,-1,-1
0.012948,0.00491687,4,-1,-1
0.012948,0.00491687,4,-1,-1
0.0687508,0.0288586,5,-1,-1
0.0502564,0.0265737,6,-1,-1
0.0502564,0.0265737,6,-1,-1
0.012948,0.00491687,4,-1,-1
0.0483662,0.0103349,1,-1,-1
0.0297219,0.00912042,3,-1,-1
0.130539,0.172912,7,-1,-1
0.0297219,0.00912042,3,-1,-1
0.0297219,0.00912042,3,-1,-1
0.0483662,0.0103349,1,-1,-1
0.012948,0.00491687,4,-1,-1
0.0297219,0.00912042,3,-1,-1
0.109312,0.0691324,8,-1,-1
0.0297219,0.00912042,3,-1,-1
0.0483662,0.0103349,1,-1,-1
0.012948,0.00491687,4,-1,-1
0.0687508,0.0288586,5,-1,-1
0.0894326,0.00564428,9,-1,-1
0.0483662,0.0103349,1,-1,-1
0.0502564,0.0265737,6,-1,-1
0.0297219,0.00912042,3,-1,-1
0.0687508,0.0288586,5,-1,-1
0.012948,0.00491687,4,-1,-1
0.0483662,0.0103349,1,-1,-1
0.10859,0.0305642,10,-1,-1
0.012948,0.00491687,4,-1,-1
0.012948,0.00491687,4,-1,-1
0.0297219,0.00912042,3,-1,-1
0.0297219,0.00912042,3,-1,-1
0.0686667,0.0078823,0,-1,-1
0.273183,0.2065,11,-1,-1
0.0297219,0.00912042,3,-1,-1
0.0502564,0.0265737,6,-1,-1
0.129145,0.0893928,12,-1,-1
0.0297219,0.00912042,3,-1,-1
0.0483662,0.0103349,1,-1,-1
0.012948,0.00491687,4,-1,-1
0.0902027,0.088309,13,-1,-1
0.0902027,0.088309,13,-1,-1
0.0297219,0.00912042,3,-1,-1
0.0516692,0.0471642,14,-1,-1
0.0483662,0.0103349,1,-1,-1
0.0483662,0.0103349,1,-1,-1
0.0297219,0.00912042,3,-1,-1
0.0502564,0.0265737,6,-1,-1
0.0297219,0.00912042,3,-1,-1
0.347368,0.1862,15,-1,-1
0.0483662,0.0103349,1,-1,-1
0.0297219,0.00912042,3,-1,-1
0.0297219,0.00912042,3,-1,-1
0.0297219,0.00912042,3,-1,-1
0.0297219,0.00912042,3,-1,-1
0.0502564,0.0265737,6,-1,-1
0.0502564,0.0265737,6,-1,-1
0.0502564,0.0265737,6,-1,-1
0.0883024,0.0306519,16,-1,-1
0.0483662,0.0103349,1,-1,-1
0.130539,0.172912,7,-1,-1
0.0502564,0.0265737,6,-1,-1
0.111869,0.172291,17,-1,-1
