id,Label,Number_Points,hour,day,month,trip_seconds,trip_miles,trip_total
0,0,1,0.187500,0.366667,0.909091,0.493099,3.940000,0.153188
1,1,1,0.760417,0.733333,0.454545,0.079046,0.660000,0.027013
2,2,2,0.562500,0.633333,0.090909,0.063990,0.320000,0.019966
3,3,1,0.718750,0.233333,0.818182,0.267252,3.400000,0.147013
4,4,1,0.302083,0.266667,0.454545,0.289837,4.140000,0.259262
5,5,1,0.656250,0.900000,0.090909,0.116688,0.460000,0.034396
6,6,1,0.937500,1.000000,1.000000,0.304893,7.680000,0.243456
7,7,1,0.958333,0.266667,0.545455,0.079046,0.840000,0.041309
8,8,1,0.906250,0.433333,0.909091,0.026349,0.140000,0.013591
9,9,1,0.437500,0.433333,0.818182,0.041405,0.180000,0.017953
10,10,5,0.885417,0.513333,0.818182,0.041405,0.216000,0.022550
11,11,1,0.583333,0.366667,1.000000,0.139272,1.040000,0.050671
12,12,1,0.729167,0.666667,0.545455,0.191970,3.360000,0.106879
13,13,2,0.625000,0.100000,0.272727,0.060226,0.780000,0.029362
14,14,2,0.546875,0.766667,0.818182,0.116688,0.360000,0.030872
15,15,1,0.770833,0.166667,0.363636,0.056462,0.380000,0.024094
16,16,4,0.638021,0.625000,0.090909,0.048934,0.225000,0.017433
17,17,5,0.887500,0.933333,0.818182,0.030866,0.112000,0.016107
18,18,1,0.760417,0.500000,0.272727,0.079046,0.940000,0.037752
19,19,1,0.531250,0.366667,0.000000,0.176913,0.580000,0.037752
20,20,3,0.791667,0.655556,0.181818,0.043915,0.120000,0.016700
21,21,8,0.372396,0.620833,0.181818,0.040464,0.132500,0.014455
22,22,3,0.621528,0.311111,0.727273,0.111669,0.646667,0.039273
23,23,2,0.546875,0.150000,0.454545,0.056462,0.140000,0.020117
24,24,3,0.545139,0.011111,0.454545,0.149310,0.653333,0.042506
25,25,1,0.666667,0.666667,0.000000,0.079046,0.560000,0.024329
26,26,1,0.406250,0.766667,0.454545,0.094103,0.280000,0.026007
27,27,2,0.223958,0.633333,0.909091,0.033877,0.130000,0.012617
28,28,1,0.802083,0.366667,0.454545,0.199498,2.100000,0.090134
29,29,1,0.885417,0.000000,0.363636,0.101631,1.240000,0.045134
30,30,1,0.895833,1.000000,0.818182,0.169385,3.500000,0.205705
31,31,2,0.718750,0.016667,0.727273,0.120452,0.860000,0.041326
32,32,2,0.359375,0.950000,0.818182,0.026349,0.080000,0.010990
33,33,1,0.677083,0.100000,0.636364,0.018821,0.080000,0.012584
34,34,4,0.369792,0.550000,0.090909,0.048934,0.195000,0.019077
35,35,3,0.631944,0.866667,0.181818,0.026349,0.146667,0.010235
36,36,1,0.812500,0.200000,0.636364,0.146801,1.540000,0.079262
