hour,day,month,trip_seconds,trip_miles,trip_total,_#NO_CLASS#_
0.187500,0.366667,0.909091,0.493099,3.940000,0.153188,-1
0.760417,0.733333,0.454545,0.079046,0.660000,0.027013,-1
0.562500,0.600000,0.090909,0.056462,0.320000,0.017617,-1
0.718750,0.233333,0.818182,0.267252,3.400000,0.147013,-1
0.302083,0.266667,0.454545,0.289837,4.140000,0.259262,-1
0.656250,0.900000,0.090909,0.116688,0.460000,0.034396,-1
0.937500,1.000000,1.000000,0.304893,7.680000,0.243456,-1
0.958333,0.266667,0.545455,0.079046,0.840000,0.041309,-1
0.906250,0.433333,0.909091,0.026349,0.140000,0.013591,-1
0.437500,0.433333,0.818182,0.041405,0.180000,0.017953,-1
0.895833,0.500000,0.818182,0.033877,0.220000,0.025369,-1
0.583333,0.366667,1.000000,0.139272,1.040000,0.050671,-1
0.729167,0.666667,0.545455,0.191970,3.360000,0.106879,-1
0.583333,0.100000,0.272727,0.048934,0.760000,0.028356,-1
0.552083,0.766667,0.818182,0.101631,0.380000,0.026342,-1
0.770833,0.166667,0.363636,0.056462,0.380000,0.024094,-1
0.625000,0.600000,0.090909,0.056462,0.240000,0.018960,-1
0.895833,0.933333,0.818182,0.026349,0.100000,0.010067,-1
0.760417,0.500000,0.272727,0.079046,0.940000,0.037752,-1
0.531250,0.366667,0.000000,0.176913,0.580000,0.037752,-1
0.812500,0.666667,0.181818,0.041405,0.140000,0.011577,-1
0.343750,0.633333,0.181818,0.056462,0.120000,0.016275,-1
0.625000,0.333333,0.727273,0.124216,0.640000,0.044664,-1
0.552083,0.166667,0.454545,0.063990,0.120000,0.027315,-1
0.541667,0.033333,0.454545,0.154329,0.660000,0.047617,-1
0.666667,0.666667,0.000000,0.079046,0.560000,0.024329,-1
0.406250,0.766667,0.454545,0.094103,0.280000,0.026007,-1
0.229167,0.633333,0.909091,0.033877,0.120000,0.012819,-1
0.802083,0.366667,0.454545,0.199498,2.100000,0.090134,-1
0.885417,0.000000,0.363636,0.101631,1.240000,0.045134,-1
0.895833,1.000000,0.818182,0.169385,3.500000,0.205705,-1
0.739583,0.000000,0.727273,0.116688,0.880000,0.048255,-1
0.364583,0.933333,0.818182,0.018821,0.080000,0.011745,-1
0.677083,0.100000,0.636364,0.018821,0.080000,0.012584,-1
0.385417,0.566667,0.090909,0.048934,0.200000,0.013591,-1
0.656250,0.900000,0.181818,0.026349,0.160000,0.010906,-1
0.812500,0.200000,0.636364,0.146801,1.540000,0.079262,-1
0.791667,0.400000,0.181818,0.124216,0.720000,0.033054,-1
0.416667,0.033333,0.727273,0.146801,1.040000,0.041779,-1
0.770833,0.866667,0.454545,0.071518,0.140000,0.015604,-1
0.260417,0.833333,0.636364,0.131744,0.500000,0.036980,-1
0.802083,0.233333,0.545455,0.071518,0.500000,0.027315,-1
0.510417,0.433333,0.090909,0.056462,0.220000,0.018960,-1
0.260417,0.333333,0.090909,0.079046,0.280000,0.024664,-1
0.645833,0.166667,0.454545,0.018821,0.100000,0.008221,-1
0.937500,0.900000,0.000000,0.041405,0.400000,0.020302,-1
0.541667,0.933333,0.363636,0.146801,0.560000,0.041812,-1
0.895833,0.833333,0.000000,0.124216,1.720000,0.059899,-1
0.593750,0.100000,0.363636,0.086575,0.480000,0.024329,-1
0.281250,0.900000,0.454545,0.109159,0.340000,0.026846,-1
0.927083,0.733333,0.272727,0.041405,0.300000,0.022315,-1
0.635417,0.100000,0.272727,0.094103,0.640000,0.030369,-1
0.541667,0.700000,0.363636,0.056462,0.180000,0.018456,-1
0.812500,0.333333,0.545455,0.139272,0.860000,0.039765,-1
0.562500,0.633333,0.363636,0.191970,0.560000,0.038423,-1
0.760417,0.833333,0.000000,0.056462,0.220000,0.018456,-1
0.395833,0.000000,0.818182,0.056462,0.220000,0.014933,-1
0.354167,0.533333,0.181818,0.033877,0.120000,0.016946,-1
0.947917,0.666667,0.181818,0.041405,0.380000,0.020973,-1
0.281250,0.600000,0.909091,0.094103,0.280000,0.028356,-1
0.770833,0.200000,0.636364,0.056462,0.320000,0.030168,-1
0.187500,0.966667,0.363636,0.101631,0.660000,0.029698,-1
0.427083,0.600000,1.000000,0.079046,0.400000,0.030369,-1
0.781250,0.166667,0.000000,0.063990,0.440000,0.020302,-1
0.614583,0.700000,0.272727,0.146801,1.340000,0.062752,-1
0.593750,0.733333,0.545455,0.063990,0.160000,0.014933,-1
0.552083,0.900000,0.181818,0.131744,0.900000,0.041107,-1
0.697917,0.333333,0.454545,0.063990,0.440000,0.025336,-1
0.437500,0.366667,1.000000,0.041405,0.220000,0.014262,-1
0.958333,0.366667,0.454545,0.094103,0.820000,0.038591,-1
0.541667,0.066667,1.000000,0.041405,0.200000,0.017282,-1
0.343750,0.866667,0.454545,0.124216,0.680000,0.036745,-1
0.625000,0.233333,0.272727,0.056462,0.520000,0.035235,-1
0.437500,0.866667,0.545455,0.124216,0.400000,0.040470,-1
0.364583,0.700000,0.545455,0.094103,0.420000,0.034597,-1
0.260417,0.433333,0.272727,0.079046,0.720000,0.037953,-1
0.375000,0.966667,0.454545,0.056462,0.180000,0.014262,-1
0.656250,0.766667,0.090909,0.101631,0.880000,0.034396,-1
0.385417,0.500000,0.818182,0.176913,0.540000,0.044228,-1
0.520833,0.800000,0.727273,0.372647,1.080000,0.067953,-1
0.625000,0.500000,0.545455,0.048934,0.240000,0.019966,-1
0.645833,0.100000,0.090909,0.086575,0.520000,0.034966,-1
0.895833,0.333333,0.545455,0.131744,1.160000,0.046477,-1
0.906250,0.700000,0.272727,0.063990,0.380000,0.017617,-1
0.770833,0.433333,0.181818,0.041405,0.080000,0.013591,-1
0.666667,0.000000,0.363636,0.086575,0.980000,0.039094,-1
0.614583,0.066667,0.545455,0.094103,0.860000,0.033725,-1
0.406250,0.500000,0.181818,0.041405,0.120000,0.018456,-1
0.447917,0.933333,0.545455,0.199498,1.220000,0.068389,-1
0.322917,0.133333,0.363636,0.048934,0.160000,0.012919,-1
0.541667,0.233333,0.363636,0.101631,0.340000,0.022987,-1
0.635417,0.700000,0.000000,0.184442,1.980000,0.069295,-1
0.833333,0.300000,0.181818,0.079046,0.400000,0.030537,-1
0.968750,0.000000,0.272727,0.101631,0.640000,0.032718,-1
0.510417,0.600000,0.090909,0.086575,0.340000,0.019631,-1
0.375000,0.500000,0.272727,0.101631,0.600000,0.034564,-1
0.250000,0.533333,1.000000,0.063990,0.400000,0.020302,-1
0.375000,0.500000,0.545455,0.033877,0.100000,0.010235,-1
0.656250,0.200000,0.545455,0.086575,0.860000,0.033054,-1
0.458333,0.266667,0.636364,0.116688,0.560000,0.047617,-1
0.552083,0.500000,0.181818,0.169385,0.840000,0.043121,-1
0.312500,0.300000,0.090909,0.026349,0.120000,0.009564,-1
0.406250,0.233333,1.000000,0.041405,0.140000,0.011577,-1
0.343750,0.833333,0.181818,0.056462,0.200000,0.018289,-1
0.666667,0.633333,0.363636,0.214555,2.660000,0.100168,-1
0.750000,0.066667,0.636364,0.094103,0.420000,0.030369,-1
0.854167,0.900000,0.636364,0.094103,0.580000,0.036745,-1
0.614583,0.933333,0.727273,0.041405,0.300000,0.023289,-1
0.302083,0.233333,0.545455,0.071518,0.140000,0.015604,-1
0.770833,0.166667,0.181818,0.056462,0.440000,0.023658,-1
0.312500,0.900000,0.181818,0.094103,0.420000,0.022987,-1
0.354167,0.466667,0.272727,0.154329,0.540000,0.033725,-1
0.406250,0.700000,0.090909,0.011292,0.080000,0.010403,-1
0.906250,0.866667,0.090909,0.094103,0.980000,0.048859,-1
0.875000,0.666667,0.363636,0.048934,0.220000,0.018456,-1
0.364583,0.733333,0.818182,0.063990,0.180000,0.014933,-1
0.781250,0.700000,0.000000,0.056462,0.300000,0.028523,-1
0.677083,0.400000,0.545455,0.079046,0.360000,0.028926,-1
0.208333,0.500000,0.909091,0.026349,0.160000,0.010235,-1
0.666667,0.433333,0.090909,0.116688,1.500000,0.056544,-1
0.354167,0.666667,0.000000,0.094103,0.620000,0.041107,-1
0.270833,0.133333,0.181818,0.109159,0.540000,0.027081,-1
0.656250,0.266667,1.000000,0.033877,0.180000,0.023490,-1
0.750000,0.266667,0.818182,0.124216,1.360000,0.051174,-1
0.750000,0.733333,0.545455,0.063990,0.760000,0.036174,-1
0.791667,0.833333,1.000000,0.109159,0.920000,0.041443,-1
0.208333,0.533333,0.636364,0.101631,0.240000,0.020302,-1
0.187500,0.466667,0.272727,0.109159,1.240000,0.044463,-1
0.395833,0.200000,0.545455,0.063990,0.240000,0.016946,-1
0.895833,0.200000,0.909091,0.176913,1.960000,0.069966,-1
0.385417,0.300000,0.818182,0.041405,0.140000,0.016141,-1
0.572917,0.800000,0.272727,0.063990,0.360000,0.029698,-1
0.708333,0.800000,0.090909,0.041405,0.220000,0.013591,-1
0.500000,0.200000,0.363636,0.026349,0.140000,0.009564,-1
0.395833,0.300000,0.727273,0.063990,0.220000,0.023188,-1
0.187500,0.266667,0.818182,0.161857,1.800000,0.084933,-1
0.666667,0.033333,0.000000,0.116688,1.000000,0.039094,-1
0.947917,0.066667,0.727273,0.056462,0.400000,0.022651,-1
0.635417,0.166667,0.363636,0.071518,0.560000,0.038591,-1
0.364583,0.066667,0.545455,0.139272,0.360000,0.031711,-1
0.552083,0.400000,0.818182,0.101631,0.620000,0.034564,-1
0.656250,0.900000,0.818182,0.018821,0.120000,0.012584,-1
0.208333,0.166667,0.181818,0.063990,0.220000,0.015604,-1
0.666667,0.500000,0.818182,0.041405,0.280000,0.018456,-1
0.697917,0.100000,0.454545,0.169385,1.140000,0.050503,-1
0.354167,0.733333,0.363636,0.191970,0.780000,0.043792,-1
0.791667,0.566667,0.090909,0.071518,0.480000,0.022315,-1
0.375000,0.466667,0.181818,0.018821,0.200000,0.011745,-1
0.822917,0.533333,0.000000,0.131744,0.780000,0.035067,-1
0.270833,0.233333,0.454545,0.048934,0.240000,0.023691,-1
0.739583,0.466667,0.454545,0.094103,0.400000,0.032383,-1
0.291667,0.433333,0.636364,0.094103,0.260000,0.020302,-1
0.875000,0.966667,0.545455,0.041405,0.600000,0.029564,-1
0.864583,0.566667,0.454545,0.094103,0.840000,0.033054,-1
0.343750,0.633333,0.000000,0.048934,0.140000,0.025705,-1
0.541667,0.866667,0.818182,0.026349,0.100000,0.019664,-1
0.593750,0.566667,0.363636,0.071518,0.400000,0.025336,-1
0.281250,0.300000,0.909091,0.071518,0.320000,0.028523,-1
0.677083,0.366667,0.181818,0.109159,1.000000,0.048255,-1
0.927083,0.066667,0.181818,0.184442,3.280000,0.113591,-1
0.427083,0.500000,0.727273,0.026349,0.120000,0.010235,-1
0.895833,0.433333,0.090909,0.109159,1.040000,0.055570,-1
0.687500,0.766667,0.909091,0.026349,0.220000,0.010906,-1
0.625000,0.300000,0.909091,0.101631,0.840000,0.033054,-1
0.718750,0.433333,0.545455,0.071518,0.340000,0.019631,-1
0.916667,0.166667,0.000000,0.063990,0.540000,0.029732,-1
0.697917,0.066667,0.727273,0.048934,0.520000,0.030403,-1
0.854167,0.033333,0.545455,0.048934,0.300000,0.026107,-1
0.635417,0.833333,0.454545,0.071518,0.400000,0.022315,-1
0.510417,0.400000,0.909091,0.161857,0.580000,0.043423,-1
0.750000,0.500000,0.000000,0.094103,0.520000,0.029698,-1
0.562500,0.866667,0.636364,0.056462,0.300000,0.021678,-1
0.687500,0.400000,0.818182,0.116688,1.240000,0.046477,-1
0.760417,0.533333,0.454545,0.018821,0.140000,0.012785,-1
0.927083,0.833333,0.090909,0.109159,0.700000,0.032383,-1
0.229167,0.933333,0.727273,0.033877,0.200000,0.017617,-1
0.812500,0.166667,0.090909,0.109159,0.500000,0.026342,-1
0.281250,0.400000,0.909091,0.048934,0.180000,0.023691,-1
0.968750,0.900000,0.909091,0.116688,1.760000,0.062248,-1
0.625000,0.266667,0.363636,0.161857,1.500000,0.082215,-1
0.916667,0.933333,0.454545,0.003764,0.100000,0.010235,-1
0.510417,0.600000,0.818182,0.613551,1.840000,0.134228,-1
0.593750,0.200000,0.363636,0.056462,0.360000,0.033758,-1
0.427083,0.600000,0.909091,0.530740,3.540000,0.129698,-1
0.552083,0.000000,1.000000,0.048934,0.100000,0.011577,-1
0.208333,0.900000,0.818182,0.026349,0.280000,0.015101,-1
0.364583,0.466667,1.000000,0.056462,0.200000,0.014933,-1
0.906250,0.833333,0.909091,0.063990,0.400000,0.020302,-1
0.760417,0.233333,0.727273,0.063990,0.740000,0.032383,-1
0.822917,0.466667,0.272727,0.063990,0.340000,0.030201,-1
0.812500,0.566667,0.090909,0.026349,0.200000,0.014933,-1
0.572917,0.700000,0.363636,0.063990,0.180000,0.015604,-1
0.427083,0.733333,0.818182,0.470514,2.280000,0.109564,-1
0.697917,0.866667,1.000000,0.079046,1.140000,0.046745,-1
0.802083,0.100000,0.363636,0.041405,0.180000,0.023490,-1
0.437500,0.833333,0.636364,0.063990,0.260000,0.024060,-1
0.604167,0.533333,0.181818,0.071518,0.340000,0.019631,-1
