Taxi_id,time_stamp,hour,day,month,trip_seconds,trip_miles,trip_total
455b6b,2014-08-01 09:30:00.000000 UTC,9.5,1,8,840,1.4,10.35
455b6b,2014-02-28 08:00:00.000000 UTC,8.0,28,2,600,1.9,9.55
455b6b,2015-09-04 13:45:00.000000 UTC,13.75,4,9,900,5.6,16.45
455b6b,2014-08-15 08:00:00.000000 UTC,8.0,15,8,300,0.6,6.05
455b6b,2014-05-19 07:45:00.000000 UTC,7.75,19,5,300,1.1,9.35
455b6b,2015-03-26 01:45:00.000000 UTC,1.75,26,3,180,1.0,7.05
455b6b,2015-05-28 11:45:00.000000 UTC,11.75,28,5,240,0.3,4.25
455b6b,2015-08-28 09:45:00.000000 UTC,9.75,28,8,780,2.8,13.25
455b6b,2015-12-16 05:15:00.000000 UTC,5.25,16,12,720,2.1,9.05
455b6b,2014-10-23 11:00:00.000000 UTC,11.0,23,10,720,2.4,9.25
455b6b,2015-01-10 13:30:00.000000 UTC,13.5,10,1,240,0.8,6.05
455b6b,2014-11-21 11:45:00.000000 UTC,11.75,21,11,540,1.7,9.45
455b6b,2015-09-24 13:15:00.000000 UTC,13.25,24,9,360,1.0,5.85
455b6b,2016-08-16 05:15:00.000000 UTC,5.25,16,8,1680,17.7,54.5
455b6b,2014-03-19 09:15:00.000000 UTC,9.25,19,3,420,1.2,6.45
455b6b,2015-08-13 13:45:00.000000 UTC,13.75,13,8,300,1.0,6.85
455b6b,2014-05-17 18:15:00.000000 UTC,18.25,17,5,540,1.5,10.05
455b6b,2015-03-21 12:00:00.000000 UTC,12.0,21,3,240,1.2,7.35
455b6b,2015-09-03 11:30:00.000000 UTC,11.5,3,9,300,0.7,5.45
455b6b,2015-06-04 12:45:00.000000 UTC,12.75,4,6,1260,7.0,19.85
455b6b,2015-11-13 03:00:00.000000 UTC,3.0,13,11,420,1.8,9.25
455b6b,2015-09-04 09:30:00.000000 UTC,9.5,4,9,720,1.8,8.05
455b6b,2015-03-31 11:00:00.000000 UTC,11.0,31,3,120,0.5,4.25
455b6b,2015-02-24 02:45:00.000000 UTC,2.75,24,2,900,3.4,12.05
455b6b,2015-01-07 13:30:00.000000 UTC,13.5,7,1,1020,1.6,13.25
455b6b,2015-10-29 02:45:00.000000 UTC,2.75,29,10,540,1.3,8.25
455b6b,2014-12-28 12:15:00.000000 UTC,12.25,28,12,540,2.7,8.85
455b6b,2015-02-26 03:45:00.000000 UTC,3.75,26,2,300,0.5,5.05
455b6b,2016-04-19 07:30:00.000000 UTC,7.5,19,4,840,3.1,15.0
455b6b,2015-10-26 02:45:00.000000 UTC,2.75,26,10,240,0.7,5.05
455b6b,2014-02-28 02:30:00.000000 UTC,2.5,28,2,540,1.4,7.45
455b6b,2015-07-02 12:45:00.000000 UTC,12.75,2,7,1260,2.3,12.75
455b6b,2014-12-13 07:15:00.000000 UTC,7.25,13,12,120,0.3,4.05
455b6b,2015-09-23 02:30:00.000000 UTC,2.5,23,9,120,0.5,4.25
455b6b,2014-09-18 11:30:00.000000 UTC,11.5,18,9,480,1.7,7.25
455b6b,2015-07-02 04:00:00.000000 UTC,4.0,2,7,300,0.9,5.45
455b6b,2015-03-28 07:45:00.000000 UTC,7.75,28,3,960,1.7,9.85
455b6b,2016-01-13 07:30:00.000000 UTC,7.5,13,1,3360,20.7,58.25
455b6b,2014-05-14 04:45:00.000000 UTC,4.75,14,5,420,0.9,7.55
455b6b,2015-07-04 06:00:00.000000 UTC,6.0,4,7,720,2.9,12.05
455b6b,2015-06-20 14:45:00.000000 UTC,14.75,20,6,1500,9.7,24.05
455b6b,2015-10-07 02:45:00.000000 UTC,2.75,7,10,480,1.4,8.05
455b6b,2014-02-26 08:00:00.000000 UTC,8.0,26,2,540,1.3,7.25
455b6b,2014-11-11 13:45:00.000000 UTC,13.75,11,11,180,0.5,6.15
455b6b,2014-10-17 15:00:00.000000 UTC,15.0,17,10,1200,8.8,20.45
455b6b,2014-03-14 18:15:00.000000 UTC,18.25,14,3,1080,8.6,20.05
455b6b,2015-08-12 11:30:00.000000 UTC,11.5,12,8,360,0.8,5.65
455b6b,2015-01-02 04:45:00.000000 UTC,4.75,2,1,660,4.1,12.85
455b6b,2014-04-18 06:45:00.000000 UTC,6.75,18,4,540,1.1,6.85
455b6b,2014-12-10 12:30:00.000000 UTC,12.5,10,12,720,1.6,8.44
455b6b,2014-10-14 04:45:00.000000 UTC,4.75,14,10,480,1.2,9.05
455b6b,2014-04-25 07:00:00.000000 UTC,7.0,25,4,540,3.3,9.85
455b6b,2014-10-01 08:45:00.000000 UTC,8.75,1,10,480,1.0,8.65
455b6b,2016-10-31 02:30:00.000000 UTC,2.5,31,10,4140,19.2,51.25
455b6b,2014-12-24 12:15:00.000000 UTC,12.25,24,12,600,1.9,8.85
455b6b,2014-12-20 10:45:00.000000 UTC,10.75,20,12,360,1.0,6.85
455b6b,2015-08-25 14:15:00.000000 UTC,14.25,25,8,420,1.4,9.65
455b6b,2014-01-22 07:15:00.000000 UTC,7.25,22,1,360,0.7,5.65
455b6b,2014-11-23 10:45:00.000000 UTC,10.75,23,11,300,0.9,6.45
455b6b,2015-04-18 04:45:00.000000 UTC,4.75,18,4,600,2.4,8.85
455b6b,2014-11-04 03:45:00.000000 UTC,3.75,4,11,720,3.0,10.25
455b6b,2014-08-25 07:45:00.000000 UTC,7.75,25,8,660,2.3,8.44
455b6b,2015-06-01 13:00:00.000000 UTC,13.0,1,6,1200,3.0,12.25
455b6b,2014-09-11 05:30:00.000000 UTC,5.5,11,9,540,1.8,8.65
455b6b,2016-08-30 16:15:00.000000 UTC,16.25,30,8,1560,17.5,51.5
455b6b,2015-07-31 15:15:00.000000 UTC,15.25,31,7,600,2.9,10.94
455b6b,2015-07-04 14:15:00.000000 UTC,14.25,4,7,1320,16.8,43.5
455b6b,2015-06-13 12:15:00.000000 UTC,12.25,13,6,360,1.0,7.05
455b6b,2014-07-26 14:00:00.000000 UTC,14.0,26,7,1020,4.5,14.65
455b6b,2014-02-17 07:00:00.000000 UTC,7.0,17,2,300,0.7,5.25
455b6b,2015-04-14 02:15:00.000000 UTC,2.25,14,4,240,0.9,5.25
455b6b,2015-03-15 12:15:00.000000 UTC,12.25,15,3,600,2.3,9.85
455b6b,2014-08-06 06:15:00.000000 UTC,6.25,6,8,420,1.9,8.45
455b6b,2014-09-12 10:30:00.000000 UTC,10.5,12,9,3000,16.9,40.04
455b6b,2014-11-13 13:00:00.000000 UTC,13.0,13,11,4860,17.8,55.02
455b6b,2014-08-27 13:00:00.000000 UTC,13.0,27,8,960,6.8,16.85
455b6b,2015-04-24 13:15:00.000000 UTC,13.25,24,4,240,0.4,5.84
455b6b,2015-03-18 02:15:00.000000 UTC,2.25,18,3,1320,11.5,33.81
455b6b,2015-06-03 09:30:00.000000 UTC,9.5,3,6,720,2.4,9.25
455b6b,2014-02-21 11:30:00.000000 UTC,11.5,21,2,300,0.5,5.05
455b6b,2014-05-17 16:15:00.000000 UTC,16.25,17,5,300,0.9,5.65
455b6b,2015-08-17 13:45:00.000000 UTC,13.75,17,8,240,0.8,8.25
455b6b,2015-02-09 12:30:00.000000 UTC,12.5,9,2,240,0.5,5.05
455b6b,2014-09-03 10:15:00.000000 UTC,10.25,3,9,420,1.7,11.05
455b6b,2014-11-19 12:45:00.000000 UTC,12.75,19,11,300,0.9,5.45
455b6b,2015-05-26 10:15:00.000000 UTC,10.25,26,5,240,1.2,5.85
455b6b,2015-05-02 13:15:00.000000 UTC,13.25,2,5,360,0.8,7.65
455b6b,2015-06-12 02:15:00.000000 UTC,2.25,12,6,420,1.1,6.45
455b6b,2014-07-27 11:00:00.000000 UTC,11.0,27,7,600,1.6,8.85
