Taxi_id,time_stamp,hour,day,month,trip_seconds,trip_miles,trip_total
4c8b67,2015-08-15 22:45:00.000000 UTC,22.75,15,8,660,0.2,10.25
4c8b67,2015-05-23 17:45:00.000000 UTC,17.75,23,5,420,0.1,7.45
4c8b67,2015-10-29 04:30:00.000000 UTC,4.5,29,10,1200,0.1,11.05
4c8b67,2015-04-25 21:15:00.000000 UTC,21.25,25,4,360,0.0,9.85
4c8b67,2015-08-03 13:45:00.000000 UTC,13.75,3,8,420,0.0,7.45
4c8b67,2015-12-14 16:00:00.000000 UTC,16.0,14,12,600,0.1,9.85
4c8b67,2015-05-30 11:00:00.000000 UTC,11.0,30,5,840,0.1,9.25
4c8b67,2015-12-23 17:30:00.000000 UTC,17.5,23,12,900,0.3,15.05
4c8b67,2015-06-20 23:15:00.000000 UTC,23.25,20,6,120,0.0,4.45
4c8b67,2016-03-08 20:00:00.000000 UTC,20.0,8,3,840,0.3,21.3
4c8b67,2015-07-11 17:45:00.000000 UTC,17.75,11,7,240,0.0,5.05
4c8b67,2015-11-06 18:30:00.000000 UTC,18.5,6,11,240,0.0,6.25
4c8b67,2015-12-29 22:00:00.000000 UTC,22.0,29,12,180,0.0,6.25
4c8b67,2016-07-01 15:30:00.000000 UTC,15.5,1,7,240,0.0,5.0
4c8b67,2015-02-06 13:15:00.000000 UTC,13.25,6,2,60,0.0,3.45
4c8b67,2015-10-28 22:15:00.000000 UTC,22.25,28,10,240,0.0,5.85
4c8b67,2016-01-26 13:00:00.000000 UTC,13.0,26,1,2940,0.9,55.3
4c8b67,2015-11-28 18:15:00.000000 UTC,18.25,28,11,240,0.0,6.25
4c8b67,2016-02-01 17:15:00.000000 UTC,17.25,1,2,780,0.1,13.25
4c8b67,2015-07-03 14:45:00.000000 UTC,14.75,3,7,1680,1.2,50.85
4c8b67,2015-02-21 12:15:00.000000 UTC,12.25,21,2,420,0.1,9.05
4c8b67,2015-11-12 07:00:00.000000 UTC,7.0,12,11,1140,0.3,16.65
4c8b67,2015-03-06 14:00:00.000000 UTC,14.0,6,3,360,0.0,5.65
4c8b67,2015-07-27 03:15:00.000000 UTC,3.25,27,7,900,0.3,19.5
4c8b67,2015-05-13 10:30:00.000000 UTC,10.5,13,5,3420,0.9,39.05
4c8b67,2015-12-10 14:30:00.000000 UTC,14.5,10,12,960,0.1,11.25
4c8b67,2015-04-03 04:00:00.000000 UTC,4.0,3,4,900,0.3,14.65
4c8b67,2015-11-27 23:15:00.000000 UTC,23.25,27,11,540,0.2,11.25
4c8b67,2016-01-02 14:30:00.000000 UTC,14.5,2,1,360,0.0,6.5
4c8b67,2016-12-08 07:00:00.000000 UTC,7.0,8,12,480,0.0,8.25
4c8b67,2015-01-24 22:45:00.000000 UTC,22.75,24,1,540,0.1,7.65
4c8b67,2015-01-25 10:00:00.000000 UTC,10.0,25,1,240,0.0,4.85
4c8b67,2015-09-11 11:15:00.000000 UTC,11.25,11,9,660,0.1,8.05
4c8b67,2016-02-25 12:45:00.000000 UTC,12.75,25,2,540,0.0,7.75
4c8b67,2015-04-07 21:00:00.000000 UTC,21.0,7,4,780,0.2,11.85
4c8b67,2015-07-22 22:15:00.000000 UTC,22.25,22,7,300,0.0,8.25
4c8b67,2015-02-25 12:15:00.000000 UTC,12.25,25,2,420,0.0,8.05
4c8b67,2016-03-01 08:00:00.000000 UTC,8.0,1,3,360,0.0,6.25
4c8b67,2015-12-30 10:00:00.000000 UTC,10.0,30,12,300,0.0,6.75
4c8b67,2015-10-01 18:30:00.000000 UTC,18.5,1,10,360,0.0,9.45
4c8b67,2016-03-10 16:15:00.000000 UTC,16.25,10,3,240,0.0,7.75
4c8b67,2015-12-04 10:30:00.000000 UTC,10.5,4,12,600,0.0,7.05
4c8b67,2015-06-06 20:45:00.000000 UTC,20.75,6,6,720,0.1,13.25
4c8b67,2015-04-19 11:15:00.000000 UTC,11.25,19,4,2880,1.2,44.45
4c8b67,2015-04-11 10:45:00.000000 UTC,10.75,11,4,840,0.1,10.85
4c8b67,2015-08-24 17:30:00.000000 UTC,17.5,24,8,300,0.0,7.65
4c8b67,2015-09-18 04:00:00.000000 UTC,4.0,18,9,360,0.0,11.6
4c8b67,2016-03-12 19:45:00.000000 UTC,19.75,12,3,1020,0.2,17.0
4c8b67,2015-01-28 01:30:00.000000 UTC,1.5,28,1,840,0.4,17.85
4c8b67,2015-09-14 07:15:00.000000 UTC,7.25,14,9,900,0.6,26.15
4c8b67,2015-10-10 15:45:00.000000 UTC,15.75,10,10,600,0.1,10.25
4c8b67,2016-02-03 10:30:00.000000 UTC,10.5,3,2,420,0.0,10.0
4c8b67,2016-04-22 14:45:00.000000 UTC,14.75,22,4,480,0.1,7.75
4c8b67,2015-08-16 10:30:00.000000 UTC,10.5,16,8,240,0.0,4.85
4c8b67,2016-04-05 05:30:00.000000 UTC,5.5,5,4,420,0.0,10.5
4c8b67,2015-12-21 19:45:00.000000 UTC,19.75,21,12,780,0.3,16.85
4c8b67,2015-05-08 22:00:00.000000 UTC,22.0,8,5,840,0.2,12.5
4c8b67,2015-09-26 10:45:00.000000 UTC,10.75,26,9,840,0.1,12.05
