Taxi_id,time_stamp,hour,day,month,year,day_of_week,trip_seconds,trip_miles,trip_total
5f1b23,2015-08-20 16:00:00.000000 UTC,16,20,8,2015,5,540,1.8,10.45
5f1b23,2014-02-25 12:30:00.000000 UTC,12.5,25,2,2014,3,300,0,5.45
5f1b23,2014-02-11 03:15:00.000000 UTC,3.25,11,2,2014,3,540,0,7.25
5f1b23,2014-03-12 06:00:00.000000 UTC,6,12,3,2014,4,660,2.2,8.65
5f1b23,2014-02-04 23:30:00.000000 UTC,23.5,4,2,2014,3,1380,0,19.25
5f1b23,2014-01-19 19:00:00.000000 UTC,19,19,1,2014,1,840,0,19.25
5f1b23,2016-05-04 12:30:00.000000 UTC,12.5,4,5,2016,4,780,2.2,10
5f1b23,2014-10-17 21:45:00.000000 UTC,21.75,17,10,2014,6,480,1.6,10.55
5f1b23,2015-01-18 17:45:00.000000 UTC,17.75,18,1,2015,1,720,2.5,9.25
5f1b23,2015-08-17 16:15:00.000000 UTC,16.25,17,8,2015,2,360,1.1,6.05
5f1b23,2014-02-24 19:30:00.000000 UTC,19.5,24,2,2014,2,480,0,11.85
5f1b23,2015-07-17 22:45:00.000000 UTC,22.75,17,7,2015,6,720,2.6,11.25
5f1b23,2014-07-05 00:30:00.000000 UTC,0.5,5,7,2014,7,240,1,5.45
5f1b23,2016-07-16 19:45:00.000000 UTC,19.75,16,7,2016,7,1380,6.4,24.6
5f1b23,2014-09-24 07:30:00.000000 UTC,7.5,24,9,2014,4,240,1,5.45
5f1b23,2015-04-13 03:00:00.000000 UTC,3,13,4,2015,2,300,1.1,5.45
5f1b23,2016-09-23 15:45:00.000000 UTC,15.75,23,9,2016,6,300,0.7,5.5
5f1b23,2015-02-11 15:30:00.000000 UTC,15.5,11,2,2015,4,1320,8,19.45
5f1b23,2014-12-19 16:15:00.000000 UTC,16.25,19,12,2014,6,60,0,5.25
5f1b23,2016-03-04 14:00:00.000000 UTC,14,4,3,2016,6,600,0.8,8
5f1b23,2014-02-18 08:30:00.000000 UTC,8.5,18,2,2014,3,1080,0,26.7
5f1b23,2015-04-10 22:45:00.000000 UTC,22.75,10,4,2015,6,540,2.3,10.85
5f1b23,2016-07-28 18:45:00.000000 UTC,18.75,28,7,2016,5,300,0.9,5.5
5f1b23,2014-10-17 14:45:00.000000 UTC,14.75,17,10,2014,6,900,3.3,11.65
5f1b23,2014-09-27 13:30:00.000000 UTC,13.5,27,9,2014,7,840,2,10.15
5f1b23,2015-06-09 05:45:00.000000 UTC,5.75,9,6,2015,3,1200,7.6,18.05
5f1b23,2014-03-11 20:15:00.000000 UTC,20.25,11,3,2014,3,180,0.7,4.85
5f1b23,2015-12-04 17:45:00.000000 UTC,17.75,4,12,2015,6,420,2.7,9.95
5f1b23,2014-08-16 19:00:00.000000 UTC,19,16,8,2014,7,960,3.5,16.85
5f1b23,2015-08-27 08:00:00.000000 UTC,8,27,8,2015,5,120,0.3,5.05
5f1b23,2014-04-02 18:45:00.000000 UTC,18.75,2,4,2014,4,480,1.8,8.95
5f1b23,2014-02-25 14:15:00.000000 UTC,14.25,25,2,2014,3,3060,0,50.05
5f1b23,2014-03-29 08:45:00.000000 UTC,8.75,29,3,2014,7,540,0.7,6.25
5f1b23,2015-10-06 18:45:00.000000 UTC,18.75,6,10,2015,3,720,1.9,9.45
5f1b23,2015-11-28 19:00:00.000000 UTC,19,28,11,2015,7,840,2,9.05
5f1b23,2014-03-25 05:45:00.000000 UTC,5.75,25,3,2014,3,1500,11.5,28.25
5f1b23,2014-01-17 21:00:00.000000 UTC,21,17,1,2014,6,240,0,7.85
5f1b23,2015-06-26 19:15:00.000000 UTC,19.25,26,6,2015,6,480,2.2,7.85
5f1b23,2014-02-21 03:45:00.000000 UTC,3.75,21,2,2014,6,240,0,7.65
5f1b23,2015-08-13 20:15:00.000000 UTC,20.25,13,8,2015,5,600,2.1,9.25
5f1b23,2015-11-25 19:30:00.000000 UTC,19.5,25,11,2015,4,600,2.5,9.45
5f1b23,2015-08-14 09:30:00.000000 UTC,9.5,14,8,2015,6,2340,15.9,36.25
5f1b23,2014-03-28 06:30:00.000000 UTC,6.5,28,3,2014,6,480,1.4,6.85
5f1b23,2015-12-22 17:00:00.000000 UTC,17,22,12,2015,3,1020,8.1,18.65
5f1b23,2014-11-20 19:00:00.000000 UTC,19,20,11,2014,5,480,2.1,8.65
5f1b23,2014-03-31 10:15:00.000000 UTC,10.25,31,3,2014,2,540,1.6,9.25
5f1b23,2014-02-09 17:30:00.000000 UTC,17.5,9,2,2014,1,300,0,5.85
5f1b23,2015-05-21 21:15:00.000000 UTC,21.25,21,5,2015,5,180,0.5,5.95
5f1b23,2014-07-10 12:45:00.000000 UTC,12.75,10,7,2014,5,2400,21.6,50.25
5f1b23,2015-06-02 08:30:00.000000 UTC,8.5,2,6,2015,3,720,2.7,13.35
5f1b23,2015-07-19 17:15:00.000000 UTC,17.25,19,7,2015,1,600,3,12.25
5f1b23,2014-10-04 19:30:00.000000 UTC,19.5,4,10,2014,7,240,0,6.05
5f1b23,2015-09-24 07:30:00.000000 UTC,7.5,24,9,2015,5,900,5.5,15.45
5f1b23,2014-03-18 18:45:00.000000 UTC,18.75,18,3,2014,3,420,1.5,8.85
5f1b23,2015-12-04 10:15:00.000000 UTC,10.25,4,12,2015,6,240,0.8,5.25
5f1b23,2016-02-21 18:00:00.000000 UTC,18,21,2,2016,1,360,1.6,7.25
5f1b23,2014-01-20 20:30:00.000000 UTC,20.5,20,1,2014,2,300,0,5.65
5f1b23,2014-08-24 16:45:00.000000 UTC,16.75,24,8,2014,1,540,1.3,7.65
5f1b23,2014-04-01 18:00:00.000000 UTC,18,1,4,2014,3,360,1.5,6.25
5f1b23,2015-04-12 00:30:00.000000 UTC,0.5,12,4,2015,1,1140,5,18.3
5f1b23,2014-10-25 22:30:00.000000 UTC,22.5,25,10,2014,7,1620,12.4,28.05
5f1b23,2014-04-16 09:30:00.000000 UTC,9.5,16,4,2014,4,1740,17.4,40.65
5f1b23,2015-04-19 08:30:00.000000 UTC,8.5,19,4,2015,1,1020,2.4,11.25
5f1b23,2014-01-06 20:15:00.000000 UTC,20.25,6,1,2014,2,660,0,9.25
5f1b23,2015-08-25 17:30:00.000000 UTC,17.5,25,8,2015,3,300,1.2,6.85
5f1b23,2014-04-02 09:45:00.000000 UTC,9.75,2,4,2014,4,540,2.4,8.65
5f1b23,2014-02-01 20:15:00.000000 UTC,20.25,1,2,2014,7,360,0,9.85
5f1b23,2014-09-18 18:45:00.000000 UTC,18.75,18,9,2014,5,120,0.4,4.25
5f1b23,2014-02-19 02:15:00.000000 UTC,2.25,19,2,2014,4,660,0,14.05
5f1b23,2015-07-28 16:00:00.000000 UTC,16,28,7,2015,3,300,0.8,6.45
5f1b23,2015-06-26 13:30:00.000000 UTC,13.5,26,6,2015,6,780,1.7,10.35
5f1b23,2014-04-24 14:30:00.000000 UTC,14.5,24,4,2014,5,2940,14.9,44.2
5f1b23,2014-01-31 20:45:00.000000 UTC,20.75,31,1,2014,6,780,0,10.25
5f1b23,2014-04-11 17:45:00.000000 UTC,17.75,11,4,2014,6,1320,4,13.45
5f1b23,2014-03-19 14:15:00.000000 UTC,14.25,19,3,2014,4,480,1.3,6.45
5f1b23,2014-02-22 04:45:00.000000 UTC,4.75,22,2,2014,7,180,0,4.45
5f1b23,2015-12-05 19:30:00.000000 UTC,19.5,5,12,2015,7,360,1.2,7.05
5f1b23,2015-08-13 15:45:00.000000 UTC,15.75,13,8,2015,5,240,1,7.25
5f1b23,2014-02-27 21:00:00.000000 UTC,21,27,2,2014,5,420,1.4,6.25
5f1b23,2014-06-19 19:00:00.000000 UTC,19,19,6,2014,5,540,2,7.65
5f1b23,2014-03-28 08:45:00.000000 UTC,8.75,28,3,2014,6,180,0.8,5.05
5f1b23,2015-04-21 07:30:00.000000 UTC,7.5,21,4,2015,3,300,0.7,5.25
5f1b23,2015-02-19 14:45:00.000000 UTC,14.75,19,2,2015,5,480,1.6,6.65
5f1b23,2014-01-05 21:00:00.000000 UTC,21,5,1,2014,1,540,0,11.05
5f1b23,2014-10-23 11:45:00.000000 UTC,11.75,23,10,2014,5,540,2.9,11.05
5f1b23,2014-04-04 21:45:00.000000 UTC,21.75,4,4,2014,6,1980,1,15.45
5f1b23,2015-05-05 16:15:00.000000 UTC,16.25,5,5,2015,3,240,1,5.25
5f1b23,2015-12-12 15:30:00.000000 UTC,15.5,12,12,2015,7,900,2.7,12.55
5f1b23,2014-03-25 19:45:00.000000 UTC,19.75,25,3,2014,3,720,3.9,12.25
5f1b23,2014-02-21 07:15:00.000000 UTC,7.25,21,2,2014,6,240,0,5.25
5f1b23,2014-03-29 10:30:00.000000 UTC,10.5,29,3,2014,7,300,0.5,5.05
5f1b23,2015-04-14 04:15:00.000000 UTC,4.25,14,4,2015,3,1860,8.1,25.65
5f1b23,2014-04-15 06:45:00.000000 UTC,6.75,15,4,2014,3,240,0.6,4.85
5f1b23,2015-04-10 19:00:00.000000 UTC,19,10,4,2015,6,1020,2.6,11.25
5f1b23,2014-04-17 04:15:00.000000 UTC,4.25,17,4,2014,5,180,0.7,4.65
5f1b23,2016-08-16 12:45:00.000000 UTC,12.75,16,8,2016,3,480,1.1,7
5f1b23,2015-04-09 12:45:00.000000 UTC,12.75,9,4,2015,5,300,0.7,5.25
5f1b23,2015-04-13 18:45:00.000000 UTC,18.75,13,4,2015,2,540,1.2,9.45
5f1b23,2015-05-30 18:00:00.000000 UTC,18,30,5,2015,7,1860,9.3,24.55
5f1b23,2014-09-17 13:45:00.000000 UTC,13.75,17,9,2014,4,240,1.1,8.45
5f1b23,2015-10-12 18:00:00.000000 UTC,18,12,10,2015,2,240,0.4,4.65
5f1b23,2014-06-13 21:45:00.000000 UTC,21.75,13,6,2014,6,480,3.5,12.85
