Taxi_id,time_stamp,hour,day,month,trip_seconds,trip_miles,trip_total
7c51c6,2015-11-12 04:30:00.000000 UTC,4.5,12,11,3960,19.7,47.65
7c51c6,2015-06-23 18:15:00.000000 UTC,18.25,23,6,660,3.3,10.05
7c51c6,2015-02-19 13:30:00.000000 UTC,13.5,19,2,480,1.6,7.25
7c51c6,2015-10-08 17:15:00.000000 UTC,17.25,8,10,2160,17.0,45.81
7c51c6,2015-06-09 07:15:00.000000 UTC,7.25,9,6,2340,20.7,79.26
7c51c6,2015-02-28 15:45:00.000000 UTC,15.75,28,2,960,2.3,12.25
7c51c6,2015-12-31 22:30:00.000000 UTC,22.5,31,12,2460,38.4,74.55
7c51c6,2015-07-09 23:00:00.000000 UTC,23.0,9,7,660,4.2,14.31
7c51c6,2015-11-14 21:45:00.000000 UTC,21.75,14,11,240,0.7,6.05
7c51c6,2015-10-14 10:30:00.000000 UTC,10.5,14,10,360,0.9,7.35
7c51c6,2015-10-16 21:30:00.000000 UTC,21.5,16,10,300,1.1,9.56
7c51c6,2015-12-12 14:00:00.000000 UTC,14.0,12,12,1140,5.2,17.1
7c51c6,2015-07-21 17:30:00.000000 UTC,17.5,21,7,1560,16.8,33.85
7c51c6,2015-04-04 14:00:00.000000 UTC,14.0,4,4,420,3.8,10.45
7c51c6,2015-10-24 13:15:00.000000 UTC,13.25,24,10,840,1.9,9.85
7c51c6,2015-05-06 18:30:00.000000 UTC,18.5,6,5,480,1.9,9.18
7c51c6,2015-02-19 15:00:00.000000 UTC,15.0,19,2,480,1.2,7.65
7c51c6,2016-10-29 21:30:00.000000 UTC,21.5,29,10,240,0.5,5.0
7c51c6,2015-04-16 18:15:00.000000 UTC,18.25,16,4,660,4.7,13.25
7c51c6,2015-01-12 12:45:00.000000 UTC,12.75,12,1,1440,2.9,13.25
7c51c6,2015-03-21 19:30:00.000000 UTC,19.5,21,3,360,0.7,5.45
7c51c6,2015-03-20 08:15:00.000000 UTC,8.25,20,3,480,0.6,6.85
7c51c6,2015-09-11 15:00:00.000000 UTC,15.0,11,9,1020,3.2,15.31
7c51c6,2015-06-06 13:15:00.000000 UTC,13.25,6,6,540,0.6,10.14
7c51c6,2015-06-02 13:00:00.000000 UTC,13.0,2,6,1260,3.3,16.19
7c51c6,2015-01-21 16:00:00.000000 UTC,16.0,21,1,660,2.8,9.25
7c51c6,2016-06-24 09:45:00.000000 UTC,9.75,24,6,780,1.4,9.75
7c51c6,2015-11-20 05:30:00.000000 UTC,5.5,20,11,300,0.6,5.82
7c51c6,2015-06-12 19:15:00.000000 UTC,19.25,12,6,1620,10.5,28.86
7c51c6,2015-05-01 21:15:00.000000 UTC,21.25,1,5,840,6.2,15.45
7c51c6,2015-10-31 21:30:00.000000 UTC,21.5,31,10,1380,17.5,63.3
7c51c6,2015-09-01 17:45:00.000000 UTC,17.75,1,9,960,4.4,16.38
7c51c6,2016-10-29 08:45:00.000000 UTC,8.75,29,10,180,0.4,5.5
7c51c6,2015-08-04 16:15:00.000000 UTC,16.25,4,8,180,0.4,5.75
7c51c6,2015-02-18 09:15:00.000000 UTC,9.25,18,2,420,1.0,6.05
7c51c6,2015-03-28 15:45:00.000000 UTC,15.75,28,3,240,0.8,5.25
7c51c6,2015-08-07 19:30:00.000000 UTC,19.5,7,8,1200,7.7,25.62
7c51c6,2015-03-13 19:00:00.000000 UTC,19.0,13,3,1020,3.6,11.85
7c51c6,2015-09-02 10:00:00.000000 UTC,10.0,2,9,1200,5.2,14.45
7c51c6,2015-06-27 18:30:00.000000 UTC,18.5,27,6,600,0.7,6.65
7c51c6,2015-08-26 06:15:00.000000 UTC,6.25,26,8,1080,2.5,13.02
7c51c6,2015-07-08 19:15:00.000000 UTC,19.25,8,7,600,2.5,10.14
7c51c6,2015-02-14 12:15:00.000000 UTC,12.25,14,2,480,1.1,7.65
7c51c6,2015-02-11 06:15:00.000000 UTC,6.25,11,2,660,1.4,9.35
7c51c6,2015-06-06 15:30:00.000000 UTC,15.5,6,6,180,0.5,4.45
