Taxi_id,time_stamp,hour,day,month,trip_seconds,trip_miles,trip_total
b50eb9,2015-03-20 04:00:00.000000 UTC,4.0,20,3,2460,17.2,46.35
b50eb9,2014-08-22 08:15:00.000000 UTC,8.25,22,8,660,2.1,10.65
b50eb9,2014-03-20 14:15:00.000000 UTC,14.25,20,3,300,1.0,7.25
b50eb9,2014-12-30 09:45:00.000000 UTC,9.75,30,12,1020,4.1,12.45
b50eb9,2014-04-25 15:45:00.000000 UTC,15.75,25,4,240,0.6,4.85
b50eb9,2015-12-11 17:00:00.000000 UTC,17.0,11,12,180,0.4,5.25
b50eb9,2015-11-18 03:00:00.000000 UTC,3.0,18,11,960,4.8,14.65
b50eb9,2014-12-11 11:30:00.000000 UTC,11.5,11,12,840,2.2,11.65
b50eb9,2014-02-25 04:15:00.000000 UTC,4.25,25,2,780,1.8,10.65
b50eb9,2015-09-28 05:45:00.000000 UTC,5.75,28,9,660,1.7,9.85
b50eb9,2014-02-11 14:30:00.000000 UTC,14.5,11,2,600,1.5,8.25
b50eb9,2014-05-08 06:30:00.000000 UTC,6.5,8,5,720,1.8,8.25
b50eb9,2014-02-18 11:30:00.000000 UTC,11.5,18,2,1140,3.9,12.05
b50eb9,2016-05-31 09:45:00.000000 UTC,9.75,31,5,420,0.8,6.25
b50eb9,2014-03-14 17:15:00.000000 UTC,17.25,14,3,360,1.6,8.23
b50eb9,2015-05-19 03:00:00.000000 UTC,3.0,19,5,1020,6.1,19.8
b50eb9,2015-07-19 11:30:00.000000 UTC,11.5,19,7,660,3.8,11.05
b50eb9,2016-05-19 17:30:00.000000 UTC,17.5,19,5,480,1.8,8.75
b50eb9,2014-05-13 12:45:00.000000 UTC,12.75,13,5,1320,6.1,19.25
b50eb9,2014-04-17 15:15:00.000000 UTC,15.25,17,4,420,1.6,7.85
b50eb9,2014-10-08 03:45:00.000000 UTC,3.75,8,10,720,1.7,8.25
b50eb9,2015-03-06 07:30:00.000000 UTC,7.5,6,3,720,3.0,9.65
b50eb9,2014-07-09 16:15:00.000000 UTC,16.25,9,7,240,1.1,7.65
b50eb9,2014-12-03 07:00:00.000000 UTC,7.0,3,12,900,2.4,12.55
b50eb9,2015-08-17 10:30:00.000000 UTC,10.5,17,8,900,2.1,10.65
b50eb9,2014-06-11 16:45:00.000000 UTC,16.75,11,6,300,1.3,10.55
b50eb9,2015-08-01 23:00:00.000000 UTC,23.0,1,8,780,2.5,9.25
b50eb9,2015-10-23 06:00:00.000000 UTC,6.0,23,10,1020,6.3,19.25
b50eb9,2015-06-21 11:45:00.000000 UTC,11.75,21,6,360,0.9,6.65
b50eb9,2015-07-09 04:30:00.000000 UTC,4.5,9,7,3060,17.1,40.45
b50eb9,2015-03-03 08:15:00.000000 UTC,8.25,3,3,660,1.5,9.65
b50eb9,2015-10-31 21:30:00.000000 UTC,21.5,31,10,660,2.4,11.05
