Taxi_id,time_stamp,hour,day,month,trip_seconds,trip_miles,trip_total
d1b852,2015-02-08 03:15:00.000000 UTC,3.25,8,2,420,1.7,8.25
d1b852,2015-05-15 06:15:00.000000 UTC,6.25,15,5,1980,17.1,37.65
d1b852,2014-11-05 18:45:00.000000 UTC,18.75,5,11,660,0.8,7.65
d1b852,2014-08-08 06:30:00.000000 UTC,6.5,8,8,360,0.9,5.85
d1b852,2015-03-17 04:00:00.000000 UTC,4.0,17,3,900,4.2,14.25
d1b852,2016-10-22 13:15:00.000000 UTC,13.25,22,10,240,0.5,7.0
d1b852,2015-11-14 08:15:00.000000 UTC,8.25,14,11,480,1.1,6.85
d1b852,2014-07-17 02:15:00.000000 UTC,2.25,17,7,240,0.7,4.84
d1b852,2014-09-14 05:15:00.000000 UTC,5.25,14,9,60,0.2,4.85
d1b852,2015-02-13 03:15:00.000000 UTC,3.25,13,2,300,0.6,5.25
d1b852,2014-12-20 16:30:00.000000 UTC,16.5,20,12,240,0.5,5.65
d1b852,2015-05-18 15:00:00.000000 UTC,15.0,18,5,420,1.2,8.15
d1b852,2015-06-09 16:30:00.000000 UTC,16.5,9,6,720,4.4,12.45
d1b852,2014-10-21 14:45:00.000000 UTC,14.75,21,10,840,3.5,11.25
d1b852,2015-03-15 04:00:00.000000 UTC,4.0,15,3,240,0.5,4.84
d1b852,2015-02-03 02:30:00.000000 UTC,2.5,3,2,480,1.2,6.45
d1b852,2014-11-23 05:00:00.000000 UTC,5.0,23,11,540,2.3,8.25
d1b852,2016-11-05 15:00:00.000000 UTC,15.0,5,11,180,0.5,8.25
d1b852,2015-06-19 19:15:00.000000 UTC,19.25,19,6,360,1.1,5.85
d1b852,2015-05-13 16:30:00.000000 UTC,16.5,13,5,840,5.4,13.85
d1b852,2016-12-01 15:30:00.000000 UTC,15.5,1,12,540,1.6,10.5
d1b852,2015-02-26 01:15:00.000000 UTC,1.25,26,2,660,2.9,9.44
d1b852,2015-09-03 06:00:00.000000 UTC,6.0,3,9,1380,17.0,45.56
d1b852,2015-03-26 05:00:00.000000 UTC,5.0,26,3,420,1.2,7.45
d1b852,2014-09-26 02:30:00.000000 UTC,2.5,26,9,300,1.2,5.85
d1b852,2016-04-22 19:15:00.000000 UTC,19.25,22,4,1500,7.6,22.25
d1b852,2015-01-29 19:15:00.000000 UTC,19.25,29,1,420,2.1,8.25
d1b852,2014-12-21 20:15:00.000000 UTC,20.25,21,12,720,4.7,12.85
d1b852,2015-01-24 20:15:00.000000 UTC,20.25,24,1,180,0.7,4.65
d1b852,2016-01-27 11:15:00.000000 UTC,11.25,27,1,300,0.9,6.25
d1b852,2014-08-20 03:30:00.000000 UTC,3.5,20,8,360,0.8,5.65
d1b852,2014-11-16 06:15:00.000000 UTC,6.25,16,11,600,1.8,8.85
d1b852,2014-10-30 03:00:00.000000 UTC,3.0,30,10,2580,17.1,40.85
d1b852,2015-02-08 17:45:00.000000 UTC,17.75,8,2,540,2.5,8.44
d1b852,2015-06-26 09:15:00.000000 UTC,9.25,26,6,3600,17.8,51.17
d1b852,2016-04-21 16:15:00.000000 UTC,16.25,21,4,420,3.4,13.0
d1b852,2015-01-28 01:00:00.000000 UTC,1.0,28,1,240,0.7,4.84
d1b852,2016-06-16 03:15:00.000000 UTC,3.25,16,6,960,4.1,17.25
d1b852,2015-05-28 16:45:00.000000 UTC,16.75,28,5,1200,4.8,15.05
d1b852,2014-11-12 04:00:00.000000 UTC,4.0,12,11,300,0.8,5.25
d1b852,2014-09-09 15:00:00.000000 UTC,15.0,9,9,1200,6.3,16.45
d1b852,2014-08-23 03:30:00.000000 UTC,3.5,23,8,420,1.5,6.85
d1b852,2015-02-17 15:15:00.000000 UTC,15.25,17,2,780,3.6,12.25
d1b852,2014-09-26 16:30:00.000000 UTC,16.5,26,9,540,3.7,10.85
d1b852,2015-12-05 21:15:00.000000 UTC,21.25,5,12,180,0.4,7.05
d1b852,2014-08-26 06:30:00.000000 UTC,6.5,26,8,300,0.7,5.45
d1b852,2015-01-10 17:30:00.000000 UTC,17.5,10,1,780,4.4,13.45
d1b852,2014-08-21 17:00:00.000000 UTC,17.0,21,8,1740,19.0,39.04
d1b852,2014-07-27 17:00:00.000000 UTC,17.0,27,7,660,5.5,14.45
d1b852,2016-08-04 07:30:00.000000 UTC,7.5,4,8,480,0.1,6.0
d1b852,2015-07-19 09:30:00.000000 UTC,9.5,19,7,120,0.0,3.85
d1b852,2015-08-12 04:00:00.000000 UTC,4.0,12,8,1740,14.5,39.42
d1b852,2014-08-28 05:30:00.000000 UTC,5.5,28,8,420,1.4,7.05
d1b852,2014-09-02 04:15:00.000000 UTC,4.25,2,9,420,0.9,7.75
d1b852,2014-11-30 21:30:00.000000 UTC,21.5,30,11,180,0.6,4.65
d1b852,2015-01-05 02:30:00.000000 UTC,2.5,5,1,480,1.6,7.05
d1b852,2015-03-19 16:15:00.000000 UTC,16.25,19,3,720,4.4,13.05
d1b852,2015-12-01 08:00:00.000000 UTC,8.0,1,12,360,1.8,8.85
d1b852,2014-11-21 04:30:00.000000 UTC,4.5,21,11,2580,16.5,38.45
d1b852,2014-11-18 18:00:00.000000 UTC,18.0,18,11,180,1.0,6.25
d1b852,2015-04-12 04:30:00.000000 UTC,4.5,12,4,360,2.9,10.05
d1b852,2015-06-26 14:15:00.000000 UTC,14.25,26,6,780,1.8,11.44
d1b852,2015-09-19 19:30:00.000000 UTC,19.5,19,9,420,0.8,8.15
d1b852,2015-09-25 16:45:00.000000 UTC,16.75,25,9,1020,3.6,13.85
d1b852,2014-10-24 03:45:00.000000 UTC,3.75,24,10,600,0.9,6.85
d1b852,2015-01-08 04:30:00.000000 UTC,4.5,8,1,360,1.1,6.05
d1b852,2014-07-25 18:45:00.000000 UTC,18.75,25,7,540,1.4,8.95
d1b852,2015-02-28 18:30:00.000000 UTC,18.5,28,2,960,2.9,12.65
d1b852,2014-08-15 05:00:00.000000 UTC,5.0,15,8,1800,13.1,33.25
d1b852,2016-07-27 14:30:00.000000 UTC,14.5,27,7,1200,2.3,14.5
d1b852,2014-09-23 05:00:00.000000 UTC,5.0,23,9,480,1.5,7.05
d1b852,2015-09-09 18:15:00.000000 UTC,18.25,9,9,480,2.4,8.44
d1b852,2014-09-21 13:45:00.000000 UTC,13.75,21,9,780,2.3,8.85
d1b852,2014-12-11 03:45:00.000000 UTC,3.75,11,12,720,0.7,7.45
d1b852,2015-05-29 20:30:00.000000 UTC,20.5,29,5,900,4.5,12.65
d1b852,2015-05-14 01:30:00.000000 UTC,1.5,14,5,420,1.6,7.05
d1b852,2014-07-29 17:30:00.000000 UTC,17.5,29,7,540,3.8,11.45
d1b852,2015-03-15 04:30:00.000000 UTC,4.5,15,3,1500,17.7,39.25
d1b852,2014-09-10 03:00:00.000000 UTC,3.0,10,9,780,1.8,9.05
d1b852,2014-11-05 05:15:00.000000 UTC,5.25,5,11,480,1.2,6.45
d1b852,2015-08-30 07:45:00.000000 UTC,7.75,30,8,300,1.3,6.05
d1b852,2015-07-24 18:45:00.000000 UTC,18.75,24,7,780,1.7,11.75
d1b852,2014-09-26 18:15:00.000000 UTC,18.25,26,9,180,0.5,5.95
d1b852,2015-05-22 03:30:00.000000 UTC,3.5,22,5,420,0.6,5.65
d1b852,2015-05-11 03:00:00.000000 UTC,3.0,11,5,480,1.0,6.25
d1b852,2015-07-02 10:30:00.000000 UTC,10.5,2,7,540,0.7,6.45
d1b852,2014-12-01 14:15:00.000000 UTC,14.25,1,12,600,2.1,8.25
d1b852,2016-10-20 07:00:00.000000 UTC,7.0,20,10,1680,17.0,51.5
d1b852,2016-11-02 20:00:00.000000 UTC,20.0,2,11,420,1.4,8.5
d1b852,2014-11-12 05:30:00.000000 UTC,5.5,12,11,360,1.3,6.25
d1b852,2015-01-17 03:30:00.000000 UTC,3.5,17,1,240,1.1,5.65
d1b852,2014-12-30 19:15:00.000000 UTC,19.25,30,12,240,0.8,6.75
d1b852,2014-08-09 06:00:00.000000 UTC,6.0,9,8,300,0.9,8.15
d1b852,2014-07-22 06:00:00.000000 UTC,6.0,22,7,180,0.4,4.45
d1b852,2014-10-18 21:45:00.000000 UTC,21.75,18,10,420,1.7,6.65
d1b852,2015-03-11 15:15:00.000000 UTC,15.25,11,3,1140,6.2,16.25
d1b852,2014-08-04 06:45:00.000000 UTC,6.75,4,8,300,0.6,5.05
d1b852,2015-02-11 04:00:00.000000 UTC,4.0,11,2,660,1.3,8.65
d1b852,2015-05-15 18:00:00.000000 UTC,18.0,15,5,60,0.1,4.65
d1b852,2014-09-09 17:45:00.000000 UTC,17.75,9,9,480,1.5,7.25
d1b852,2015-09-09 12:30:00.000000 UTC,12.5,9,9,480,1.1,6.45
d1b852,2015-01-21 03:15:00.000000 UTC,3.25,21,1,900,1.4,8.65
d1b852,2015-05-27 06:15:00.000000 UTC,6.25,27,5,360,0.8,7.35
d1b852,2014-09-12 16:30:00.000000 UTC,16.5,12,9,540,1.7,8.25
d1b852,2014-11-18 06:30:00.000000 UTC,6.5,18,11,180,0.6,4.65
d1b852,2015-02-26 03:30:00.000000 UTC,3.5,26,2,3780,17.8,42.65
d1b852,2015-04-24 02:15:00.000000 UTC,2.25,24,4,120,0.4,4.25
d1b852,2015-06-01 03:30:00.000000 UTC,3.5,1,6,360,0.5,5.05
d1b852,2015-02-17 20:15:00.000000 UTC,20.25,17,2,780,2.5,9.85
d1b852,2015-08-17 23:45:00.000000 UTC,23.75,17,8,1260,14.2,57.3
d1b852,2015-04-22 16:30:00.000000 UTC,16.5,22,4,300,1.2,5.85
d1b852,2015-10-13 06:15:00.000000 UTC,6.25,13,10,1560,17.1,45.65
d1b852,2015-02-23 03:15:00.000000 UTC,3.25,23,2,540,1.1,6.65
d1b852,2015-02-17 02:45:00.000000 UTC,2.75,17,2,900,2.8,10.85
d1b852,2014-10-15 07:15:00.000000 UTC,7.25,15,10,1740,17.4,37.45
d1b852,2015-05-12 06:45:00.000000 UTC,6.75,12,5,1740,17.5,38.45
d1b852,2014-10-13 01:45:00.000000 UTC,1.75,13,10,360,1.4,6.45
d1b852,2015-04-10 05:15:00.000000 UTC,5.25,10,4,600,0.9,8.85
d1b852,2014-12-17 03:00:00.000000 UTC,3.0,17,12,960,1.6,9.44
d1b852,2015-03-02 18:45:00.000000 UTC,18.75,2,3,300,1.4,6.85
d1b852,2015-07-11 12:45:00.000000 UTC,12.75,11,7,360,1.1,8.35
d1b852,2014-12-08 03:30:00.000000 UTC,3.5,8,12,420,1.7,7.05
d1b852,2014-09-22 06:45:00.000000 UTC,6.75,22,9,480,1.2,6.65
d1b852,2015-12-17 12:15:00.000000 UTC,12.25,17,12,660,1.7,8.44
d1b852,2014-08-01 19:15:00.000000 UTC,19.25,1,8,480,3.0,10.44
d1b852,2015-04-09 06:00:00.000000 UTC,6.0,9,4,1920,17.5,38.65
d1b852,2014-08-27 03:00:00.000000 UTC,3.0,27,8,420,1.0,6.25
d1b852,2015-02-26 00:45:00.000000 UTC,0.75,26,2,420,3.4,9.44
d1b852,2014-08-19 03:00:00.000000 UTC,3.0,19,8,420,1.0,6.25
d1b852,2015-11-02 12:30:00.000000 UTC,12.5,2,11,600,1.1,6.85
d1b852,2015-08-08 09:00:00.000000 UTC,9.0,8,8,960,1.9,9.44
d1b852,2015-01-29 18:30:00.000000 UTC,18.5,29,1,360,0.9,5.65
d1b852,2015-05-14 13:45:00.000000 UTC,13.75,14,5,540,1.7,7.25
d1b852,2014-10-03 03:45:00.000000 UTC,3.75,3,10,600,1.0,6.85
d1b852,2015-02-12 14:15:00.000000 UTC,14.25,12,2,780,2.6,9.65
d1b852,2015-10-24 16:45:00.000000 UTC,16.75,24,10,480,1.6,7.05
d1b852,2014-07-30 02:15:00.000000 UTC,2.25,30,7,600,0.9,7.05
d1b852,2014-09-14 02:15:00.000000 UTC,2.25,14,9,1080,16.6,37.25
d1b852,2014-07-31 01:45:00.000000 UTC,1.75,31,7,600,1.9,8.05
d1b852,2015-05-01 02:00:00.000000 UTC,2.0,1,5,660,2.0,8.44
d1b852,2016-05-03 03:00:00.000000 UTC,3.0,3,5,780,1.2,12.5
d1b852,2014-11-13 16:30:00.000000 UTC,16.5,13,11,180,0.9,6.05
d1b852,2015-01-23 17:15:00.000000 UTC,17.25,23,1,360,1.0,6.85
d1b852,2014-08-27 02:30:00.000000 UTC,2.5,27,8,240,0.5,4.84
d1b852,2014-10-03 16:00:00.000000 UTC,16.0,3,10,300,0.7,5.25
d1b852,2014-12-15 15:45:00.000000 UTC,15.75,15,12,1200,3.2,12.45
d1b852,2015-02-11 18:00:00.000000 UTC,18.0,11,2,480,3.9,10.85
d1b852,2015-04-30 05:30:00.000000 UTC,5.5,30,4,1500,17.5,38.45
d1b852,2015-03-30 06:30:00.000000 UTC,6.5,30,3,600,4.0,11.25
d1b852,2014-12-13 06:30:00.000000 UTC,6.5,13,12,720,3.5,12.05
