Taxi_id,time_stamp,hour,day,month,trip_seconds,trip_miles,trip_total
455b6b,2016-03-29 03:00:00.000000 UTC,3.0,29,3,660,1.8,9.75
455b6b,2016-07-07 07:15:00.000000 UTC,7.25,7,7,600,0.7,9.5
455b6b,2016-03-06 13:45:00.000000 UTC,13.75,6,3,2100,17.0,55.8
455b6b,2016-07-16 12:30:00.000000 UTC,12.5,16,7,240,0.7,8.75
455b6b,2016-06-01 10:15:00.000000 UTC,10.25,1,6,720,2.9,15.0
455b6b,2016-06-03 10:45:00.000000 UTC,10.75,3,6,3600,17.2,52.0
455b6b,2016-06-09 08:30:00.000000 UTC,8.5,9,6,3120,17.4,54.25
455b6b,2016-12-12 06:45:00.000000 UTC,6.75,12,12,420,0.9,8.75
455b6b,2016-06-27 12:30:00.000000 UTC,12.5,27,6,1560,3.4,15.25
455b6b,2016-01-18 20:15:00.000000 UTC,20.25,18,1,720,2.8,12.75
455b6b,2016-12-11 05:30:00.000000 UTC,5.5,11,12,2160,18.0,57.75
455b6b,2016-12-11 04:30:00.000000 UTC,4.5,11,12,240,0.8,8.0
455b6b,2016-11-04 03:15:00.000000 UTC,3.25,4,11,1260,5.4,18.25
455b6b,2016-06-07 14:00:00.000000 UTC,14.0,7,6,900,4.9,19.87
455b6b,2016-03-10 08:30:00.000000 UTC,8.5,10,3,420,0.9,7.25
455b6b,2016-03-22 11:15:00.000000 UTC,11.25,22,3,1020,2.9,14.0
455b6b,2016-11-26 05:15:00.000000 UTC,5.25,26,11,300,1.2,8.5
455b6b,2016-04-22 03:15:00.000000 UTC,3.25,22,4,2340,6.2,23.25
455b6b,2016-09-29 02:45:00.000000 UTC,2.75,29,9,420,0.8,9.75
455b6b,2016-01-16 14:45:00.000000 UTC,14.75,16,1,180,0.4,6.0
455b6b,2016-11-26 12:45:00.000000 UTC,12.75,26,11,300,0.8,9.25
455b6b,2016-04-26 11:45:00.000000 UTC,11.75,26,4,240,0.5,4.75
455b6b,2016-03-18 13:15:00.000000 UTC,13.25,18,3,600,1.9,8.75
455b6b,2016-02-14 21:00:00.000000 UTC,21.0,14,2,60,0.1,3.25
455b6b,2016-01-20 11:15:00.000000 UTC,11.25,20,1,660,1.9,9.25
455b6b,2016-01-08 14:00:00.000000 UTC,14.0,8,1,540,0.0,6.0
455b6b,2016-04-15 14:15:00.000000 UTC,14.25,15,4,540,1.2,8.0
455b6b,2016-10-18 12:00:00.000000 UTC,12.0,18,10,420,1.3,9.5
455b6b,2016-12-07 03:30:00.000000 UTC,3.5,7,12,300,0.6,6.5
455b6b,2016-03-06 05:00:00.000000 UTC,5.0,6,3,900,3.1,12.75
455b6b,2016-10-29 02:45:00.000000 UTC,2.75,29,10,900,3.7,17.0
455b6b,2016-02-12 17:00:00.000000 UTC,17.0,12,2,420,0.6,7.0
455b6b,2016-07-31 04:15:00.000000 UTC,4.25,31,7,420,1.7,13.25
455b6b,2016-09-24 07:45:00.000000 UTC,7.75,24,9,2460,17.8,62.37
455b6b,2016-01-01 11:15:00.000000 UTC,11.25,1,1,420,1.6,7.25
455b6b,2016-06-01 06:00:00.000000 UTC,6.0,1,6,480,1.5,7.5
455b6b,2016-07-30 06:45:00.000000 UTC,6.75,30,7,420,1.7,10.25
455b6b,2016-09-21 06:30:00.000000 UTC,6.5,21,9,540,0.8,9.25
455b6b,2016-09-20 13:00:00.000000 UTC,13.0,20,9,540,1.4,7.75
455b6b,2016-02-26 03:45:00.000000 UTC,3.75,26,2,540,1.2,7.0
455b6b,2016-12-07 05:15:00.000000 UTC,5.25,7,12,540,1.4,10.5
455b6b,2016-06-20 03:15:00.000000 UTC,3.25,20,6,420,1.1,7.0
455b6b,2016-08-17 15:30:00.000000 UTC,15.5,17,8,1980,16.1,54.5
455b6b,2016-01-31 20:45:00.000000 UTC,20.75,31,1,840,4.1,19.2
455b6b,2016-11-10 04:00:00.000000 UTC,4.0,10,11,480,0.8,6.75
455b6b,2016-03-24 10:30:00.000000 UTC,10.5,24,3,3360,16.0,55.8
455b6b,2016-12-16 05:45:00.000000 UTC,5.75,16,12,600,0.5,8.0
455b6b,2016-07-06 14:15:00.000000 UTC,14.25,6,7,1020,6.8,24.5
455b6b,2016-03-28 04:00:00.000000 UTC,4.0,28,3,360,1.1,6.5
455b6b,2016-11-29 12:45:00.000000 UTC,12.75,29,11,960,1.9,10.5
455b6b,2016-04-26 13:30:00.000000 UTC,13.5,26,4,1800,4.7,16.75
455b6b,2016-04-15 11:45:00.000000 UTC,11.75,15,4,420,1.6,7.5
455b6b,2016-03-14 11:45:00.000000 UTC,11.75,14,3,2220,11.7,46.2
455b6b,2016-04-13 15:45:00.000000 UTC,15.75,13,4,240,0.8,7.25
455b6b,2016-12-16 09:45:00.000000 UTC,9.75,16,12,360,1.0,7.25
455b6b,2016-06-01 02:45:00.000000 UTC,2.75,1,6,720,1.6,10.25
455b6b,2016-07-06 13:00:00.000000 UTC,13.0,6,7,540,2.0,12.5
455b6b,2016-03-06 11:45:00.000000 UTC,11.75,6,3,300,1.1,6.25
455b6b,2016-08-29 03:30:00.000000 UTC,3.5,29,8,420,1.2,6.75
455b6b,2016-11-07 08:30:00.000000 UTC,8.5,7,11,2160,17.7,60.81
455b6b,2016-01-29 14:45:00.000000 UTC,14.75,29,1,300,0.6,6.25
455b6b,2016-06-09 10:15:00.000000 UTC,10.25,9,6,480,1.0,6.75
455b6b,2016-03-31 01:30:00.000000 UTC,1.5,31,3,180,0.7,5.0
455b6b,2016-12-22 12:00:00.000000 UTC,12.0,22,12,660,1.9,11.75
455b6b,2016-05-20 13:00:00.000000 UTC,13.0,20,5,900,1.6,11.75
455b6b,2016-11-06 08:30:00.000000 UTC,8.5,6,11,2940,14.6,53.6
455b6b,2016-04-08 10:00:00.000000 UTC,10.0,8,4,720,2.4,11.0
455b6b,2016-06-11 07:15:00.000000 UTC,7.25,11,6,540,1.7,9.25
455b6b,2016-07-13 16:15:00.000000 UTC,16.25,13,7,540,2.2,11.25
455b6b,2016-02-04 16:15:00.000000 UTC,16.25,4,2,1020,3.8,15.25
455b6b,2016-09-02 11:15:00.000000 UTC,11.25,2,9,840,7.5,25.25
455b6b,2016-06-22 14:00:00.000000 UTC,14.0,22,6,420,0.9,6.0
455b6b,2016-08-14 13:00:00.000000 UTC,13.0,14,8,2340,11.4,44.3
455b6b,2016-08-01 14:15:00.000000 UTC,14.25,1,8,2340,18.0,59.0
