Taxi_id,time_stamp,hour,day,month,trip_seconds,trip_miles,trip_total
4c8b67,2016-03-08 20:00:00.000000 UTC,20.0,8,3,840,0.3,21.3
4c8b67,2016-07-01 15:30:00.000000 UTC,15.5,1,7,240,0.0,5.0
4c8b67,2016-01-26 13:00:00.000000 UTC,13.0,26,1,2940,0.9,55.3
4c8b67,2016-02-01 17:15:00.000000 UTC,17.25,1,2,780,0.1,13.25
4c8b67,2016-01-02 14:30:00.000000 UTC,14.5,2,1,360,0.0,6.5
4c8b67,2016-12-08 07:00:00.000000 UTC,7.0,8,12,480,0.0,8.25
4c8b67,2016-02-25 12:45:00.000000 UTC,12.75,25,2,540,0.0,7.75
4c8b67,2016-03-01 08:00:00.000000 UTC,8.0,1,3,360,0.0,6.25
4c8b67,2016-03-10 16:15:00.000000 UTC,16.25,10,3,240,0.0,7.75
4c8b67,2016-03-12 19:45:00.000000 UTC,19.75,12,3,1020,0.2,17.0
4c8b67,2016-02-03 10:30:00.000000 UTC,10.5,3,2,420,0.0,10.0
4c8b67,2016-04-22 14:45:00.000000 UTC,14.75,22,4,480,0.1,7.75
4c8b67,2016-04-05 05:30:00.000000 UTC,5.5,5,4,420,0.0,10.5
4c8b67,2016-02-08 11:00:00.000000 UTC,11.0,8,2,240,0.0,6.25
4c8b67,2016-06-19 15:00:00.000000 UTC,15.0,19,6,360,0.0,6.5
4c8b67,2016-03-18 05:15:00.000000 UTC,5.25,18,3,360,0.1,7.75
4c8b67,2016-03-28 16:00:00.000000 UTC,16.0,28,3,660,0.2,12.75
4c8b67,2016-04-30 09:00:00.000000 UTC,9.0,30,4,780,0.1,13.75
4c8b67,2015-12-31 22:30:00.000000 UTC,22.5,31,12,300,0.0,5.85
4c8b67,2016-02-20 06:30:00.000000 UTC,6.5,20,2,360,0.1,7.5
4c8b67,2016-04-21 19:30:00.000000 UTC,19.5,21,4,1080,0.2,18.75
4c8b67,2016-03-07 19:30:00.000000 UTC,19.5,7,3,240,0.0,4.75
4c8b67,2016-03-13 08:45:00.000000 UTC,8.75,13,3,3540,1.1,52.0
4c8b67,2016-02-13 21:00:00.000000 UTC,21.0,13,2,1020,0.5,28.2
4c8b67,2016-01-23 08:45:00.000000 UTC,8.75,23,1,240,0.0,6.75
4c8b67,2016-01-30 20:15:00.000000 UTC,20.25,30,1,600,0.1,13.5
4c8b67,2016-01-29 13:30:00.000000 UTC,13.5,29,1,180,0.0,4.5
4c8b67,2016-04-20 06:45:00.000000 UTC,6.75,20,4,360,0.0,8.75
4c8b67,2016-04-14 15:45:00.000000 UTC,15.75,14,4,600,0.1,10.5
4c8b67,2016-03-12 17:15:00.000000 UTC,17.25,12,3,540,0.0,11.0
4c8b67,2016-02-08 09:30:00.000000 UTC,9.5,8,2,60,0.0,3.75
4c8b67,2016-03-23 05:45:00.000000 UTC,5.75,23,3,240,0.0,4.75
4c8b67,2016-10-04 07:45:00.000000 UTC,7.75,4,10,540,0.0,7.25
4c8b67,2016-04-28 22:30:00.000000 UTC,22.5,28,4,300,0.0,6.0
4c8b67,2016-09-02 11:30:00.000000 UTC,11.5,2,9,600,0.0,12.5
4c8b67,2016-01-30 08:30:00.000000 UTC,8.5,30,1,1800,1.1,54.3
4c8b67,2016-03-20 00:00:00.000000 UTC,0.0,20,3,180,0.0,4.5
4c8b67,2016-08-21 15:45:00.000000 UTC,15.75,21,8,240,0.0,5.5
4c8b67,2016-03-31 15:15:00.000000 UTC,15.25,31,3,240,0.0,7.0
4c8b67,2016-02-23 07:30:00.000000 UTC,7.5,23,2,1140,1.0,49.8
4c8b67,2016-02-20 05:45:00.000000 UTC,5.75,20,2,360,0.0,6.0
4c8b67,2016-10-22 08:30:00.000000 UTC,8.5,22,10,120,0.0,4.0
4c8b67,2016-02-20 10:30:00.000000 UTC,10.5,20,2,1140,0.1,10.5
4c8b67,2016-09-19 14:45:00.000000 UTC,14.75,19,9,660,0.1,12.0
4c8b67,2016-07-20 09:30:00.000000 UTC,9.5,20,7,3600,1.0,50.25
4c8b67,2016-02-29 18:15:00.000000 UTC,18.25,29,2,840,0.2,17.5
4c8b67,2016-03-23 21:15:00.000000 UTC,21.25,23,3,600,0.1,13.2
4c8b67,2016-01-25 18:00:00.000000 UTC,18.0,25,1,720,0.2,14.7
4c8b67,2016-07-07 22:15:00.000000 UTC,22.25,7,7,180,0.0,5.5
4c8b67,2016-03-18 22:45:00.000000 UTC,22.75,18,3,180,0.0,5.5
4c8b67,2016-02-04 10:45:00.000000 UTC,10.75,4,2,480,0.1,9.5
4c8b67,2016-02-10 20:15:00.000000 UTC,20.25,10,2,300,0.0,7.75
4c8b67,2016-04-16 07:15:00.000000 UTC,7.25,16,4,180,0.0,4.75
4c8b67,2016-03-10 13:00:00.000000 UTC,13.0,10,3,240,0.0,5.5
4c8b67,2016-12-19 05:00:00.000000 UTC,5.0,19,12,480,0.0,7.0
4c8b67,2016-01-19 07:15:00.000000 UTC,7.25,19,1,180,0.0,5.5
4c8b67,2016-11-12 07:45:00.000000 UTC,7.75,12,11,780,0.1,11.5
4c8b67,2016-04-12 13:15:00.000000 UTC,13.25,12,4,1320,0.1,15.0
