Taxi_id,time_stamp,hour,day,month,trip_seconds,trip_miles,trip_total
5f1b23,2016-05-04 12:30:00.000000 UTC,12.5,4,5,780,2.2,10.0
5f1b23,2016-07-16 19:45:00.000000 UTC,19.75,16,7,1380,6.4,24.6
5f1b23,2016-09-23 15:45:00.000000 UTC,15.75,23,9,300,0.7,5.5
5f1b23,2016-03-04 14:00:00.000000 UTC,14.0,4,3,600,0.8,8.0
5f1b23,2016-07-28 18:45:00.000000 UTC,18.75,28,7,300,0.9,5.5
5f1b23,2016-02-21 18:00:00.000000 UTC,18.0,21,2,360,1.6,7.25
5f1b23,2016-08-16 12:45:00.000000 UTC,12.75,16,8,480,1.1,7.0
5f1b23,2016-01-26 10:30:00.000000 UTC,10.5,26,1,360,1.0,6.0
5f1b23,2016-10-25 17:45:00.000000 UTC,17.75,25,10,600,2.4,9.75
5f1b23,2016-07-22 17:45:00.000000 UTC,17.75,22,7,780,3.2,14.95
5f1b23,2016-03-14 04:45:00.000000 UTC,4.75,14,3,420,1.0,7.5
5f1b23,2016-06-25 17:30:00.000000 UTC,17.5,25,6,300,0.6,6.75
5f1b23,2016-12-17 18:45:00.000000 UTC,18.75,17,12,540,2.1,11.5
5f1b23,2016-01-02 22:45:00.000000 UTC,22.75,2,1,540,2.8,14.0
5f1b23,2016-02-09 19:45:00.000000 UTC,19.75,9,2,240,0.9,5.5
5f1b23,2016-06-22 12:00:00.000000 UTC,12.0,22,6,900,5.0,16.75
5f1b23,2016-01-02 22:15:00.000000 UTC,22.25,2,1,180,0.3,6.25
5f1b23,2016-09-23 11:15:00.000000 UTC,11.25,23,9,960,2.5,12.0
5f1b23,2016-10-22 23:15:00.000000 UTC,23.25,22,10,1020,6.3,20.0
5f1b23,2016-05-05 16:15:00.000000 UTC,16.25,5,5,1020,3.9,14.75
5f1b23,2016-03-04 13:15:00.000000 UTC,13.25,4,3,420,1.1,6.5
5f1b23,2016-06-24 21:30:00.000000 UTC,21.5,24,6,960,3.5,14.0
5f1b23,2016-11-15 14:00:00.000000 UTC,14.0,15,11,360,0.5,8.75
5f1b23,2016-03-10 12:45:00.000000 UTC,12.75,10,3,660,3.2,13.0
5f1b23,2016-05-28 19:45:00.000000 UTC,19.75,28,5,720,2.5,10.75
5f1b23,2016-08-07 11:45:00.000000 UTC,11.75,7,8,420,1.1,7.75
5f1b23,2016-03-14 05:00:00.000000 UTC,5.0,14,3,480,1.2,6.75
5f1b23,2016-10-01 15:30:00.000000 UTC,15.5,1,10,1200,3.9,14.0
5f1b23,2016-08-05 14:15:00.000000 UTC,14.25,5,8,480,1.6,7.75
5f1b23,2016-05-04 18:00:00.000000 UTC,18.0,4,5,180,0.9,6.75
5f1b23,2016-07-10 12:45:00.000000 UTC,12.75,10,7,900,2.2,11.75
5f1b23,2016-10-08 18:15:00.000000 UTC,18.25,8,10,1140,7.4,27.5
5f1b23,2016-09-05 14:15:00.000000 UTC,14.25,5,9,360,1.5,8.25
5f1b23,2016-05-17 19:00:00.000000 UTC,19.0,17,5,1260,12.7,37.25
5f1b23,2016-12-30 20:45:00.000000 UTC,20.75,30,12,960,4.0,14.0
5f1b23,2016-09-20 11:15:00.000000 UTC,11.25,20,9,1320,8.1,28.5
5f1b23,2016-05-10 16:15:00.000000 UTC,16.25,10,5,600,2.3,9.25
5f1b23,2016-11-24 16:00:00.000000 UTC,16.0,24,11,240,2.0,8.0
5f1b23,2016-05-04 11:45:00.000000 UTC,11.75,4,5,1500,4.6,17.25
5f1b23,2016-09-21 18:15:00.000000 UTC,18.25,21,9,900,5.8,17.5
5f1b23,2016-05-03 19:00:00.000000 UTC,19.0,3,5,780,3.3,17.2
5f1b23,2016-02-26 21:45:00.000000 UTC,21.75,26,2,1320,8.2,27.75
5f1b23,2016-12-15 09:30:00.000000 UTC,9.5,15,12,420,1.3,7.0
5f1b23,2016-03-16 20:00:00.000000 UTC,20.0,16,3,900,7.2,25.0
5f1b23,2016-06-09 13:30:00.000000 UTC,13.5,9,6,660,1.0,7.5
5f1b23,2016-06-07 15:45:00.000000 UTC,15.75,7,6,420,1.0,7.75
5f1b23,2016-11-02 13:30:00.000000 UTC,13.5,2,11,60,0.1,7.75
5f1b23,2016-03-12 16:30:00.000000 UTC,16.5,12,3,480,1.9,9.5
5f1b23,2016-11-08 16:15:00.000000 UTC,16.25,8,11,120,0.4,4.25
5f1b23,2016-12-09 08:30:00.000000 UTC,8.5,9,12,660,1.2,7.75
5f1b23,2016-10-25 11:00:00.000000 UTC,11.0,25,10,1440,10.5,29.0
5f1b23,2016-03-28 19:15:00.000000 UTC,19.25,28,3,1560,18.7,60.0
5f1b23,2016-02-03 18:00:00.000000 UTC,18.0,3,2,300,1.1,6.25
5f1b23,2016-12-22 13:15:00.000000 UTC,13.25,22,12,720,1.7,10.0
5f1b23,2016-10-13 17:30:00.000000 UTC,17.5,13,10,3180,26.8,70.0
5f1b23,2016-08-16 21:15:00.000000 UTC,21.25,16,8,900,4.2,15.0
5f1b23,2016-12-19 12:45:00.000000 UTC,12.75,19,12,1500,4.0,18.9
5f1b23,2016-12-20 17:15:00.000000 UTC,17.25,20,12,540,2.6,9.5
5f1b23,2016-11-20 16:00:00.000000 UTC,16.0,20,11,120,0.3,5.25
5f1b23,2016-03-25 12:45:00.000000 UTC,12.75,25,3,1200,0.0,13.75
5f1b23,2016-07-26 16:00:00.000000 UTC,16.0,26,7,600,2.0,8.5
5f1b23,2016-02-01 19:30:00.000000 UTC,19.5,1,2,840,3.6,16.2
5f1b23,2016-02-05 22:00:00.000000 UTC,22.0,5,2,600,3.1,11.0
5f1b23,2016-03-02 16:15:00.000000 UTC,16.25,2,3,1320,6.9,25.5
5f1b23,2016-11-26 13:45:00.000000 UTC,13.75,26,11,720,4.0,12.75
5f1b23,2016-05-27 20:45:00.000000 UTC,20.75,27,5,360,1.5,8.75
5f1b23,2016-03-24 17:15:00.000000 UTC,17.25,24,3,900,8.1,25.1
5f1b23,2016-01-27 18:30:00.000000 UTC,18.5,27,1,300,1.3,6.5
5f1b23,2016-04-26 07:15:00.000000 UTC,7.25,26,4,1440,8.7,25.25
5f1b23,2016-10-24 14:00:00.000000 UTC,14.0,24,10,900,3.9,13.5
5f1b23,2016-12-24 13:00:00.000000 UTC,13.0,24,12,660,3.2,11.5
5f1b23,2016-07-24 17:30:00.000000 UTC,17.5,24,7,720,4.2,14.0
5f1b23,2016-07-09 20:30:00.000000 UTC,20.5,9,7,1140,7.4,25.8
5f1b23,2016-05-24 18:30:00.000000 UTC,18.5,24,5,240,0.7,8.0
5f1b23,2016-05-30 17:00:00.000000 UTC,17.0,30,5,1320,8.6,26.5
5f1b23,2016-03-04 13:30:00.000000 UTC,13.5,4,3,900,1.7,9.5
5f1b23,2016-12-17 11:30:00.000000 UTC,11.5,17,12,360,3.7,11.75
5f1b23,2016-12-04 09:15:00.000000 UTC,9.25,4,12,600,2.5,10.75
5f1b23,2016-03-05 22:00:00.000000 UTC,22.0,5,3,120,0.5,6.0
5f1b23,2016-12-09 18:15:00.000000 UTC,18.25,9,12,1200,3.3,14.75
5f1b23,2016-12-20 18:00:00.000000 UTC,18.0,20,12,240,0.7,6.5
5f1b23,2016-02-24 17:00:00.000000 UTC,17.0,24,2,900,6.2,18.0
5f1b23,2016-10-05 18:15:00.000000 UTC,18.25,5,10,540,2.6,10.0
5f1b23,2016-12-19 12:30:00.000000 UTC,12.5,19,12,540,2.0,9.5
5f1b23,2016-03-25 13:00:00.000000 UTC,13.0,25,3,1260,4.2,15.25
5f1b23,2016-08-04 14:15:00.000000 UTC,14.25,4,8,1740,6.9,23.5
5f1b23,2016-10-10 18:15:00.000000 UTC,18.25,10,10,600,3.0,11.5
5f1b23,2016-12-29 13:15:00.000000 UTC,13.25,29,12,360,1.4,9.0
5f1b23,2016-12-26 11:45:00.000000 UTC,11.75,26,12,300,1.4,9.75
5f1b23,2016-07-28 19:30:00.000000 UTC,19.5,28,7,240,0.8,6.5
5f1b23,2016-09-25 17:30:00.000000 UTC,17.5,25,9,720,6.0,22.5
5f1b23,2016-02-27 18:30:00.000000 UTC,18.5,27,2,720,3.0,13.5
5f1b23,2016-05-27 19:00:00.000000 UTC,19.0,27,5,180,0.6,6.0
5f1b23,2016-02-19 22:00:00.000000 UTC,22.0,19,2,420,1.5,7.0
5f1b23,2016-08-04 13:15:00.000000 UTC,13.25,4,8,660,2.3,10.75
5f1b23,2016-07-17 19:00:00.000000 UTC,19.0,17,7,300,0.5,8.0
5f1b23,2016-01-31 17:15:00.000000 UTC,17.25,31,1,120,0.2,4.25
5f1b23,2016-07-15 16:15:00.000000 UTC,16.25,15,7,900,7.6,21.25
5f1b23,2016-12-09 12:45:00.000000 UTC,12.75,9,12,1500,1.6,13.0
5f1b23,2016-06-19 18:45:00.000000 UTC,18.75,19,6,180,0.7,7.0
5f1b23,2016-06-20 10:15:00.000000 UTC,10.25,20,6,840,5.8,19.25
5f1b23,2016-02-20 21:15:00.000000 UTC,21.25,20,2,120,0.4,6.25
5f1b23,2016-09-07 09:00:00.000000 UTC,9.0,7,9,2100,11.9,34.25
5f1b23,2016-04-04 17:15:00.000000 UTC,17.25,4,4,1440,12.9,38.0
5f1b23,2016-06-11 09:15:00.000000 UTC,9.25,11,6,600,2.6,13.0
5f1b23,2016-06-13 17:15:00.000000 UTC,17.25,13,6,480,1.4,8.5
5f1b23,2016-06-12 19:30:00.000000 UTC,19.5,12,6,660,5.8,16.75
