Taxi_id,time_stamp,hour,day,month,trip_seconds,trip_miles,trip_total
7c51c6,2016-11-12 20:45:00.000000 UTC,20.75,12,11,660,5.0,16.0
7c51c6,2016-10-28 19:00:00.000000 UTC,19.0,28,10,60,0.1,3.75
7c51c6,2016-07-26 08:30:00.000000 UTC,8.5,26,7,240,0.5,4.75
7c51c6,2016-03-17 05:45:00.000000 UTC,5.75,17,3,240,0.4,5.75
7c51c6,2016-03-10 08:30:00.000000 UTC,8.5,10,3,660,1.4,11.0
7c51c6,2016-03-05 16:30:00.000000 UTC,16.5,5,3,840,2.6,11.75
7c51c6,2016-10-29 07:15:00.000000 UTC,7.25,29,10,300,0.9,5.75
7c51c6,2016-07-17 19:30:00.000000 UTC,19.5,17,7,300,1.0,8.5
7c51c6,2016-06-12 19:30:00.000000 UTC,19.5,12,6,240,0.7,6.25
7c51c6,2016-10-27 05:00:00.000000 UTC,5.0,27,10,1440,4.9,17.25
7c51c6,2016-05-04 18:45:00.000000 UTC,18.75,4,5,720,2.6,15.5
7c51c6,2016-10-14 09:00:00.000000 UTC,9.0,14,10,720,1.1,12.25
7c51c6,2016-06-09 13:15:00.000000 UTC,13.25,9,6,720,0.9,12.5
7c51c6,2016-10-29 21:30:00.000000 UTC,21.5,29,10,540,1.8,8.5
7c51c6,2016-10-25 08:30:00.000000 UTC,8.5,25,10,360,1.0,7.25
7c51c6,2016-01-22 20:45:00.000000 UTC,20.75,22,1,660,3.7,15.24
7c51c6,2016-09-22 22:30:00.000000 UTC,22.5,22,9,540,4.1,13.0
7c51c6,2016-10-28 08:00:00.000000 UTC,8.0,28,10,1320,3.1,16.2
7c51c6,2016-10-25 09:00:00.000000 UTC,9.0,25,10,360,0.9,5.75
7c51c6,2016-04-22 09:15:00.000000 UTC,9.25,22,4,420,1.0,8.25
7c51c6,2016-10-29 16:45:00.000000 UTC,16.75,29,10,720,3.4,17.55
7c51c6,2016-10-29 21:15:00.000000 UTC,21.25,29,10,300,0.6,7.75
7c51c6,2016-05-30 23:30:00.000000 UTC,23.5,30,5,1680,19.7,49.0
7c51c6,2016-06-30 06:00:00.000000 UTC,6.0,30,6,1080,6.1,25.35
7c51c6,2016-09-29 00:00:00.000000 UTC,0.0,29,9,1380,18.1,44.5
7c51c6,2016-02-02 05:45:00.000000 UTC,5.75,2,2,660,1.7,9.5
7c51c6,2016-10-29 05:15:00.000000 UTC,5.25,29,10,660,3.8,12.5
7c51c6,2016-07-30 18:00:00.000000 UTC,18.0,30,7,420,1.1,10.0
7c51c6,2016-09-25 02:45:00.000000 UTC,2.75,25,9,360,1.5,8.5
7c51c6,2016-10-29 16:15:00.000000 UTC,16.25,29,10,420,1.0,8.25
7c51c6,2016-01-27 15:30:00.000000 UTC,15.5,27,1,300,0.9,9.75
7c51c6,2016-12-08 20:00:00.000000 UTC,20.0,8,12,180,1.0,5.75
7c51c6,2016-03-10 19:30:00.000000 UTC,19.5,10,3,300,1.2,7.25
7c51c6,2016-10-28 23:00:00.000000 UTC,23.0,28,10,360,1.3,7.75
7c51c6,2016-07-19 10:15:00.000000 UTC,10.25,19,7,540,0.7,9.25
7c51c6,2016-03-01 08:45:00.000000 UTC,8.75,1,3,480,1.0,7.5
7c51c6,2016-04-05 05:45:00.000000 UTC,5.75,5,4,600,1.5,7.75
7c51c6,2016-03-22 06:00:00.000000 UTC,6.0,22,3,1440,9.0,26.25
7c51c6,2016-07-04 23:45:00.000000 UTC,23.75,4,7,300,0.7,5.75
7c51c6,2016-03-31 21:45:00.000000 UTC,21.75,31,3,240,0.7,5.0
7c51c6,2016-10-28 09:30:00.000000 UTC,9.5,28,10,420,0.6,8.0
7c51c6,2016-07-06 16:15:00.000000 UTC,16.25,6,7,420,2.0,12.5
7c51c6,2016-04-23 21:30:00.000000 UTC,21.5,23,4,900,5.8,19.0
7c51c6,2016-11-18 18:15:00.000000 UTC,18.25,18,11,60,0.1,3.5
7c51c6,2016-12-01 08:45:00.000000 UTC,8.75,1,12,540,1.8,8.25
7c51c6,2016-06-01 19:00:00.000000 UTC,19.0,1,6,840,6.6,18.75
7c51c6,2016-10-28 17:00:00.000000 UTC,17.0,28,10,600,2.7,13.75
7c51c6,2016-05-12 10:00:00.000000 UTC,10.0,12,5,840,5.1,17.0
7c51c6,2016-03-18 22:15:00.000000 UTC,22.25,18,3,900,4.5,18.9
7c51c6,2016-10-28 21:15:00.000000 UTC,21.25,28,10,240,0.8,9.25
7c51c6,2016-05-20 21:15:00.000000 UTC,21.25,20,5,240,0.5,6.0
7c51c6,2016-08-13 18:30:00.000000 UTC,18.5,13,8,480,3.3,11.25
7c51c6,2016-06-26 00:00:00.000000 UTC,0.0,26,6,720,3.9,16.2
7c51c6,2016-08-14 14:30:00.000000 UTC,14.5,14,8,1020,1.9,10.25
7c51c6,2016-06-10 20:45:00.000000 UTC,20.75,10,6,420,1.0,9.75
7c51c6,2016-04-08 14:30:00.000000 UTC,14.5,8,4,480,1.7,10.75
7c51c6,2016-05-13 07:45:00.000000 UTC,7.75,13,5,1260,5.2,21.0
7c51c6,2016-08-13 21:30:00.000000 UTC,21.5,13,8,720,3.6,16.2
7c51c6,2016-10-29 15:00:00.000000 UTC,15.0,29,10,720,1.4,9.5
7c51c6,2016-08-07 22:45:00.000000 UTC,22.75,7,8,2460,9.2,33.5
7c51c6,2016-11-30 05:30:00.000000 UTC,5.5,30,11,360,0.8,5.5
7c51c6,2016-10-27 17:15:00.000000 UTC,17.25,27,10,660,5.8,18.0
7c51c6,2016-07-01 22:15:00.000000 UTC,22.25,1,7,600,2.3,11.5
7c51c6,2016-05-12 13:30:00.000000 UTC,13.5,12,5,300,0.7,6.5
7c51c6,2016-04-05 13:30:00.000000 UTC,13.5,5,4,120,0.3,3.75
7c51c6,2016-01-11 09:15:00.000000 UTC,9.25,11,1,600,1.6,10.0
7c51c6,2016-08-11 21:15:00.000000 UTC,21.25,11,8,1320,17.9,45.25
7c51c6,2016-03-08 06:30:00.000000 UTC,6.5,8,3,180,0.2,4.0
7c51c6,2016-12-03 21:15:00.000000 UTC,21.25,3,12,240,0.8,5.25
7c51c6,2016-11-17 22:00:00.000000 UTC,22.0,17,11,180,0.7,8.0
7c51c6,2016-06-07 07:30:00.000000 UTC,7.5,7,6,420,0.7,6.0
7c51c6,2016-02-05 06:30:00.000000 UTC,6.5,5,2,360,0.6,6.5
7c51c6,2016-02-03 13:15:00.000000 UTC,13.25,3,2,180,0.4,4.5
7c51c6,2016-06-24 20:30:00.000000 UTC,20.5,24,6,720,1.8,11.5
7c51c6,2016-06-15 06:15:00.000000 UTC,6.25,15,6,360,0.7,5.5
7c51c6,2016-10-29 19:30:00.000000 UTC,19.5,29,10,660,2.0,10.25
7c51c6,2016-06-16 15:30:00.000000 UTC,15.5,16,6,240,1.2,6.25
7c51c6,2016-06-26 20:30:00.000000 UTC,20.5,26,6,600,2.7,14.4
7c51c6,2016-05-30 13:45:00.000000 UTC,13.75,30,5,240,0.9,7.0
7c51c6,2016-07-03 22:45:00.000000 UTC,22.75,3,7,840,4.3,15.25
7c51c6,2016-04-24 02:45:00.000000 UTC,2.75,24,4,1560,15.4,39.0
7c51c6,2016-02-10 05:30:00.000000 UTC,5.5,10,2,1380,2.8,13.5
7c51c6,2016-02-19 22:45:00.000000 UTC,22.75,19,2,360,1.4,7.0
7c51c6,2016-07-07 07:45:00.000000 UTC,7.75,7,7,2100,17.6,52.8
7c51c6,2016-05-14 08:00:00.000000 UTC,8.0,14,5,300,0.0,4.75
7c51c6,2016-05-25 05:45:00.000000 UTC,5.75,25,5,900,2.1,10.75
7c51c6,2016-01-07 10:00:00.000000 UTC,10.0,7,1,1140,4.2,17.0
7c51c6,2016-07-30 19:30:00.000000 UTC,19.5,30,7,420,2.8,13.25
7c51c6,2016-10-27 06:30:00.000000 UTC,6.5,27,10,480,1.1,8.25
7c51c6,2016-05-05 14:45:00.000000 UTC,14.75,5,5,1200,11.9,35.0
7c51c6,2016-09-26 09:30:00.000000 UTC,9.5,26,9,2040,11.1,36.6
7c51c6,2016-10-12 14:15:00.000000 UTC,14.25,12,10,480,1.1,7.0
7c51c6,2016-10-01 19:00:00.000000 UTC,19.0,1,10,780,4.3,14.0
7c51c6,2016-02-22 07:15:00.000000 UTC,7.25,22,2,480,1.0,6.75
7c51c6,2016-04-12 10:15:00.000000 UTC,10.25,12,4,300,0.8,5.5
7c51c6,2016-11-17 15:15:00.000000 UTC,15.25,17,11,360,1.2,9.5
7c51c6,2016-11-04 22:45:00.000000 UTC,22.75,4,11,480,3.5,11.5
7c51c6,2016-02-20 19:30:00.000000 UTC,19.5,20,2,1080,2.4,13.8
7c51c6,2016-06-18 20:00:00.000000 UTC,20.0,18,6,900,2.9,12.75
7c51c6,2016-04-01 18:00:00.000000 UTC,18.0,1,4,660,1.6,9.75
7c51c6,2016-10-25 06:45:00.000000 UTC,6.75,25,10,420,1.1,10.25
7c51c6,2016-07-25 22:00:00.000000 UTC,22.0,25,7,1020,4.8,15.0
7c51c6,2016-06-11 03:00:00.000000 UTC,3.0,11,6,1500,17.9,54.3
7c51c6,2016-05-06 20:30:00.000000 UTC,20.5,6,5,840,5.2,18.25
7c51c6,2016-12-01 08:30:00.000000 UTC,8.5,1,12,780,0.8,8.0
7c51c6,2016-02-18 06:45:00.000000 UTC,6.75,18,2,240,0.6,4.75
7c51c6,2016-03-21 10:30:00.000000 UTC,10.5,21,3,840,2.9,13.25
7c51c6,2016-03-05 21:00:00.000000 UTC,21.0,5,3,540,4.4,13.75
7c51c6,2016-08-15 20:15:00.000000 UTC,20.25,15,8,240,1.0,8.25
7c51c6,2016-09-19 09:15:00.000000 UTC,9.25,19,9,960,2.9,11.75
7c51c6,2016-10-15 00:00:00.000000 UTC,0.0,15,10,480,2.3,10.75
7c51c6,2016-11-03 17:15:00.000000 UTC,17.25,3,11,480,2.0,11.75
7c51c6,2016-03-12 18:30:00.000000 UTC,18.5,12,3,960,4.0,15.5
7c51c6,2016-06-15 22:00:00.000000 UTC,22.0,15,6,240,0.6,6.25
7c51c6,2016-06-22 06:30:00.000000 UTC,6.5,22,6,840,0.8,8.5
7c51c6,2016-02-20 20:45:00.000000 UTC,20.75,20,2,540,1.6,11.0
7c51c6,2016-09-22 17:00:00.000000 UTC,17.0,22,9,1500,12.8,36.75
7c51c6,2016-04-11 09:15:00.000000 UTC,9.25,11,4,600,0.9,8.0
7c51c6,2016-02-16 08:30:00.000000 UTC,8.5,16,2,420,1.0,8.75
7c51c6,2016-10-29 21:00:00.000000 UTC,21.0,29,10,300,0.4,5.0
7c51c6,2016-12-06 07:30:00.000000 UTC,7.5,6,12,480,1.0,6.5
7c51c6,2016-03-17 12:30:00.000000 UTC,12.5,17,3,720,1.2,10.25
7c51c6,2016-09-09 20:15:00.000000 UTC,20.25,9,9,960,4.2,16.75
7c51c6,2016-05-13 10:45:00.000000 UTC,10.75,13,5,180,0.5,5.5
7c51c6,2016-05-28 19:15:00.000000 UTC,19.25,28,5,240,0.5,6.25
7c51c6,2016-10-12 05:00:00.000000 UTC,5.0,12,10,60,0.1,3.5
7c51c6,2016-10-28 20:15:00.000000 UTC,20.25,28,10,300,0.9,6.0
7c51c6,2016-10-28 07:30:00.000000 UTC,7.5,28,10,240,0.7,7.5
7c51c6,2016-07-15 05:00:00.000000 UTC,5.0,15,7,420,0.8,6.25
7c51c6,2016-04-23 20:30:00.000000 UTC,20.5,23,4,900,4.9,15.75
7c51c6,2016-04-29 05:45:00.000000 UTC,5.75,29,4,660,1.0,7.5
7c51c6,2016-01-20 17:15:00.000000 UTC,17.25,20,1,300,0.8,5.5
7c51c6,2016-06-03 07:15:00.000000 UTC,7.25,3,6,240,0.3,4.5
7c51c6,2016-06-22 14:30:00.000000 UTC,14.5,22,6,600,2.0,11.0
7c51c6,2016-11-03 14:45:00.000000 UTC,14.75,3,11,960,7.6,26.7
7c51c6,2016-05-27 15:15:00.000000 UTC,15.25,27,5,780,2.6,13.25
7c51c6,2016-06-21 21:45:00.000000 UTC,21.75,21,6,660,3.7,12.25
7c51c6,2016-03-05 21:30:00.000000 UTC,21.5,5,3,240,0.9,5.75
7c51c6,2016-04-14 08:15:00.000000 UTC,8.25,14,4,540,1.1,9.25
7c51c6,2016-01-19 10:00:00.000000 UTC,10.0,19,1,480,1.5,7.75
7c51c6,2016-08-14 18:30:00.000000 UTC,18.5,14,8,540,2.2,9.0
7c51c6,2016-06-04 18:15:00.000000 UTC,18.25,4,6,540,2.7,9.75
7c51c6,2016-11-16 04:00:00.000000 UTC,4.0,16,11,360,0.9,6.75
7c51c6,2016-10-29 17:30:00.000000 UTC,17.5,29,10,540,1.8,12.75
7c51c6,2016-06-09 13:30:00.000000 UTC,13.5,9,6,720,1.3,12.25
7c51c6,2016-12-09 10:00:00.000000 UTC,10.0,9,12,6060,14.8,40.75
7c51c6,2016-11-26 22:00:00.000000 UTC,22.0,26,11,240,0.7,5.25
7c51c6,2016-04-21 05:00:00.000000 UTC,5.0,21,4,1680,13.1,41.1
7c51c6,2016-02-12 16:30:00.000000 UTC,16.5,12,2,420,1.0,8.25
7c51c6,2016-10-28 07:30:00.000000 UTC,7.5,28,10,840,0.9,14.25
7c51c6,2016-10-28 16:30:00.000000 UTC,16.5,28,10,360,1.2,10.0
7c51c6,2016-05-06 06:30:00.000000 UTC,6.5,6,5,840,1.6,11.5
