Taxi_id,time_stamp,hour,day,month,trip_seconds,trip_miles,trip_total
b50eb9,2016-06-10 21:00:00.000000 UTC,21.0,10,6,600,2.5,9.5
b50eb9,2016-04-30 18:00:00.000000 UTC,18.0,30,4,600,1.4,9.0
b50eb9,2016-07-13 15:45:00.000000 UTC,15.75,13,7,1080,3.1,17.75
b50eb9,2016-06-27 17:45:00.000000 UTC,17.75,27,6,480,1.8,10.0
b50eb9,2016-01-07 08:30:00.000000 UTC,8.5,7,1,720,1.5,9.75
b50eb9,2016-03-28 17:00:00.000000 UTC,17.0,28,3,720,4.1,13.25
b50eb9,2016-06-06 16:30:00.000000 UTC,16.5,6,6,600,3.7,15.0
b50eb9,2016-08-20 18:45:00.000000 UTC,18.75,20,8,720,2.5,12.5
b50eb9,2016-10-21 21:00:00.000000 UTC,21.0,21,10,1740,9.8,33.75
b50eb9,2016-03-13 16:30:00.000000 UTC,16.5,13,3,60,0.1,3.5
b50eb9,2016-05-18 12:00:00.000000 UTC,12.0,18,5,360,1.3,7.5
b50eb9,2016-07-09 23:15:00.000000 UTC,23.25,9,7,240,1.0,5.75
b50eb9,2016-07-08 14:30:00.000000 UTC,14.5,8,7,660,0.8,7.5
b50eb9,2016-11-03 19:15:00.000000 UTC,19.25,3,11,780,2.0,9.75
b50eb9,2016-03-12 10:30:00.000000 UTC,10.5,12,3,1440,5.8,21.75
b50eb9,2016-06-04 14:30:00.000000 UTC,14.5,4,6,1020,3.7,16.55
b50eb9,2016-01-14 13:00:00.000000 UTC,13.0,14,1,600,2.2,9.0
b50eb9,2016-03-23 14:45:00.000000 UTC,14.75,23,3,600,1.6,9.25
b50eb9,2016-12-08 11:45:00.000000 UTC,11.75,8,12,960,2.0,12.0
b50eb9,2016-06-10 15:15:00.000000 UTC,15.25,10,6,300,0.9,7.25
b50eb9,2016-05-22 17:00:00.000000 UTC,17.0,22,5,300,0.4,5.75
b50eb9,2016-12-26 18:45:00.000000 UTC,18.75,26,12,1260,6.8,27.3
