Taxi_id,time_stamp,hour,day,month,trip_seconds,trip_miles,trip_total
d1b852,2016-10-22 13:15:00.000000 UTC,13.25,22,10,240,0.5,7.0
d1b852,2016-11-05 15:00:00.000000 UTC,15.0,5,11,180,0.5,8.25
d1b852,2016-12-01 15:30:00.000000 UTC,15.5,1,12,540,1.6,10.5
d1b852,2016-04-22 19:15:00.000000 UTC,19.25,22,4,1500,7.6,22.25
d1b852,2016-01-27 11:15:00.000000 UTC,11.25,27,1,300,0.9,6.25
d1b852,2016-04-21 16:15:00.000000 UTC,16.25,21,4,420,3.4,13.0
d1b852,2016-06-16 03:15:00.000000 UTC,3.25,16,6,960,4.1,17.25
d1b852,2016-08-04 07:30:00.000000 UTC,7.5,4,8,480,0.1,6.0
d1b852,2016-07-27 14:30:00.000000 UTC,14.5,27,7,1200,2.3,14.5
d1b852,2016-10-20 07:00:00.000000 UTC,7.0,20,10,1680,17.0,51.5
d1b852,2016-11-02 20:00:00.000000 UTC,20.0,2,11,420,1.4,8.5
d1b852,2016-05-03 03:00:00.000000 UTC,3.0,3,5,780,1.2,12.5
d1b852,2016-03-17 07:30:00.000000 UTC,7.5,17,3,420,1.4,8.25
d1b852,2016-11-02 02:30:00.000000 UTC,2.5,2,11,780,1.9,9.25
d1b852,2016-03-06 13:00:00.000000 UTC,13.0,6,3,180,0.7,5.0
d1b852,2016-04-22 13:45:00.000000 UTC,13.75,22,4,480,1.1,8.0
d1b852,2016-05-10 15:30:00.000000 UTC,15.5,10,5,420,6.3,17.25
d1b852,2016-11-19 19:45:00.000000 UTC,19.75,19,11,600,2.6,13.25
d1b852,2016-04-15 14:30:00.000000 UTC,14.5,15,4,360,0.8,7.0
d1b852,2016-05-29 12:00:00.000000 UTC,12.0,29,5,240,0.9,5.5
d1b852,2016-03-25 05:00:00.000000 UTC,5.0,25,3,660,2.3,11.75
d1b852,2016-01-10 07:45:00.000000 UTC,7.75,10,1,1200,16.1,51.25
d1b852,2016-12-09 17:30:00.000000 UTC,17.5,9,12,720,2.2,10.25
d1b852,2016-08-05 18:00:00.000000 UTC,18.0,5,8,1080,3.5,17.25
d1b852,2016-11-06 14:45:00.000000 UTC,14.75,6,11,240,0.8,8.0
d1b852,2016-01-27 12:00:00.000000 UTC,12.0,27,1,480,1.1,8.75
d1b852,2016-03-08 12:30:00.000000 UTC,12.5,8,3,120,0.2,4.25
d1b852,2016-03-12 05:45:00.000000 UTC,5.75,12,3,420,1.1,7.5
d1b852,2016-04-15 10:15:00.000000 UTC,10.25,15,4,60,0.3,4.0
d1b852,2016-09-08 15:00:00.000000 UTC,15.0,8,9,60,0.3,9.0
d1b852,2016-07-29 12:45:00.000000 UTC,12.75,29,7,240,0.0,4.5
d1b852,2016-04-29 09:30:00.000000 UTC,9.5,29,4,360,1.1,8.5
d1b852,2016-10-19 17:15:00.000000 UTC,17.25,19,10,180,0.5,4.5
d1b852,2016-03-19 04:45:00.000000 UTC,4.75,19,3,960,2.8,11.5
d1b852,2016-02-10 11:30:00.000000 UTC,11.5,10,2,600,1.4,13.75
d1b852,2016-06-11 13:45:00.000000 UTC,13.75,11,6,720,1.8,9.25
d1b852,2016-03-16 03:00:00.000000 UTC,3.0,16,3,480,1.1,10.25
d1b852,2016-10-17 03:30:00.000000 UTC,3.5,17,10,840,2.3,14.25
d1b852,2016-11-03 03:00:00.000000 UTC,3.0,3,11,240,0.6,6.0
d1b852,2016-05-21 09:00:00.000000 UTC,9.0,21,5,300,0.5,10.25
d1b852,2016-10-10 17:15:00.000000 UTC,17.25,10,10,720,3.8,16.25
d1b852,2016-02-23 13:30:00.000000 UTC,13.5,23,2,180,0.6,5.75
d1b852,2016-04-22 14:00:00.000000 UTC,14.0,22,4,480,1.3,10.0
d1b852,2016-06-15 15:00:00.000000 UTC,15.0,15,6,1740,16.6,70.0
d1b852,2016-03-05 02:45:00.000000 UTC,2.75,5,3,240,0.5,7.75
d1b852,2016-01-27 08:30:00.000000 UTC,8.5,27,1,1560,13.2,38.5
d1b852,2016-10-06 06:00:00.000000 UTC,6.0,6,10,1980,12.9,38.5
d1b852,2016-06-29 16:30:00.000000 UTC,16.5,29,6,180,3.1,10.25
d1b852,2016-08-20 19:45:00.000000 UTC,19.75,20,8,540,1.4,9.75
d1b852,2016-04-12 14:45:00.000000 UTC,14.75,12,4,1560,17.5,60.93
d1b852,2016-12-01 15:45:00.000000 UTC,15.75,1,12,360,1.0,8.5
d1b852,2016-02-22 01:45:00.000000 UTC,1.75,22,2,660,2.3,9.75
d1b852,2016-04-01 04:30:00.000000 UTC,4.5,1,4,420,0.6,7.5
d1b852,2016-05-24 15:00:00.000000 UTC,15.0,24,5,120,0.5,8.25
d1b852,2016-11-12 19:00:00.000000 UTC,19.0,12,11,840,4.1,16.0
d1b852,2016-10-09 13:30:00.000000 UTC,13.5,9,10,420,1.3,11.5
d1b852,2016-11-02 22:45:00.000000 UTC,22.75,2,11,1200,5.5,18.0
d1b852,2016-10-21 20:00:00.000000 UTC,20.0,21,10,2040,7.2,31.1
d1b852,2016-07-13 11:45:00.000000 UTC,11.75,13,7,60,0.0,166.5
d1b852,2016-06-01 14:30:00.000000 UTC,14.5,1,6,300,1.9,12.75
d1b852,2016-07-23 20:15:00.000000 UTC,20.25,23,7,420,6.1,17.0
d1b852,2016-11-02 12:00:00.000000 UTC,12.0,2,11,360,0.9,8.5
d1b852,2016-11-03 19:30:00.000000 UTC,19.5,3,11,480,3.8,14.5
d1b852,2016-11-22 16:15:00.000000 UTC,16.25,22,11,840,3.2,16.75
d1b852,2016-02-27 11:00:00.000000 UTC,11.0,27,2,600,1.9,9.0
d1b852,2016-11-19 08:15:00.000000 UTC,8.25,19,11,600,1.7,10.5
d1b852,2016-04-10 05:45:00.000000 UTC,5.75,10,4,1680,17.5,53.1
d1b852,2016-08-27 16:00:00.000000 UTC,16.0,27,8,1080,5.3,22.5
d1b852,2016-06-06 16:30:00.000000 UTC,16.5,6,6,180,1.4,11.25
d1b852,2016-04-15 02:30:00.000000 UTC,2.5,15,4,240,0.9,6.5
d1b852,2016-05-14 08:00:00.000000 UTC,8.0,14,5,960,1.6,12.25
d1b852,2016-09-10 14:00:00.000000 UTC,14.0,10,9,300,0.6,7.25
d1b852,2016-01-05 11:15:00.000000 UTC,11.25,5,1,1980,5.9,22.0
d1b852,2016-04-10 04:30:00.000000 UTC,4.5,10,4,360,1.0,6.25
d1b852,2016-12-01 15:00:00.000000 UTC,15.0,1,12,720,1.5,12.75
d1b852,2016-08-30 15:30:00.000000 UTC,15.5,30,8,1320,15.3,53.0
