X,Y
0.533784,0.902632
0.616216,0.902632
0.663514,0.847368
0.559459,0.834211
0.618919,0.786842
0.535135,0.739474
0.577027,0.697368
0.632432,0.676316
0.547297,0.615789
0.595946,0.578947
0.544595,0.518421
0.572973,0.471053
0.631081,0.465789
0.547297,0.365789
0.606757,0.371053
0.663514,0.378947
0.704054,0.297368
0.620270,0.255263
0.567568,0.250000
0.544595,0.150000
0.598649,0.163158
0.674324,0.189474
0.748649,0.186842
0.751351,0.381579
0.791892,0.539474
0.800000,0.431579
0.856757,0.486842
0.900000,0.552632
0.952703,0.486842
0.910811,0.410526
0.854054,0.373684
0.786486,0.289474
0.847297,0.284211
0.828378,0.178947
0.895946,0.186842
0.913514,0.297368
0.970270,0.328947
0.944595,0.184211
0.958108,0.655263
0.898649,0.707895
0.960811,0.760526
0.917568,0.823684
0.952703,0.902632
0.860811,0.915789
0.848649,0.789474
0.763514,0.800000
0.709459,0.842105
0.733784,0.913158
0.771622,0.921053
0.798649,0.863158
0.712162,0.768421
0.698649,0.765789
0.686486,0.744737
0.687838,0.721053
0.697297,0.731579
0.708108,0.747368
0.721622,0.739474
0.713514,0.723684
0.704054,0.710526
0.697297,0.694737
0.729730,0.721053
0.725676,0.697368
0.712162,0.692105
0.697297,0.668421
0.706757,0.660526
0.722973,0.671053
0.733784,0.676316
0.739189,0.702632
0.755405,0.710526
0.750000,0.686842
0.760811,0.686842
0.774324,0.692105
0.768919,0.721053
0.785135,0.723684
0.790541,0.694737
0.800000,0.721053
0.813514,0.710526
0.804054,0.689474
0.828378,0.700000
0.814865,0.676316
0.828378,0.671053
0.839189,0.689474
0.850000,0.668421
0.859459,0.647368
0.843243,0.644737
0.854054,0.621053
0.844595,0.597368
0.835135,0.623684
0.824324,0.647368
0.828378,0.600000
0.814865,0.615789
0.810811,0.639474
0.800000,0.652632
0.787838,0.660526
0.777027,0.665789
0.800000,0.626316
0.785135,0.628947
0.768919,0.631579
0.764865,0.660526
0.754054,0.631579
0.750000,0.655263
0.737838,0.650000
0.737838,0.621053
0.727027,0.642105
0.712162,0.634211
0.698649,0.628947
0.717568,0.610526
0.729730,0.600000
0.687838,0.642105
0.678378,0.623684
0.667568,0.613158
0.654054,0.597368
0.647297,0.565789
0.652703,0.544737
0.660811,0.531579
