id,Label,Number_Points,Coord-0,Coord-1,X,Y
0,0,1,13,22,0.533784,0.902632
1,1,1,15,22,0.616216,0.902632
2,2,1,16,21,0.663514,0.847368
3,3,1,13,20,0.559459,0.834211
4,4,1,15,19,0.618919,0.786842
5,5,1,13,18,0.535135,0.739474
6,6,1,14,17,0.577027,0.697368
7,7,1,15,16,0.632432,0.676316
8,8,1,13,15,0.547297,0.615789
9,9,1,14,14,0.595946,0.578947
10,10,1,13,12,0.544595,0.518421
11,11,1,14,11,0.572973,0.471053
12,12,1,15,11,0.631081,0.465789
13,13,1,13,9,0.547297,0.365789
14,14,1,15,9,0.606757,0.371053
15,15,1,16,9,0.663514,0.378947
16,16,1,17,7,0.704054,0.297368
17,17,1,15,6,0.620270,0.255263
18,18,1,14,6,0.567568,0.250000
19,19,1,13,3,0.544595,0.150000
20,20,1,14,4,0.598649,0.163158
21,21,1,16,4,0.674324,0.189474
22,22,1,18,4,0.748649,0.186842
23,23,1,18,9,0.751351,0.381579
24,24,1,19,13,0.791892,0.539474
25,25,1,20,10,0.800000,0.431579
26,26,1,21,12,0.856757,0.486842
27,27,1,22,13,0.900000,0.552632
28,28,1,23,12,0.952703,0.486842
29,29,1,22,10,0.910811,0.410526
30,30,1,21,9,0.854054,0.373684
31,31,1,19,7,0.786486,0.289474
32,32,1,21,7,0.847297,0.284211
33,33,1,20,4,0.828378,0.178947
34,34,1,22,4,0.895946,0.186842
35,35,1,22,7,0.913514,0.297368
36,36,1,24,8,0.970270,0.328947
37,37,1,23,4,0.944595,0.184211
38,38,1,23,16,0.958108,0.655263
39,39,1,22,17,0.898649,0.707895
40,40,1,24,19,0.960811,0.760526
41,41,1,22,20,0.917568,0.823684
42,42,1,23,22,0.952703,0.902632
43,43,1,21,22,0.860811,0.915789
44,44,1,21,19,0.848649,0.789474
45,45,1,19,19,0.763514,0.800000
46,46,1,17,21,0.709459,0.842105
47,47,1,18,22,0.733784,0.913158
48,48,1,19,23,0.771622,0.921053
49,49,1,19,21,0.798649,0.863158
50,50,2,17,19,0.705405,0.767105
51,51,5,17,18,0.698649,0.733684
52,52,2,18,18,0.725676,0.730263
53,53,3,17,17,0.704505,0.699123
54,54,4,18,17,0.742568,0.699342
55,55,3,17,16,0.697297,0.657018
56,56,5,18,16,0.734324,0.658947
57,57,3,19,17,0.775225,0.691228
58,58,2,19,18,0.777027,0.722368
59,59,1,20,18,0.800000,0.721053
60,60,4,20,17,0.821284,0.697368
61,61,4,20,16,0.816892,0.661842
62,62,3,21,16,0.850901,0.653509
63,63,1,21,15,0.854054,0.621053
64,64,1,21,14,0.844595,0.597368
65,65,4,20,15,0.815203,0.626316
66,66,1,20,14,0.828378,0.600000
67,67,3,19,16,0.776577,0.662281
68,68,2,19,15,0.777027,0.630263
69,69,2,18,15,0.745946,0.626316
70,70,5,17,15,0.703784,0.617895
71,71,2,18,14,0.728378,0.588158
72,72,2,16,15,0.672973,0.618421
73,73,5,16,14,0.663514,0.578947
74,74,4,16,13,0.664865,0.540132
75,75,2,16,12,0.674324,0.501316
76,76,4,17,12,0.698311,0.501974
77,77,1,17,11,0.706757,0.476316
78,78,1,18,11,0.724324,0.468421
79,79,3,18,12,0.733784,0.500877
80,80,1,18,13,0.731081,0.544737
81,81,3,17,14,0.700901,0.576316
82,82,4,17,13,0.707095,0.543421
83,83,1,1,22,0.059459,0.913158
84,84,1,2,22,0.105405,0.913158
85,85,1,3,22,0.147297,0.910526
86,86,1,4,22,0.187838,0.897368
87,87,1,5,20,0.206757,0.805263
88,88,1,4,20,0.166216,0.831579
89,89,1,3,20,0.124324,0.839474
90,90,1,2,21,0.087838,0.855263
91,91,1,1,20,0.059459,0.831579
92,92,1,0,21,0.028378,0.871053
93,93,1,0,19,0.004054,0.784211
94,94,2,1,19,0.056757,0.782895
95,95,2,1,18,0.055405,0.738158
96,96,1,0,17,0.009459,0.700000
97,97,1,0,15,0.033784,0.613158
98,98,1,1,17,0.052703,0.684211
99,99,2,2,20,0.095946,0.803947
100,100,1,3,19,0.139189,0.789474
101,101,3,2,19,0.103153,0.770175
102,102,4,2,18,0.097973,0.742763
103,103,2,2,17,0.097297,0.689474
104,104,1,2,15,0.090541,0.626316
105,105,1,2,14,0.082432,0.573684
106,106,1,3,18,0.137838,0.723684
107,107,1,4,18,0.167568,0.747368
108,108,1,3,15,0.121622,0.636842
109,109,1,3,16,0.152703,0.665789
110,110,2,5,17,0.218919,0.700000
111,111,1,4,15,0.186486,0.615789
112,112,1,3,14,0.151351,0.568421
113,113,1,6,20,0.241892,0.828947
114,114,1,6,21,0.268919,0.873684
115,115,1,7,22,0.294595,0.892105
116,116,1,8,23,0.324324,0.931579
117,117,1,9,23,0.363514,0.934211
118,118,1,8,21,0.327027,0.878947
119,119,1,9,21,0.362162,0.863158
120,120,1,10,22,0.404054,0.889474
121,121,2,7,20,0.302703,0.822368
122,122,1,6,19,0.271622,0.781579
123,123,1,5,19,0.236486,0.760526
124,124,1,6,15,0.252703,0.626316
125,125,1,6,14,0.275676,0.573684
126,126,1,7,15,0.294595,0.631579
127,127,1,6,16,0.278378,0.671053
128,128,1,6,18,0.270270,0.731579
129,129,3,7,17,0.304955,0.707018
130,130,2,7,19,0.302027,0.773684
131,131,2,8,19,0.340541,0.785526
132,132,1,8,20,0.339189,0.818421
133,133,5,8,18,0.333243,0.739474
134,134,2,7,18,0.310811,0.738158
135,135,2,8,16,0.342568,0.657895
136,136,1,8,15,0.324324,0.618421
137,137,1,7,13,0.317568,0.552632
138,138,1,8,17,0.341892,0.694737
139,139,1,9,20,0.385135,0.810526
140,140,1,9,18,0.390541,0.736842
141,141,1,9,16,0.375676,0.678947
142,142,1,8,13,0.354054,0.547368
143,143,1,9,14,0.389189,0.576316
144,144,1,10,15,0.410811,0.639474
145,145,4,2,9,0.104054,0.375000
146,146,2,3,10,0.145270,0.414474
147,147,2,4,10,0.183108,0.421053
148,148,2,5,10,0.225000,0.418421
149,149,3,6,10,0.261261,0.418421
150,150,5,6,9,0.254054,0.383684
151,151,3,5,9,0.218468,0.382456
152,152,2,4,9,0.175676,0.384211
153,153,2,3,9,0.142568,0.381579
154,154,2,3,8,0.143919,0.346053
155,155,3,4,8,0.176126,0.341228
156,156,4,5,8,0.215878,0.343421
157,157,2,4,7,0.182432,0.303947
158,158,2,3,7,0.137162,0.301316
159,159,1,4,6,0.167568,0.276316
160,160,2,2,8,0.106081,0.334211
161,161,1,1,8,0.074324,0.334211
162,162,2,2,7,0.098649,0.297368
163,163,1,1,7,0.074324,0.294737
164,164,1,1,6,0.074324,0.252632
165,165,2,2,6,0.101351,0.263158
166,166,4,3,6,0.145270,0.255921
167,167,4,2,5,0.098649,0.225000
168,168,4,3,5,0.137838,0.215789
169,169,3,3,4,0.146847,0.183333
170,170,1,2,4,0.116216,0.184211
171,171,5,3,3,0.138378,0.138421
172,172,1,4,4,0.168919,0.160526
173,173,3,3,2,0.141441,0.093860
174,174,4,4,3,0.182432,0.133553
175,175,2,4,2,0.181757,0.094737
176,176,1,3,1,0.147297,0.065789
177,177,3,4,1,0.178378,0.050877
178,178,2,5,2,0.216892,0.103947
179,179,2,5,3,0.227703,0.126316
180,180,4,5,1,0.221959,0.065132
181,181,1,5,0,0.209459,0.039474
182,182,3,6,2,0.259910,0.102632
183,183,3,6,1,0.261261,0.067544
184,184,2,6,8,0.259459,0.351316
185,185,3,7,10,0.293243,0.410526
186,186,4,7,8,0.297635,0.341447
187,187,4,7,9,0.300000,0.372368
188,188,1,8,9,0.320270,0.392105
189,189,3,8,8,0.326577,0.340351
190,190,4,8,7,0.334459,0.295395
191,191,3,8,6,0.345946,0.262281
192,192,3,8,5,0.345495,0.219298
