cell-id,cell-label,number-points,CM-0,CM-1,cluster-label,qty-cells-cluster-greater-equal-3
50,50,2,0.705405,0.809267,50,26
51,51,6,0.69955,0.778736,50,26
52,52,3,0.735586,0.773707,50,26
53,53,4,0.703378,0.737069,50,26
54,54,5,0.734324,0.743534,50,26
55,55,6,0.775901,0.735273,50,26
56,56,2,0.777027,0.772629,50,26
57,57,2,0.806757,0.767241,50,26
58,58,5,0.822973,0.742241,50,26
59,59,1,0.85,0.728448,50,26
60,60,3,0.852252,0.703305,50,26
62,62,6,0.814189,0.700431,50,26
63,63,1,0.828378,0.672414,50,26
64,64,2,0.777027,0.697198,50,26
65,65,5,0.741351,0.705172,50,26
66,66,5,0.700811,0.693103,50,26
67,67,2,0.728378,0.662716,50,26
68,68,2,0.672973,0.6875,50,26
69,69,5,0.663514,0.655172,50,26
70,70,4,0.664865,0.623384,50,26
71,71,2,0.674324,0.591595,50,26
72,72,4,0.702703,0.584052,50,26
73,73,3,0.729279,0.577586,50,26
74,74,2,0.734459,0.616379,50,26
75,75,4,0.701351,0.658944,50,26
76,76,5,0.703514,0.621552,50,26
93,93,4,0.098986,0.818427,68,3
94,94,1,0.105405,0.840517,68,3
96,96,4,0.097973,0.789332,68,3
123,123,4,0.30777,0.776401,96,5
124,124,2,0.302027,0.814655,96,5
125,125,2,0.340541,0.824353,96,5
127,127,5,0.333243,0.786638,96,5
129,129,2,0.334459,0.741379,96,5
138,138,2,0.109459,0.5,107,51
139,139,3,0.140541,0.500718,107,51
142,142,2,0.225,0.523707,107,51
143,143,2,0.25473,0.530172,107,51
144,144,6,0.257432,0.497845,107,51
145,145,3,0.218468,0.494253,107,51
146,146,2,0.175676,0.49569,107,51
147,147,2,0.143919,0.46444,107,51
148,148,3,0.176126,0.460489,107,51
149,149,4,0.215878,0.462284,107,51
150,150,3,0.177477,0.422414,107,51
151,151,3,0.14009,0.418822,107,51
152,152,4,0.102365,0.465517,107,51
154,154,3,0.095946,0.418103,107,51
155,155,1,0.074324,0.422414,107,51
157,157,4,0.140541,0.383082,107,51
158,158,4,0.101351,0.373922,107,51
159,159,2,0.108784,0.342672,107,51
160,160,6,0.144144,0.342313,107,51
161,161,5,0.138378,0.294397,107,51
162,162,5,0.17973,0.294828,107,51
163,163,3,0.141441,0.257902,107,51
164,164,2,0.181757,0.258621,107,51
165,165,1,0.147297,0.234914,107,51
166,166,3,0.178378,0.222701,107,51
167,167,3,0.223874,0.257902,107,51
168,168,2,0.227703,0.284483,107,51
169,169,4,0.214865,0.227371,107,51
170,170,4,0.260473,0.260237,107,51
171,171,2,0.260811,0.231681,107,51
172,172,2,0.259459,0.46875,107,51
173,173,1,0.283784,0.525862,107,51
174,174,4,0.297635,0.460668,107,51
175,175,6,0.299324,0.494971,107,51
176,176,1,0.32027,0.502155,107,51
177,177,3,0.326577,0.45977,107,51
178,178,5,0.335946,0.418966,107,51
179,179,4,0.345608,0.379849,107,51
180,180,2,0.377027,0.40625,107,51
181,181,4,0.37973,0.378233,107,51
182,182,2,0.342568,0.34375,107,51
183,183,3,0.383784,0.335489,107,51
184,184,1,0.402703,0.346983,107,51
185,185,3,0.380631,0.301006,107,51
186,186,5,0.34,0.305172,107,51
187,187,2,0.37973,0.269397,107,51
188,188,4,0.343919,0.260776,107,51
189,189,2,0.3,0.286638,107,51
190,190,3,0.3,0.255747,107,51
191,191,1,0.340541,0.234914,107,51
192,192,2,0.307432,0.233836,107,51
193,193,1,0.282432,0.390086,112,6
194,194,7,0.260232,0.379002,112,6
195,195,1,0.255405,0.400862,112,6
196,196,2,0.25,0.354526,112,6
197,197,4,0.229054,0.384159,112,6
