id,Label,Number_Points,X,Y
0,0,14,0.816486,0.072548
1,1,4,0.870291,0.125513
2,2,14,0.814188,0.094480
3,3,4,0.817034,0.038782
4,4,5,0.839716,0.047156
5,5,2,0.788624,0.076452
6,6,6,0.809601,0.120339
7,7,4,0.895158,0.101814
8,8,10,0.839419,0.099155
9,9,1,0.870015,0.153673
10,10,3,0.871995,0.039722
11,11,7,0.840965,0.071730
12,12,4,0.753317,0.072167
13,13,6,0.870411,0.077181
14,14,5,0.841074,0.123047
15,15,2,0.871627,0.102513
16,16,4,0.814721,0.156712
17,17,1,0.795753,0.134871
18,18,2,0.895603,0.073523
19,19,2,0.845657,0.147857
20,20,1,0.894118,0.123852
21,21,2,0.790363,0.050392
22,22,1,0.915506,0.097091
23,23,1,0.808144,0.027217
24,24,3,0.574523,0.329919
25,25,7,0.559024,0.326804
26,26,2,0.554635,0.247291
27,27,8,0.529651,0.274183
28,28,5,0.509314,0.299281
29,29,15,0.532297,0.302173
30,30,1,0.586376,0.258441
31,31,18,0.554885,0.302187
32,32,6,0.529272,0.324511
33,33,2,0.519328,0.355426
34,34,4,0.506874,0.320029
35,35,7,0.580933,0.300568
36,36,8,0.500190,0.271395
37,37,4,0.501527,0.359339
38,38,2,0.546360,0.383848
39,39,2,0.573900,0.237234
40,40,1,0.607509,0.301468
41,41,6,0.497106,0.236578
42,42,2,0.545511,0.278030
43,43,3,0.473187,0.296862
44,44,6,0.531182,0.246956
45,45,1,0.608613,0.336886
46,46,5,0.524183,0.385737
47,47,2,0.554762,0.352496
48,48,15,0.215859,0.241796
49,49,5,0.159154,0.248961
50,50,1,0.176790,0.314411
51,51,12,0.186684,0.271187
52,52,4,0.159731,0.272499
53,53,11,0.185493,0.244067
54,54,2,0.176790,0.193464
55,55,9,0.187370,0.213364
56,56,3,0.182165,0.292722
57,57,7,0.219164,0.275032
58,58,8,0.234120,0.269591
59,59,5,0.219480,0.216184
60,60,3,0.216170,0.299544
61,61,2,0.241673,0.235048
