CM-0,CM-1,label-gC,label-GT
0.816486,0.072548,0,1,1
0.816486,0.072548,0,1,1
0.816486,0.072548,0,1,1
0.816486,0.072548,0,1,1
0.816486,0.072548,0,1,1
0.816486,0.072548,0,1,1
0.816486,0.072548,0,1,1
0.816486,0.072548,0,1,1
0.816486,0.072548,0,1,1
0.816486,0.072548,0,1,1
0.816486,0.072548,0,1,1
0.816486,0.072548,0,1,1
0.816486,0.072548,0,1,1
0.816486,0.072548,0,1,1
0.870291,0.125513,1,7,1
0.870291,0.125513,1,7,1
0.870291,0.125513,1,7,1
0.870291,0.125513,1,7,1
0.814188,0.09448,2,1,1
0.814188,0.09448,2,1,1
0.814188,0.09448,2,1,1
0.814188,0.09448,2,1,1
0.814188,0.09448,2,1,1
0.814188,0.09448,2,1,1
0.814188,0.09448,2,1,1
0.814188,0.09448,2,1,1
0.814188,0.09448,2,1,1
0.814188,0.09448,2,1,1
0.814188,0.09448,2,1,1
0.814188,0.09448,2,1,1
0.814188,0.09448,2,1,1
0.814188,0.09448,2,1,1
0.817034,0.038782,3,1,1
0.817034,0.038782,3,1,1
0.817034,0.038782,3,1,1
0.817034,0.038782,3,1,1
0.839716,0.047156,4,1,1
0.839716,0.047156,4,1,1
0.839716,0.047156,4,1,1
0.839716,0.047156,4,1,1
0.839716,0.047156,4,1,1
0.788624,0.076452,5,7,1
0.788624,0.076452,5,7,1
0.809601,0.120339,6,1,1
0.809601,0.120339,6,1,1
0.809601,0.120339,6,1,1
0.809601,0.120339,6,1,1
0.809601,0.120339,6,1,1
0.809601,0.120339,6,1,1
0.895158,0.101814,7,7,1
0.895158,0.101814,7,7,1
0.895158,0.101814,7,7,1
0.895158,0.101814,7,7,1
0.839419,0.099155,8,1,1
0.839419,0.099155,8,1,1
0.839419,0.099155,8,1,1
0.839419,0.099155,8,1,1
0.839419,0.099155,8,1,1
0.839419,0.099155,8,1,1
0.839419,0.099155,8,1,1
0.839419,0.099155,8,1,1
0.839419,0.099155,8,1,1
0.839419,0.099155,8,1,1
0.870015,0.153673,9,7,1
0.871995,0.039722,10,7,1
0.871995,0.039722,10,7,1
0.871995,0.039722,10,7,1
0.840965,0.07173,11,1,1
0.840965,0.07173,11,1,1
0.840965,0.07173,11,1,1
0.840965,0.07173,11,1,1
0.840965,0.07173,11,1,1
0.840965,0.07173,11,1,1
0.840965,0.07173,11,1,1
0.753317,0.072167,12,25,1
0.753317,0.072167,12,25,1
0.753317,0.072167,12,25,1
0.753317,0.072167,12,25,1
0.870411,0.077181,13,1,1
0.870411,0.077181,13,1,1
0.870411,0.077181,13,1,1
0.870411,0.077181,13,1,1
0.870411,0.077181,13,1,1
0.870411,0.077181,13,1,1
0.841074,0.123047,14,1,1
0.841074,0.123047,14,1,1
0.841074,0.123047,14,1,1
0.841074,0.123047,14,1,1
0.841074,0.123047,14,1,1
0.871627,0.102513,15,7,1
0.871627,0.102513,15,7,1
0.814721,0.156712,16,7,1
0.814721,0.156712,16,7,1
0.814721,0.156712,16,7,1
0.814721,0.156712,16,7,1
0.795753,0.134871,17,7,1
0.895603,0.073523,18,7,1
0.895603,0.073523,18,7,1
0.845657,0.147857,19,7,1
0.845657,0.147857,19,7,1
0.894118,0.123852,20,7,1
0.790363,0.050392,21,7,1
0.790363,0.050392,21,7,1
0.915506,0.097091,22,7,1
0.808144,0.027217,23,7,1
0.574523,0.329919,24,2,2
0.574523,0.329919,24,2,2
0.574523,0.329919,24,2,2
0.559024,0.326804,25,2,2
0.559024,0.326804,25,2,2
0.559024,0.326804,25,2,2
0.559024,0.326804,25,2,2
0.559024,0.326804,25,2,2
0.559024,0.326804,25,2,2
0.559024,0.326804,25,2,2
0.554635,0.247291,26,7,2
0.554635,0.247291,26,7,2
0.529651,0.274183,27,2,2
0.529651,0.274183,27,2,2
0.529651,0.274183,27,2,2
0.529651,0.274183,27,2,2
0.529651,0.274183,27,2,2
0.529651,0.274183,27,2,2
0.529651,0.274183,27,2,2
0.529651,0.274183,27,2,2
0.509314,0.299281,28,2,2
0.509314,0.299281,28,2,2
0.509314,0.299281,28,2,2
0.509314,0.299281,28,2,2
0.509314,0.299281,28,2,2
0.532297,0.302173,29,2,2
0.532297,0.302173,29,2,2
