id,Label,Number_Points,Coord-0,Coord-1,X,Y
0,0,27,18,2,0.813487,0.111746
1,1,5,20,3,0.887540,0.148851
2,2,6,18,1,0.811710,0.069721
3,3,6,19,1,0.843237,0.079149
4,4,12,17,2,0.753280,0.105123
5,5,13,19,3,0.845203,0.146071
6,6,18,19,2,0.843542,0.112061
7,7,2,20,4,0.878441,0.191570
8,8,2,20,1,0.879752,0.066507
9,9,8,20,2,0.886633,0.112465
10,10,7,18,3,0.807013,0.149858
11,11,11,18,4,0.796634,0.197258
12,12,4,19,4,0.842546,0.181402
13,13,1,21,2,0.915816,0.126967
14,14,3,13,8,0.573212,0.363422
15,15,7,12,8,0.544977,0.362789
16,16,10,12,6,0.541060,0.284077
17,17,36,12,7,0.544758,0.326742
18,18,14,11,7,0.510157,0.325064
19,19,2,13,6,0.580498,0.273888
20,20,13,13,7,0.577197,0.327261
21,21,16,11,6,0.499094,0.280695
22,22,7,11,8,0.504558,0.373589
23,23,10,12,9,0.536240,0.413435
24,24,1,13,5,0.577835,0.260147
25,25,1,14,7,0.608952,0.324581
26,26,3,10,7,0.459509,0.316830
27,27,2,12,5,0.532342,0.257314
28,28,1,14,8,0.610051,0.358827
29,29,16,4,5,0.196897,0.241840
30,30,6,3,6,0.162172,0.280864
31,31,7,4,7,0.192041,0.318420
32,32,25,4,6,0.192280,0.282393
33,33,4,3,7,0.164300,0.312996
34,34,20,5,6,0.230771,0.284881
35,35,12,5,5,0.238683,0.241819
36,36,4,5,7,0.227571,0.317034
37,37,4,3,5,0.153540,0.249218
38,38,10,6,5,0.289421,0.229816
39,39,1,5,8,0.243912,0.351048
40,40,14,2,5,0.107832,0.245458
41,41,2,6,6,0.288517,0.262472
42,42,1,4,4,0.184467,0.216684
43,43,8,17,18,0.768747,0.806545
44,44,32,18,18,0.803083,0.800399
45,45,13,19,18,0.843928,0.805187
46,46,16,19,17,0.847984,0.764863
47,47,8,17,17,0.768229,0.763610
48,48,4,19,19,0.848296,0.849543
49,49,3,17,19,0.777055,0.852594
50,50,18,18,17,0.804814,0.765762
51,51,5,18,19,0.814447,0.841455
52,52,22,18,20,0.805252,0.897394
53,53,6,20,17,0.883487,0.762694
54,54,1,18,16,0.820349,0.714651
55,55,1,20,18,0.879118,0.798618
56,56,10,1,15,0.064842,0.668380
57,57,25,2,14,0.109024,0.631634
58,58,3,0,14,0.038208,0.636124
59,59,12,2,13,0.107737,0.593210
60,60,1,2,16,0.108110,0.708309
61,61,21,1,14,0.070780,0.635411
62,62,4,3,15,0.138615,0.673851
63,63,12,2,15,0.105292,0.671589
64,64,5,1,13,0.077585,0.586493
65,65,8,3,14,0.156742,0.632269
66,66,4,0,15,0.031796,0.667847
67,67,2,3,16,0.163792,0.711607
68,68,9,21,6,0.927053,0.290870
69,69,9,20,7,0.887912,0.324111
70,70,29,20,6,0.890428,0.278205
71,71,20,20,5,0.889070,0.240728
72,72,18,19,6,0.855023,0.282673
73,73,2,21,7,0.920256,0.307796
74,74,5,19,5,0.851839,0.248901
75,75,1,22,5,0.985070,0.255074
76,76,7,18,5,0.800840,0.234103
77,77,1,19,7,0.843603,0.317393
78,78,1,21,5,0.914548,0.249324
79,79,2,19,8,0.861318,0.372949
80,80,3,20,8,0.895071,0.377205
81,81,7,14,21,0.639405,0.922678
82,82,33,15,20,0.673998,0.894210
83,83,3,15,19,0.673076,0.855131
84,84,7,14,20,0.640867,0.895244
85,85,5,17,20,0.763576,0.896587
86,86,16,15,21,0.675770,0.928944
87,87,14,16,20,0.705174,0.892792
88,88,8,16,21,0.712008,0.924949
89,89,3,16,19,0.713495,0.861896
90,90,2,16,22,0.724671,0.973443
91,91,2,14,19,0.634235,0.852439
92,92,4,17,21,0.755387,0.932305
93,93,2,15,22,0.658250,0.984605
94,94,13,9,12,0.414415,0.554926
95,95,25,9,13,0.406400,0.585682
96,96,10,8,14,0.373608,0.623310
97,97,9,9,14,0.414833,0.619804
98,98,10,10,13,0.453068,0.589622
99,99,17,8,13,0.373635,0.588942
100,100,1,8,11,0.382335,0.519066
101,101,2,10,12,0.444612,0.558978
102,102,21,8,15,0.365701,0.675246
103,103,6,10,14,0.452166,0.624384
104,104,4,10,11,0.463152,0.499089
105,105,4,11,12,0.488731,0.543081
106,106,4,8,12,0.371849,0.550205
107,107,2,9,11,0.426474,0.516445
108,108,6,13,20,0.575030,0.881189
109,109,34,12,19,0.549676,0.846784
110,110,18,13,19,0.581278,0.849306
111,111,8,12,20,0.553027,0.882585
112,112,13,12,18,0.547523,0.813428
113,113,9,13,18,0.577327,0.812438
114,114,8,11,19,0.505029,0.842778
115,115,1,12,21,0.561853,0.914210
116,116,1,11,18,0.503761,0.825085
117,117,1,14,18,0.621044,0.798871
118,118,35,7,15,0.326168,0.674633
119,119,2,7,14,0.322382,0.614744
120,120,15,8,16,0.369916,0.707739
121,121,4,6,16,0.280462,0.709767
122,122,12,7,16,0.322939,0.710141
123,123,6,6,15,0.286318,0.681025
124,124,9,9,15,0.410089,0.681842
125,125,7,9,16,0.425218,0.710966
126,126,5,7,17,0.317884,0.771170
127,127,1,8,17,0.368721,0.742132
128,128,18,17,5,0.762295,0.234479
129,129,19,16,4,0.721901,0.197752
130,130,25,17,4,0.759589,0.200330
131,131,6,17,3,0.757804,0.154660
132,132,7,17,6,0.755191,0.281685
133,133,9,16,5,0.719508,0.233877
134,134,11,16,3,0.712544,0.144440
135,135,1,15,4,0.690298,0.186665
136,136,9,16,6,0.714566,0.290400
137,137,1,15,5,0.683195,0.222688
138,138,3,15,3,0.689029,0.146923
139,139,2,21,9,0.914675,0.417215
140,140,25,19,9,0.849011,0.417044
141,141,18,20,10,0.886282,0.457103
142,142,6,18,10,0.807257,0.451165
143,143,25,19,10,0.848287,0.453824
144,144,9,20,9,0.884652,0.422040
145,145,6,18,11,0.798167,0.502013
146,146,5,18,9,0.813111,0.421857
147,147,12,20,11,0.894092,0.505769
148,148,7,19,11,0.860551,0.494073
149,149,2,18,8,0.799928,0.388042
150,150,26,10,5,0.461478,0.238802
151,151,23,11,5,0.495801,0.239577
152,152,8,11,4,0.502556,0.209824
153,153,8,9,5,0.419255,0.236323
154,154,12,10,4,0.458487,0.202992
155,155,1,9,3,0.432478,0.161974
156,156,4,9,6,0.420048,0.273740
157,157,5,10,6,0.457101,0.270446
158,158,19,11,9,0.500036,0.418419
159,159,7,12,10,0.536304,0.450851
160,160,9,10,9,0.468387,0.413499
