X,Y,Cl
0.817395,0.077852,1
0.876804,0.138456,1
0.825288,0.096829,1
0.823930,0.039722,1
0.843280,0.055376,1
0.781494,0.074878,1
0.825542,0.120441,1
0.802712,0.096741,1
0.888686,0.111521,1
0.842941,0.099540,1
0.870015,0.153673,1
0.879605,0.029490,1
0.895985,0.098753,1
0.833945,0.075053,1
0.826646,0.092894,1
0.755015,0.074529,1
0.835727,0.076452,1
0.860509,0.077327,1
0.848118,0.099977,1
0.795753,0.078027,1
0.807041,0.116243,1
0.827579,0.074004,1
0.852362,0.043920,1
0.816376,0.097878,1
0.845911,0.117293,1
0.831314,0.098228,1
0.902011,0.105312,1
0.801609,0.091932,1
0.893948,0.091669,1
0.840480,0.083973,1
0.835387,0.101814,1
0.817310,0.089745,1
0.874258,0.090970,1
0.823506,0.154110,1
0.824694,0.074091,1
0.813321,0.050129,1
0.825882,0.146240,1
0.808823,0.092456,1
0.852786,0.119304,1
0.816292,0.108897,1
0.821469,0.099103,1
0.848542,0.066133,1
0.809502,0.066221,1
0.832332,0.114144,1
0.841923,0.069019,1
0.879011,0.039635,1
0.795753,0.134871,1
0.801948,0.062635,1
0.842262,0.115194,1
0.893609,0.075840,1
0.870694,0.083798,1
0.819771,0.094730,1
0.838018,0.149038,1
0.863565,0.117118,1
0.807804,0.097441,1
0.819177,0.079863,1
0.833351,0.126038,1
0.831059,0.137407,1
0.894118,0.123852,1
0.790915,0.055814,1
0.801609,0.075578,1
0.834624,0.042696,1
0.866790,0.127000,1
0.789812,0.044970,1
0.834963,0.046894,1
0.811708,0.132772,1
0.807125,0.090970,1
0.874004,0.119479,1
0.838952,0.073654,1
0.880878,0.069719,1
0.810096,0.069019,1
0.847185,0.057825,1
0.824863,0.071205,1
0.833351,0.046894,1
0.835557,0.086859,1
0.748480,0.077240,1
0.915506,0.097091,1
0.819941,0.036137,1
0.824863,0.071030,1
0.834454,0.101027,1
0.897598,0.071205,1
0.802882,0.087209,1
0.822487,0.068407,1
0.824524,0.085897,1
0.808144,0.027217,1
0.862546,0.071817,1
0.847779,0.108198,1
0.801948,0.115981,1
0.810945,0.029141,1
0.868996,0.114057,1
0.820959,0.084760,1
0.800421,0.079863,1
0.841159,0.086947,1
0.865092,0.085635,1
0.882745,0.074791,1
0.857369,0.050042,1
0.825203,0.061148,1
0.801863,0.119217,1
0.845148,0.094817,1
0.853295,0.146677,1
0.575428,0.337935,2
0.563122,0.336449,2
0.555823,0.257129,2
0.548185,0.320270,2
0.538255,0.264738,2
0.509738,0.299806,2
0.529852,0.306015,2
0.538594,0.298844,2
0.586376,0.258441,2
0.570506,0.309076,2
0.527815,0.306802,2
0.518819,0.263776,2
0.530871,0.326741,2
0.533926,0.298844,2
0.556672,0.296833,2
0.558199,0.339072,2
0.524081,0.360148,2
0.539528,0.310825,2
0.539188,0.277243,2
0.512539,0.323681,2
0.524845,0.300768,2
0.579841,0.292023,2
0.511860,0.292285,2
0.485889,0.270422,2
0.549967,0.304266,2
0.553446,0.237452,2
0.506937,0.352278,2
0.500487,0.264563,2
0.576107,0.309601,2
0.554635,0.322806,2
0.542923,0.371430,2
0.510672,0.278730,2
0.574325,0.304703,2
0.533672,0.315722,2
0.540801,0.285639,2
0.545638,0.294122,2
0.576277,0.234829,2
0.488011,0.264825,2
0.540292,0.311350,2
0.553362,0.308202,2
0.565923,0.306715,2
0.560915,0.291411,2
0.570675,0.317996,2
0.607509,0.301468,2
0.554380,0.298757,2
0.519753,0.327703,2
0.515679,0.297270,2
0.558199,0.314148,2
0.543517,0.290886,2
0.503967,0.290449,2
0.566007,0.295346,2
0.550221,0.295696,2
0.490387,0.238327,2
0.514576,0.350703,2
0.537406,0.270772,2
0.543686,0.270510,2
0.536472,0.323681,2
0.555059,0.308202,2
0.506089,0.318259,2
0.470103,0.286251,2
0.510756,0.311000,2
0.513642,0.320008,2
0.480373,0.293247,2
0.551155,0.310125,2
0.545978,0.313361,2
0.514576,0.264913,2
0.577041,0.302342,2
0.527221,0.314935,2
0.573900,0.286951,2
0.516443,0.281616,2
0.562443,0.315460,2
0.513133,0.282578,2
0.538424,0.255817,2
0.494631,0.272871,2
0.536727,0.234479,2
0.540207,0.295783,2
0.547336,0.285551,2
0.537491,0.255643,2
0.574919,0.319221,2
0.530956,0.307502,2
0.571524,0.239639,2
0.544365,0.296920,2
0.538679,0.313886,2
0.542244,0.292198,2
0.547336,0.302517,2
0.608613,0.336886,2
0.555908,0.335574,2
0.521875,0.291236,2
0.542753,0.304966,2
0.593421,0.304179,2
0.527646,0.338285,2
0.517207,0.296308,2
0.531720,0.284764,2
0.591893,0.304179,2
0.523911,0.375452,2
0.495225,0.318171,2
0.573221,0.332601,2
0.568723,0.302779,2
0.510247,0.302867,2
0.566262,0.354376,2
0.203524,0.230544,3
0.156506,0.254681,3
0.176790,0.314411,3
0.211672,0.232468,3
0.183410,0.275932,3
0.159052,0.282316,3
0.174498,0.235703,3
0.172122,0.197049,3
0.173310,0.221449,3
0.193255,0.251008,3
0.181203,0.289837,3
0.223299,0.279954,3
0.219395,0.254243,3
0.213539,0.277593,3
0.175686,0.268411,3
0.194273,0.251183,3
0.230683,0.269810,3
0.206749,0.208331,3
0.193509,0.271646,3
0.227882,0.215677,3
0.182391,0.238414,3
0.218801,0.257217,3
0.195546,0.231418,3
0.232550,0.277856,3
0.194188,0.257567,3
0.195886,0.238152,3
0.219395,0.298932,3
0.232804,0.279342,3
0.209889,0.278817,3
0.184258,0.291848,3
0.184428,0.247335,3
0.230937,0.271996,3
0.224402,0.228620,3
0.211332,0.309426,3
0.181033,0.296483,3
0.185362,0.254768,3
0.217867,0.251008,3
0.218716,0.278643,3
0.251476,0.236316,3
0.199959,0.202909,3
0.247063,0.207106,3
0.166351,0.231943,3
0.227797,0.198886,3
0.184937,0.204745,3
0.194528,0.204133,3
0.239594,0.219525,3
0.170764,0.266137,3
0.164483,0.251970,3
0.268026,0.206232,3
0.241122,0.328840,3
0.218631,0.237015,3
0.177044,0.244886,3
0.225166,0.283015,3
0.163295,0.226783,3
0.190539,0.281703,3
0.146745,0.255905,3
0.178487,0.253281,3
0.154808,0.283015,3
0.247317,0.203521,3
0.116956,0.226958,3
0.154299,0.258529,3
0.198262,0.281966,3
0.171443,0.266837,3
0.231871,0.233779,3
0.194443,0.269460,3
0.224911,0.223110,3
0.178317,0.224160,3
0.182137,0.220399,3
0.184852,0.201772,3
0.188077,0.266399,3
0.224742,0.269985,3
0.276768,0.238589,3
0.222196,0.241738,3
0.206325,0.248034,3
0.246044,0.261152,3
0.223214,0.231418,3
0.234417,0.272084,3
0.179251,0.238589,3
0.236539,0.302430,3
0.224487,0.228532,3
0.213624,0.228970,3
0.161683,0.250308,3
0.234077,0.263163,3
0.268196,0.204570,3
0.189351,0.223110,3
0.227712,0.247859,3
0.201317,0.245323,3
0.181458,0.189878,3
0.225421,0.254593,3
0.191048,0.265000,3
0.162871,0.302692,3
0.217443,0.242875,3
0.205137,0.252232,3
0.213369,0.205270,3
0.231446,0.261327,3
0.168133,0.289924,3
0.217782,0.290274,3
0.198941,0.217601,3
0.178996,0.275582,3
0.180609,0.273745,3
0.780052,0.797586,4
0.804325,0.788753,4
0.774705,0.809567,4
0.772583,0.804319,4
0.867893,0.799335,4
0.859236,0.763479,4
0.812218,0.802920,4
0.768255,0.750886,4
0.753572,0.732259,4
0.867214,0.794700,4
0.831483,0.828719,4
0.850664,0.854342,4
0.780391,0.826183,4
0.773771,0.766278,4
0.791509,0.815163,4
0.784125,0.797673,4
0.800590,0.789278,4
0.801015,0.794787,4
0.812303,0.794875,4
0.810011,0.790327,4
0.802712,0.736281,4
0.780646,0.786042,4
0.758070,0.773973,4
0.819262,0.822072,4
0.810096,0.808080,4
0.768509,0.852068,4
0.810011,0.750274,4
0.822911,0.798897,4
0.783107,0.798198,4
0.804070,0.773099,4
0.778015,0.748437,4
0.837000,0.763741,4
0.802203,0.781407,4
0.772668,0.783856,4
0.840140,0.758932,4
0.813406,0.771875,4
0.804664,0.785080,4
0.787605,0.757532,4
0.801779,0.749924,4
0.753572,0.805194,4
0.804325,0.792863,4
0.852531,0.839475,4
0.853889,0.767152,4
0.850240,0.767414,4
0.776232,0.765578,4
0.845232,0.795924,4
0.812982,0.766627,4
0.826646,0.791639,4
0.800336,0.783156,4
0.752299,0.738205,4
0.778779,0.768551,4
0.812133,0.807205,4
0.784041,0.874106,4
0.870269,0.760856,4
0.831908,0.772049,4
0.808144,0.790939,4
0.851173,0.812890,4
0.791170,0.756221,4
0.790236,0.780183,4
0.852192,0.771087,4
0.794649,0.783156,4
0.802627,0.807730,4
0.796517,0.758757,4
0.824015,0.822072,4
0.842007,0.769426,4
0.798214,0.764529,4
0.811793,0.794175,4
0.833181,0.779133,4
0.803137,0.742928,4
0.857963,0.793738,4
0.819686,0.704886,4
0.801100,0.798810,4
0.792443,0.790065,4
0.855247,0.806418,4
0.782089,0.789627,4
0.757561,0.812365,4
0.802882,0.842624,4
0.878672,0.791726,4
0.839546,0.769776,4
0.808823,0.809042,4
0.789133,0.782106,4
0.834114,0.791814,4
0.810351,0.750711,4
0.831738,0.787791,4
0.825542,0.801171,4
0.805343,0.776072,4
0.800421,0.831867,4
0.820790,0.760593,4
0.817989,0.790589,4
0.789557,0.770913,4
0.751365,0.800471,4
0.840819,0.741441,4
0.833775,0.809479,4
0.806616,0.785779,4
0.814424,0.771087,4
0.796771,0.763479,4
0.791679,0.787179,4
0.803137,0.757445,4
0.808059,0.790065,4
0.839970,0.771000,4
0.042694,0.674977,5
0.106686,0.610262,5
0.039554,0.615160,5
0.089203,0.574494,5
0.104819,0.698327,5
0.074435,0.649004,5
0.055170,0.624954,5
0.121284,0.590586,5
0.070277,0.665357,5
0.120775,0.594521,5
0.143351,0.659498,5
0.074605,0.620494,5
0.116871,0.614810,5
0.126376,0.618570,5
0.067985,0.635361,5
0.065185,0.636935,5
0.053472,0.630027,5
0.080801,0.615597,5
0.105159,0.645943,5
0.115513,0.625479,5
0.051520,0.655038,5
0.047871,0.638772,5
0.052369,0.626266,5
0.120520,0.683285,5
0.081734,0.610262,5
0.077745,0.651190,5
0.079782,0.625392,5
0.067476,0.592247,5
0.088609,0.597844,5
0.098539,0.599681,5
0.104565,0.638859,5
0.156166,0.609825,5
0.096841,0.636323,5
0.090306,0.634574,5
0.090731,0.608601,5
0.103546,0.589886,5
0.120435,0.610875,5
0.074945,0.620932,5
0.084280,0.642445,5
0.100576,0.668068,5
0.113561,0.675764,5
0.093701,0.606852,5
0.124255,0.572221,5
0.076897,0.603441,5
0.069089,0.613586,5
0.082413,0.649179,5
0.050162,0.660897,5
0.114834,0.611049,5
0.061535,0.618920,5
0.048125,0.657574,5
0.110760,0.624430,5
0.120266,0.661247,5
0.092683,0.594696,5
0.076472,0.620407,5
0.062384,0.593209,5
0.094210,0.646643,5
0.152601,0.604840,5
0.133336,0.673578,5
0.091749,0.651540,5
0.058140,0.630289,5
0.076133,0.624517,5
0.088185,0.610437,5
0.039129,0.679350,5
0.039214,0.653551,5
0.120011,0.578167,5
0.088948,0.562863,5
0.034292,0.651802,5
0.161258,0.621894,5
0.036753,0.622243,5
0.053048,0.611487,5
0.102952,0.558753,5
0.094550,0.593384,5
0.159815,0.615422,5
0.066373,0.603616,5
0.140125,0.620232,5
0.118993,0.623118,5
0.129941,0.641483,5
0.089373,0.603441,5
0.072908,0.636760,5
0.109572,0.633875,5
0.104819,0.672616,5
0.120860,0.636061,5
0.027672,0.633612,5
0.100491,0.613323,5
0.088609,0.629065,5
0.121793,0.626966,5
0.101339,0.579217,5
0.097266,0.650228,5
0.093022,0.667369,5
0.151244,0.687046,5
0.127140,0.622943,5
0.047616,0.666407,5
0.098454,0.659061,5
0.069852,0.633612,5
0.098030,0.634137,5
0.079528,0.552719,5
0.068919,0.640696,5
0.105583,0.604141,5
0.000258,0.641221,5
0.135458,0.635099,5
0.929170,0.259753,6
0.902011,0.285639,6
0.884358,0.264913,6
0.876295,0.210692,6
0.841753,0.241475,6
0.865941,0.251970,6
0.934856,0.255380,6
0.875871,0.231331,6
0.900653,0.212791,6
0.878756,0.219437,6
0.850664,0.171601,6
0.902011,0.215852,6
0.884188,0.251882,6
0.915675,0.284240,6
0.868232,0.254418,6
0.843535,0.216376,6
0.898446,0.246548,6
0.888771,0.260278,6
0.875786,0.245673,6
0.884697,0.288525,6
0.875362,0.250046,6
0.870185,0.226783,6
0.985015,0.229582,6
0.861782,0.252144,6
0.824269,0.228445,6
0.853550,0.241825,6
0.924247,0.283977,6
0.875107,0.301730,6
0.877993,0.200285,6
0.845317,0.218913,6
0.900993,0.205970,6
0.835133,0.261065,6
0.900059,0.314498,6
0.878417,0.314760,6
0.880539,0.225297,6
0.923483,0.266574,6
0.890723,0.240951,6
0.907697,0.255643,6
0.858218,0.222935,6
0.886395,0.315460,6
0.898277,0.207456,6
0.878077,0.248646,6
0.891911,0.270510,6
0.853125,0.274970,6
0.899125,0.296395,6
0.911941,0.229757,6
0.891063,0.250395,6
0.884613,0.253281,6
0.886649,0.292460,6
0.912535,0.240338,6
0.892506,0.213053,6
0.843026,0.294034,6
0.843535,0.260890,6
0.916779,0.276456,6
0.888856,0.239202,6
0.878926,0.249521,6
0.880878,0.249696,6
0.904133,0.274095,6
0.857878,0.262989,6
0.888601,0.250833,6
0.873410,0.210167,6
0.914232,0.223635,6
0.932904,0.272521,6
0.855077,0.274183,6
0.874004,0.245061,6
0.894373,0.275407,6
0.900738,0.214452,6
0.900823,0.249171,6
0.885970,0.174137,6
0.889959,0.224422,6
0.931801,0.260278,6
0.889959,0.262989,6
0.922295,0.257741,6
0.910074,0.249958,6
0.890893,0.224335,6
0.887244,0.272433,6
0.864244,0.260103,6
0.867469,0.341696,6
0.923568,0.277331,6
0.840225,0.274620,6
0.878417,0.252494,6
0.905151,0.229757,6
0.926199,0.273395,6
0.902945,0.248209,6
0.885801,0.202734,6
0.898277,0.336973,6
0.858218,0.259665,6
0.892336,0.242875,6
0.884528,0.252757,6
0.866705,0.228095,6
0.866535,0.251095,6
0.891063,0.257829,6
0.880963,0.194951,6
0.875022,0.299369,6
0.880284,0.195388,6
0.842686,0.229669,6
0.855926,0.253806,6
0.845232,0.263688,6
0.868063,0.250658,6
0.846336,0.256692,6
0.628557,0.920719,7
0.672011,0.893783,7
0.679140,0.836589,7
0.647653,0.894046,7
0.690683,0.900255,7
0.749838,0.879266,7
0.670314,0.913285,7
0.685760,0.928677,7
0.686779,0.922118,7
0.742369,0.906551,7
0.689749,0.881103,7
0.734391,0.900517,7
0.662251,0.934798,7
0.638572,0.911011,7
0.619900,0.919494,7
0.710712,0.942319,7
0.694926,0.919407,7
0.728875,0.929901,7
0.671247,0.864487,7
0.638657,0.924829,7
0.656310,0.915909,7
0.696708,0.919144,7
0.690173,0.933312,7
0.688137,0.882939,7
0.696793,0.876468,7
0.693738,0.895707,7
0.714871,0.915297,7
0.726328,0.863962,7
0.696624,0.874981,7
0.633904,0.871395,7
0.720303,0.965932,7
0.651982,0.903490,7
0.650454,0.933574,7
0.663609,0.902966,7
0.665221,0.849445,7
0.659959,0.865361,7
0.627369,0.857753,7
0.694926,0.870346,7
0.664203,0.919669,7
0.668616,0.867110,7
0.688137,0.914335,7
0.710967,0.885650,7
0.698406,0.876992,7
0.743812,0.944243,7
0.655376,0.877954,7
0.678207,0.910224,7
0.674557,0.880753,7
0.660469,0.891335,7
0.696030,0.870084,7
0.666494,0.893696,7
0.678631,0.919669,7
0.694841,0.850144,7
0.690683,0.906989,7
0.644343,0.918882,7
0.703753,0.902441,7
0.659535,0.976251,7
0.656055,0.884076,7
0.691531,0.944331,7
0.658007,0.876643,7
0.727007,0.979137,7
0.716144,0.857403,7
0.654443,0.991905,7
0.649520,0.887749,7
0.646041,0.911711,7
0.675576,0.889411,7
0.699764,0.915384,7
0.672945,0.933749,7
0.700273,0.895095,7
0.687458,0.905589,7
0.613365,0.905502,7
0.656140,0.880141,7
0.643410,0.886000,7
0.661402,0.922205,7
0.663185,0.935673,7
0.673454,0.930163,7
0.685166,0.899817,7
0.676424,0.889673,7
0.667852,0.890985,7
0.715974,0.906464,7
0.745594,0.913460,7
0.669889,0.946080,7
0.668786,0.887049,7
0.703838,0.893696,7
0.675830,0.895095,7
0.709185,0.903490,7
0.684827,0.902004,7
0.707148,0.920019,7
0.698236,0.892909,7
0.675830,0.901829,7
0.674048,0.867548,7
0.673708,0.874544,7
0.685506,0.904365,7
0.697812,0.898593,7
0.656989,0.902703,7
0.673454,0.907688,7
0.638402,0.887312,7
0.734561,0.917570,7
0.659959,0.906639,7
0.684572,0.880228,7
0.650539,0.909612,7
0.392022,0.547821,8
0.399491,0.557791,8
0.408827,0.576331,8
0.392871,0.577205,8
0.410185,0.576681,8
0.414683,0.581403,8
0.404413,0.545722,8
0.359007,0.624867,8
0.404413,0.554118,8
0.418417,0.602741,8
0.468661,0.579916,8
0.411373,0.540913,8
0.374539,0.552631,8
0.380055,0.502608,8
0.399151,0.570734,8
0.436240,0.588837,8
0.443369,0.547559,8
0.372502,0.646905,8
0.373690,0.557266,8
0.407554,0.539163,8
0.386081,0.592597,8
0.426649,0.604228,8
0.448376,0.582015,8
0.444727,0.635361,8
0.385148,0.597582,8
0.405347,0.576506,8
0.407978,0.604316,8
0.372417,0.630901,8
0.452535,0.595833,8
0.438531,0.552544,8
0.422830,0.552281,8
0.422236,0.608601,8
0.385572,0.552631,8
0.412476,0.540738,8
0.415616,0.573445,8
0.468745,0.503046,8
0.420963,0.543274,8
0.376576,0.599331,8
0.448886,0.569160,8
0.367155,0.584202,8
0.410863,0.583677,8
0.486144,0.547734,8
0.399491,0.613935,8
0.359771,0.565749,8
0.389985,0.577643,8
0.426140,0.535403,8
0.351114,0.590148,8
0.419605,0.547122,8
0.401697,0.563563,8
0.358923,0.608776,8
0.411882,0.573008,8
0.381498,0.604403,8
0.389815,0.595221,8
0.414852,0.596970,8
0.412137,0.597844,8
0.347635,0.544148,8
0.366561,0.552106,8
0.441756,0.540213,8
0.414937,0.540738,8
0.465605,0.563825,8
0.478336,0.544760,8
0.374369,0.583065,8
0.431317,0.541700,8
0.417823,0.543798,8
0.459579,0.588487,8
0.431742,0.565399,8
0.433100,0.606327,8
0.366731,0.581141,8
0.405941,0.551319,8
0.454657,0.583502,8
0.408827,0.523684,8
0.459070,0.596532,8
0.385657,0.564962,8
0.369362,0.589624,8
0.379970,0.598894,8
0.387185,0.515289,8
0.358838,0.594696,8
0.403310,0.578167,8
0.388458,0.542749,8
0.400424,0.585076,8
0.407299,0.567586,8
0.354849,0.537065,8
0.367325,0.587350,8
0.406790,0.596532,8
0.433524,0.573095,8
0.389815,0.562601,8
0.391852,0.525958,8
0.378103,0.586738,8
0.385232,0.598544,8
0.398387,0.574057,8
0.460258,0.598369,8
0.428432,0.500072,8
0.405517,0.635973,8
0.456439,0.574407,8
0.395841,0.562688,8
0.403904,0.595221,8
0.379631,0.567236,8
0.390919,0.555867,8
0.368004,0.570734,8
0.420284,0.499722,8
0.565159,0.865973,9
0.554210,0.826620,9
0.594609,0.863962,9
