X,Y
0.818066,0.108364
0.877257,0.166963
0.825930,0.126713
0.824577,0.071496
0.843857,0.086632
0.782298,0.105489
0.826184,0.149544
0.803438,0.126629
0.889096,0.140919
0.843518,0.129335
0.870493,0.181676
0.880048,0.061603
0.896368,0.128574
0.834555,0.105658
0.827283,0.122908
0.755915,0.105151
0.836331,0.107011
0.861022,0.107857
0.848676,0.129757
0.796504,0.108533
0.807750,0.145485
0.828213,0.104643
0.852904,0.075555
0.817051,0.127728
0.846478,0.146500
0.831934,0.128066
0.902371,0.134915
0.802338,0.121978
0.894338,0.121724
0.841066,0.114283
0.835993,0.131533
0.817982,0.119864
0.874721,0.121048
0.824154,0.182099
0.825338,0.104728
0.814007,0.081559
0.826522,0.174489
0.809526,0.122485
0.853327,0.148445
0.816967,0.138382
0.822125,0.128912
0.849099,0.097033
0.810202,0.097118
0.832949,0.143456
0.842504,0.099824
0.879456,0.071412
0.796504,0.163496
0.802676,0.093651
0.842842,0.144471
0.894000,0.106419
0.871169,0.114114
0.820434,0.124684
0.838614,0.177195
0.864066,0.146331
0.808511,0.127305
0.819842,0.110309
0.833963,0.154956
0.831680,0.165949
0.894507,0.152842
0.791684,0.087055
0.802338,0.106165
0.835232,0.074371
0.867279,0.155886
0.790585,0.076570
0.835570,0.078430
0.812401,0.161467
0.807835,0.121048
0.874467,0.148614
0.839544,0.104305
0.881316,0.100500
0.810794,0.099824
0.847746,0.089000
0.825507,0.101938
0.833963,0.078430
0.836162,0.117074
0.749404,0.107772
0.915816,0.126967
0.820603,0.068029
0.825507,0.101768
0.835062,0.130772
0.897974,0.101938
0.803607,0.117412
0.823140,0.099232
0.825169,0.116143
0.808849,0.059404
0.863051,0.102529
0.848338,0.137706
0.802676,0.145232
0.811640,0.061265
0.869478,0.143371
0.821618,0.115044
0.801154,0.110309
0.841743,0.117158
0.865588,0.115890
0.883176,0.105404
0.857893,0.081474
0.825846,0.092213
0.802592,0.148360
0.845717,0.124768
0.853835,0.174912
0.576989,0.359842
0.564728,0.358404
0.557456,0.281710
0.549846,0.342761
0.539952,0.289066
0.511540,0.322974
0.531581,0.328978
0.540290,0.322044
0.587897,0.282978
0.572085,0.331938
0.529551,0.329739
0.520588,0.288136
0.532596,0.349018
0.535640,0.322044
0.558301,0.320099
0.559824,0.360941
0.525831,0.381320
0.541221,0.333629
0.540882,0.301158
0.514331,0.346059
0.526592,0.323904
0.581386,0.315449
0.513654,0.315702
0.487779,0.294563
0.551621,0.327287
0.555088,0.262684
0.508750,0.373710
0.502324,0.288897
0.577665,0.332445
0.556272,0.345213
0.544603,0.392228
0.512471,0.302596
0.575890,0.327710
0.535386,0.338364
0.542489,0.309276
0.547309,0.317478
0.577835,0.260147
0.489893,0.289151
0.541982,0.334136
0.555004,0.331092
0.567518,0.329654
0.562529,0.314857
0.572254,0.340563
0.608952,0.324581
0.556018,0.321960
0.521518,0.349949
0.517460,0.320522
0.559824,0.336842
0.545195,0.314349
0.505790,0.313926
0.567603,0.318662
0.551875,0.319000
0.492261,0.263529
0.516360,0.372188
0.539107,0.294901
0.545364,0.294647
0.538176,0.346059
0.556695,0.331092
0.507904,0.340816
0.472051,0.309868
0.512555,0.333798
0.515430,0.342507
0.482283,0.316632
0.552805,0.332952
0.547647,0.336081
0.516360,0.289235
0.578596,0.325426
0.528960,0.337603
0.575467,0.310544
0.518221,0.305386
0.564051,0.338110
0.514923,0.306316
0.540121,0.280441
0.496489,0.296930
0.538430,0.259809
0.541897,0.319085
0.549000,0.309191
0.539191,0.280272
0.576482,0.341746
0.532680,0.330415
0.573099,0.264798
0.546040,0.320184
0.540375,0.336588
0.543926,0.315618
0.549000,0.325596
0.610051,0.358827
0.557540,0.357559
0.523632,0.314688
0.544434,0.327963
0.594915,0.327202
0.529382,0.360180
0.518982,0.319592
0.533441,0.308430
0.593393,0.327202
0.525662,0.396118
