cell-id,cell-label,number-points,CM-0,CM-1,qty-cells-cluster-greater-equal-3,gCluster-label, ground-truth-cell-label
0,0,14,0.816486,0.072548,9,0,1
1,1,4,0.870291,0.125513,1,-1,1
2,2,14,0.814188,0.09448,9,0,1
3,3,4,0.817034,0.038782,9,-1,1
4,4,5,0.839716,0.047156,9,-1,1
5,5,2,0.788624,0.076452,1,-1,1
6,6,6,0.809601,0.120339,9,-1,11
7,7,4,0.895158,0.101814,1,-1,1
8,8,10,0.839419,0.099155,9,0,1
9,9,1,0.870015,0.153673,1,-1,1
10,10,3,0.871995,0.039722,1,-1,1
11,11,7,0.840965,0.07173,9,0,1
12,12,4,0.753317,0.072167,11,-1,1
13,13,6,0.870411,0.077181,9,-1,1
14,14,5,0.841074,0.123047,9,-1,1
15,15,2,0.871627,0.102513,1,-1,1
16,16,4,0.814721,0.156712,1,-1,11
17,17,1,0.795753,0.134871,1,-1,1
18,18,2,0.895603,0.073523,1,-1,1
19,19,2,0.845657,0.147857,1,-1,1
20,20,1,0.894118,0.123852,1,-1,1
21,21,2,0.790363,0.050392,1,-1,1
22,22,1,0.915506,0.097091,1,-1,1
23,23,1,0.808144,0.027217,1,-1,1
24,24,3,0.574523,0.329919,12,-1,2
25,25,7,0.559024,0.326804,12,16,2
26,26,2,0.554635,0.247291,1,-1,2
27,27,8,0.529651,0.274183,12,16,2
28,28,5,0.509314,0.299281,12,-1,2
29,29,15,0.532297,0.302173,12,16,2
30,30,1,0.586376,0.258441,1,-1,2
31,31,18,0.554885,0.302187,12,16,2
32,32,6,0.529272,0.324511,12,-1,2
33,33,2,0.519328,0.355426,1,-1,2
34,34,4,0.506874,0.320029,12,-1,2
35,35,7,0.580933,0.300568,12,-1,2
36,36,8,0.50019,0.271395,12,-1,2
37,37,4,0.501527,0.359339,1,-1,14
38,38,2,0.54636,0.383848,1,-1,14
39,39,2,0.5739,0.237234,1,-1,2
40,40,1,0.607509,0.301468,1,-1,2
41,41,6,0.497106,0.236578,9,-1,13
42,42,2,0.545511,0.27803,12,-1,2
43,43,3,0.473187,0.296862,1,-1,2
44,44,6,0.531182,0.246956,12,-1,13
45,45,1,0.608613,0.336886,1,-1,2
46,46,5,0.524183,0.385737,10,-1,14
47,47,2,0.554762,0.352496,1,-1,14
48,48,15,0.215859,0.241796,10,29,3
49,49,5,0.159154,0.248961,10,-1,3
50,50,1,0.17679,0.314411,1,-1,3
51,51,12,0.186684,0.271187,10,29,3
52,52,4,0.159731,0.272499,10,-1,3
53,53,11,0.185493,0.244067,10,29,3
54,54,2,0.17679,0.193464,1,-1,3
55,55,9,0.18737,0.213364,10,-1,3
56,56,3,0.182165,0.292722,10,-1,3
57,57,7,0.219164,0.275032,10,-1,3
58,58,8,0.23412,0.269591,10,-1,3
59,59,5,0.21948,0.216184,10,-1,3
60,60,3,0.21617,0.299544,1,-1,3
61,61,2,0.241673,0.235048,1,-1,3
62,62,4,0.247063,0.209402,1,-1,3
63,63,2,0.227203,0.191584,1,-1,3
64,64,3,0.271704,0.204366,12,-1,3
65,65,1,0.241122,0.32884,1,-1,3
66,66,2,0.153705,0.222629,1,-1,3
67,67,4,0.120732,0.218606,13,-1,30
68,68,1,0.276768,0.238589,1,-1,3
69,69,1,0.236539,0.30243,1,-1,3
70,70,2,0.165502,0.296308,1,-1,3
71,71,11,0.78553,0.788697,9,43,4
72,72,20,0.808292,0.788123,9,43,4
73,73,4,0.779797,0.813808,9,-1,4
74,74,4,0.867935,0.794875,1,-1,4
75,75,5,0.869013,0.751795,9,-1,24
76,76,9,0.813727,0.810033,9,-1,4
77,77,1,0.768255,0.750886,1,-1,4
78,78,2,0.752935,0.735232,1,-1,4
79,79,4,0.847736,0.844394,1,-1,4
80,80,10,0.786663,0.762027,9,-1,4
81,81,2,0.809884,0.736719,1,-1,24
82,82,1,0.75807,0.773973,1,-1,4
83,83,1,0.768509,0.852068,1,-1,4
84,84,8,0.809576,0.756199,9,43,4
85,85,8,0.844373,0.767316,9,43,4
86,86,3,0.754166,0.80601,1,-1,4
87,87,5,0.835235,0.785342,9,-1,4
88,88,3,0.785285,0.873174,1,-1,4
89,89,4,0.843514,0.811381,1,-1,4
90,90,2,0.822911,0.703968,1,-1,4
91,91,2,0.801651,0.837245,1,-1,4
92,92,8,0.843609,0.728389,10,-1,24
93,93,5,0.045545,0.667841,11,-1,5
94,94,8,0.098189,0.610186,11,57,5
95,95,5,0.047379,0.620022,11,-1,5
96,96,7,0.095496,0.589886,11,-1,5
97,97,1,0.104819,0.698327,1,-1,5
98,98,10,0.072186,0.640547,11,57,5
99,99,4,0.121581,0.583874,1,-1,5
100,100,1,0.070277,0.665357,1,-1,5
101,101,1,0.143351,0.659498,1,-1,5
102,102,11,0.074397,0.616106,11,57,5
103,103,9,0.122453,0.619338,11,-1,5
104,104,5,0.045274,0.645838,11,-1,5
105,105,10,0.097631,0.640119,11,57,5
106,106,4,0.12731,0.673578,1,-1,5
107,107,2,0.06493,0.592728,1,-1,5
108,108,6,0.15891,0.617025,1,-1,5
109,109,5,0.102086,0.668576,11,-1,5
110,110,3,0.095229,0.561435,1,-1,31
111,111,3,0.128753,0.637548,11,-1,5
112,112,2,0.013965,0.637416,1,-1,5
113,113,1,0.151244,0.687046,1,-1,5
114,114,4,0.079867,0.556479,1,-1,5
115,115,10,0.924612,0.271227,9,-1,6
116,116,8,0.893683,0.269897,9,-1,6
117,117,4,0.866174,0.261917,9,-1,6
118,118,8,0.872762,0.217962,9,-1,6
119,119,5,0.84805,0.244694,9,-1,6
120,120,16,0.875075,0.249417,9,69,6
121,121,1,0.934856,0.25538,1,-1,6
122,122,10,0.897606,0.21447,9,-1,6
123,123,1,0.850664,0.171601,1,-1,6
124,124,2,0.844426,0.217644,1,-1,6
125,125,13,0.900092,0.244126,9,69,6
126,126,3,0.878276,0.296541,1,-1,6
127,127,1,0.985015,0.229582,1,-1,6
128,128,3,0.81417,0.219117,1,-1,11
129,129,6,0.845388,0.268236,9,-1,6
130,130,3,0.89491,0.322311,1,-1,6
131,131,2,0.872943,0.328228,1,-1,6
132,132,2,0.892887,0.294428,1,-1,6
133,133,1,0.843026,0.294034,1,-1,6
134,134,1,0.88597,0.174137,1,-1,6
135,135,2,0.880624,0.195169,1,-1,6
136,136,2,0.624229,0.920106,1,-1,7
137,137,17,0.67296,0.898814,9,83,7
138,138,2,0.672181,0.843017,1,-1,7
139,139,9,0.647012,0.899293,9,83,7
140,140,10,0.697566,0.899476,9,83,7
141,141,2,0.760574,0.882065,1,-1,23
142,142,9,0.695567,0.923857,9,-1,7
143,143,3,0.730911,0.904511,1,-1,7
144,144,8,0.696454,0.87732,9,-1,7
145,145,7,0.66801,0.92799,9,83,7
146,146,3,0.726102,0.920923,1,-1,7
147,147,8,0.670589,0.872084,9,83,7
148,148,4,0.647441,0.923298,9,-1,7
149,149,2,0.721236,0.860683,1,-1,7
150,150,4,0.650369,0.878392,9,-1,7
151,151,1,0.720303,0.965932,1,-1,7
152,152,1,0.627369,0.857753,1,-1,7
153,153,2,0.74691,0.957798,1,-1,7
154,154,1,0.694841,0.850144,1,-1,7
155,155,1,0.659535,0.976251,1,-1,7
156,156,1,0.691531,0.944331,1,-1,7
157,157,1,0.727007,0.979137,1,-1,7
158,158,1,0.654443,0.991905,1,-1,7
159,159,1,0.613365,0.905502,1,-1,7
160,160,2,0.757391,0.907426,1,-1,23
161,161,1,0.669889,0.94608,1,-1,7
162,162,11,0.387848,0.559293,11,100,8
163,163,13,0.40914,0.583912,11,100,8
164,164,11,0.38514,0.58917,11,100,8
165,165,9,0.411665,0.552087,11,100,8
166,166,3,0.359884,0.612215,1,-1,8
167,167,4,0.41882,0.604971,11,-1,8
168,168,4,0.461892,0.590826,11,-1,8
169,169,6,0.413551,0.536773,11,-1,8
170,170,1,0.380055,0.502608,1,-1,8
171,171,6,0.446962,0.582948,11,-1,8
172,172,4,0.440632,0.558665,1,-1,8
173,173,4,0.378485,0.642642,1,-1,8
174,174,4,0.446509,0.645331,14,-1,29
175,175,1,0.468745,0.503046,1,-1,8
176,176,6,0.363421,0.58786,11,-1,8
177,177,1,0.486144,0.547734,1,-1,8
178,178,2,0.390494,0.609169,11,-1,8
179,179,4,0.360493,0.558184,11,-1,8
180,180,2,0.436537,0.540956,1,-1,8
181,181,2,0.47197,0.554293,1,-1,8
182,182,1,0.4331,0.606327,1,-1,8
183,183,3,0.389165,0.527999,1,-1,8
184,184,1,0.354849,0.537065,1,-1,8
185,185,2,0.424358,0.499897,1,-1,8
186,186,1,0.405517,0.635973,1,-1,8
187,187,14,0.558775,0.870952,9,-1,9
188,188,13,0.559165,0.818608,9,115,9
189,189,6,0.584665,0.869078,9,-1,9
190,190,19,0.557471,0.842734,9,115,9
191,191,3,0.52609,0.865769,1,-1,9
192,192,8,0.585358,0.818705,9,-1,9
193,193,4,0.583215,0.835562,9,-1,9
194,194,1,0.484107,0.837901,1,-1,9
195,195,3,0.507786,0.853847,1,-1,9
196,196,5,0.557401,0.794612,9,-1,9
197,197,1,0.638402,0.837027,1,-1,9
198,198,4,0.500084,0.823515,1,-1,9
199,199,1,0.576871,0.886175,1,-1,9
200,200,1,0.542244,0.904278,1,-1,9
201,201,6,0.52691,0.821212,9,-1,9
202,202,7,0.534763,0.84451,9,115,9
203,203,1,0.571779,0.797411,1,-1,9
204,204,1,0.560236,0.911274,1,-1,9
205,205,1,0.619646,0.791989,1,-1,9
206,206,2,0.532865,0.796055,1,-1,9
207,207,10,0.33212,0.651006,11,127,10
208,208,12,0.328383,0.674533,11,127,10
209,209,14,0.356461,0.670542,11,127,10
210,210,1,0.318609,0.603179,2,-1,10
211,211,10,0.359822,0.696937,11,127,10
212,212,6,0.384384,0.699318,11,-1,10
213,213,6,0.299159,0.698006,11,-1,10
214,214,9,0.302163,0.673928,11,127,10
215,215,6,0.305426,0.648771,11,-1,10
216,216,6,0.416423,0.678752,14,-1,29
217,217,7,0.327423,0.703612,11,127,10
218,218,6,0.382389,0.669439,11,-1,10
219,219,5,0.352286,0.64652,11,-1,10
220,220,2,0.266753,0.701563,1,-1,28
221,221,9,0.302182,0.759796,9,-1,28
222,222,1,0.321155,0.599943,2,-1,10
223,223,1,0.366391,0.733308,1,-1,10
224,224,8,0.759969,0.210987,10,132,11
225,225,4,0.707954,0.176651,10,-1,11
226,226,9,0.784748,0.18742,10,132,11
227,227,9,0.756788,0.161359,10,132,11
228,228,2,0.7781,0.242306,1,-1,11
229,229,11,0.730132,0.183773,10,132,11
230,230,4,0.784359,0.207959,10,-1,11
231,231,13,0.757097,0.187598,10,132,11
232,232,3,0.753374,0.12942,1,-1,11
233,233,1,0.740672,0.245935,1,-1,11
234,234,6,0.780434,0.160625,10,-1,11
235,235,4,0.727029,0.21137,10,-1,11
236,236,9,0.726508,0.162117,10,132,11
237,237,9,0.724508,0.09955,11,-1,25
238,238,3,0.701122,0.209905,1,-1,11
239,239,1,0.808399,0.171951,1,-1,11
240,240,5,0.69659,0.12749,11,-1,25
241,241,3,0.753629,0.235587,1,-1,11
242,242,2,0.701631,0.153542,1,-1,11
243,243,1,0.704686,0.239726,1,-1,11
244,244,1,0.682026,0.196087,1,-1,11
245,245,9,0.893581,0.413902,12,-1,12
246,246,9,0.840574,0.391884,12,142,12
247,247,12,0.868367,0.415659,12,142,12
248,248,4,0.809693,0.432515,1,-1,12
249,249,11,0.841776,0.441892,12,142,12
250,250,6,0.819403,0.409938,12,-1,12
251,251,5,0.873172,0.386017,12,-1,12
252,252,1,0.809332,0.469114,1,-1,12
253,253,1,0.795753,0.412532,1,-1,12
254,254,6,0.866846,0.472437,12,-1,18
255,255,9,0.846779,0.413941,12,142,12
256,256,5,0.896206,0.445292,12,-1,12
257,257,2,0.846803,0.461112,12,-1,12
258,258,11,0.870362,0.442083,12,142,12
259,259,1,0.915845,0.384023,1,-1,12
260,260,3,0.876804,0.502696,10,-1,18
261,261,1,0.909819,0.361722,1,-1,12
262,262,3,0.822459,0.382944,12,-1,12
263,263,2,0.855247,0.366095,1,-1,12
264,264,4,0.779182,0.356781,2,-1,27
265,265,1,0.808908,0.364171,1,-1,12
266,266,6,0.898461,0.476023,10,-1,12
267,267,1,0.819517,0.501996,1,-1,12
268,268,1,0.875956,0.368981,1,-1,12
269,269,4,0.786035,0.4943,1,-1,26
270,270,9,0.474667,0.238774,9,24,13
271,271,9,0.494612,0.211926,9,24,13
272,272,11,0.49693,0.18925,9,-1,13
273,273,6,0.414909,0.215079,1,-1,13
274,274,2,0.517037,0.221186,1,-1,13
275,275,1,0.433354,0.283015,1,-1,13
276,276,12,0.46941,0.190308,9,24,13
277,277,1,0.418332,0.19976,1,-1,13
278,278,7,0.439562,0.188704,9,-1,13
279,279,10,0.475145,0.217793,9,24,13
280,280,1,0.430384,0.133297,1,-1,13
281,281,2,0.416974,0.241082,1,-1,13
282,282,2,0.467345,0.162375,1,-1,13
283,283,6,0.447202,0.218096,9,-1,13
284,284,1,0.519074,0.183232,1,-1,13
285,285,2,0.439253,0.159838,1,-1,13
286,286,1,0.406365,0.265175,1,-1,13
287,287,6,0.446311,0.240411,9,-1,13
288,288,7,0.499044,0.38887,10,-1,14
289,289,1,0.552513,0.435095,1,-1,14
290,290,10,0.4699,0.41603,10,27,14
291,291,16,0.497771,0.414686,10,27,14
292,292,7,0.528652,0.41708,10,-1,14
293,293,5,0.471954,0.388448,10,-1,14
294,294,17,0.500038,0.438176,10,27,14
295,295,8,0.470994,0.4375,10,-1,14
296,296,3,0.534379,0.437252,10,-1,14
297,297,2,0.491448,0.508643,1,-1,14
298,298,3,0.469481,0.472029,1,-1,14
299,299,1,0.519668,0.457308,1,-1,14
300,300,2,0.437258,0.408772,1,-1,14
301,301,2,0.474644,0.35993,1,-1,14
302,302,1,0.454063,0.393118,1,-1,14
303,303,1,0.553531,0.403525,1,-1,14
304,304,4,0.502248,0.474864,10,-1,14
305,305,1,0.449904,0.467278,1,-1,14
306,306,17,0.644413,0.588785,11,174,15
307,307,12,0.616619,0.618104,11,174,15
308,308,1,0.685845,0.608513,11,-1,15
309,309,2,0.61171,0.558971,1,-1,15
310,310,2,0.68941,0.63676,1,-1,15
311,311,11,0.645585,0.617457,11,174,15
312,312,10,0.671867,0.61049,11,174,15
313,313,7,0.672326,0.587762,11,-1,15
314,314,8,0.666834,0.640357,11,-1,15
315,315,10,0.621046,0.587149,11,-1,15
316,316,2,0.664585,0.561464,1,-1,15
317,317,1,0.580435,0.612361,1,-1,15
318,318,1,0.677273,0.698065,1,-1,15
319,319,4,0.637723,0.556632,11,-1,15
320,320,2,0.589601,0.595308,1,-1,15
321,321,3,0.618118,0.636615,11,-1,15
322,322,1,0.591214,0.554205,1,-1,15
