cell-id,cell-label,number-points,CM-0,CM-1,qty-cells-cluster-greater-equal-3,gCluster-label, ground-truth-cell-label
0,0,14,0.816486,0.072548,9,0,1
2,2,14,0.814188,0.09448,9,0,1
3,3,4,0.817034,0.038782,9,0,1
4,4,5,0.839716,0.047156,9,0,1
6,6,6,0.809601,0.120339,9,0,11
8,8,10,0.839419,0.099155,9,0,1
11,11,7,0.840965,0.07173,9,0,1
12,12,4,0.753317,0.072167,11,6,1
13,13,6,0.870411,0.077181,9,0,1
14,14,5,0.841074,0.123047,9,0,1
24,24,3,0.574523,0.329919,12,16,2
25,25,7,0.559024,0.326804,12,16,2
27,27,8,0.529651,0.274183,12,16,2
28,28,5,0.509314,0.299281,12,16,2
29,29,15,0.532297,0.302173,12,16,2
31,31,18,0.554885,0.302187,12,16,2
32,32,6,0.529272,0.324511,12,16,2
34,34,4,0.506874,0.320029,12,16,2
35,35,7,0.580933,0.300568,12,16,2
36,36,8,0.50019,0.271395,12,16,2
41,41,6,0.497106,0.236578,9,24,13
42,42,2,0.545511,0.27803,12,16,2
44,44,6,0.531182,0.246956,12,16,13
46,46,5,0.524183,0.385737,10,27,14
48,48,15,0.215859,0.241796,10,29,3
49,49,5,0.159154,0.248961,10,29,3
51,51,12,0.186684,0.271187,10,29,3
52,52,4,0.159731,0.272499,10,29,3
53,53,11,0.185493,0.244067,10,29,3
55,55,9,0.18737,0.213364,10,29,3
56,56,3,0.182165,0.292722,10,29,3
57,57,7,0.219164,0.275032,10,29,3
58,58,8,0.23412,0.269591,10,29,3
59,59,5,0.21948,0.216184,10,29,3
64,64,3,0.271704,0.204366,12,36,3
67,67,4,0.120732,0.218606,13,39,30
71,71,11,0.78553,0.788697,9,43,4
72,72,20,0.808292,0.788123,9,43,4
73,73,4,0.779797,0.813808,9,43,4
75,75,5,0.869013,0.751795,9,43,24
76,76,9,0.813727,0.810033,9,43,4
80,80,10,0.786663,0.762027,9,43,4
84,84,8,0.809576,0.756199,9,43,4
85,85,8,0.844373,0.767316,9,43,4
87,87,5,0.835235,0.785342,9,43,4
92,92,8,0.843609,0.728389,10,56,24
93,93,5,0.045545,0.667841,11,57,5
94,94,8,0.098189,0.610186,11,57,5
95,95,5,0.047379,0.620022,11,57,5
96,96,7,0.095496,0.589886,11,57,5
98,98,10,0.072186,0.640547,11,57,5
102,102,11,0.074397,0.616106,11,57,5
103,103,9,0.122453,0.619338,11,57,5
104,104,5,0.045274,0.645838,11,57,5
105,105,10,0.097631,0.640119,11,57,5
109,109,5,0.102086,0.668576,11,57,5
111,111,3,0.128753,0.637548,11,57,5
115,115,10,0.924612,0.271227,9,69,6
116,116,8,0.893683,0.269897,9,69,6
117,117,4,0.866174,0.261917,9,69,6
118,118,8,0.872762,0.217962,9,69,6
119,119,5,0.84805,0.244694,9,69,6
120,120,16,0.875075,0.249417,9,69,6
122,122,10,0.897606,0.21447,9,69,6
