cell-id,cell-label,number-points,CM-0,CM-1,cluster-label,qty-cells-cluster-greater-equal-3
0,0,14,0.816486,0.072548,0,9
2,2,14,0.814188,0.09448,0,9
3,3,4,0.817034,0.038782,0,9
4,4,5,0.839716,0.047156,0,9
6,6,6,0.809601,0.120339,0,9
8,8,10,0.839419,0.099155,0,9
11,11,7,0.840965,0.07173,0,9
12,12,4,0.753317,0.072167,6,11
13,13,6,0.870411,0.077181,0,9
14,14,5,0.841074,0.123047,0,9
24,24,3,0.574523,0.329919,16,12
25,25,7,0.559024,0.326804,16,12
27,27,8,0.529651,0.274183,16,12
28,28,5,0.509314,0.299281,16,12
29,29,15,0.532297,0.302173,16,12
31,31,18,0.554885,0.302187,16,12
32,32,6,0.529272,0.324511,16,12
34,34,4,0.506874,0.320029,16,12
35,35,7,0.580933,0.300568,16,12
36,36,8,0.50019,0.271395,16,12
41,41,6,0.497106,0.236578,24,9
42,42,2,0.545511,0.27803,16,12
44,44,6,0.531182,0.246956,16,12
46,46,5,0.524183,0.385737,27,10
48,48,15,0.215859,0.241796,29,10
49,49,5,0.159154,0.248961,29,10
51,51,12,0.186684,0.271187,29,10
52,52,4,0.159731,0.272499,29,10
53,53,11,0.185493,0.244067,29,10
55,55,9,0.18737,0.213364,29,10
56,56,3,0.182165,0.292722,29,10
57,57,7,0.219164,0.275032,29,10
58,58,8,0.23412,0.269591,29,10
59,59,5,0.21948,0.216184,29,10
64,64,3,0.271704,0.204366,36,12
67,67,4,0.120732,0.218606,39,13
71,71,11,0.78553,0.788697,43,9
72,72,20,0.808292,0.788123,43,9
73,73,4,0.779797,0.813808,43,9
75,75,5,0.869013,0.751795,43,9
76,76,9,0.813727,0.810033,43,9
80,80,10,0.786663,0.762027,43,9
84,84,8,0.809576,0.756199,43,9
85,85,8,0.844373,0.767316,43,9
87,87,5,0.835235,0.785342,43,9
92,92,8,0.843609,0.728389,56,10
93,93,5,0.045545,0.667841,57,11
94,94,8,0.098189,0.610186,57,11
95,95,5,0.047379,0.620022,57,11
96,96,7,0.095496,0.589886,57,11
98,98,10,0.072186,0.640547,57,11
102,102,11,0.074397,0.616106,57,11
103,103,9,0.122453,0.619338,57,11
104,104,5,0.045274,0.645838,57,11
105,105,10,0.097631,0.640119,57,11
109,109,5,0.102086,0.668576,57,11
111,111,3,0.128753,0.637548,57,11
115,115,10,0.924612,0.271227,69,9
116,116,8,0.893683,0.269897,69,9
117,117,4,0.866174,0.261917,69,9
118,118,8,0.872762,0.217962,69,9
119,119,5,0.84805,0.244694,69,9
120,120,16,0.875075,0.249417,69,9
122,122,10,0.897606,0.21447,69,9
125,125,13,0.900092,0.244126,69,9
129,129,6,0.845388,0.268236,69,9
137,137,17,0.67296,0.898814,83,9
139,139,9,0.647012,0.899293,83,9
140,140,10,0.697566,0.899476,83,9
142,142,9,0.695567,0.923857,83,9
144,144,8,0.696454,0.87732,83,9
145,145,7,0.66801,0.92799,83,9
147,147,8,0.670589,0.872084,83,9
148,148,4,0.647441,0.923298,83,9
150,150,4,0.650369,0.878392,83,9
162,162,11,0.387848,0.559293,100,11
163,163,13,0.40914,0.583912,100,11
164,164,11,0.38514,0.58917,100,11
165,165,9,0.411665,0.552087,100,11
167,167,4,0.41882,0.604971,100,11
168,168,4,0.461892,0.590826,100,11
169,169,6,0.413551,0.536773,100,11
171,171,6,0.446962,0.582948,100,11
174,174,4,0.446509,0.645331,105,14
176,176,6,0.363421,0.58786,100,11
178,178,2,0.390494,0.609169,100,11
179,179,4,0.360493,0.558184,100,11
187,187,14,0.558775,0.870952,115,9
188,188,13,0.559165,0.818608,115,9
189,189,6,0.584665,0.869078,115,9
190,190,19,0.557471,0.842734,115,9
192,192,8,0.585358,0.818705,115,9
193,193,4,0.583215,0.835562,115,9
196,196,5,0.557401,0.794612,115,9
201,201,6,0.52691,0.821212,115,9
202,202,7,0.534763,0.84451,115,9
207,207,10,0.33212,0.651006,127,11
208,208,12,0.328383,0.674533,127,11
209,209,14,0.356461,0.670542,127,11
211,211,10,0.359822,0.696937,127,11
212,212,6,0.384384,0.699318,127,11
213,213,6,0.299159,0.698006,127,11
214,214,9,0.302163,0.673928,127,11
215,215,6,0.305426,0.648771,127,11
216,216,6,0.416423,0.678752,105,14
217,217,7,0.327423,0.703612,127,11
218,218,6,0.382389,0.669439,127,11
219,219,5,0.352286,0.64652,127,11
221,221,9,0.302182,0.759796,130,9
224,224,8,0.759969,0.210987,132,10
225,225,4,0.707954,0.176651,132,10
226,226,9,0.784748,0.18742,132,10
227,227,9,0.756788,0.161359,132,10
229,229,11,0.730132,0.183773,132,10
230,230,4,0.784359,0.207959,132,10
231,231,13,0.757097,0.187598,132,10
234,234,6,0.780434,0.160625,132,10
235,235,4,0.727029,0.21137,132,10
236,236,9,0.726508,0.162117,132,10
237,237,9,0.724508,0.09955,6,11
240,240,5,0.69659,0.12749,6,11
245,245,9,0.893581,0.413902,142,12
246,246,9,0.840574,0.391884,142,12
247,247,12,0.868367,0.415659,142,12
249,249,11,0.841776,0.441892,142,12
250,250,6,0.819403,0.409938,142,12
251,251,5,0.873172,0.386017,142,12
254,254,6,0.866846,0.472437,142,12
255,255,9,0.846779,0.413941,142,12
256,256,5,0.896206,0.445292,142,12
257,257,2,0.846803,0.461112,142,12
258,258,11,0.870362,0.442083,142,12
260,260,3,0.876804,0.502696,147,10
262,262,3,0.822459,0.382944,142,12
266,266,6,0.898461,0.476023,147,10
270,270,9,0.474667,0.238774,24,9
271,271,9,0.494612,0.211926,24,9
272,272,11,0.49693,0.18925,24,9
276,276,12,0.46941,0.190308,24,9
278,278,7,0.439562,0.188704,24,9
279,279,10,0.475145,0.217793,24,9
283,283,6,0.447202,0.218096,24,9
287,287,6,0.446311,0.240411,24,9
288,288,7,0.499044,0.38887,27,10
290,290,10,0.4699,0.41603,27,10
291,291,16,0.497771,0.414686,27,10
292,292,7,0.528652,0.41708,27,10
293,293,5,0.471954,0.388448,27,10
294,294,17,0.500038,0.438176,27,10
295,295,8,0.470994,0.4375,27,10
296,296,3,0.534379,0.437252,27,10
304,304,4,0.502248,0.474864,27,10
306,306,17,0.644413,0.588785,174,11
307,307,12,0.616619,0.618104,174,11
308,308,1,0.685845,0.608513,174,11
311,311,11,0.645585,0.617457,174,11
312,312,10,0.671867,0.61049,174,11
313,313,7,0.672326,0.587762,174,11
314,314,8,0.666834,0.640357,174,11
