id,Label,Number_Points,Coord-0,Coord-1,Coord-2,Coord-3,a,b,c,d
0,0,3,2,6,0,0,0.231481,0.625000,0.073446,0.055556
1,1,6,1,4,0,0,0.157407,0.437500,0.076271,0.020833
2,2,4,1,5,0,0,0.173611,0.531250,0.059322,0.041667
3,3,3,0,4,0,0,0.037037,0.430556,0.050847,0.027778
4,4,2,1,6,0,0,0.194444,0.645833,0.059322,0.062500
5,5,1,3,7,1,1,0.305556,0.791667,0.118644,0.125000
6,6,3,0,5,0,0,0.064815,0.527778,0.062147,0.055556
7,7,1,0,3,0,0,0.027778,0.375000,0.067797,0.041667
8,8,1,3,7,0,0,0.305556,0.708333,0.084746,0.041667
9,9,3,1,5,1,0,0.129630,0.555556,0.118644,0.041667
10,10,1,4,8,0,0,0.416667,0.833333,0.033898,0.041667
11,11,1,3,10,0,1,0.388889,1.000000,0.084746,0.125000
12,12,1,3,7,0,1,0.305556,0.791667,0.050847,0.125000
13,13,1,3,7,1,0,0.388889,0.750000,0.118644,0.083333
14,14,2,2,7,0,0,0.250000,0.729167,0.084746,0.062500
15,15,1,3,5,1,0,0.305556,0.583333,0.118644,0.041667
16,16,1,2,7,0,1,0.222222,0.708333,0.084746,0.125000
17,17,1,0,6,0,0,0.083333,0.666667,0.000000,0.041667
18,18,1,2,5,1,1,0.222222,0.541667,0.118644,0.166667
19,19,2,1,4,1,0,0.166667,0.437500,0.101695,0.041667
20,20,1,1,5,1,1,0.194444,0.583333,0.101695,0.125000
21,21,2,2,5,0,0,0.236111,0.583333,0.076271,0.041667
22,22,1,3,5,0,1,0.305556,0.583333,0.084746,0.125000
23,23,1,2,8,0,0,0.250000,0.875000,0.084746,0.000000
24,24,1,3,9,0,0,0.333333,0.916667,0.067797,0.041667
25,25,1,3,6,0,0,0.333333,0.625000,0.050847,0.041667
26,26,1,0,1,0,0,0.055556,0.125000,0.050847,0.083333
27,27,1,1,6,1,2,0.194444,0.625000,0.101695,0.208333
28,28,1,2,7,1,1,0.222222,0.750000,0.152542,0.125000
29,29,1,2,7,1,0,0.222222,0.750000,0.101695,0.041667
30,30,1,7,5,6,5,0.750000,0.500000,0.627119,0.541667
31,31,1,5,5,5,5,0.583333,0.500000,0.593220,0.583333
32,32,1,7,4,6,5,0.722222,0.458333,0.661017,0.583333
33,33,1,3,1,5,5,0.333333,0.125000,0.508475,0.500000
34,34,3,6,3,6,5,0.648148,0.347222,0.621469,0.541667
35,35,3,3,3,5,5,0.388889,0.347222,0.553672,0.500000
36,36,1,5,5,6,6,0.555556,0.541667,0.627119,0.625000
37,37,2,1,1,3,3,0.180556,0.145833,0.389831,0.375000
38,38,1,2,2,4,5,0.250000,0.291667,0.491525,0.541667
39,39,1,1,0,4,3,0.194444,0.000000,0.423729,0.375000
40,40,1,4,4,5,5,0.444444,0.416667,0.542373,0.583333
41,41,1,4,0,5,3,0.472222,0.083333,0.508475,0.375000
42,42,1,4,3,6,5,0.500000,0.375000,0.627119,0.541667
43,43,1,3,3,4,5,0.361111,0.375000,0.440678,0.500000
44,44,2,6,4,5,5,0.652778,0.437500,0.576271,0.541667
45,45,3,3,4,5,5,0.342593,0.416667,0.570621,0.555556
46,46,1,4,2,5,3,0.416667,0.291667,0.525424,0.375000
47,47,1,5,0,5,5,0.527778,0.083333,0.593220,0.583333
48,48,1,3,2,4,4,0.361111,0.208333,0.491525,0.416667
49,49,1,4,5,6,7,0.444444,0.500000,0.644068,0.708333
50,50,2,4,3,5,5,0.486111,0.354167,0.550847,0.541667
51,51,1,5,2,6,5,0.555556,0.208333,0.661017,0.583333
52,52,1,4,3,6,4,0.500000,0.333333,0.627119,0.458333
53,53,2,5,3,5,5,0.555556,0.375000,0.559322,0.500000
54,54,1,6,4,6,6,0.666667,0.416667,0.677966,0.666667
55,55,1,3,2,4,3,0.388889,0.250000,0.423729,0.375000
56,56,1,3,1,4,4,0.333333,0.166667,0.474576,0.416667
57,57,1,3,1,4,3,0.333333,0.166667,0.457627,0.375000
58,58,1,4,2,4,4,0.416667,0.291667,0.491525,0.458333
59,59,1,4,2,6,6,0.472222,0.291667,0.694915,0.625000
60,60,1,4,5,5,6,0.472222,0.583333,0.593220,0.625000
61,61,1,6,4,6,5,0.666667,0.458333,0.627119,0.583333
62,62,1,5,1,5,5,0.555556,0.125000,0.576271,0.500000
63,63,2,3,2,5,5,0.347222,0.250000,0.525424,0.500000
64,64,1,3,2,5,4,0.333333,0.250000,0.576271,0.458333
65,65,1,4,4,6,5,0.500000,0.416667,0.610169,0.541667
66,66,1,4,2,5,4,0.416667,0.250000,0.508475,0.458333
67,67,1,3,4,5,4,0.388889,0.416667,0.542373,0.458333
68,68,1,2,2,3,4,0.222222,0.208333,0.338983,0.416667
69,69,1,5,5,8,10,0.555556,0.541667,0.847458,1.000000
70,70,2,4,2,6,7,0.416667,0.291667,0.694915,0.750000
71,71,1,7,4,8,8,0.777778,0.416667,0.830508,0.833333
72,72,1,5,3,7,7,0.555556,0.375000,0.779661,0.708333
73,73,1,6,4,8,8,0.611111,0.416667,0.813559,0.875000
74,74,1,9,4,9,8,0.916667,0.416667,0.949153,0.833333
75,75,1,1,2,5,6,0.166667,0.208333,0.593220,0.666667
76,76,2,8,3,8,7,0.847222,0.354167,0.881356,0.729167
77,77,1,6,2,8,7,0.666667,0.208333,0.813559,0.708333
78,78,1,8,6,8,10,0.805556,0.666667,0.864407,1.000000
79,79,1,6,5,6,7,0.611111,0.500000,0.694915,0.791667
80,80,1,5,2,7,7,0.583333,0.291667,0.728814,0.750000
81,81,1,6,4,7,8,0.694444,0.416667,0.762712,0.833333
82,82,1,3,2,6,7,0.388889,0.208333,0.677966,0.791667
83,83,1,4,3,6,9,0.416667,0.333333,0.694915,0.958333
84,84,3,5,5,7,9,0.555556,0.555556,0.751412,0.930556
85,85,2,6,4,7,7,0.611111,0.416667,0.737288,0.750000
86,86,1,9,7,9,8,0.944444,0.750000,0.966102,0.875000
87,87,1,9,2,10,9,0.944444,0.250000,1.000000,0.916667
88,88,1,4,0,6,5,0.472222,0.083333,0.677966,0.583333
89,89,1,7,5,7,9,0.722222,0.500000,0.796610,0.916667
90,90,1,3,3,6,7,0.361111,0.333333,0.661017,0.791667
91,91,1,9,3,9,7,0.944444,0.333333,0.966102,0.791667
92,92,2,5,2,6,7,0.555556,0.250000,0.669492,0.729167
93,93,1,6,5,7,8,0.666667,0.541667,0.796610,0.833333
94,94,1,8,5,8,7,0.805556,0.500000,0.847458,0.708333
95,95,1,5,3,6,7,0.527778,0.333333,0.644068,0.708333
96,96,3,4,4,6,7,0.472222,0.416667,0.666667,0.708333
97,97,2,5,3,7,8,0.583333,0.333333,0.779661,0.854167
98,98,1,8,4,8,6,0.805556,0.416667,0.813559,0.625000
99,99,1,10,7,9,7,1.000000,0.750000,0.915254,0.791667
100,100,1,5,3,6,5,0.555556,0.333333,0.694915,0.583333
101,101,1,4,2,7,5,0.500000,0.250000,0.779661,0.541667
102,102,1,9,4,8,9,0.944444,0.416667,0.864407,0.916667
103,103,1,5,4,7,7,0.583333,0.458333,0.762712,0.708333
104,104,1,7,4,7,8,0.722222,0.458333,0.745763,0.833333
105,105,2,6,4,7,9,0.666667,0.437500,0.745763,0.937500
106,106,1,7,4,6,9,0.722222,0.458333,0.694915,0.916667
107,107,1,6,5,8,9,0.694444,0.500000,0.830508,0.916667
108,108,1,6,5,7,10,0.666667,0.541667,0.796610,1.000000
