X,Y,C
0.003632,0.579681,2
0.001211,0.505976,2
0.062954,0.500000,2
0.110169,0.450199,2
0.101695,0.507968,2
0.112591,0.515936,2
0.106538,0.597610,2
0.094431,0.611554,2
0.081114,0.631474,2
0.065375,0.669323,2
0.053269,0.727092,2
0.058111,0.754980,2
0.077482,0.754980,2
0.089588,0.683267,2
0.157385,0.462151,2
0.168281,0.541833,2
0.154964,0.627490,2
0.153753,0.677291,2
0.124697,0.703187,2
0.116223,0.752988,2
0.141646,0.752988,2
0.129540,0.772908,2
0.108959,0.816733,2
0.093220,0.836653,2
0.106538,0.856574,2
0.179177,0.934263,2
0.228814,0.988048,2
0.219128,0.900398,2
0.205811,0.725100,2
0.254237,0.792829,2
0.288136,0.804781,2
0.303874,0.820717,2
0.265133,0.954183,2
0.284504,0.982072,2
0.305085,0.994024,2
0.314770,0.990040,2
0.325666,0.956175,2
0.323245,0.942231,2
0.349879,0.848606,2
0.351090,0.870518,2
0.278450,0.717131,2
0.277240,0.739044,2
0.291768,0.762948,2
0.301453,0.754980,2
0.315981,0.760956,2
0.320823,0.788845,2
0.331719,0.786853,2
0.326877,0.766932,2
0.324455,0.750996,2
0.323245,0.737052,2
0.399516,0.872510,2
0.411622,0.874502,2
0.407990,0.888446,2
0.394673,0.954183,2
0.383777,0.964143,2
0.446731,0.894422,2
0.438257,0.868526,2
0.501211,0.914343,2
0.365617,0.735060,2
0.384988,0.727092,2
0.405569,0.711155,2
0.418886,0.719124,2
0.424939,0.689243,2
0.418886,0.772908,2
0.433414,0.770916,2
0.447942,0.758964,2
0.453995,0.764940,2
0.469734,0.745020,2
0.469734,0.717131,2
0.464891,0.695219,2
0.453995,0.643426,2
0.449153,0.629482,2
0.498789,0.772908,2
0.537530,0.826693,2
0.543584,0.844622,2
0.570218,0.794821,2
0.516949,0.691235,2
0.490315,0.611554,2
0.507264,0.571713,2
0.504843,0.549801,2
0.506053,0.533865,2
0.503632,0.501992,2
0.525424,0.541833,2
0.521792,0.605578,2
0.543584,0.643426,2
0.552058,0.673307,2
0.558111,0.689243,2
0.592010,0.673307,2
0.600484,0.659363,2
0.539952,0.601594,2
0.562954,0.591633,2
0.610169,0.583665,2
0.652542,0.507968,2
0.542373,0.466135,2
0.552058,0.490040,2
0.565375,0.478088,2
0.576271,0.470120,2
0.325666,0.575697,1
0.329298,0.553785,1
0.329298,0.511952,1
0.340194,0.486056,1
0.354722,0.501992,1
0.369249,0.539841,1
0.382567,0.563745,1
0.403148,0.563745,1
0.398305,0.533865,1
0.386199,0.525896,1
0.382567,0.488048,1
0.376513,0.480080,1
0.370460,0.452191,1
0.368039,0.410359,1
0.349879,0.364542,1
0.351090,0.350598,1
0.394673,0.507968,1
0.392252,0.496016,1
0.403148,0.500000,1
0.398305,0.486056,1
0.401937,0.478088,1
0.411622,0.482072,1
0.394673,0.466135,1
0.391041,0.454183,1
0.384988,0.444223,1
0.397094,0.442231,1
0.405569,0.448207,1
0.414044,0.450199,1
0.409201,0.436255,1
0.399516,0.422311,1
0.400726,0.408367,1
0.397094,0.392430,1
0.393462,0.376494,1
0.382567,0.370518,1
0.376513,0.382470,1
0.371671,0.358566,1
0.386199,0.318725,1
0.387409,0.338645,1
0.393462,0.332669,1
0.401937,0.330677,1
0.420097,0.358566,1
0.433414,0.382470,1
0.440678,0.364542,1
0.435835,0.332669,1
0.417676,0.318725,1
0.428571,0.284861,1
0.405569,0.298805,1
0.409201,0.288845,1
0.411622,0.276892,1
0.401937,0.270916,1
0.393462,0.270916,1
0.388620,0.268924,1
0.462470,0.280876,1
0.445521,0.264940,1
0.406780,0.215139,1
0.407990,0.207171,1
0.415254,0.185259,1
0.423729,0.217131,1
0.450363,0.247012,1
0.452785,0.237052,1
0.444310,0.237052,1
0.440678,0.223108,1
0.433414,0.197211,1
0.435835,0.189243,1
0.451574,0.211155,1
0.466102,0.215139,1
0.467312,0.239044,1
0.474576,0.239044,1
0.480630,0.235060,1
0.427361,0.161355,1
0.434625,0.159363,1
0.450363,0.163347,1
0.445521,0.157371,1
0.446731,0.149402,1
0.496368,0.235060,1
0.501211,0.235060,1
0.493947,0.203187,1
0.476998,0.163347,1
0.479419,0.137450,1
0.469734,0.125498,1
0.478208,0.089641,1
0.490315,0.105578,1
0.490315,0.131474,1
0.489104,0.147410,1
0.492736,0.163347,1
0.512107,0.223108,1
0.513317,0.211155,1
0.523002,0.191235,1
0.512107,0.149402,1
0.498789,0.085657,1
0.530266,0.151394,1
0.527845,0.129482,1
0.555690,0.171315,1
0.566586,0.163347,1
0.514528,0.075697,1
0.519370,0.085657,1
0.526634,0.095618,1
0.526634,0.079681,1
0.532688,0.103586,1
0.539952,0.107570,1
0.544794,0.095618,1
0.550847,0.121514,1
0.558111,0.121514,1
0.575061,0.129482,1
0.578692,0.141434,1
0.593220,0.145418,1
0.613801,0.139442,1
0.595642,0.113546,1
0.572639,0.097610,1
0.547215,0.079681,1
0.538741,0.073705,1
0.525424,0.065737,1
0.535109,0.047809,1
0.537530,0.043825,1
0.546005,0.037849,1
0.550847,0.027888,1
0.553269,0.051793,1
0.559322,0.029880,1
0.559322,0.073705,1
0.569007,0.043825,1
0.577482,0.043825,1
0.581114,0.037849,1
0.581114,0.055777,1
0.585956,0.073705,1
0.622276,0.111554,1
0.640436,0.121514,1
0.644068,0.101594,1
0.648910,0.101594,1
0.650121,0.087649,1
0.633172,0.081673,1
0.627119,0.079681,1
0.633172,0.059761,1
0.617433,0.059761,1
0.612591,0.053785,1
0.592010,0.047809,1
0.602906,0.039841,1
0.608959,0.027888,1
0.587167,0.017928,1
0.590799,0.013944,1
0.599274,0.009960,1
0.633172,0.001992,1
0.640436,0.009960,1
0.641646,0.003984,1
0.659806,0.013944,1
0.659806,0.023904,1
0.680387,0.045817,1
0.680387,0.071713,1
0.679177,0.101594,1
0.675545,0.113546,1
0.691283,0.135458,1
0.709443,0.145418,1
0.723971,0.019920,1
0.710654,0.021912,1
0.703390,0.021912,1
0.690073,0.043825,1
0.696126,0.045817,1
0.686441,0.065737,1
0.694915,0.077689,1
0.697337,0.071713,1
0.707022,0.061753,1
0.727603,0.061753,1
0.719128,0.045817,1
0.728814,0.041833,1
0.734867,0.041833,1
0.731235,0.091633,1
0.725182,0.117530,1
0.726392,0.129482,1
0.745763,0.133466,1
0.749395,0.145418,1
0.757869,0.163347,1
0.769976,0.201195,1
0.790557,0.181275,1
0.772397,0.161355,1
0.773608,0.147410,1
0.771186,0.137450,1
0.766344,0.127490,1
0.771186,0.115538,1
0.762712,0.085657,1
0.766344,0.053785,1
0.779661,0.049801,1
0.774818,0.067729,1
0.776029,0.077689,1
0.808717,0.067729,1
0.808717,0.083665,1
0.796610,0.093625,1
0.790557,0.109562,1
