id,Label,Number_Points,Coord-0,Coord-1,X,Y
0,0,2,0,5,0.002421,0.542829
1,1,1,0,4,0.062954,0.500000
2,2,2,1,4,0.133777,0.456175
3,3,4,1,5,0.122276,0.540837
4,4,4,0,6,0.082627,0.648904
5,5,3,0,7,0.062954,0.745684
6,6,2,1,6,0.154358,0.652390
7,7,4,1,7,0.128027,0.745518
8,8,2,1,8,0.107748,0.836653
9,9,1,0,8,0.093220,0.836653
10,10,1,1,9,0.179177,0.934263
11,11,4,2,9,0.249395,0.956175
12,12,5,2,7,0.261501,0.747410
13,13,1,2,8,0.288136,0.804781
14,14,4,3,8,0.351090,0.853088
15,15,6,3,9,0.341203,0.966799
16,16,9,3,7,0.332795,0.756529
17,17,4,4,8,0.426150,0.881474
18,18,1,5,9,0.501211,0.914343
19,19,9,4,7,0.446328,0.748119
20,20,5,4,6,0.456659,0.653785
21,21,2,5,8,0.540557,0.835657
22,22,1,5,7,0.570218,0.794821
23,23,7,5,6,0.546351,0.653956
24,24,6,5,5,0.518362,0.548473
25,25,1,6,6,0.600484,0.659363
26,26,2,6,5,0.631356,0.545817
27,27,4,5,4,0.559019,0.476096
28,28,9,3,5,0.363331,0.534971
29,29,12,3,4,0.382970,0.460657
30,30,1,4,5,0.403148,0.563745
31,31,10,3,3,0.378935,0.358566
32,32,7,4,4,0.406607,0.457598
33,33,6,4,3,0.424939,0.347942
34,34,21,4,2,0.443906,0.244166
35,35,2,3,2,0.391041,0.269920
36,36,15,4,1,0.458515,0.155777
37,37,3,5,2,0.508878,0.223108
38,38,2,4,0,0.488499,0.087649
39,39,14,5,1,0.552836,0.138589
40,40,25,5,0,0.556852,0.056255
41,41,8,6,1,0.651937,0.115787
42,42,21,6,0,0.654041,0.048852
43,43,14,7,1,0.760118,0.139015
44,44,15,7,0,0.742857,0.055777
45,45,1,7,2,0.769976,0.201195
46,46,2,8,0,0.808717,0.075697
47,47,18,8,1,0.834948,0.160359
48,48,14,8,2,0.855586,0.251423
49,49,1,9,1,0.900726,0.189243
50,50,10,8,3,0.882324,0.344622
51,51,2,9,2,0.909806,0.265936
52,52,12,9,3,0.934221,0.368360
53,53,13,9,4,0.939002,0.454183
54,54,3,8,4,0.892252,0.427623
55,55,15,9,5,0.944552,0.540505
