id,Label,Number_Points,Coord-0,Coord-1,X,Y
0,0,2,3,0,0.253125,0.058594
1,1,2,3,1,0.213281,0.086719
2,2,2,2,1,0.184375,0.115625
3,3,2,2,2,0.160938,0.144531
4,4,1,1,2,0.123438,0.178125
5,5,2,1,3,0.111719,0.225781
6,6,1,2,3,0.134375,0.226563
7,7,4,1,4,0.088672,0.298828
8,8,2,1,5,0.075000,0.375781
9,9,1,0,5,0.053125,0.370312
10,10,2,0,6,0.061719,0.435937
11,11,1,1,6,0.085938,0.428125
12,12,1,0,7,0.062500,0.468750
13,13,3,1,7,0.083854,0.500000
14,14,3,1,8,0.098958,0.580729
15,15,3,1,9,0.112500,0.643229
16,16,3,2,10,0.161458,0.697917
17,17,2,2,11,0.190625,0.756250
18,18,3,3,11,0.238542,0.779687
19,19,4,4,12,0.300000,0.823828
20,20,2,5,12,0.365625,0.856250
21,21,1,6,12,0.409375,0.856250
22,22,3,6,13,0.440625,0.881250
23,23,2,7,13,0.506250,0.882813
24,24,1,7,12,0.495313,0.862500
25,25,2,8,13,0.556250,0.885156
26,26,1,8,12,0.557813,0.856250
27,27,3,9,12,0.641146,0.846354
28,28,2,10,12,0.692187,0.832812
29,29,1,10,11,0.704688,0.795312
30,30,3,11,11,0.766146,0.769271
31,31,1,11,12,0.745313,0.804688
32,32,1,12,11,0.814063,0.750000
33,33,3,12,10,0.828646,0.711458
34,34,2,12,9,0.857813,0.644531
35,35,2,13,9,0.873437,0.610156
36,36,1,12,8,0.864062,0.571875
37,37,2,13,8,0.892969,0.562500
38,38,2,13,7,0.908594,0.509375
39,39,4,13,6,0.910156,0.432812
40,40,1,14,7,0.939062,0.470313
41,41,2,13,5,0.909375,0.373437
42,42,4,13,4,0.899609,0.301172
43,43,2,13,3,0.890625,0.229688
44,44,1,12,3,0.845313,0.204688
45,45,3,12,2,0.842708,0.157292
46,46,2,12,1,0.812500,0.121094
47,47,2,11,1,0.777344,0.084375
48,48,1,11,0,0.734375,0.056250
49,49,3,10,0,0.715625,0.032813
50,50,2,12,6,0.841406,0.435937
51,51,2,12,7,0.819531,0.485937
52,52,2,12,5,0.830469,0.369531
53,53,2,12,4,0.842969,0.303125
54,54,1,11,3,0.764062,0.245312
55,55,2,10,3,0.710156,0.232031
56,56,8,10,4,0.701172,0.300000
57,57,1,11,4,0.756250,0.321875
58,58,5,11,5,0.771563,0.362187
59,59,1,9,3,0.629687,0.250000
60,60,4,9,4,0.640625,0.287109
61,61,5,10,5,0.716562,0.361250
62,62,5,9,5,0.634688,0.371250
63,63,2,8,5,0.596094,0.362500
64,64,2,8,4,0.550000,0.313281
65,65,4,8,6,0.580469,0.435547
66,66,3,9,6,0.642708,0.425521
67,67,13,10,6,0.693630,0.433774
68,68,5,11,6,0.758750,0.431250
69,69,6,10,7,0.695573,0.495312
70,70,6,11,7,0.769010,0.501042
71,71,3,11,8,0.765104,0.556250
72,72,2,10,8,0.673438,0.550781
73,73,2,9,8,0.624219,0.546875
74,74,4,9,7,0.634766,0.495703
75,75,2,8,7,0.572656,0.473438
76,76,1,7,7,0.529687,0.525000
77,77,1,8,8,0.545312,0.545312
78,78,2,7,6,0.516406,0.451562
79,79,1,4,2,0.295312,0.192188
80,80,1,3,3,0.221875,0.220313
81,81,6,4,4,0.306510,0.307812
82,82,2,3,4,0.228906,0.312500
83,83,2,2,4,0.162500,0.326562
84,84,1,2,5,0.173438,0.379688
85,85,6,2,6,0.179427,0.418229
86,86,9,3,5,0.235417,0.374132
87,87,7,3,6,0.250000,0.423884
88,88,8,5,4,0.361914,0.301172
89,89,7,4,5,0.305357,0.376563
90,90,6,5,5,0.365104,0.359375
91,91,5,4,6,0.287187,0.425313
92,92,5,3,7,0.248125,0.487500
93,93,1,2,7,0.139063,0.500000
94,94,3,3,8,0.225521,0.542188
95,95,1,3,9,0.228125,0.617188
96,96,4,4,7,0.299219,0.510938
97,97,2,4,8,0.319531,0.554688
98,98,5,5,7,0.356563,0.493125
99,99,1,5,8,0.351563,0.578125
100,100,10,5,6,0.362813,0.429688
101,101,3,6,6,0.417708,0.425521
102,102,1,6,5,0.465625,0.393750
103,103,1,6,7,0.453125,0.470313
