X,Y
0.257813,0.064062
0.248437,0.053125
0.214062,0.087500
0.212500,0.085938
0.192188,0.118750
0.176563,0.112500
0.168750,0.140625
0.153125,0.148438
0.123438,0.178125
0.132813,0.210938
0.134375,0.226563
0.090625,0.240625
0.089062,0.275000
0.107813,0.282813
0.084375,0.310937
0.073437,0.326562
0.075000,0.364063
0.053125,0.370312
0.075000,0.387500
0.065625,0.414063
0.085938,0.428125
0.057812,0.457812
0.062500,0.468750
0.095312,0.468750
0.084375,0.514062
0.071875,0.517188
0.089062,0.570313
0.096875,0.573438
0.110937,0.598437
0.090625,0.618750
0.129688,0.646875
0.117188,0.664063
0.154688,0.676562
0.148438,0.696875
0.181250,0.720313
0.182812,0.748437
0.198437,0.764062
0.217187,0.753125
0.257813,0.787500
0.240625,0.798438
0.279687,0.826562
0.279687,0.801562
0.315625,0.845313
0.325000,0.821875
0.365625,0.850000
0.365625,0.862500
0.409375,0.856250
0.409375,0.876563
0.454688,0.868750
0.457812,0.898438
0.485938,0.893750
0.495313,0.862500
0.526563,0.871875
0.534375,0.884375
0.578125,0.885938
0.557813,0.856250
0.623437,0.845313
0.637500,0.853125
0.662500,0.840625
0.679688,0.843750
0.704688,0.821875
0.704688,0.795312
0.740625,0.790625
0.745313,0.804688
0.768750,0.754687
0.789063,0.762500
0.814063,0.750000
0.814063,0.725000
0.826562,0.704688
0.845313,0.704688
0.853125,0.634375
0.862500,0.654687
0.871875,0.617188
0.875000,0.603125
0.864062,0.571875
0.884375,0.556250
0.901563,0.568750
0.889062,0.509375
0.928125,0.509375
0.903125,0.465625
0.939062,0.470313
0.931250,0.425000
0.912500,0.415625
0.918750,0.379688
0.900000,0.367188
0.917188,0.320313
0.895312,0.323437
0.879687,0.282813
0.906250,0.278125
0.876563,0.228125
0.904687,0.231250
0.845313,0.204688
0.859375,0.164063
0.831250,0.164063
0.837500,0.143750
0.812500,0.126562
0.812500,0.115625
0.768750,0.092188
0.785937,0.076563
0.734375,0.056250
0.731250,0.043750
0.712500,0.020312
0.703125,0.034375
0.893750,0.425000
0.865625,0.450000
0.832812,0.467187
0.817187,0.421875
0.859375,0.392188
0.842187,0.329688
0.843750,0.276562
0.801562,0.346875
0.764062,0.245312
0.731250,0.242188
0.689063,0.221875
0.725000,0.267188
0.756250,0.321875
0.790625,0.357812
0.779687,0.364063
0.779687,0.365625
0.629687,0.250000
0.621875,0.268750
0.653125,0.268750
0.673438,0.268750
0.651563,0.295312
0.635938,0.315625
0.682813,0.318750
0.690625,0.289063
0.692187,0.296875
0.707812,0.309375
0.709375,0.328125
0.728125,0.321875
0.753125,0.360938
0.754687,0.362500
0.731250,0.354687
0.731250,0.354687
0.710938,0.360938
0.710938,0.371875
0.698438,0.364063
0.646875,0.360938
0.657813,0.371875
0.645312,0.384375
0.617188,0.359375
0.593750,0.343750
0.559375,0.310937
0.540625,0.315625
0.600000,0.420312
0.598437,0.426562
0.606250,0.379688
0.598437,0.381250
0.654687,0.404687
0.664063,0.409375
0.681250,0.409375
0.692187,0.410937
0.703125,0.428125
0.710938,0.432813
0.725000,0.432813
0.726563,0.434375
0.726563,0.417188
0.742188,0.412500
0.762500,0.410937
0.768750,0.432813
